design	trait_arm	disorder	stratum	phenotype	n	n_thresholds	n_perm	min_p	max_abs_t	p_perm	p_bonferroni	matched
matched	ALZ_noAPOE	ALZnoAPOE	EUR	global_slope	4308	8	2000	0.016510654644519552	2.396424433409105	0.09995002498750624	0.13208523715615642	yes
matched	ALZ_IGAP	ALZIGAP	EUR	baseline_thickness	4308	8	2000	0.11796245910352178	1.6219823030879315	0.3818090954522739	0.9436996728281742	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC1	4308	8	2000	0.04190556563295547	2.099660345155735	0.1454272863568216	0.3352445250636438	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC2	4308	8	2000	0.08140148602067332	1.7447507875917627	0.29985007496251875	0.6512118881653866	yes
matched	ALZ_IGAP	ALZIGAP	EUR	slope_PC3	4308	8	2000	0.12771093402839	1.5630870766667044	0.3598200899550225	1.0	yes
matched	ALZ_IGAP	ALZIGAP	EUR	global_slope	4308	8	2000	0.015573002796096311	2.4362309848062225	0.06946526736631684	0.12458402236877049	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	baseline_thickness	4308	8	2000	0.009805819797206794	2.762161927262451	0.04097951024487756	0.07844655837765435	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC1	4308	8	2000	0.3418409420662952	0.9593357691176575	0.8525737131434283	1.0	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC2	4308	8	2000	0.16475141429065118	1.4812524884814815	0.5112443778110944	1.0	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	slope_PC3	4308	8	2000	0.39317627175382985	0.8586599995140827	0.904047976011994	1.0	yes
matched	ALZ_IGAP_noAPOE	ALZIGAPnoAPOE	EUR	global_slope	4308	8	2000	0.019446675797879245	2.361756118624735	0.10394802598700649	0.15557340638303396	yes
matched	EA	EA	EUR	baseline_thickness	4308	8	2000	0.10838143606407968	1.6901737885872774	0.3713143428285857	0.8670514885126375	yes
matched	EA	EA	EUR	slope_PC1	4308	8	2000	0.3215084603413658	1.0053791962638594	0.775112443778111	1.0	yes
matched	EA	EA	EUR	slope_PC2	4308	8	2000	0.0899945479616025	1.7729691153222424	0.28735632183908044	0.71995638369282	yes
matched	EA	EA	EUR	slope_PC3	4308	8	2000	0.22847600366805979	1.2366675778944405	0.6356821589205397	1.0	yes
matched	EA	EA	EUR	global_slope	4308	8	2000	0.030629294966069445	2.212653059066438	0.12343828085957022	0.24503435972855556	yes
legacy	SCZ	SCZ	EUR	baseline_thickness	4308	8	2000	0.35490849598961116	0.9575613723238852	0.7871064467766117	1.0	no
legacy	SCZ	SCZ	EUR	slope_PC1	4308	8	2000	0.03470376897233575	2.1305190919820025	0.12643678160919541	0.277630151778686	no
legacy	SCZ	SCZ	EUR	slope_PC2	4308	8	2000	0.12931968689446807	1.5252031438677829	0.3893053473263368	1.0	no
legacy	SCZ	SCZ	EUR	slope_PC3	4308	8	2000	0.06781983216514863	1.8734612511201734	0.21389305347326337	0.542558657321189	no
legacy	SCZ	SCZ	EUR	global_slope	4308	8	2000	0.01767052003679864	2.4399103962429813	0.06046976511744128	0.1413641602943891	no
legacy	SCZ	SCZ	full	baseline_thickness	8596	8	2000	0.18783324360758383	1.3527250978166738	0.5137431284357821	1.0	no
legacy	SCZ	SCZ	full	slope_PC1	8596	8	2000	0.0013626741485057525	3.2313198281549953	0.0069965017491254375	0.01090139318804602	no
legacy	SCZ	SCZ	full	slope_PC2	8596	8	2000	0.02515385465144932	2.2848568764410397	0.10344827586206896	0.20123083721159457	no
legacy	SCZ	SCZ	full	slope_PC3	8596	8	2000	0.024454865110773955	2.3183009767328677	0.08345827086456771	0.19563892088619164	no
legacy	SCZ	SCZ	full	global_slope	8596	8	2000	0.0017042634722129184	3.1564606308188425	0.010494752623688156	0.013634107777703347	no
legacy	MDD	MDD	EUR	baseline_thickness	4308	8	2000	0.099560299578002	1.7150389562643318	0.2983508245877061	0.796482396624016	no
legacy	MDD	MDD	EUR	slope_PC1	4308	8	2000	0.28375440133947705	1.1087352150072882	0.6581709145427287	1.0	no
legacy	MDD	MDD	EUR	slope_PC2	4308	8	2000	0.1681549447416648	1.3599343191362805	0.4732633683158421	1.0	no
legacy	MDD	MDD	EUR	slope_PC3	4308	8	2000	0.20289135024789895	1.2965702332637559	0.5382308845577212	1.0	no
