split,phenotype,defined_on,h2,r_MZ,r_DZ,n_MZ,n_DZ
17,slope PC1,train (PCA),0.431815,0.378426,0.162518,137,206
17,slope PC2,train (PCA),-0.0253596,0.398831,0.411511,137,206
17,slope PC3,train (PCA),0.6422,0.452517,0.131417,137,206
17,top-10 h2 regions (mean),train (h2),0.289615,0.362492,0.217684,137,206
18,global mean slope,none,0.439873,0.467191,0.247254,137,223
18,slope PC1,train (PCA),0.711682,0.477189,0.121348,137,223
18,slope PC2,train (PCA),0.293563,0.43687,0.290089,137,223
18,slope PC3,train (PCA),0.457803,0.434929,0.206027,137,223
18,top-10 h2 regions (mean),train (h2),0.538141,0.470959,0.201889,137,223
19,global mean slope,none,0.479312,0.548506,0.30885,128,210
19,slope PC1,train (PCA),0.501615,0.435449,0.184642,128,210
19,slope PC2,train (PCA),0.614627,0.460039,0.152725,128,210
19,slope PC3,train (PCA),0.235809,0.34536,0.227455,128,210
19,top-10 h2 regions (mean),train (h2),0.266239,0.492676,0.359557,128,210
20,global mean slope,none,0.469113,0.487721,0.253165,124,228
20,slope PC1,train (PCA),0.520121,0.384454,0.124393,124,228
20,slope PC2,train (PCA),-0.073579,0.244593,0.281382,124,228
20,slope PC3,train (PCA),0.272497,0.382778,0.24653,124,228
20,top-10 h2 regions (mean),train (h2),0.273328,0.391894,0.255231,124,228
21,global mean slope,none,0.354781,0.484598,0.307207,142,216
21,slope PC1,train (PCA),0.35148,0.324008,0.148268,142,216
21,slope PC2,train (PCA),0.250168,0.348459,0.223376,142,216
21,slope PC3,train (PCA),0.25204,0.360008,0.233988,142,216
21,top-10 h2 regions (mean),train (h2),0.247996,0.422267,0.298269,142,216
22,global mean slope,none,0.331837,0.520911,0.354992,131,219
22,slope PC1,train (PCA),0.453378,0.420257,0.193568,131,219
22,slope PC2,train (PCA),0.0635269,0.375353,0.34359,131,219
22,slope PC3,train (PCA),0.506851,0.437105,0.183679,131,219
22,top-10 h2 regions (mean),train (h2),0.278457,0.456798,0.317569,131,219
23,global mean slope,none,0.284007,0.386051,0.244047,130,216
23,slope PC1,train (PCA),0.369258,0.407536,0.222907,130,216
23,slope PC2,train (PCA),0.276494,0.43673,0.298483,130,216
23,slope PC3,train (PCA),0.510532,0.46788,0.212614,130,216
23,top-10 h2 regions (mean),train (h2),0.301463,0.437674,0.286942,130,216
24,global mean slope,none,0.57891,0.61673,0.327275,132,206
24,slope PC1,train (PCA),0.483943,0.418979,0.177007,132,206
24,slope PC2,train (PCA),0.482717,0.440247,0.198888,132,206
24,slope PC3,train (PCA),0.556814,0.502003,0.223596,132,206
24,top-10 h2 regions (mean),train (h2),0.556815,0.548048,0.26964,132,206
25,global mean slope,none,0.471965,0.488925,0.252942,120,203
25,slope PC1,train (PCA),0.299276,0.391495,0.241858,120,203
25,slope PC2,train (PCA),0.346364,0.414628,0.241445,120,203
25,slope PC3,train (PCA),0.351802,0.443302,0.267401,120,203
25,top-10 h2 regions (mean),train (h2),0.352735,0.474288,0.29792,120,203
26,global mean slope,none,0.438376,0.462768,0.24358,136,216
26,slope PC1,train (PCA),0.457531,0.350869,0.122103,136,216
26,slope PC2,train (PCA),0.380799,0.411526,0.221126,136,216
26,slope PC3,train (PCA),0.307957,0.408878,0.254899,136,216
26,top-10 h2 regions (mean),train (h2),0.362966,0.459184,0.277701,136,216
27,global mean slope,none,0.487321,0.505713,0.262053,138,201
27,slope PC1,train (PCA),0.500926,0.393841,0.143378,138,201
27,slope PC2,train (PCA),0.146144,0.309742,0.23667,138,201
27,slope PC3,train (PCA),0.294382,0.41291,0.265718,138,201
