trait	model	set	submodel	n_genes	beta	beta_std	se	p
SCZ	cond_on_pool	SCZ_locus_pool	2	457	2.322	0.36093	0.07356	7.4965e-212
SCZ	cond_on_pool	SCZ_prio_finemap	2	61	0.53106	0.030489	0.1728	0.0010604
SCZ	cond_on_pool	SCZ_locus_pool	3	457	2.3867	0.37098	0.067689	1.2398e-261
SCZ	cond_on_pool	SCZ_prio_rare	3	7	1.5601	0.030385	0.50579	0.0010217
SCZ	cond_on_pool	SCZ_locus_pool	4	457	2.3754	0.36923	0.068965	3.0933e-250
SCZ	cond_on_pool	SCZ_prio_smr	4	44	0.51378	0.025063	0.20867	0.0069114
SCZ	cond_on_pool	SCZ_locus_pool	5	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised	5	101	0.61254	0.045201	0.14238	8.5096e-06
SCZ	cond_on_pool	SCZ_locus_pool	6	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised_pc	6	101	0.61254	0.045201	0.14238	8.5096e-06
slope_PC1	cond_on_pool	SCZ_locus_pool	1	455	-0.10272	-0.016008	0.089662	0.87403
slope_PC1	cond_on_pool	SCZ_pool_not_prio	1	354	0.12026	0.016577	0.10063	0.11605
slope_PC1	cond_on_pool	SCZ_locus_pool	2	455	0.028461	0.0044352	0.057154	0.30926
slope_PC1	cond_on_pool	SCZ_prio_finemap	2	61	-0.21006	-0.012118	0.12525	0.95322
slope_PC1	cond_on_pool	SCZ_locus_pool	3	455	-0.010788	-0.0016811	0.051531	0.58291
slope_PC1	cond_on_pool	SCZ_prio_rare	3	7	-0.21103	-0.0041298	0.38281	0.70927
slope_PC1	cond_on_pool	SCZ_locus_pool	4	455	-0.018488	-0.002881	0.052418	0.63784
slope_PC1	cond_on_pool	SCZ_prio_smr	4	44	0.04442	0.0021772	0.13713	0.373
slope_PC1	cond_on_pool	SCZ_locus_pool	5	455	0.017535	0.0027326	0.057717	0.38064
slope_PC1	cond_on_pool	SCZ_prioritised	5	101	-0.12026	-0.0089167	0.10063	0.88395
slope_PC1	cond_on_pool	SCZ_locus_pool	6	455	0.017535	0.0027326	0.057717	0.38064
slope_PC1	cond_on_pool	SCZ_prioritised_pc	6	101	-0.12026	-0.0089167	0.10063	0.88395
slope_PC2	cond_on_pool	SCZ_locus_pool	1	455	-0.025638	-0.0039952	0.089818	0.61234
slope_PC2	cond_on_pool	SCZ_pool_not_prio	1	354	0.059968	0.0082662	0.10081	0.27597
slope_PC2	cond_on_pool	SCZ_locus_pool	2	455	0.052114	0.0081211	0.057254	0.18136
slope_PC2	cond_on_pool	SCZ_prio_finemap	2	61	-0.16487	-0.0095104	0.12547	0.90556
slope_PC2	cond_on_pool	SCZ_locus_pool	3	455	0.016888	0.0026317	0.051619	0.37178
slope_PC2	cond_on_pool	SCZ_prio_rare	3	7	0.076602	0.0014991	0.38347	0.42083
slope_PC2	cond_on_pool	SCZ_locus_pool	4	455	0.010815	0.0016853	0.052507	0.41841
slope_PC2	cond_on_pool	SCZ_prio_smr	4	44	0.086259	0.004228	0.13736	0.26502
slope_PC2	cond_on_pool	SCZ_locus_pool	5	455	0.034331	0.0053499	0.057818	0.27634
slope_PC2	cond_on_pool	SCZ_prioritised	5	101	-0.059968	-0.0044464	0.10081	0.72403
slope_PC2	cond_on_pool	SCZ_locus_pool	6	455	0.034331	0.0053499	0.057818	0.27634
slope_PC2	cond_on_pool	SCZ_prioritised_pc	6	101	-0.059968	-0.0044464	0.10081	0.72403
slope_PC3	cond_on_pool	SCZ_locus_pool	1	455	0.02242	0.0034938	0.089898	0.40153
slope_PC3	cond_on_pool	SCZ_pool_not_prio	1	354	0.02756	0.0037989	0.1009	0.39237
slope_PC3	cond_on_pool	SCZ_locus_pool	2	455	0.065402	0.010192	0.057307	0.12689
slope_PC3	cond_on_pool	SCZ_prio_finemap	2	61	-0.1111	-0.0064087	0.12559	0.81181
slope_PC3	cond_on_pool	SCZ_locus_pool	3	455	0.036617	0.0057061	0.051664	0.23924
slope_PC3	cond_on_pool	SCZ_prio_rare	3	7	0.32809	0.0064209	0.3838	0.19632
slope_PC3	cond_on_pool	SCZ_locus_pool	4	455	0.037816	0.005893	0.052554	0.2359
slope_PC3	cond_on_pool	SCZ_prio_smr	4	44	0.055306	0.0027109	0.13748	0.34374
slope_PC3	cond_on_pool	SCZ_locus_pool	5	455	0.04998	0.0077885	0.05787	0.19389
slope_PC3	cond_on_pool	SCZ_prioritised	5	101	-0.02756	-0.0020435	0.1009	0.60763
slope_PC3	cond_on_pool	SCZ_locus_pool	6	455	0.04998	0.0077885	0.05787	0.19389
slope_PC3	cond_on_pool	SCZ_prioritised_pc	6	101	-0.02756	-0.0020435	0.1009	0.60763
