method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	EURanchor	4308	3601	-0.0370495535357203	0.0144914787295925	0.0106053564661384			8	0.084842851729107
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	EURanchor	4308	3601	-0.0401713139851488	0.0145348895217322	0.0057396449056305			8	0.0459171592450441
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	EURanchor	4308	3601	-0.0412104527881236	0.0145700293643993	0.0047007773141374			8	0.0376062185130997
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	EURanchor	4308	3601	-0.0463825433240331	0.0146498319344363	0.0015567725532174			8	0.0124541804257397
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	EURanchor	4308	3601	-0.0462682205349506	0.0146502825188089	0.001599484507924			8	0.0127958760633927
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	EURanchor	4308	3601	-0.0267683802201064	0.0144532637292631	0.0640891379476437			8	0.51271310358115
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	EURanchor	4308	3601	-0.0182848140758112	0.0144502826526823	0.205814686385885			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	EURlike	5665	4676	-0.0329446943918434	0.0126834651798602	0.0094177858888961			8	0.0753422871111689
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	EURlike	5665	4676	-0.0312564319367566	0.0127668769481532	0.0143876298481901			8	0.115101038785521
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	EURlike	5665	4676	-0.0333853843087118	0.0129443972382051	0.0099313825194981			8	0.0794510601559848
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	EURlike	5665	4676	-0.0333671915881053	0.0130232348826201	0.01043059264526			8	0.0834447411620802
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	EURlike	5665	4676	-0.0346046493918062	0.0131837295400444	0.0086950065466127			8	0.0695600523729021
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	EURlike	5665	4676	-0.0350648817712967	0.0131863572814751	0.0078568224009353			8	0.0628545792074829
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	EURlike	5665	4676	-0.0229159364812542	0.0126809308096709	0.0708002400369685			8	0.566401920295748
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	EURlike	5665	4676	-0.0133797178497497	0.012642012551512	0.289942101109935			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster1	1623	1397	0.0057434769312931	0.024294450184844	0.813144321513963			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster1	1623	1397	-0.0264140059795811	0.0257964947911463	0.306021717624437			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster1	1623	1397	-0.0504104525414124	0.0280121259642509	0.0721163257115255			8	0.576930605692204
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster1	1623	1397	-0.0688539507528956	0.029178639378781	0.0184090393264363			8	0.14727231461149
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster1	1623	1397	-0.0524942509624989	0.0305568877554832	0.0860085240136078			8	0.688068192108862
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster1	1623	1397	-0.0549833217982378	0.0305585616515443	0.0721671756176065			8	0.577337404940852
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster1	1623	1397	0.0167808715311041	0.0242210085166328	0.488523049841771			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster1	1623	1397	0.0252612399480585	0.0238791662675123	0.290274973579598			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster2	928	824	0.007014191416059	0.0314016324561002	0.823301143525874			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster2	928	824	-0.0232692257210857	0.031864489374738	0.465428519969157			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster2	928	824	-0.0335851871075669	0.0342068295471874	0.326456275501964			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster2	928	824	-0.0396456151911855	0.0358665237858991	0.269305272118538			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster2	928	824	-0.0324404227488384	0.0381671736532095	0.395584760905907			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster2	928	824	-0.0293620986270999	0.0383961162147403	0.444649739418686			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster2	928	824	0.04376166944332	0.0315302997948109	0.165511150518706			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster2	928	824	0.026865387390118	0.031509252967623	0.394098614837197			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	within_stratum	cluster3	380	329	-0.0251735097881299	0.0521120188367626	0.629339053194755			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	within_stratum	cluster3	380	329	-0.0708386915170397	0.0572952410560882	0.217110211949047			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	within_stratum	cluster3	380	329	-0.0322552624640954	0.0701781001974196	0.646062297416657			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	within_stratum	cluster3	380	329	-0.0161287921935485	0.0753055329884521	0.830527488319756			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	within_stratum	cluster3	380	329	-0.0425283622326927	0.0826115447653426	0.607005202116599			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	within_stratum	cluster3	380	329	-0.0274412307160194	0.0831393046725439	0.741541495608595			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	within_stratum	cluster3	380	329	-0.0652323888179633	0.0510907835399979	0.202484818102838			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	within_stratum	cluster3	380	329	-0.0856669617715583	0.0497063318634077	0.0856647222309806			8	0.685317777847845
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.739030884998988	1.2584142972155	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.99723463739879	0.0480980553365953	3.0	8	1.0
