"label","region","view","x","y","group","subgroup"
"lh_AVI","AVI","lateral",168.136324853125,44.7131425,1,1
"lh_AVI","AVI","lateral",168.518429228125,44.8485905,1,1
"lh_AVI","AVI","lateral",168.906465103125,44.9837683125,1,1
"lh_AVI","AVI","lateral",169.300432478125,45.1186759375,1,1
"lh_AVI","AVI","lateral",169.700331353125,45.253313375,1,1
"lh_AVI","AVI","lateral",170.106161728125,45.387680625,1,1
"lh_AVI","AVI","lateral",170.449262394792,45.51603253125,1,1
"lh_AVI","AVI","lateral",170.729633353125,45.63836909375,1,1
"lh_AVI","AVI","lateral",170.947274603125,45.7546903125,1,1
"lh_AVI","AVI","lateral",171.102186144792,45.8649961875,1,1
"lh_AVI","AVI","lateral",171.280135478125,45.95200775,1,1
"lh_AVI","AVI","lateral",171.481122603125,46.015725,1,1
"lh_AVI","AVI","lateral",171.705147519792,46.0561479375,1,1
"lh_AVI","AVI","lateral",171.952210228125,46.0732765625,1,1
"lh_AVI","AVI","lateral",172.234121259375,46.11127465625,1,1
"lh_AVI","AVI","lateral",172.550880613542,46.17014221875,1,1
"lh_AVI","AVI","lateral",172.902488290625,46.24987925,1,1
"lh_AVI","AVI","lateral",173.288944290625,46.35048575,1,1
"lh_AVI","AVI","lateral",173.685752290625,46.45335678125,1,1
"lh_AVI","AVI","lateral",174.092912290625,46.55849234375,1,1
"lh_AVI","AVI","lateral",174.510424290625,46.6658924375,1,1
"lh_AVI","AVI","lateral",174.938288290625,46.7755570625,1,1
"lh_AVI","AVI","lateral",175.321905676042,46.8567153020833,1,1
"lh_AVI","AVI","lateral",175.661276446875,46.90936715625,1,1
"lh_AVI","AVI","lateral",175.956400603125,46.933512625,1,1
"lh_AVI","AVI","lateral",176.207278144792,46.9291517083333,1,1
"lh_AVI","AVI","lateral",176.413774946875,46.89876825,1,1
"lh_AVI","AVI","lateral",176.575891009375,46.84236225,1,1
"lh_AVI","AVI","lateral",176.693626332292,46.7599337083333,1,1
"lh_AVI","AVI","lateral",176.766980915625,46.651482625,1,1
"lh_AVI","AVI","lateral",176.789921321875,46.5178380625,1,1
"lh_AVI","AVI","lateral",176.762447551042,46.3590000208333,1,1
