readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
GWAS lambda_GC	slope_PC3	pooled	GENESIS	1.0409			8395	1.0048			7893	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with MDD)	baseline_thickness	EUR	LDSC	0.4174	0.0972			0.4726	0.1102			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with MDD)	global_slope	EUR	LDSC	0.169	0.0999			0.1153	0.1105			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with MDD)	slope_PC1	EUR	LDSC	0.1074	0.1096			0.0448	0.1054			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with MDD)	slope_PC2	EUR	LDSC	0.1946	0.1104			0.4005	0.1062			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with MDD)	slope_PC3	EUR	LDSC	0.0529	0.1105			-0.2414	0.0931			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with SCZ)	baseline_thickness	EUR	LDSC	0.4126	0.0954			0.4671	0.104			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with SCZ)	global_slope	EUR	LDSC	0.1655	0.0932			0.1238	0.1068			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with SCZ)	slope_PC1	EUR	LDSC	0.126	0.1026			0.0676	0.1031			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with SCZ)	slope_PC2	EUR	LDSC	0.1874	0.1075			0.3773	0.1089			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_obs (SNPs shared with SCZ)	slope_PC3	EUR	LDSC	0.0639	0.1068			-0.2398	0.094			6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with MDD)	baseline_thickness	EUR	LDSC	4.29				4.29				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with MDD)	global_slope	EUR	LDSC	1.69				1.04				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with MDD)	slope_PC1	EUR	LDSC	0.98				0.43				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with MDD)	slope_PC2	EUR	LDSC	1.76				3.77				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with MDD)	slope_PC3	EUR	LDSC	0.48				-2.59				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with SCZ)	baseline_thickness	EUR	LDSC	4.32				4.49				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with SCZ)	global_slope	EUR	LDSC	1.78				1.16				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with SCZ)	slope_PC1	EUR	LDSC	1.23				0.66				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with SCZ)	slope_PC2	EUR	LDSC	1.74				3.46				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC h2_z (SNPs shared with SCZ)	slope_PC3	EUR	LDSC	0.6				-2.55				6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with MDD	baseline_thickness	EUR	LDSC	-0.0044	0.0562	0.9371		-0.0186	0.0534	0.7276		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with MDD	global_slope	EUR	LDSC	-0.0473	0.0779	0.5441		-0.05111	0.1067	0.6321		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with MDD	slope_PC1	EUR	LDSC	-0.0756	0.1017	0.4571		0.0127	0.1678	0.9397		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with MDD	slope_PC2	EUR	LDSC	-0.0615	0.0791	0.437		-0.007857	0.06101	0.8975		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with MDD	slope_PC3	EUR	LDSC	-0.0669	0.1919	0.7273						6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with SCZ	baseline_thickness	EUR	LDSC	0.0311	0.0551	0.572		0.02597	0.05202	0.6176		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with SCZ	global_slope	EUR	LDSC	-0.1035	0.0862	0.2303		-0.1493	0.109	0.1707		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with SCZ	slope_PC1	EUR	LDSC	-0.0941	0.0936	0.315		0.09397	0.15	0.531		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with SCZ	slope_PC2	EUR	LDSC	-0.0746	0.0786	0.3423		-0.05206	0.05982	0.3842		6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
LDSC rg with SCZ	slope_PC3	EUR	LDSC	-0.1441	0.1999	0.4709						6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 AHBA_C3 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.013169	0.042651	0.23538	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 AHBA_C3 marginal (beta_std)	global_slope	EUR	MAGMA	0.0032346	0.041694	0.76558	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.017324	0.042074	0.1136	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC2	EUR	MAGMA	0.00027153	0.042072	0.98021	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 AHBA_C3 marginal (beta_std)	slope_PC3	EUR	MAGMA	0.012743	0.041571	0.23881	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.013733	0.002942	0.066138	13765					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	global_slope	EUR	MAGMA	0.0092571	0.0029359	0.21451	13765					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.0072077	0.0029078	0.32916	13765					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC2	EUR	MAGMA	-0.0049437	0.0029019	0.50243	13765					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC3	EUR	MAGMA	0.0066797	0.0029149	0.36698	13765					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.0061735	0.0062138	0.70561	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.01857	0.0060738	0.24507	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.0055844	0.0061299	0.72905	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	-0.012531	0.0061293	0.43695	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	0.0012073	0.0060567	0.93959	6917					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.0061542	0.0034194	0.47971	10325					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	global_slope	EUR	MAGMA	0.015166	0.0034074	0.080519	10325					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.0079135	0.0033924	0.35965	10325					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC2	EUR	MAGMA	3.7e-05	0.0033956	0.99659	10325					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC3	EUR	MAGMA	0.0069681	0.0033696	0.41676	10325					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.007592	0.0064793	0.64909	6829					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.018678	0.0063367	0.25238	6829					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.0074044	0.0063955	0.653	6829					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	-0.010842	0.0063903	0.51001	6829					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	0.0015753	0.0063078	0.92274	6829					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	baseline_thickness	EUR	MAGMA	0.0048963	0.004332	0.65353	6935					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	global_slope	EUR	MAGMA	0.016301	0.0042338	0.12628	6935					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC1	EUR	MAGMA	0.0037044	0.0042684	0.73035	6935					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC2	EUR	MAGMA	0.0061607	0.0042691	0.56657	6935					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	slope_PC3	EUR	MAGMA	0.0054761	0.0042313	0.60727	6935					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	-0.0023365	0.0071932	0.89761	6055					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	0.024293	0.0070096	0.16978	6055					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	-0.0077139	0.0070678	0.66546	6055					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	0.0017224	0.0070732	0.92314	6055					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA H3 thinning_Z_ds50 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	-0.00071278	0.0069846	0.96775	6055					6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	MDD	EUR	MAGMA	1.2366	0.033581	4.239e-284	1880	1.2366	0.033581	4.239e-284	1880	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	SCZ	EUR	MAGMA	0.5843	0.035588	2.4709e-60	1884	0.5843	0.035588	2.4709e-60	1884	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	baseline_thickness	EUR	MAGMA	0.040984	0.026493	0.060946	1881	0.020912	0.026161	0.21205	1881	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	global_slope	EUR	MAGMA	0.028475	0.026454	0.14088	1881	0.029263	0.026256	0.13254	1881	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	slope_PC1	EUR	MAGMA	0.040996	0.026144	0.058442	1881	0.025815	0.025882	0.15929	1881	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	slope_PC2	EUR	MAGMA	0.041297	0.026189	0.057421	1881	0.034235	0.026453	0.097817	1881	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set MDD_pool (marginal beta)	slope_PC3	EUR	MAGMA	-0.011875	0.026214	0.67472	1881	0.043428	0.026123	0.048225	1881	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	MDD	EUR	MAGMA	0.73138	0.069703	5.7691e-26	460	0.73138	0.069703	5.7691e-26	460	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	SCZ	EUR	MAGMA	2.4149	0.06709	4.2675e-272	457	2.4149	0.06709	4.2675e-272	457	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	baseline_thickness	EUR	MAGMA	0.18861	0.051711	0.00013297	455	0.18743	0.050821	0.00011342	455	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	global_slope	EUR	MAGMA	0.1699	0.051636	0.0005016	455	0.12437	0.051021	0.0073985	455	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC1	EUR	MAGMA	-0.01464	0.051053	0.61285	455	0.0074937	0.050305	0.44079	455	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC2	EUR	MAGMA	0.018286	0.05114	0.36034	455	0.065551	0.051413	0.10117	455	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC3	EUR	MAGMA	0.042606	0.051186	0.2026	455	-0.01368	0.050776	0.6062	455	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.023558	0.015355	1	4308	0.021246	0.015688	1	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.0063474	0.015346	0.67918	4308	0.0073742	0.015729	0.63922	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.0066788	0.015378	0.66408	4308	-0.0022825	0.015744	0.88473	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.0052449	0.015401	0.73346	4308	-0.003087	0.015768	0.84479	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.037116	0.014561	0.086735	4308	-0.048727	0.014965	0.0091138	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.031162	0.014524	0.031969	4308	-0.032969	0.014964	0.027634	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.016411	0.014544	0.25923	4308	-0.024782	0.014953	0.097538	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.018888	0.014548	0.19425	4308	-0.025334	0.014953	0.090301	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.02946	0.016811	0.63808	4308	0.026811	0.0171	0.93581	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.0054732	0.016063	0.73332	4308	0.01311	0.016398	0.42404	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.0099438	0.015407	0.51871	4308	-0.0017445	0.015766	0.9119	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.012127	0.015427	0.43186	4308	-0.0080664	0.015793	0.60954	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.03157	0.016346	0.42809	4308	-0.039955	0.016642	0.13126	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.02555	0.015213	0.093145	4308	-0.032125	0.015601	0.039549	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.013221	0.014574	0.36435	4308	-0.024173	0.014973	0.10651	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.013287	0.014579	0.36217	4308	-0.022813	0.014977	0.12778	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.033079	0.015301	0.24545	4308	-0.030433	0.015684	0.41914	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.010829	0.016596	0.5141	4308	0.012985	0.016932	0.4432	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.00080921	0.015828	0.95923	4308	-4.4742e-05	0.016138	0.99779	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.014436	0.015645	0.35619	4308	-0.018169	0.015977	0.25554	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.031033	0.016427	0.47158	4308	-0.038786	0.016719	0.16322	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.020485	0.015727	0.19279	4308	-0.025949	0.016116	0.10746	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.011653	0.015023	0.43798	4308	-0.011435	0.015405	0.45797	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	0.0082813	0.014845	0.57697	4308	0.0043105	0.015246	0.7774	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	-0.034847	0.015262	0.17968	4308	-0.038863	0.015631	0.10358	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.016979	0.015297	0.26708	4308	0.01127	0.015702	0.47296	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	0.0064543	0.015325	0.67366	4308	0.0013579	0.015724	0.93119	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	0.0040837	0.015334	0.79001	4308	0.00082013	0.015715	0.95838	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.032628	0.014565	0.2011	4308	-0.043653	0.014976	0.028628	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.022229	0.014544	0.12648	4308	-0.01528	0.015032	0.30944	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.019685	0.014546	0.17603	4308	-0.012947	0.015012	0.38849	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
PRS ALZ_noAPOE -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.0085254	0.014551	0.55798	4308	-0.001225	0.014993	0.93489	4116	6.0-vintage DK (n 8,082 / EUR 4,116); no HCP legacy exists
