method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	0p05	slope_PC3	full	8596	7198	1350	1449	0.0261964830555588	0.0373884968356201	0.483619763992682	-0.0004056967066495	0.0115475858117369	0.971975003200731	-0.0266021797622084	0.0390957589920723	-0.68043645776522	0.49622814305634
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	0p1	slope_PC3	full	8596	7198	1350	1449	0.0306265132464273	0.0376599595678098	0.41620294166647	-0.0063086312401769	0.0115480848787527	0.584882198348971	-0.0369351444866043	0.0393585014279689	-0.938428627781989	0.348024179656687
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	0p5	slope_PC3	full	8596	7198	1350	1449	0.0286078630150931	0.0383271055429123	0.455527731928305	-0.0078888858806444	0.0115649927819918	0.495176022215934	-0.0364967488957376	0.0400009928495808	-0.912396075591911	0.361560254657682
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	1	slope_PC3	full	8596	7198	1350	1449	0.0291110043651772	0.0382347922043735	0.446545800553902	-0.0074360712259955	0.011565685794686	0.520282297181885	-0.0365470755911728	0.0399117033250478	-0.915698217475888	0.359825200212799
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	1e-5	slope_PC3	full	8596	7198	1350	1449	0.0297236774999173	0.033350239931147	0.372925169893416	0.0134350157582484	0.011497959707132	0.242656865854899	-0.0162886617416689	0.0352678557828441	-0.461855743143661	0.644184773241638
CT	SCZ25_MATCHED	raw	SCZ25MATCHED	5e-8	slope_PC3	full	8596	7198	1350	1449	0.0420511391306409	0.0334758539524356	0.209240948184348	0.0003823988135825	0.0114686748082624	0.973402082056849	-0.0416687403170583	0.0353824043106576	-1.17766842386421	0.238928819907598
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	baseline_thickness	EUR	4308	3601	691	726	0.0455616456627096	0.0406051151211202	0.262190643968011	0.0110890149072146	0.0167947618744505	0.509125131960675	-0.034472630755495	0.0439417219309448	-0.784507962834715	0.432742111413082
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	baseline_thickness	full	8596	7198	1350	1449	0.0161699818911872	0.0491657482424146	0.742287744847015	0.0052537122736765	0.0206178013710665	0.798873596511991	-0.0109162696175107	0.0526234563474118	-0.20744113699874	0.835665358550756
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	global_slope	EUR	4308	3601	691	726	-0.0732478452330561	0.0474504948666285	0.123088795027166	-0.0370937799601594	0.0154295982655245	0.0162658138334273	0.0361540652728967	0.0498946286731576	0.724608364353796	0.468692326072136
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	global_slope	full	8596	7198	1350	1449	-0.0305391273717354	0.0569135845727418	0.591627689377939	-0.0576555183010312	0.0194931297749816	0.003109226259029	-0.0271163909292958	0.0596121734599328	-0.454880091690023	0.649195506151065
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC1	EUR	4308	3601	691	726	-0.0267575783641274	0.05414248235094	0.621304523964378	-0.0441053819656296	0.016008264547435	0.0058979760181712	-0.0173478036015022	0.056457105879326	-0.307274050472623	0.758634785607636
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC1	full	8596	7198	1350	1449	-0.0173185163768429	0.062237805766963	0.780845690654072	-0.0735078770474127	0.0202876746153008	0.0002929429202874	-0.0561893606705699	0.0649163125498052	-0.865566118338286	0.386728142665141
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC2	EUR	4308	3601	691	726	0.023847385606666	0.0515944746620687	0.644065367589461	0.0162123302222898	0.0164562503089851	0.32460570234304	-0.0076350553843762	0.054153564322253	-0.140988972377554	0.887878654088427
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC2	full	8596	7198	1350	1449	0.0060369390714122	0.0617850414962943	0.922175670531482	0.0255289216415137	0.0206278070494258	0.215906198267222	0.0194919825701014	0.0645716984137695	0.301865725216	0.76275442491968
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC3	EUR	4308	3601	691	726	-0.0256370164459956	0.0473025954380865	0.588002822380699	1.43301472565852e-05	0.0165428969349765	0.999308888692604	0.0256513465932522	0.0501109288237854	0.511891261953155	0.608727113978059
PRSCS	SCZ25_EUR	raw	SCZ25EUR	prscs	slope_PC3	full	8596	7198	1350	1449	0.0432181394457516	0.0590408042730734	0.46427308260001	-0.0046501140932949	0.020522129486822	0.82074882768385	-0.0478682535390465	0.061922180138648	-0.773038892233223	0.439499363856041
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	baseline_thickness	EUR	4308	3601	691	726	0.0455616480512478	0.0406051149214779	0.262190616632422	0.0110890113150524	0.0167947618652456	0.509125268944838	-0.0344726367361953	0.0439417217242527	-0.784508102630145	0.432742029417747
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	baseline_thickness	full	8596	7198	1350	1449	-0.0066341371512714	0.0307657439686807	0.829303088648374	0.013037788048683	0.0116140740327997	0.26165110982182	0.0196719251999545	0.0328874825156708	0.598158438870499	0.549734220056062
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	global_slope	EUR	4308	3601	691	726	-0.0732478674586188	0.0474504946133873	0.123088679504478	-0.0370937748916649	0.0154295982669764	0.0162658284347112	0.0361540925669538	0.0498946284184089	0.724608915087432	0.468691988110941
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	global_slope	full	8596	7198	1350	1449	-0.0056683265461578	0.0356256719529724	0.873604153302215	-0.0302357433459266	0.0109647513422752	0.0058387399005844	-0.0245674167997688	0.0372767346759251	-0.659054957826966	0.509860478077297
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC1	EUR	4308	3601	691	726	-0.0267576005401419	0.054142482073044	0.621304233078772	-0.0441053801471055	0.0160082645540229	0.0058979780815743	-0.0173477796069636	0.0564571056008978	-0.307273626983239	0.758635107922365
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC1	full	8596	7198	1350	1449	-0.0141402021267914	0.0389544107000613	0.716657373417223	-0.0361900609791625	0.0114109271437006	0.0015229570115504	-0.0220498588523712	0.0405931500261767	-0.543191618244759	0.586997876955402
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC2	EUR	4308	3601	691	726	0.0238473938639656	0.0515944744295834	0.644065251390942	0.0162123312870566	0.0164562503075531	0.324605670528313	-0.007635062576909	0.054153564085226	-0.140989105812003	0.887878548676054
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC2	full	8596	7198	1350	1449	0.0074487566335071	0.0386695672336592	0.84727626013994	0.0114052275606968	0.0116013785000721	0.325595655433049	0.0039564709271896	0.0403742851544737	0.0979948229931993	0.921936404235746
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC3	EUR	4308	3601	691	726	-0.0256370621296839	0.0473025883632128	0.588002101570099	1.43292493668249e-05	0.0165428974395673	0.999308932016912	0.0256513913790507	0.0501109222972234	0.511892222356324	0.60872644178524
PRSCS	SCZ25_EUR	zanc	SCZ25EUR	prscs	slope_PC3	full	8596	7198	1350	1449	0.0149322448757615	0.0369582799342833	0.686245007410774	0.0008589315756006	0.0115436146067633	0.940688227157379	-0.0140733133001609	0.0387211373125519	-0.363452994331312	0.716266520576121
PRSCS	SCZ25_META	raw	SCZ25META	prscs	baseline_thickness	EUR	4308	3601	691	726	0.0236825630537114	0.0397356836743475	0.55135192817032	0.0077464761465933	0.0166692222489356	0.642161914906831	-0.0159360869071181	0.0431008062534058	-0.369739879421834	0.711576314692291
PRSCS	SCZ25_META	raw	SCZ25META	prscs	baseline_thickness	full	8596	7198	1350	1449	-0.0044963489361824	0.0282176479353997	0.873418708947526	-0.001848709116254	0.0116006404502705	0.87338760132647	0.0026476398199283	0.0304679537040684	0.0868991677499769	0.930751661058451
PRSCS	SCZ25_META	raw	SCZ25META	prscs	global_slope	EUR	4308	3601	691	726	-0.03308302377668	0.0464466798757925	0.476511596516095	-0.0374213635566762	0.015319980095439	0.0146290007931942	-0.0043383397799961	0.0489143083548293	-0.0886926530479674	0.929326171543502
PRSCS	SCZ25_META	raw	SCZ25META	prscs	global_slope	full	8596	7198	1350	1449	0.0238277303722444	0.0326617116506922	0.465784722215399	-0.0283552849768661	0.0109548416823579	0.0096625258782283	-0.0521830153491105	0.034416286723319	-1.51623025948798	0.129461139156518
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC1	EUR	4308	3601	691	726	0.0375252875966784	0.0529406535011839	0.47865704276839	-0.0476128471010775	0.0158951200480013	0.0027604132293503	-0.0851381346977559	0.0552804212345674	-1.54011371108218	0.123532638197171
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC1	full	8596	7198	1350	1449	0.0397802461942316	0.0357181346992041	0.265562765004385	-0.0454420983361156	0.0113952041676873	6.73590392983364e-05	-0.0852223445303473	0.0374581510210316	-2.27513484268077	0.0228978420744279
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC2	EUR	4308	3601	691	726	-0.0145779123383365	0.0504696061200353	0.772779061981315	0.0199561821534743	0.0163376723546785	0.221986143049643	0.0345340944918107	0.0530544967259633	0.650917389155268	0.515099815658679
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC2	full	8596	7198	1350	1449	-0.0230806487614879	0.0354597545127951	0.515205475921088	0.0183860052130468	0.0115888987321368	0.112666350640905	0.0414666539745347	0.0372705823864467	1.11258400914105	0.265887131363655
PRSCS	SCZ25_META	raw	SCZ25META	prscs	slope_PC3	EUR	4308	3601	691	726	-0.0272657116675503	0.0462610687370823	0.555788347326869	-0.0028163681402219	0.0164219527364516	0.863840375146672	0.0244493435273283	0.0490972137027148	0.497978228975882	0.618499387220155
