method	trait_arm	discovery_ancestry	target_stratum	design	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	slope_PC3	5e-8	8596	7198	15.0	-0.0322548193566051	0.0108370021440591	0.0029252812088261	0.0234022496706091
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	baseline_thickness	5e-8	8596	7198	15.0	0.028998233428931	0.0106343285617391	0.0064071866716849	0.0512574933734794
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	slope_PC2	0p001	8596	7198	1811.0	-0.0232722248491815	0.010929937857322	0.0332657094084396	0.266125675267516
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	slope_PC1	0p01	8596	7198	10552.0	0.0213903376926952	0.0108608904613896	0.0489317196910886	0.391453757528709
CT	SCZ25_EAS	EAS	full	strata_only	zanc	2025 SCZ EAS (PGC3 asian)	global_slope	0p01	8596	7198	10552.0	0.018237372929168	0.0103864292270558	0.0791452996480983	0.633162397184787
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC1	0p001	8596	7198	10245.0	-0.0394731029287614	0.011779842198343	0.0008091913842147	0.0064735310737183
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	global_slope	0p1	8596	7198	120511.0	-0.0524690633738004	0.0171983592587148	0.0022895059106751	0.0183160472854011
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC2	1	8596	7198	394167.0	0.0435555814032865	0.0216176961217667	0.043957434348917	0.351659474791336
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	0p5	8596	7198	297235.0	0.0237377237354686	0.0210615008131154	0.259745896409439	1.0
CT	SCZ25_META	multi	full	primary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC3	5e-8	8596	7198	565.0	-0.0024126289074401	0.0109459355298488	0.825554778720148	1.0
CT	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC1	0p01	4308	3601	32445.0	-0.0441061679509774	0.015296234644054	0.003954652610978	0.0316372208878243
CT	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	global_slope	0p01	4308	3601	32445.0	-0.0354307106938376	0.0146238984641015	0.0154448892625122	0.123559114100097
CT	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC2	1	4308	3601	394167.0	0.0361672370286278	0.0158985959236941	0.022966042469548	0.183728339756384
CT	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	slope_PC3	5e-8	4308	3601	565.0	0.020351271930716	0.0154793643448932	0.188670505369146	1.0
CT	SCZ25_META	multi	EUR	secondary	raw	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	5e-8	4308	3601	565.0	-0.0121676644776067	0.01535127531508	0.428045455627891	1.0
CT	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC1	0p001	8596	7198	10245.0	-0.0359953435647582	0.0108196718442956	0.0008822936074708	0.0070583488597665
CT	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	global_slope	0p05	8596	7198	80271.0	-0.0325320390695017	0.010506865373483	0.0019664660523862	0.0157317284190898
CT	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC2	1	8596	7198	394167.0	0.0266502146472619	0.0112606007939094	0.0179724238442656	0.143779390754125
CT	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	slope_PC3	0p5	8596	7198	297235.0	-0.0073637479240018	0.0111693295058695	0.50973298388446	1.0
CT	SCZ25_META	multi	full	primary	zanc	2025 SCZ AFR+EUR+EAS meta	baseline_thickness	0p1	8596	7198	120511.0	0.0062520839311965	0.010939541099002	0.567667514677564	1.0
