method	trait_arm	discovery_ancestry	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster2	928	824	-0.028108069452179	0.0339542010066379	0.407986856600925			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster2	928	824	-0.0348621647243874	0.0364978864183099	0.339737887357907			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster2	928	824	-0.0354195485848825	0.0383131896290343	0.355484133012697			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster2	928	824	-0.0540178581656414	0.0407586073662022	0.185399432177598			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster2	928	824	-0.0568781163085826	0.0409954690940401	0.165651041971979			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster2	928	824	-0.0372020213759724	0.0334831378793858	0.266832772945381			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster2	928	824	-0.0276236274790002	0.0333484407452615	0.407699227068359			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	baseline_thickness	within_stratum	cluster3	380	329	-0.0386594849446887	0.0538988710864449	0.473674375754154			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	baseline_thickness	within_stratum	cluster3	380	329	0.0031216251609393	0.0594398885007868	0.958145126989041			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	baseline_thickness	within_stratum	cluster3	380	329	0.0020646789697776	0.0726537137076212	0.977344243345424			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	baseline_thickness	within_stratum	cluster3	380	329	0.0294970206452858	0.0779438431047997	0.705323723324217			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	baseline_thickness	within_stratum	cluster3	380	329	0.0328144773059336	0.0855637508166168	0.701565582535911			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	baseline_thickness	within_stratum	cluster3	380	329	0.02969616068795	0.0860933098714578	0.73034547180405			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	baseline_thickness	within_stratum	cluster3	380	329	0.0282820385844654	0.0529754159681781	0.593755517070989			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	baseline_thickness	within_stratum	cluster3	380	329	0.0182564128797906	0.0515949766872052	0.723667958348456			8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.362005782776558	3.19860700642312	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.798722964498403	1.0104517408472	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.773324800358431	1.11553689828361	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.6108273991459	1.81891544560131	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.709984423741419	1.38104252335688	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.69794739223691	1.43244492837403	3.0	8	1.0
CT	SCZ25_EUR	EUR	SCZ25EUR	1e-5	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0539436195868982	7.64516192338488	3.0	8	0.431548956695186
CT	SCZ25_EUR	EUR	SCZ25EUR	5e-8	global_slope	heterogeneity_PRSxStratum	all	8596	7198			0.0484327956540948	7.88575360897085	3.0	8	0.387462365232759
CT	SCZ25_EUR	EUR	SCZ25EUR	0p001	global_slope	pooled_stratumFE	all	8596	7198	-0.0186740238210756	0.0103810037978521	0.0720764652707567			8	0.576611722166054
CT	SCZ25_EUR	EUR	SCZ25EUR	0p01	global_slope	pooled_stratumFE	all	8596	7198	-0.0300235022883991	0.0105711852430753	0.0045205786322494			8	0.0361646290579959
CT	SCZ25_EUR	EUR	SCZ25EUR	0p05	global_slope	pooled_stratumFE	all	8596	7198	-0.0377672537939582	0.010943872936621	0.0005613150561239			8	0.0044905204489919
CT	SCZ25_EUR	EUR	SCZ25EUR	0p1	global_slope	pooled_stratumFE	all	8596	7198	-0.041667118573795	0.0111281083247093	0.0001821161496021			8	0.0014569291968172
CT	SCZ25_EUR	EUR	SCZ25EUR	0p5	global_slope	pooled_stratumFE	all	8596	7198	-0.0408832111832155	0.0113643909721554	0.0003232028659001			8	0.0025856229272012
