kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
gene-set	SCZ sets	global_slope	perregion	PGC3_locus_pool	852	0.11796	0.045514	0.0047807
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig	775	0.094778	0.042514	0.012904
gene-set	SCZ sets	global_slope	perregion	SCZ25_genesig_new	214	0.053368	0.061837	0.19406
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool	1103	0.10452	0.039302	0.0039176
gene-set	SCZ sets	global_slope	perregion	SCZ25_locus_pool_new	302	0.067524	0.057863	0.12162
gene-set	SCZ sets	global_slope	perregion	SCZ_locus_pool	451	0.085209	0.049983	0.044131
gene-set	SCZ sets	global_slope	perregion	SCZ_pool_not_prio	351	0.040802	0.054972	0.22898
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_finemap	61	0.14028	0.11026	0.10165
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_rare	7	0.55512	0.34065	0.051604
gene-set	SCZ sets	global_slope	perregion	SCZ_prio_smr	43	0.10605	0.1251	0.19831
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised	100	0.14791	0.08473	0.040445
gene-set	SCZ sets	global_slope	perregion	SCZ_prioritised_pc	100	0.14791	0.08473	0.040445
