phenotype,x_lo,x_hi,y_lo,y_hi,count
global,-0.019358058535312965,-0.019137470657277254,-0.01758041894921726,-0.017217462372898708,9
global,-0.019358058535312965,-0.019137470657277254,-0.017217462372898708,-0.016854505796580162,2
global,-0.019137470657277254,-0.018916882779241542,-0.021572941288721288,-0.021209984712402742,5
global,-0.019137470657277254,-0.018916882779241542,-0.021209984712402742,-0.020847028136084196,12
global,-0.019137470657277254,-0.018916882779241542,-0.020847028136084196,-0.020484071559765643,18
global,-0.019137470657277254,-0.018916882779241542,-0.020484071559765643,-0.020121114983447097,45
global,-0.019137470657277254,-0.018916882779241542,-0.020121114983447097,-0.01975815840712855,66
global,-0.019137470657277254,-0.018916882779241542,-0.01975815840712855,-0.019395201830809998,93
global,-0.019137470657277254,-0.018916882779241542,-0.019395201830809998,-0.019032245254491452,121
global,-0.019137470657277254,-0.018916882779241542,-0.019032245254491452,-0.018669288678172906,107
global,-0.019137470657277254,-0.018916882779241542,-0.018669288678172906,-0.018306332101854353,92
global,-0.019137470657277254,-0.018916882779241542,-0.018306332101854353,-0.017943375525535807,49
global,-0.019137470657277254,-0.018916882779241542,-0.017943375525535807,-0.01758041894921726,28
global,-0.019137470657277254,-0.018916882779241542,-0.01758041894921726,-0.017217462372898708,8
global,-0.019137470657277254,-0.018916882779241542,-0.017217462372898708,-0.016854505796580162,3
global,-0.018916882779241542,-0.018696294901205827,-0.021209984712402742,-0.020847028136084196,3
global,-0.018916882779241542,-0.018696294901205827,-0.020847028136084196,-0.020484071559765643,8
global,-0.018916882779241542,-0.018696294901205827,-0.020484071559765643,-0.020121114983447097,25
global,-0.018916882779241542,-0.018696294901205827,-0.020121114983447097,-0.01975815840712855,50
global,-0.018916882779241542,-0.018696294901205827,-0.01975815840712855,-0.019395201830809998,82
global,-0.018916882779241542,-0.018696294901205827,-0.019395201830809998,-0.019032245254491452,110
global,-0.018916882779241542,-0.018696294901205827,-0.019032245254491452,-0.018669288678172906,113
global,-0.018916882779241542,-0.018696294901205827,-0.018669288678172906,-0.018306332101854353,134
global,-0.018916882779241542,-0.018696294901205827,-0.018306332101854353,-0.017943375525535807,83
global,-0.018916882779241542,-0.018696294901205827,-0.017943375525535807,-0.01758041894921726,46
global,-0.018916882779241542,-0.018696294901205827,-0.01758041894921726,-0.017217462372898708,28
global,-0.018916882779241542,-0.018696294901205827,-0.017217462372898708,-0.016854505796580162,9
global,-0.018916882779241542,-0.018696294901205827,-0.016854505796580162,-0.016491549220261616,5
global,-0.018916882779241542,-0.018696294901205827,-0.016491549220261616,-0.016128592643943066,1
global,-0.018916882779241542,-0.018696294901205827,-0.016128592643943066,-0.015765636067624517,1
global,-0.018696294901205827,-0.018475707023170113,-0.021935897865039838,-0.021572941288721288,1
global,-0.018696294901205827,-0.018475707023170113,-0.020847028136084196,-0.020484071559765643,4
global,-0.018696294901205827,-0.018475707023170113,-0.020484071559765643,-0.020121114983447097,7
global,-0.018696294901205827,-0.018475707023170113,-0.020121114983447097,-0.01975815840712855,26
global,-0.018696294901205827,-0.018475707023170113,-0.01975815840712855,-0.019395201830809998,71
global,-0.018696294901205827,-0.018475707023170113,-0.019395201830809998,-0.019032245254491452,83
global,-0.018696294901205827,-0.018475707023170113,-0.019032245254491452,-0.018669288678172906,132
global,-0.018696294901205827,-0.018475707023170113,-0.018669288678172906,-0.018306332101854353,143
global,-0.018696294901205827,-0.018475707023170113,-0.018306332101854353,-0.017943375525535807,105
global,-0.018696294901205827,-0.018475707023170113,-0.017943375525535807,-0.01758041894921726,54
global,-0.018696294901205827,-0.018475707023170113,-0.01758041894921726,-0.017217462372898708,42
global,-0.018696294901205827,-0.018475707023170113,-0.017217462372898708,-0.016854505796580162,19
global,-0.018696294901205827,-0.018475707023170113,-0.016854505796580162,-0.016491549220261616,7
global,-0.018696294901205827,-0.018475707023170113,-0.016491549220261616,-0.016128592643943066,3
global,-0.018696294901205827,-0.018475707023170113,-0.015765636067624517,-0.015402679491305969,2
global,-0.018475707023170113,-0.0182551191451344,-0.020847028136084196,-0.020484071559765643,2
global,-0.018475707023170113,-0.0182551191451344,-0.020484071559765643,-0.020121114983447097,5
global,-0.018475707023170113,-0.0182551191451344,-0.020121114983447097,-0.01975815840712855,16
global,-0.018475707023170113,-0.0182551191451344,-0.01975815840712855,-0.019395201830809998,29
global,-0.018475707023170113,-0.0182551191451344,-0.019395201830809998,-0.019032245254491452,39
global,-0.018475707023170113,-0.0182551191451344,-0.019032245254491452,-0.018669288678172906,79
global,-0.018475707023170113,-0.0182551191451344,-0.018669288678172906,-0.018306332101854353,102
global,-0.018475707023170113,-0.0182551191451344,-0.018306332101854353,-0.017943375525535807,94
global,-0.018475707023170113,-0.0182551191451344,-0.017943375525535807,-0.01758041894921726,70
global,-0.018475707023170113,-0.0182551191451344,-0.01758041894921726,-0.017217462372898708,58
global,-0.018475707023170113,-0.0182551191451344,-0.017217462372898708,-0.016854505796580162,30
global,-0.018475707023170113,-0.0182551191451344,-0.016854505796580162,-0.016491549220261616,20
global,-0.018475707023170113,-0.0182551191451344,-0.016491549220261616,-0.016128592643943066,6
