kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	0.076185	0.0056488	0.094681	0.21052	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.21708	0.033829	0.055065	4.0542e-05	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	PGC3_genesig	SET	704	-0.08017	-0.015431	0.053293	0.93374	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17368	0.027066	0.060567	0.0020709	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.026005	0.0055015	0.054945	0.31801	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.16887	0.026316	0.054764	0.0010243	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.051241	0.01034	0.046821	0.1369	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17782	0.02771	0.051996	0.00031414	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.1235	0.013287	0.062716	0.024478	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.19326	0.030117	0.057489	0.00038829	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	-0.008587	-0.0020452	0.046337	0.57351	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.1892	0.029484	0.051754	0.00012864	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	-0.018062	-0.0023029	0.062525	0.61366	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.16888	0.026318	0.090821	0.031487	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.026929	0.0037119	0.10193	0.39582	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.20847	0.032487	0.057896	0.00015913	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	-0.096818	-0.005585	0.12688	0.77728	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.18709	0.029155	0.052195	0.00016943	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.082929	0.0016229	0.38775	0.41532	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.18419	0.028702	0.053094	0.00026192	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.051052	0.0025023	0.1389	0.35661	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.19581	0.030514	0.058464	0.00040615	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prioritised	SET	101	-0.026929	-0.0019967	0.10193	0.60418	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.19581	0.030514	0.058464	0.00040615	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	-0.026929	-0.0019967	0.10193	0.60418	baseline_thickness_sets_condST12pool.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	global_slope	PGC3_EUR	COVAR	18261	0.0099893	0.016076	0.0060619	0.099399	global_slope_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	global_slope	PGC3_primary	COVAR	18261	0.011376	0.018422	0.0059855	0.05738	global_slope_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	global_slope	SCZ25_EUR	COVAR	18270	0.014107	0.0226	0.0060285	0.019296	global_slope_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	global_slope	SCZ25_META	COVAR	18270	0.014584	0.023053	0.006051	0.015956	global_slope_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	global_slope	SCZ25_METAnaive	COVAR	18270	0.012369	0.019322	0.0061727	0.045112	global_slope_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	global_slope	PGC3_genesig	SET	704	-0.034579	-0.0066558	0.049993	0.75543	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	PGC3_locus_pool	SET	858	0.068224	0.014433	0.046857	0.072708	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_genesig	SET	777	-0.011467	-0.002314	0.044163	0.60243	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_genesig_new	SET	214	0.011656	0.0012541	0.062306	0.4258	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_locus_pool	SET	1103	0.04139	0.0098582	0.041634	0.16009	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.024275	-0.0030951	0.062406	0.65135	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_locus_pool	SET	455	0.1699	0.026476	0.051636	0.0005016	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_pool_not_prio	SET	354	0.1973	0.027197	0.057953	0.00033224	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_finemap	SET	61	0.1392	0.0080301	0.1132	0.10941	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_rare	SET	7	0.72505	0.014189	0.38369	0.029411	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_smr	SET	44	-0.011771	-0.00057695	0.13513	0.5347	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prioritised	SET	101	0.040335	0.0029907	0.090063	0.32713	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prioritised_pc	SET	101	0.040335	0.0029907	0.090063	0.32713	global_slope_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.10384	0.021969	0.052469	0.023911	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_genesig	SET	704	-0.084436	-0.016252	0.055976	0.93427	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.089065	0.018842	0.051638	0.042293	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_genesig	SET	777	-0.04674	-0.0094318	0.048666	0.83157	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.068568	0.014506	0.047465	0.074298	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_genesig_new	SET	214	-0.0028691	-0.0003087	0.06311	0.51813	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.068713	0.014537	0.064595	0.14373	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_locus_pool	SET	1103	-0.00063185	-0.00015049	0.057393	0.50439	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.067018	0.014178	0.047164	0.077678	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.014132	-0.0018018	0.062811	0.58901	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	-0.016481	-0.0034867	0.054866	0.61806	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17936	0.02795	0.06048	0.0015131	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.007413	0.0015683	0.050832	0.44203	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_pool_not_prio	SET	354	0.19374	0.026706	0.06289	0.0010347	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.05545	0.011731	0.049468	0.13117	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_finemap	SET	61	0.096264	0.0055531	0.1195	0.21026	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.058327	0.01234	0.047204	0.1083	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_rare	SET	7	0.66702	0.013054	0.38655	0.042223	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.069063	0.014611	0.047027	0.070985	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_smr	SET	44	-0.02862	-0.0014028	0.13562	0.58357	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.068151	0.014418	0.049194	0.082983	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prioritised	SET	101	0.00046033	3.4131e-05	0.094548	0.49806	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.068151	0.014418	0.049194	0.082983	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prioritised_pc	SET	101	0.00046033	3.4131e-05	0.094548	0.49806	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.2066	0.032195	0.054982	8.614e-05	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	PGC3_genesig	SET	704	-0.10332	-0.019886	0.053213	0.9739	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17936	0.02795	0.06048	0.0015131	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	PGC3_locus_pool	SET	858	-0.016481	-0.0034867	0.054866	0.61806	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.19551	0.030467	0.054683	0.00017549	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_genesig	SET	777	-0.066501	-0.013419	0.046751	0.92254	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17078	0.026613	0.051927	0.00050432	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_genesig_new	SET	214	-0.010051	-0.0010815	0.062634	0.56375	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.18225	0.0284	0.057405	0.00075143	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_locus_pool	SET	1103	-0.02278	-0.0054257	0.04627	0.68876	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.17097	0.026643	0.051679	0.00047033	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.032518	-0.0041461	0.062434	0.69875	global_slope_sets_condST12pool.gsa.out
