kind	disorder_result	phenotype	variable	type	n_genes	beta	beta_std	se	p	file
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_prioritised	SET	101	1.714	0.12608	0.10704	1.4556000000000002e-57	SCZ25_META_sets.gsa.out
positive control: 2025 sets on SCZ25_META	gene sets	SCZ25_META	SCZ_prioritised_pc	SET	101	1.714	0.12608	0.10704	1.4556000000000002e-57	SCZ25_META_sets.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	baseline_thickness	baseline_thickness	COVAR	18270	0.030264	0.0304	0.010734	0.004815	SCZ25_META_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	global_slope	global_slope	COVAR	18270	0.013871	0.013726	0.010671	0.19368	SCZ25_META_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC1	slope_PC1	COVAR	18270	0.006551	0.0064008	0.010832	0.54534	SCZ25_META_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC2	slope_PC2	COVAR	18270	-0.0058789	-0.0058023	0.010676	0.58188	SCZ25_META_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_META	slope_PC3	slope_PC3	COVAR	18270	-0.014644	-0.014269	0.010831	0.1764	SCZ25_META_vs_slope_PC3.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	baseline_thickness	baseline_thickness	COVAR	18270	0.029417	0.029549	0.010638	0.0056948	SCZ25_METAnaive_vs_baseline_thickness.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	global_slope	global_slope	COVAR	18270	0.016373	0.016203	0.01059	0.12209	SCZ25_METAnaive_vs_global_slope.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC1	slope_PC1	COVAR	18270	0.006969	0.0068092	0.01074	0.51642	SCZ25_METAnaive_vs_slope_PC1.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC2	slope_PC2	COVAR	18270	-0.0029316	-0.0028934	0.010615	0.78242	SCZ25_METAnaive_vs_slope_PC2.gsa.out
reverse: disorder genes ~ phenotype gene Z	SCZ25_METAnaive	slope_PC3	slope_PC3	COVAR	18270	-0.0012174	-0.0011862	0.010778	0.91007	SCZ25_METAnaive_vs_slope_PC3.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	baseline_thickness	PGC3_EUR	COVAR	18261	0.01531	0.024639	0.0060614	0.011551	baseline_thickness_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	baseline_thickness	PGC3_primary	COVAR	18261	0.019604	0.031747	0.0059843	0.0010559	baseline_thickness_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	baseline_thickness	SCZ25_EUR	COVAR	18270	0.014841	0.023776	0.0060294	0.013849	baseline_thickness_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	baseline_thickness	SCZ25_META	COVAR	18270	0.018207	0.028779	0.0060513	0.0026282	baseline_thickness_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	baseline_thickness	SCZ25_METAnaive	COVAR	18270	0.017119	0.026742	0.006173	0.0055584	baseline_thickness_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	baseline_thickness	PGC3_genesig	SET	704	0.0065392	0.0012587	0.050007	0.44798	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10517	0.02225	0.046865	0.01242	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.10281	0.020746	0.044167	0.0099691	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.12807	0.013779	0.062314	0.019941	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	0.06215	0.014803	0.041644	0.067809	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	-0.0027385	-0.00034917	0.062424	0.5175	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17248	0.026878	0.05165	0.00042095	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.17856	0.024613	0.057973	0.0010369	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	0.074317	0.004287	0.11323	0.25582	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.24672	0.0048285	0.38384	0.26019	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.11214	0.0054967	0.13517	0.20338	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prioritised	SET	101	0.093411	0.0069261	0.090085	0.1499	baseline_thickness_sets.gsa.out
gene-set marginal	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	0.093411	0.0069261	0.090085	0.1499	baseline_thickness_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.12842	0.027169	0.05248	0.0072073	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_genesig	SET	704	-0.055119	-0.010609	0.055989	0.83755	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.072052	0.015243	0.051644	0.081495	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.074275	0.014988	0.048672	0.06351	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.092165	0.019498	0.047468	0.026102	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.10854	0.011678	0.063114	0.042749	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10836	0.022925	0.064606	0.046754	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	-0.0041217	-0.00098168	0.057403	0.52862	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10631	0.022491	0.047173	0.012117	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	0.013351	0.0017023	0.062822	0.41585	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.032533	0.0068825	0.054879	0.27666	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.15381	0.023968	0.060495	0.0055087	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.05785	0.012239	0.050848	0.12763	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.15076	0.020782	0.062909	0.0082816	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10623	0.022473	0.049478	0.015908	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	-0.0079428	-0.00045819	0.11953	0.52649	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10303	0.021797	0.047217	0.014559	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.14421	0.0028223	0.38665	0.35459	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.10262	0.021709	0.047035	0.014574	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.087107	0.0042696	0.13564	0.26037	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.099606	0.021073	0.049202	0.021472	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prioritised	SET	101	0.035132	0.0026049	0.094564	0.35513	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.099606	0.021073	0.049202	0.021472	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	0.035132	0.0026049	0.094564	0.35513	baseline_thickness_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.19296	0.030069	0.055002	0.00022626	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	PGC3_genesig	SET	704	-0.05766	-0.011098	0.053232	0.86063	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.15381	0.023968	0.060495	0.0055087	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	PGC3_locus_pool	SET	858	0.032533	0.0068825	0.054879	0.27666	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.14904	0.023226	0.054698	0.0032212	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_genesig	SET	777	0.060858	0.012281	0.046764	0.096577	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.1631	0.025416	0.051936	0.00084524	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_genesig_new	SET	214	0.10733	0.011548	0.062644	0.04333	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17153	0.02673	0.05742	0.0014101	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_locus_pool	SET	1103	0.001753	0.00041753	0.046282	0.48489	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17284	0.026935	0.051693	0.00041448	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ25_locus_pool_new	SET	302	-0.011072	-0.0014116	0.062451	0.57036	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.1286	0.02004	0.090713	0.078157	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_pool_not_prio	SET	354	0.059907	0.0082577	0.10181	0.27813	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.19708	0.030711	0.057826	0.00032798	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_finemap	SET	61	-0.11989	-0.0069162	0.12673	0.82794	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17112	0.026666	0.052133	0.00051595	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_rare	SET	7	0.074333	0.0014547	0.38729	0.4239	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.17157	0.026737	0.053031	0.00060889	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prio_smr	SET	44	0.010437	0.00051159	0.13873	0.47001	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.18851	0.029375	0.058394	0.00062434	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prioritised	SET	101	-0.059907	-0.0044418	0.10181	0.72187	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_locus_pool	SET	455	0.18851	0.029375	0.058394	0.00062434	baseline_thickness_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	baseline_thickness	SCZ_prioritised_pc	SET	101	-0.059907	-0.0044418	0.10181	0.72187	baseline_thickness_sets_condST12pool.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_EUR	global_slope	PGC3_EUR	COVAR	18261	0.0053275	0.0085736	0.0061126	0.38346	global_slope_on_PGC3_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	PGC3_primary	global_slope	PGC3_primary	COVAR	18261	0.0063908	0.01035	0.0060357	0.28969	global_slope_on_PGC3_primary.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_EUR	global_slope	SCZ25_EUR	COVAR	18270	0.0076559	0.012265	0.0060784	0.20787	global_slope_on_SCZ25_EUR.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_META	global_slope	SCZ25_META	COVAR	18270	0.0074929	0.011844	0.0061012	0.21943	global_slope_on_SCZ25_META.gsa.out
forward: phenotype genes ~ disorder gene Z	SCZ25_METAnaive	global_slope	SCZ25_METAnaive	COVAR	18270	0.0045033	0.0070348	0.0062238	0.46935	global_slope_on_SCZ25_METAnaive.gsa.out
gene-set marginal	gene sets	global_slope	PGC3_genesig	SET	704	-0.079875	-0.015374	0.050395	0.9435	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	PGC3_locus_pool	SET	858	0.052358	0.011077	0.04724	0.13386	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_genesig	SET	777	-0.047925	-0.0096708	0.04452	0.85913	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_genesig_new	SET	214	-0.015243	-0.0016401	0.062813	0.59587	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_locus_pool	SET	1103	0.017435	0.0041525	0.041974	0.33894	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.04089	-0.0052135	0.062913	0.74213	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_locus_pool	SET	455	0.14297	0.02228	0.052062	0.0030187	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_pool_not_prio	SET	354	0.1724	0.023764	0.05843	0.0015884	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_finemap	SET	61	0.060572	0.0034942	0.11412	0.2978	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_rare	SET	7	0.87228	0.017071	0.38679	0.012069	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prio_smr	SET	44	0.078554	0.0038503	0.13623	0.2821	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prioritised	SET	101	0.018569	0.0013768	0.090796	0.41898	global_slope_sets.gsa.out
gene-set marginal	gene sets	global_slope	SCZ_prioritised_pc	SET	101	0.018569	0.0013768	0.090796	0.41898	global_slope_sets.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.10791	0.022829	0.052891	0.020675	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_genesig	SET	704	-0.13168	-0.025347	0.056427	0.99019	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.08954	0.018943	0.052056	0.042721	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_genesig	SET	777	-0.083385	-0.016827	0.049059	0.95539	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.055596	0.011762	0.047852	0.12266	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_genesig_new	SET	214	-0.027021	-0.0029072	0.063625	0.66446	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.07383	0.015619	0.065122	0.12846	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_locus_pool	SET	1103	-0.027717	-0.0066016	0.057861	0.68404	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.049509	0.010474	0.047549	0.1489	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.033397	-0.0042582	0.063323	0.70104	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	-0.020799	-0.0044001	0.055318	0.64653	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.15491	0.02414	0.060978	0.0055424	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	-0.0020654	-0.00043695	0.051251	0.51607	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_pool_not_prio	SET	354	0.17339	0.023901	0.063408	0.0031267	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.049397	0.01045	0.049873	0.16099	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_finemap	SET	61	0.02232	0.0012875	0.12048	0.42652	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.040007	0.0084638	0.047586	0.20026	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_rare	SET	7	0.83247	0.016292	0.38968	0.016336	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.050415	0.010666	0.047411	0.14382	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prio_smr	SET	44	0.066254	0.0032475	0.13672	0.31399	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.054465	0.011522	0.049595	0.13607	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prioritised	SET	101	-0.013298	-0.000986	0.095319	0.55548	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	PGC3_locus_pool	SET	858	0.054465	0.011522	0.049595	0.13607	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on PGC3pool	gene sets	global_slope	SCZ_prioritised_pc	SET	101	-0.013298	-0.000986	0.095319	0.55548	global_slope_sets_condPGC3pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.19431	0.030279	0.055429	0.00022858	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	PGC3_genesig	SET	704	-0.14452	-0.027818	0.053645	0.99647	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.15491	0.02414	0.060978	0.0055424	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	PGC3_locus_pool	SET	858	-0.020799	-0.0044001	0.055318	0.64653	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.18105	0.028214	0.05513	0.00051271	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_genesig	SET	777	-0.098889	-0.019955	0.047133	0.98204	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.14592	0.02274	0.052355	0.0026619	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_genesig_new	SET	214	-0.033791	-0.0036357	0.063149	0.70371	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.16501	0.025714	0.057877	0.0021817	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_locus_pool	SET	1103	-0.040668	-0.0096861	0.04665	0.80832	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.14455	0.022526	0.052104	0.0027699	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ25_locus_pool_new	SET	302	-0.047859	-0.0061021	0.062948	0.77645	global_slope_sets_condST12pool.gsa.out
gene-set conditional on ST12pool	gene sets	global_slope	SCZ_locus_pool	SET	455	0.051494	0.0080245	0.091433	0.28666	global_slope_sets_condST12pool.gsa.out
