trait	model	set	submodel	n_genes	beta	beta_std	se	p
slope_PC1	marginal	MDD_pool	-	1881	0.035152	0.010683	0.026203	0.08989
slope_PC1	marginal	MDD_pool_not_hc	-	1668	0.039368	0.011339	0.027455	0.075813
slope_PC2	marginal	MDD_hc_expression	-	56	0.20141	0.011134	0.11899	0.045274
slope_PC2	marginal	MDD_hc_finemap	-	160	-0.021639	-0.0020161	0.074677	0.614
slope_PC2	marginal	MDD_hc_protein	-	10	0.011319	0.00026473	0.26636	0.48305
slope_PC2	marginal	MDD_highconf	-	213	0.02171	0.0023304	0.064056	0.36734
slope_PC2	marginal	MDD_pool	-	1881	0.026356	0.0080095	0.026537	0.16032
slope_PC2	marginal	MDD_pool_not_hc	-	1668	0.024844	0.0071558	0.027805	0.1858
slope_PC3	marginal	MDD_hc_expression	-	56	-0.155	-0.0085681	0.11773	0.906
slope_PC3	marginal	MDD_hc_finemap	-	160	-0.06702	-0.0062444	0.07388	0.81783
slope_PC3	marginal	MDD_hc_protein	-	10	-0.16677	-0.0039006	0.26352	0.73658
slope_PC3	marginal	MDD_highconf	-	213	-0.081129	-0.0087086	0.06337	0.89976
slope_PC3	marginal	MDD_pool	-	1881	0.038646	0.011745	0.026253	0.070513
slope_PC3	marginal	MDD_pool_not_hc	-	1668	0.057715	0.016624	0.027505	0.017947
baseline_thickness	cond_on_pool	MDD_pool	1	1881	0.0079683	0.0024216	0.026681	0.38261
baseline_thickness	cond_on_pool	MDD_hc_expression	1	56	0.048132	0.0026607	0.11965	0.34374
baseline_thickness	cond_on_pool	MDD_pool	2	1881	-0.0024701	-0.00075065	0.027637	0.53561
baseline_thickness	cond_on_pool	MDD_hc_finemap	2	160	0.11513	0.010727	0.077771	0.069391
baseline_thickness	cond_on_pool	MDD_pool	3	1881	0.01023	0.0031088	0.026533	0.34992
baseline_thickness	cond_on_pool	MDD_hc_protein	3	10	-0.12274	-0.0028708	0.26631	0.67756
baseline_thickness	cond_on_pool	MDD_pool	4	1881	0.00065813	0.00020001	0.027878	0.49058
baseline_thickness	cond_on_pool	MDD_highconf	4	213	0.066579	0.0071468	0.067292	0.16124
baseline_thickness	cond_on_pool	MDD_pool	5	1881	0.067237	0.020433	0.064223	0.14758
baseline_thickness	cond_on_pool	MDD_pool_not_hc	5	1668	-0.066579	-0.019177	0.067292	0.83876
global_slope	cond_on_pool	MDD_pool	1	1881	0.0083921	0.0025504	0.026891	0.37749
global_slope	cond_on_pool	MDD_hc_expression	1	56	0.0065329	0.00036113	0.12059	0.4784
global_slope	cond_on_pool	MDD_pool	2	1881	0.010064	0.0030583	0.027856	0.35895
global_slope	cond_on_pool	MDD_hc_finemap	2	160	-0.014482	-0.0013493	0.078387	0.57329
global_slope	cond_on_pool	MDD_pool	3	1881	0.0067929	0.0020644	0.026741	0.39974
global_slope	cond_on_pool	MDD_hc_protein	3	10	0.24598	0.0057533	0.2684	0.17971
global_slope	cond_on_pool	MDD_pool	4	1881	0.012791	0.0038871	0.028098	0.32448
global_slope	cond_on_pool	MDD_highconf	4	213	-0.032308	-0.003468	0.067822	0.68309
global_slope	cond_on_pool	MDD_pool	5	1881	-0.019517	-0.0059313	0.064729	0.61849
global_slope	cond_on_pool	MDD_pool_not_hc	5	1668	0.032308	0.0093056	0.067822	0.31691
MDD	cond_on_pool	MDD_pool	1	1880	1.202	0.35859	0.033891	1.5356e-264
MDD	cond_on_pool	MDD_hc_expression	1	56	1.0487	0.056793	0.15054	1.6959e-12
MDD	cond_on_pool	MDD_pool	2	1880	1.0861	0.32401	0.034648	5.0353e-209
MDD	cond_on_pool	MDD_hc_finemap	2	160	1.4989	0.13683	0.095368	1.6666e-55
MDD	cond_on_pool	MDD_pool	3	1880	1.2355	0.36857	0.033735	3.7069e-281
MDD	cond_on_pool	MDD_hc_protein	3	10	0.11683	0.0026767	0.3302	0.36175
MDD	cond_on_pool	MDD_pool	4	1880	1.0584	0.31573	0.035175	2.9559e-193
MDD	cond_on_pool	MDD_highconf	4	213	1.3087	0.13765	0.083233	1.4981e-55
MDD	cond_on_pool	MDD_pool	5	1880	2.3671	0.70615	0.079233	1.2421e-190
MDD	cond_on_pool	MDD_pool_not_hc	5	1667	-1.3087	-0.36991	0.083233	1
SCZ	cond_on_pool	MDD_pool	1	1884	0.56383	0.17074	0.035838	1.3014e-55
SCZ	cond_on_pool	MDD_hc_expression	1	56	0.74381	0.040921	0.1609	1.9102e-06
SCZ	cond_on_pool	MDD_pool	2	1884	0.55214	0.1672	0.037225	1.0439e-49
SCZ	cond_on_pool	MDD_hc_finemap	2	160	0.30786	0.028548	0.10479	0.0016552
SCZ	cond_on_pool	MDD_pool	3	1884	0.58447	0.17699	0.03573	6.5774e-60
SCZ	cond_on_pool	MDD_hc_protein	3	10	-0.017429	-0.00040571	0.33669	0.52064
SCZ	cond_on_pool	MDD_pool	4	1884	0.53171	0.16102	0.037564	1.7465e-45
SCZ	cond_on_pool	MDD_highconf	4	213	0.39203	0.041883	0.090093	6.8094e-06
SCZ	cond_on_pool	MDD_pool	5	1884	0.92374	0.27974	0.085733	2.8695e-27
SCZ	cond_on_pool	MDD_pool_not_hc	5	1671	-0.39203	-0.11252	0.090093	0.99999
slope_PC1	cond_on_pool	MDD_pool	1	1881	0.038212	0.011613	0.02642	0.074052
slope_PC1	cond_on_pool	MDD_hc_expression	1	56	-0.10747	-0.0059407	0.11847	0.81781
slope_PC1	cond_on_pool	MDD_pool	2	1881	0.040491	0.012305	0.027368	0.069516
slope_PC1	cond_on_pool	MDD_hc_finemap	2	160	-0.052062	-0.0048507	0.077015	0.75047
slope_PC1	cond_on_pool	MDD_pool	3	1881	0.034609	0.010518	0.026274	0.093889
slope_PC1	cond_on_pool	MDD_hc_protein	3	10	0.074742	0.0017482	0.26371	0.38843
slope_PC1	cond_on_pool	MDD_pool	4	1881	0.039612	0.012038	0.027607	0.075672
slope_PC1	cond_on_pool	MDD_highconf	4	213	-0.034212	-0.0036724	0.066636	0.69616
slope_PC1	cond_on_pool	MDD_pool	5	1881	0.0054003	0.0016412	0.063597	0.46617
slope_PC1	cond_on_pool	MDD_pool_not_hc	5	1668	0.034212	0.0098541	0.066636	0.30384
slope_PC2	cond_on_pool	MDD_pool	1	1881	0.020962	0.0063704	0.026754	0.21667
slope_PC2	cond_on_pool	MDD_hc_expression	1	56	0.18941	0.01047	0.11998	0.057214
slope_PC2	cond_on_pool	MDD_pool	2	1881	0.031172	0.0094731	0.027717	0.13038
slope_PC2	cond_on_pool	MDD_hc_finemap	2	160	-0.046956	-0.004375	0.077996	0.72642
slope_PC2	cond_on_pool	MDD_pool	3	1881	0.026414	0.0080271	0.026608	0.16044
slope_PC2	cond_on_pool	MDD_hc_protein	3	10	-0.007994	-0.00018697	0.26707	0.51194
slope_PC2	cond_on_pool	MDD_pool	4	1881	0.026111	0.0079352	0.027958	0.17518
slope_PC2	cond_on_pool	MDD_highconf	4	213	0.0018748	0.00020125	0.067485	0.48892
slope_PC2	cond_on_pool	MDD_pool	5	1881	0.027986	0.008505	0.064408	0.33196
slope_PC2	cond_on_pool	MDD_pool_not_hc	5	1668	-0.0018748	-0.00054001	0.067485	0.51108
slope_PC3	cond_on_pool	MDD_pool	1	1881	0.043774	0.013303	0.026469	0.049095
slope_PC3	cond_on_pool	MDD_hc_expression	1	56	-0.18006	-0.0099537	0.11869	0.93536
slope_PC3	cond_on_pool	MDD_pool	2	1881	0.049657	0.015091	0.027419	0.035078
slope_PC3	cond_on_pool	MDD_hc_finemap	2	160	-0.10735	-0.010002	0.077158	0.91793
slope_PC3	cond_on_pool	MDD_pool	3	1881	0.040069	0.012177	0.026323	0.063992
slope_PC3	cond_on_pool	MDD_hc_protein	3	10	-0.19607	-0.0045858	0.26421	0.77098
slope_PC3	cond_on_pool	MDD_pool	4	1881	0.054635	0.016604	0.027656	0.024114
slope_PC3	cond_on_pool	MDD_highconf	4	213	-0.12263	-0.013164	0.066756	0.96689
slope_PC3	cond_on_pool	MDD_pool	5	1881	-0.067997	-0.020665	0.063711	0.85707
slope_PC3	cond_on_pool	MDD_pool_not_hc	5	1668	0.12263	0.035322	0.066756	0.033112
