readout	phenotype	arm	method	estimate	se	p	n	legacy_estimate	legacy_se	legacy_p	legacy_n	legacy_note
MAGMA gene-set MDD_pool (marginal beta)	global_slope	EUR	MAGMA	0.0085782	0.02667	0.37386	1881	0.029263	0.026256	0.13254	1881	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	slope_PC1	EUR	MAGMA	0.035152	0.026203	0.08989	1881	0.025815	0.025882	0.15929	1881	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	slope_PC2	EUR	MAGMA	0.026356	0.026537	0.16032	1881	0.034235	0.026453	0.097817	1881	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set MDD_pool (marginal beta)	slope_PC3	EUR	MAGMA	0.038646	0.026253	0.070513	1881	0.043428	0.026123	0.048225	1881	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	MDD	EUR	MAGMA	0.73138	0.069703	5.7691e-26	460	0.73138	0.069703	5.7691e-26	460	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	SCZ	EUR	MAGMA	2.4149	0.06709	4.2675e-272	457	2.4149	0.06709	4.2675e-272	457	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	baseline_thickness	EUR	MAGMA	0.17248	0.05165	0.00042095	455	0.18743	0.050821	0.00011342	455	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	global_slope	EUR	MAGMA	0.14297	0.052062	0.0030187	455	0.12437	0.051021	0.0073985	455	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC1	EUR	MAGMA	-0.021823	0.051168	0.66512	455	0.0074937	0.050305	0.44079	455	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC2	EUR	MAGMA	0.039494	0.051817	0.22298	455	0.065551	0.051413	0.10117	455	6.0-vintage DK (n 8,082 / EUR 4,116)
MAGMA gene-set SCZ_locus_pool (marginal beta)	slope_PC3	EUR	MAGMA	-0.054892	0.051264	0.85785	455	-0.01368	0.050776	0.6062	455	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.024253	0.015357	0.9147	4308	0.021246	0.015688	1	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.0086538	0.015349	0.57292	4308	0.0073742	0.015729	0.63922	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.0022772	0.015381	0.88231	4308	-0.0022825	0.015744	0.88473	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.0025621	0.015405	0.86791	4308	-0.003087	0.015768	0.84479	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.040142	0.014453	0.044028	4308	-0.048727	0.014965	0.0091138	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.036333	0.014407	0.011712	4308	-0.032969	0.014964	0.027634	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.024714	0.014424	0.086727	4308	-0.024782	0.014953	0.097538	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.026352	0.014424	0.067788	4308	-0.025334	0.014953	0.090301	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.031347	0.016812	0.49854	4308	0.026811	0.0171	0.93581	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	PRSCS	0.010892	0.016065	0.49782	4308	0.01311	0.016398	0.42404	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesR	-0.0055287	0.015411	0.7198	4308	-0.0017445	0.015766	0.9119	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	SBayesRC	-0.0085451	0.015431	0.57976	4308	-0.0080664	0.015793	0.60954	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	CT	-0.039579	0.016221	0.11786	4308	-0.039955	0.016642	0.13126	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	PRSCS	-0.035786	0.015091	0.017767	4308	-0.032125	0.015601	0.039549	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesR	-0.023171	0.014454	0.10899	4308	-0.024173	0.014973	0.10651	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP -> EUR (beta SD/SD, p_adj)	global_slope	EUR	SBayesRC	-0.022146	0.014457	0.12562	4308	-0.022813	0.014977	0.12778	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
PRS ALZ_IGAP_noAPOE -> EUR (beta SD/SD, p_adj)	baseline_thickness	EUR	CT	0.034863	0.016955	0.31858	4308	-0.030433	0.015684	0.41914	4116	6.0-vintage DK (n 8,082 / EUR 4,116)
