method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	4308	3601	15068	-0.0289515628255402	0.0151217735200584	0.0556203320018265	0.444962656014612
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	1	4308	3601	274972	-0.0269480503495641	0.0157039813565458	0.0862342545338787	0.689874036271029
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	0p01	4308	3601	15068	0.0234149851789323	0.015506623063101	0.131121810672423	1.0
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	1e-5	4308	3601	280	-0.0215019078143954	0.0144051163766689	0.135603923248761	1.0
CT	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p001	4308	3601	3313	-0.0183545929165693	0.0155115778100212	0.236766609719404	1.0
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	0p01	8596	7198	15068	-0.0216016833696035	0.0107668077288565	0.0448554021663357	0.358843217330685
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	1e-5	8596	7198	280	-0.0178814651589268	0.0107887223012193	0.097472469670283	0.779779757362264
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	0p01	8596	7198	15068	0.0176113351282705	0.0108009947075859	0.103026637121948	0.824213096975587
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	0p01	8596	7198	15068	-0.0144144450634698	0.0110436956010387	0.191855142317841	1.0
CT	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	0p001	8596	7198	3313	-0.0106435389211089	0.0103009998211107	0.301516065705718	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	baseline_thickness	0p5	8596	7198	266137	0.0215643008842566	0.016360215630423	0.187507660134708	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC1	0p001	8596	7198	7372	-0.0145919827166991	0.0111936414595019	0.19240899022349	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC3	0p001	8596	7198	7372	0.01252763459262	0.0113667671639459	0.270438919517489	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	global_slope	1e-5	8596	7198	1182	0.0106225342008547	0.0105841980198788	0.315590582804678	1.0
CT	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC2	0p001	8596	7198	7372	0.010930885779437	0.0114811007047356	0.341086597968839	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	baseline_thickness	5e-8	4308	3601	311	0.0282696670373378	0.0153361786081758	0.065349533696956	0.522796269575648
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC3	5e-8	4308	3601	311	0.0210511115606105	0.0154084703953879	0.171950526093825	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC1	0p01	4308	3601	25530	-0.0214177419693034	0.0160286025272579	0.181554949515823	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC2	0p05	4308	3601	67615	0.0136646690107782	0.016948907851167	0.420159521306338	1.0
CT	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	global_slope	5e-8	4308	3601	311	-0.0066436450530068	0.0144321689781074	0.645299763374838	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	global_slope	1e-5	8596	7198	1182	0.0132981847181819	0.0103043633030646	0.196899889028677	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC3	1	8596	7198	352880	-0.0133627713462524	0.0115192646718247	0.246068437405993	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC1	0p001	8596	7198	7372	-0.0125050693327711	0.0108129684034615	0.247515968007344	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC2	0p001	8596	7198	7372	0.0125063172530329	0.0110898252118653	0.259467678841654	1.0
CT	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	baseline_thickness	5e-8	8596	7198	311	-0.0095493942852506	0.0106611709657481	0.370429030858727	1.0
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	8596	7198	1071688	0.0239461375459658	0.0143231613816849	0.094593328600149	0.094593328600149
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	8596	7198	1071688	0.0155094850605007	0.0146901863115639	0.29110377939288	0.29110377939288
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	8596	7198	1071688	-0.0125692215124901	0.014346340305075	0.380985371302794	0.380985371302794
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	8596	7198	1071688	-0.0092105308053904	0.0138434150769226	0.505854043636717	0.505854043636717
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	8596	7198	1071688	-0.0073515767544546	0.0145447017940954	0.61325862841272	0.61325862841272
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	4308	3601	1071688	0.0304804288362822	0.0153250674712959	0.0467781868482757	0.0467781868482757
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	4308	3601	1071688	0.0257156583943809	0.0157958695334061	0.103603008258851	0.103603008258851
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	4308	3601	1071688	-0.0235323293828512	0.0157194761489536	0.134466752822488	0.134466752822488
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	4308	3601	1071688	-0.0154872098603156	0.014718674872255	0.292763864615333	0.292763864615333
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	4308	3601	1071688	-0.0036547560634614	0.0156516878551202	0.815379994530849	0.815379994530849
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	8596	7198	1071688	0.0127803147406575	0.0108479228451639	0.238777830295887	0.238777830295887
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	8596	7198	1071688	0.0114587790885409	0.0111250524983843	0.303041723203956	0.303041723203956
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	8596	7198	1071688	-0.0065036357304528	0.0104843445235844	0.535065334441764	0.535065334441764
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	8596	7198	1071688	0.0039168267588667	0.0110155113654673	0.722169093055315	0.722169093055315
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	8596	7198	1071688	-0.0031099490074553	0.010879337569552	0.774993580303767	0.774993580303767
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	8596	7198	1041386	0.0137133868251041	0.0115408013204638	0.234769070331828	0.234769070331828
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	8596	7198	1041386	0.0090476560710806	0.0118359077685611	0.444636596146372	0.444636596146372
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	8596	7198	1041386	-0.0085408190174649	0.0115642483025161	0.460198268692445	0.460198268692445
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	8596	7198	1041386	-0.008202917495435	0.0111535892870345	0.462086124609052	0.462086124609052
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	8596	7198	1041386	-0.0010849077339102	0.0117189044294749	0.926241456559213	0.926241456559213
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	4308	3601	1041386	0.0230944878421434	0.0152213429490396	0.129285276986651	0.129285276986651
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	4308	3601	1041386	0.0185134885332408	0.0156880874460441	0.238030534138333	0.238030534138333
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	4308	3601	1041386	-0.0131889291357243	0.0156133744729591	0.398317210515983	0.398317210515983
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	4308	3601	1041386	-0.0115581676756064	0.0146172750617946	0.429154025897068	0.429154025897068
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	4308	3601	1041386	0.0008895738898908	0.0155427070905859	0.954361326189584	0.954361326189584
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	8596	7198	1041386	0.0108024454016142	0.0107562458006159	0.315266608743193	0.315266608743193
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	8596	7198	1041386	0.008396747802418	0.0110308853649275	0.446557632593342	0.446557632593342
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	8596	7198	1041386	-0.0072903230447853	0.0103948031610004	0.4831089978336	0.4831089978336
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	8596	7198	1041386	-0.0052716122109093	0.0107792359646796	0.62481707484761	0.62481707484761
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	8596	7198	1041386	0.0034667801736676	0.0109215410999095	0.750928642516718	0.750928642516718
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	8596	7198	1052950	-0.0092966667465686	0.0157194519924705	0.554261205949828	0.554261205949828
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	8596	7198	1052950	-0.0069231719353545	0.0149618581448562	0.643576461541323	0.643576461541323
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	8596	7198	1052950	-0.0042196641839967	0.0158774533276332	0.790427292824025	0.790427292824025
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	8596	7198	1052950	-0.0023254019054992	0.0155156365881264	0.880866979494497	0.880866979494497
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	8596	7198	1052950	-0.0022132314876193	0.0154819672528076	0.886328960857117	0.886328960857117
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	4308	3601	1052950	-0.0134238162879911	0.0154895704876082	0.38619002786265	0.38619002786265
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	4308	3601	1052950	-0.0060209579392102	0.01519833040012	0.692008856112848	0.692008856112848
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	4308	3601	1052950	-0.0057834497862743	0.015578670568578	0.710476958834883	0.710476958834883
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	4308	3601	1052950	-0.0026908888413377	0.0156603844415182	0.863581491532215	0.863581491532215
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	4308	3601	1052950	-0.0011573281729595	0.0145885602771675	0.936773088490851	0.936773088490851
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	8596	7198	1052950	-0.0056633372263427	0.0108152925946477	0.600542411370415	0.600542411370415
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	8596	7198	1052950	0.00541278135023	0.0108659448478743	0.618396964867887	0.618396964867887
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	8596	7198	1052950	-0.0049676122064683	0.0104541813417285	0.634671934609134	0.634671934609134
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	8596	7198	1052950	0.0019430439303946	0.0109832485739582	0.859583743608683	0.859583743608683
PRSCS	ADHD	ADHD	EUR	full	no	zanc	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	8596	7198	1052950	-0.0019605478411557	0.0110922363970015	0.859709550666734	0.859709550666734
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	global_slope	prscs	8596	7198	1084421	0.0119103545080164	0.0122108673639528	0.329396050802014	0.329396050802014
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC2	prscs	8596	7198	1084421	0.0118492735412008	0.0129581223076665	0.360518996042948	0.360518996042948
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC3	prscs	8596	7198	1084421	0.0093444358226503	0.0128296639689316	0.46642290095146	0.46642290095146
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	8596	7198	1084421	-0.0077925034333398	0.0126802366461919	0.538875426686627	0.538875426686627
PRSCS	INT	INT	EUR	full	no	raw	Savage & Jansen 2018 intelligence	slope_PC1	prscs	8596	7198	1084421	-0.0072209293303691	0.0126355180563117	0.567691212857599	0.567691212857599
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	global_slope	prscs	4308	3601	1084421	0.0142798020399834	0.015442409676007	0.355170051599172	0.355170051599172
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC1	prscs	4308	3601	1084421	-0.0125084798304023	0.0160883070738524	0.436916569726157	0.436916569726157
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	4308	3601	1084421	-0.0126896491661424	0.0164347710287872	0.440084739055776	0.440084739055776
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC3	prscs	4308	3601	1084421	0.0055313598452013	0.0164937000441524	0.737369409557644	0.737369409557644
PRSCS	INT	INT	EUR	EUR	yes	raw	Savage & Jansen 2018 intelligence	slope_PC2	prscs	4308	3601	1084421	0.0009943459346337	0.0165783360821267	0.952175602237165	0.952175602237165
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC2	prscs	8596	7198	1084421	0.0123721556671499	0.0113825213504991	0.277094128866591	0.277094128866591
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	baseline_thickness	prscs	8596	7198	1084421	-0.0107011467450424	0.0111455830586948	0.337019867559761	0.337019867559761
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	global_slope	prscs	8596	7198	1084421	0.0096646168359127	0.0107266163460271	0.367618273668015	0.367618273668015
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC1	prscs	8596	7198	1084421	-0.002464701868232	0.0110996522759946	0.824278926159814	0.824278926159814
PRSCS	INT	INT	EUR	full	no	zanc	Savage & Jansen 2018 intelligence	slope_PC3	prscs	8596	7198	1084421	0.0020184437191132	0.0112704032324515	0.857869643428737	0.857869643428737
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	sbr	8596	7198	1051299	0.0168286372623342	0.0129125322529002	0.192516603262641	0.192516603262641
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	sbr	8596	7198	1051299	0.0087225803496897	0.0132433092265673	0.510145208596763	0.510145208596763
SBayesR	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	sbr	8596	7198	1051299	-0.0079805271709912	0.0124787372417669	0.522496128388924	0.522496128388924
