method	trait_arm	disorder	threshold	phenotype	analysis	stratum	n	n_families	beta	se	p	chisq	df	n_thresholds	p_adj
CT	BIP_eur	BIPeur	5e-8	global_slope	within_stratum	cluster1	1623	1397	0.0171721290193451	0.0239804729868482	0.474044828350466			8	1.0
CT	BIP_eur	BIPeur	0p001	global_slope	within_stratum	cluster2	928	824	0.0067804320561458	0.0313667961655781	0.828909078382679			8	1.0
CT	BIP_eur	BIPeur	0p01	global_slope	within_stratum	cluster2	928	824	0.0223656887162875	0.0318007207983916	0.482050816567747			8	1.0
CT	BIP_eur	BIPeur	0p05	global_slope	within_stratum	cluster2	928	824	0.0038284246319973	0.031957657260033	0.904671604842797			8	1.0
CT	BIP_eur	BIPeur	0p1	global_slope	within_stratum	cluster2	928	824	-0.0020583024023494	0.0320393115130981	0.948791457892486			8	1.0
CT	BIP_eur	BIPeur	0p5	global_slope	within_stratum	cluster2	928	824	-0.0129260183802407	0.0326523482415026	0.692300010000303			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	within_stratum	cluster2	928	824	-0.0146441998650338	0.0325966620232268	0.653360903237847			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	within_stratum	cluster2	928	824	0.0492645386272792	0.0314215362847845	0.117267118170921			8	0.938136945367365
CT	BIP_eur	BIPeur	5e-8	global_slope	within_stratum	cluster2	928	824	0.0956516923712003	0.0322136086946187	0.0030661629102021			8	0.0245293032816174
CT	BIP_eur	BIPeur	0p001	global_slope	within_stratum	cluster3	380	329	-0.0385315589608635	0.051129632307954	0.451584811440292			8	1.0
CT	BIP_eur	BIPeur	0p01	global_slope	within_stratum	cluster3	380	329	-0.0056306148305707	0.0536027159727132	0.916399247178464			8	1.0
CT	BIP_eur	BIPeur	0p05	global_slope	within_stratum	cluster3	380	329	0.026020060657038	0.0557210334375752	0.640801054885876			8	1.0
CT	BIP_eur	BIPeur	0p1	global_slope	within_stratum	cluster3	380	329	0.0606299840225963	0.0588019469221985	0.303194162413004			8	1.0
CT	BIP_eur	BIPeur	0p5	global_slope	within_stratum	cluster3	380	329	0.0785365336455074	0.0627128248251369	0.211270921942862			8	1.0
CT	BIP_eur	BIPeur	1	global_slope	within_stratum	cluster3	380	329	0.0779442798604013	0.0629583578451685	0.216519186339285			8	1.0
CT	BIP_eur	BIPeur	1e-5	global_slope	within_stratum	cluster3	380	329	-0.123324901005146	0.0501798365252583	0.0144501684409439			8	0.115601347527551
CT	BIP_eur	BIPeur	5e-8	global_slope	within_stratum	cluster3	380	329	-0.0823353909013804	0.0506538337634962	0.104941109693279			8	0.839528877546232
CT	BIP_eur	BIPeur	0p001	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.758583751279838	1.17675874021006	3.0	8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.384395944721286	3.04725941055949	3.0	8	1.0
CT	BIP_eur	BIPeur	0p05	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.473842186837044	2.50802691328499	3.0	8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.317607344170799	3.52443064349791	3.0	8	1.0
CT	BIP_eur	BIPeur	0p5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.677248573347868	1.52179802254614	3.0	8	1.0
CT	BIP_eur	BIPeur	1	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.69038948953565	1.46492269897863	3.0	8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.676637731415624	1.52445503464696	3.0	8	1.0
CT	BIP_eur	BIPeur	5e-8	slope_PC1	heterogeneity_PRSxStratum	all	8596	7198			0.0928394995315978	6.42078371758544	3.0	8	0.742715996252783
CT	BIP_eur	BIPeur	0p001	slope_PC1	pooled_stratumFE	all	8596	7198	0.0150463372008252	0.0106824558943321	0.159018428033907			8	1.0
CT	BIP_eur	BIPeur	0p01	slope_PC1	pooled_stratumFE	all	8596	7198	0.0154813432974184	0.0107810821586054	0.151048436268661			8	1.0
CT	BIP_eur	BIPeur	0p05	slope_PC1	pooled_stratumFE	all	8596	7198	0.0147800569694696	0.011076294322639	0.182114885087257			8	1.0
CT	BIP_eur	BIPeur	0p1	slope_PC1	pooled_stratumFE	all	8596	7198	0.0132117284943076	0.0111472629752731	0.235973540325385			8	1.0
CT	BIP_eur	BIPeur	0p5	slope_PC1	pooled_stratumFE	all	8596	7198	0.0029801721360946	0.0112553339086055	0.791186755339355			8	1.0
CT	BIP_eur	BIPeur	1	slope_PC1	pooled_stratumFE	all	8596	7198	0.0042619562456538	0.0112627464949737	0.705134666906075			8	1.0
CT	BIP_eur	BIPeur	1e-5	slope_PC1	pooled_stratumFE	all	8596	7198	0.0219941768221627	0.0106805800803547	0.0395004966447482			8	0.316003973157986
CT	BIP_eur	BIPeur	5e-8	slope_PC1	pooled_stratumFE	all	8596	7198	0.0060623413191784	0.0106991883701606	0.570990058984948			8	1.0
CT	BIP_eur	BIPeur	0p001	slope_PC1	within_stratum	EURanchor	4308	3601	0.0308052812269563	0.015080868710412	0.0411507586163159			8	0.329206068930527
CT	BIP_eur	BIPeur	0p01	slope_PC1	within_stratum	EURanchor	4308	3601	0.0402306404663655	0.0152293822385511	0.0082826735795929			8	0.0662613886367432
CT	BIP_eur	BIPeur	0p05	slope_PC1	within_stratum	EURanchor	4308	3601	0.0420535617383107	0.0154828712399922	0.0066339642296714			8	0.0530717138373717
CT	BIP_eur	BIPeur	0p1	slope_PC1	within_stratum	EURanchor	4308	3601	0.0433788112911982	0.0155490941979756	0.0052994289091223			8	0.0423954312729788
CT	BIP_eur	BIPeur	0p5	slope_PC1	within_stratum	EURanchor	4308	3601	0.022449307278131	0.0157026910507983	0.152897909108547			8	1.0
