label,base,baseline_ct,slope_mm_per_yr
lh_MST,MST,2.49289,-0.01629
lh_MT,MT,2.57017,-0.01688
lh_OFC,OFC,2.50186,-0.02208
lh_OP1,OP1,2.93404,-0.01962
lh_OP2-3,OP2-3,2.80774,-0.02041
lh_OP4,OP4,2.97368,-0.02158
lh_PBelt,PBelt,2.73019,-0.01367
lh_PCV,PCV,2.69162,-0.0239
lh_PEF,PEF,2.65047,-0.0062
lh_PF,PF,2.94991,-0.02017
lh_PFcm,PFcm,2.81338,-0.01994
lh_PFm,PFm,2.86405,-0.02312
lh_PFop,PFop,2.98279,-0.01948
lh_PFt,PFt,2.68071,-0.01952
lh_PGi,PGi,2.75671,-0.02423
lh_PGp,PGp,2.89886,-0.026
lh_PGs,PGs,2.935,-0.02811
lh_PH,PH,2.74505,-0.0197
lh_PHA1,PHA1,3.00346,-0.01424
lh_PHA2,PHA2,2.47768,-0.01844
lh_PHA3,PHA3,2.75341,-0.01728
lh_PHT,PHT,3.04703,-0.02085
lh_PI,PI,2.8879,-0.00938
lh_PIT,PIT,2.78266,-0.01815
lh_POS1,POS1,2.93919,-0.02466
lh_POS2,POS2,2.54923,-0.0226
lh_PSL,PSL,2.99005,-0.01871
lh_PeEc,PeEc,3.07272,-0.00589
lh_Pir,Pir,3.03698,-0.00038
lh_PoI1,PoI1,3.38782,-0.01734
lh_PoI2,PoI2,3.6525,-0.0207
lh_PreS,PreS,1.76209,-0.0122
lh_ProS,ProS,2.49319,-0.02754
lh_RI,RI,2.6582,-0.02014
lh_RSC,RSC,2.4475,-0.01483
lh_SCEF,SCEF,3.11442,-0.01691
lh_SFL,SFL,3.34919,-0.01967
lh_STGa,STGa,3.65129,-0.01272
lh_STSda,STSda,3.00907,-0.01946
lh_STSdp,STSdp,2.7965,-0.02429
lh_STSva,STSva,2.80543,-0.01787
lh_STSvp,STSvp,2.94197,-0.02488
lh_STV,STV,2.97962,-0.02036
lh_TA2,TA2,3.10416,-0.00956
lh_TE1a,TE1a,3.43905,-0.01748
lh_TE1m,TE1m,3.1508,-0.01809
lh_TE1p,TE1p,3.09752,-0.01888
lh_TE2a,TE2a,2.9838,-0.01818
lh_TE2p,TE2p,2.83331,-0.01822
lh_TF,TF,2.97088,-0.01718
lh_TGd,TGd,3.51219,-0.01178
lh_TGv,TGv,3.38835,-0.01346
lh_TPOJ1,TPOJ1,2.81627,-0.02116
lh_TPOJ2,TPOJ2,2.77374,-0.02193
lh_TPOJ3,TPOJ3,2.60755,-0.02322
lh_V1,V1,1.88544,-0.00919
lh_V2,V2,2.10727,-0.01979
lh_V3,V3,2.31604,-0.01968
lh_V3A,V3A,2.33503,-0.01968
lh_V3B,V3B,2.33413,-0.01795
lh_V3CD,V3CD,2.51219,-0.0208
lh_V4,V4,2.40906,-0.01801
lh_V4t,V4t,2.75348,-0.01905
lh_V6,V6,2.2964,-0.01938
lh_V6A,V6A,2.60798,-0.02329
lh_V7,V7,2.50355,-0.02239
lh_V8,V8,2.65602,-0.01739
lh_VIP,VIP,2.6889,-0.02419
lh_VMV1,VMV1,2.63033,-0.01929
lh_VMV2,VMV2,2.5028,-0.01956
lh_VMV3,VMV3,2.69384,-0.02111
lh_VVC,VVC,3.04444,-0.02077
lh_a10p,a10p,2.55623,-0.02706
lh_a24,a24,3.00297,-0.0228
lh_a24pr,a24pr,3.1399,-0.02718
lh_a32pr,a32pr,2.97631,-0.02278
lh_a47r,a47r,2.89831,-0.02828
lh_a9-46v,a9-46v,2.66307,-0.02744
lh_d23ab,d23ab,3.33251,-0.03149
lh_d32,d32,3.08815,-0.02346
lh_i6-8,i6-8,2.95481,-0.01445
lh_p10p,p10p,2.54086,-0.02748
lh_p24,p24,3.25855,-0.02452
lh_p24pr,p24pr,3.09869,-0.02877
lh_p32,p32,2.70456,-0.02611
lh_p32pr,p32pr,2.95028,-0.02046
lh_p47r,p47r,2.61273,-0.02269
lh_p9-46v,p9-46v,2.71244,-0.02272
lh_pOFC,pOFC,2.86484,-0.00465
lh_s32,s32,2.63481,-0.0285
lh_s6-8,s6-8,3.07305,-0.01601
lh_v23ab,v23ab,3.14507,-0.02364
