var,x,density
slope_um_per_yr,-31.338786812264,2.27980443767544e-07
slope_um_per_yr,-31.2283701944835,7.81586671399872e-07
slope_um_per_yr,-31.117953576703,2.33940747851884e-06
slope_um_per_yr,-31.0075369589224,6.24016746950023e-06
slope_um_per_yr,-30.8971203411419,1.47990988411696e-05
slope_um_per_yr,-30.7867037233613,3.05885952761497e-05
slope_um_per_yr,-30.6762871055808,5.54549808741891e-05
slope_um_per_yr,-30.5658704878003,8.88461483287562e-05
slope_um_per_yr,-30.4554538700197,0.000126961057102802
slope_um_per_yr,-30.3450372522392,0.000163890803018288
slope_um_per_yr,-30.2346206344586,0.000194585112820015
slope_um_per_yr,-30.1242040166781,0.000219660144134564
slope_um_per_yr,-30.0137873988975,0.000244632469539982
slope_um_per_yr,-29.903370781117,0.000276494617618073
slope_um_per_yr,-29.7929541633365,0.000319581650935632
slope_um_per_yr,-29.6825375455559,0.000373187448821285
slope_um_per_yr,-29.5721209277754,0.000431932465161302
slope_um_per_yr,-29.4617043099948,0.000488331959336609
slope_um_per_yr,-29.3512876922143,0.000538282757059295
slope_um_per_yr,-29.2408710744337,0.000584302871780451
slope_um_per_yr,-29.1304544566532,0.000636306611753662
slope_um_per_yr,-29.0200378388727,0.000708629484564428
slope_um_per_yr,-28.9096212210921,0.000812829465734675
slope_um_per_yr,-28.7992046033116,0.000948191636035146
slope_um_per_yr,-28.688787985531,0.00108944432823248
slope_um_per_yr,-28.5783713677505,0.00119838294211774
slope_um_per_yr,-28.46795474997,0.00124023884166152
slope_um_per_yr,-28.3575381321894,0.00120402889075697
slope_um_per_yr,-28.2471215144089,0.00111244782617426
slope_um_per_yr,-28.1367048966283,0.00101496151943979
slope_um_per_yr,-28.0262882788478,0.000965899750415924
slope_um_per_yr,-27.9158716610672,0.000995013045878927
slope_um_per_yr,-27.8054550432867,0.00110563876041977
slope_um_per_yr,-27.6950384255062,0.00128242202841318
slope_um_per_yr,-27.5846218077256,0.00150487445728312
slope_um_per_yr,-27.4742051899451,0.00175970237439187
slope_um_per_yr,-27.3637885721645,0.00204819723111162
slope_um_per_yr,-27.253371954384,0.00237761766895836
slope_um_per_yr,-27.1429553366034,0.0027522615094684
slope_um_per_yr,-27.0325387188229,0.00316300329628247
slope_um_per_yr,-26.9221221010424,0.00358765594695992
slope_um_per_yr,-26.8117054832618,0.00400141384466549
