outcome	model	fit	brain	beta	se	p	n	n_cases	est	lo	hi	source
external	change	joint	baseline_thickness	-0.0014097	0.0079986	0.86011	8185		-0.0016168	-0.019598	0.016364	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
depress	change	joint	global_slope	-0.023409	0.0078052	0.002707	8181		-0.033145	-0.054806	-0.011485	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
depress	change	joint	baseline_thickness	0.0062348	0.0070199	0.37445	8181		0.008828	-0.010653	0.028309	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
thought	change	joint	global_slope	-0.0058278	0.0066434	0.38036	8183		-0.0096734	-0.031287	0.01194	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
thought	change	joint	baseline_thickness	0.0078315	0.0059556	0.18852	8183		0.012999	-0.0063765	0.032375	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_youth_DX	ksads_logit	joint	global_slope	-0.051374	0.037238	0.16771	8716	1111	0.94992	0.88306	1.0218	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_youth_DX	ksads_logit	joint	baseline_thickness	-0.069027	0.032861	0.03568	8716	1111	0.9333	0.87508	0.99539	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_parent_DX	ksads_logit	joint	global_slope	-0.13138	0.04011	0.0010545	8716	791	0.87688	0.81059	0.9486	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
mdd_parent_DX	ksads_logit	joint	baseline_thickness	0.016109	0.037575	0.66812	8716	791	1.0162	0.94409	1.0939	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
psychosis_parent_DX	ksads_logit	joint	global_slope	-0.089476	0.057438	0.11929	8716	398	0.91441	0.81705	1.0234	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
psychosis_parent_DX	ksads_logit	joint	baseline_thickness	-0.10751	0.050605	0.033635	8716	398	0.89807	0.81327	0.99171	7.0 p/mh_p_cbcl.tsv + y/mh_{p,y}_ksads; single-LMM HCP phenotypes
