ct_bin,dct_bin,N
2.815,-19.8,27
2.815,-19.4,16
2.815,-19,29
2.815,-18.6,17
2.815,-18.2,22
2.815,-17.8,13
2.825,-21.4,11
2.825,-21,16
2.825,-20.6,24
2.825,-20.2,27
2.825,-19.8,22
2.825,-19.4,21
2.825,-19,18
2.825,-18.6,16
2.825,-18.2,12
2.825,-17.4,16
2.835,-21.4,11
2.835,-21,15
2.835,-20.6,12
2.835,-20.2,18
2.835,-19.4,19
2.835,-19,19
2.835,-18.6,19
2.835,-18.2,16
2.835,-17.4,15
2.845,-21,13
2.845,-20.6,15
2.845,-20.2,19
2.845,-19.8,17
2.845,-19.4,15
2.845,-19,13
2.845,-18.2,11
2.845,-17.8,11
2.855,-20.2,12
2.855,-19.8,15
2.855,-19,10
2.865,-20.2,13
2.865,-19.4,10
