kind	disorder_result	phenotype	construction	variable	n_genes	beta	se	p
forward	EA	baseline_thickness	perregion	EA	17848	0.0058118	0.0064779	0.36965
forward	MDD_EUR	baseline_thickness	perregion	MDD_EUR	17806	0.0095612	0.0060764	0.11563
forward	MDD_div	baseline_thickness	perregion	MDD_div	17747	0.0087868	0.0060278	0.14495
forward	PGC3_EUR	baseline_thickness	perregion	PGC3_EUR	17852	-0.001591	0.0059595	0.7895
forward	PGC3_primary	baseline_thickness	perregion	PGC3_primary	17852	-0.00060117	0.0058784	0.91855
forward	SCZ25_EUR	baseline_thickness	perregion	SCZ25_EUR	17882	0.0031079	0.0059272	0.60004
forward	SCZ25_META	baseline_thickness	perregion	SCZ25_META	17883	0.0022689	0.0059379	0.70239
forward	SCZ25_METAnaive	baseline_thickness	perregion	SCZ25_METAnaive	17882	0.0024004	0.0060678	0.69241
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_expression	56	-0.0094898	0.11507	0.53286
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_finemap	159	0.032831	0.073871	0.32837
gene-set	MDD sets	baseline_thickness	perregion	MDD_hc_protein	10	-0.11228	0.23606	0.68283
gene-set	MDD sets	baseline_thickness	perregion	MDD_highconf	212	0.024146	0.062847	0.35042
gene-set	MDD sets	baseline_thickness	perregion	MDD_pool	1849	0.023783	0.026244	0.18242
gene-set	MDD sets	baseline_thickness	perregion	MDD_pool_not_hc	1637	0.021201	0.027315	0.21883
gene-set	SCZ sets	baseline_thickness	perregion	PGC3_genesig	700	0.050521	0.048812	0.15034
gene-set	SCZ sets	baseline_thickness	perregion	PGC3_locus_pool	852	0.054855	0.046276	0.11794
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_genesig	775	0.026786	0.043225	0.26773
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_genesig_new	214	-0.013119	0.062862	0.58265
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_locus_pool	1103	0.018991	0.039963	0.31732
gene-set	SCZ sets	baseline_thickness	perregion	SCZ25_locus_pool_new	302	-0.036023	0.058823	0.72986
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_locus_pool	451	0.052247	0.050814	0.15193
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_pool_not_prio	351	0.023703	0.055883	0.33573
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_finemap	61	0.14309	0.11209	0.10088
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_rare	7	0.02561	0.34632	0.47053
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prio_smr	43	-0.0042915	0.12717	0.51346
gene-set	SCZ sets	baseline_thickness	perregion	SCZ_prioritised	100	0.093821	0.086139	0.13804
