label,hemi,region,fe_age_51,fe_age_t_51,sd_slope_51,fe_age_70_mv3,fe_age_t_70_mv3,sd_slope_70_mv3,pc1_loading,slope_noglobal,slope_split,slope_single,old_delta_peryr,C1,C2,C3,pc1_loading_z,tau_slope,reliability,lobe,slope_total_70
lh_precuneus,lh,precuneus,-0.0099337728486202,-39.23199752927789,0.0026672739200125,-0.0071742652653339,-34.80100973873771,0.0027172853238218,0.0110875763866353,-0.0262915078738295,-0.0100616856607934,-0.0089530305744519,-0.0267894470377825,0.7300296767717964,-0.0438243699470978,0.595051698383097,0.131255015389977,0.0027172853238218,0.5525319632978245,parietal,-0.023095848358423637
lh_rostralanteriorcingulate,lh,rostralanteriorcingulate,-0.0088295658948464,-11.775107570521236,0.0110397582556323,-0.0082531080272033,-13.456499700323118,0.0087812190827598,-0.0944410160789624,-0.0181403221542135,-0.0062749589878808,-0.0044253149968523,-0.0186437272963875,-1.470313768377698,-0.1951623678461003,-0.6556303211443364,-0.1038472955894078,0.0087812190827598,0.553828657709555,cingulate,-0.017556741003787395
lh_rostralmiddlefrontal,lh,rostralmiddlefrontal,-0.0003801673309574,-1.17976503913274,0.004435025452197,-0.0015831203224817,-6.212773847028649,0.0028548717634663,-0.0365465285582334,-0.0208660495547381,-0.0012863456224857,-0.0026482718157454,-0.0222064887015257,-0.0704187695448882,0.97983054804053,1.1359138529787522,-0.1566075046509875,0.0028548717634663,0.529015438747047,frontal,-0.020337794779700165
lh_superiorfrontal,lh,superiorfrontal,0.0025938651444163,8.420209399531632,0.0043902069235562,0.0009418389582567,3.924482873890106,0.0027508599500721,-0.0240516223379792,-0.0176889634231168,0.0031469285165674,0.002686217666875,-0.0197688492771099,-0.2871808738661929,1.67563975035545,-0.0226093594926856,-0.1754601915976895,0.0027508599500721,0.5334383570631299,frontal,-0.018064238060605642
lh_superiorparietal,lh,superiorparietal,-0.0001419848937112,-0.4731329284601817,0.0023035372221579,0.0004743409037003,1.9466133230324216,0.0040476392436902,0.0481072307026653,-0.023121289266484,-0.0026557894143318,-0.0043112298486359,-0.0238006897668314,0.934344753178532,-0.0088370764834624,0.2211949679022319,0.2289200804746964,0.0040476392436902,0.5634238085597295,parietal,-0.019919686191557488
lh_superiortemporal,lh,superiortemporal,0.0053943962324119,15.447207830709434,0.0053884480530711,0.0042448134125099,15.917377835700178,0.0042449816286948,-0.009978887965273,-0.0131898852619112,0.0077954137291354,0.0088656635009669,-0.0154223716069063,-0.2785661886983374,-0.4477957593155124,0.6756183028904786,-0.0849115662186624,0.0042449816286948,0.5764181592632488,temporal,-0.013016303701144963
lh_supramarginal,lh,supramarginal,0.0036057999715758,9.455155919200548,0.006727544754759,0.0015927475287205,5.423508128325741,0.0049701176455156,0.0370424881816045,-0.0190720102846883,0.0027366074520223,0.0014043856739448,-0.0207592774915633,0.3559968815836904,0.2956719910488929,1.3650974883090408,0.023727498228213,0.0049701176455156,0.6053457226824469,parietal,-0.01811780487839888
lh_frontalpole,lh,frontalpole,-0.0168109259958158,-18.85305121707213,0.0155414020912829,-0.0156245007378479,-21.85279010312695,0.0107277946331298,-0.629213240454134,-0.0305509628096365,-0.0150377557556625,-0.0118112714615414,-0.0311111479086456,-0.974608255344338,0.1869760206374089,0.4806348735986563,-0.100585868670726,0.0107277946331298,0.5870111267861944,frontal,-0.029220060235664053
lh_temporalpole,lh,temporalpole,0.0225754657440923,18.338359425321055,0.0215264607911288,0.0173806031850918,16.9943691631675,0.0070226618688859,0.0082520306704065,-0.0059658134648944,0.0196864148161845,0.0153397125511962,-0.00652052863126,-1.7398504970386104,-0.9521505451603854,-0.7099556555251872,0.0028315285336017,0.0070226618688859,0.5137382842698732,temporal,-0.004820724741114321
lh_transversetemporal,lh,transversetemporal,-0.0014445112688773,-2.695858788765158,0.0047021451963766,-0.0001857430255364,-0.4299462278696353,0.0057968356560961,0.0035061827928584,-0.0180440963630587,-9.87734984392542e-05,0.0023919029032465,-0.0190872036110614,1.1772082748647172,-0.7591796499557143,-0.9898798971953062,-0.0127161071079881,0.0057968356560961,0.5431380306057109,temporal,-0.01598904381148811
lh_insula,lh,insula,-0.0072190667590949,-11.1505720736066,0.0083925527341019,-0.0059510311401176,-11.10167463465972,0.0074203438413457,-0.0312545857004658,-0.0169190362229462,-0.0070009020131287,-0.006137119716457,-0.0168836813935874,-1.1858028855755316,-0.3812730996378269,-0.1578594745629921,-0.085403998930031,0.0074203438413457,0.5526900412080841,insula,-0.015280053391269838
rh_bankssts,rh,bankssts,-0.0072004789384642,-19.116858855066983,0.0053786286144358,-0.0060654187138999,-20.02553557793684,0.0045185796693399,0.0040783139952269,-0.0203124968354779,-0.0051025100789502,-0.0024039472318906,,,,,-0.0487349151865287,0.0045185796693399,0.595008653618087,temporal,-0.019588354592117926
rh_caudalanteriorcingulate,rh,caudalanteriorcingulate,-0.0136676243038187,-27.517292715455703,0.0066864224357031,-0.0120381344893281,-30.72211189732568,0.0053416393181191,-0.0392924823528554,-0.018283679805859,-0.0126608028428401,-0.0105087600356845,,,,,-0.0905717745586035,0.0053416393181191,0.571262517461923,cingulate,-0.017222802235711796
rh_caudalmiddlefrontal,rh,caudalmiddlefrontal,0.0108339496394375,26.099930762216545,0.0050149456045786,0.0079457975550112,24.923999902046244,0.0027879986450565,0.0071749889860743,-0.0127157764806614,0.0083892946035522,0.0053287106456743,,,,,-0.0684187715048754,0.0027879986450565,0.5823421189748872,frontal,-0.012641200460627703
rh_cuneus,rh,cuneus,-0.008430361528766,-24.37505145158376,0.0042716916220592,-0.0046046940616821,-16.09609526945802,0.004245177755873,0.0290517183344839,-0.0225957487914417,-0.0065945672444874,-0.0054135325085598,,,,,0.2391936890894659,0.004245177755873,0.5520032714981469,occipital,-0.017793068265837427
rh_entorhinal,rh,entorhinal,0.0222391582025531,18.08549137444282,0.0149081628812733,0.0169935270107931,17.11125180088013,0.0089377263289469,0.0097819512333946,0.0003058301898564,0.0181900449977847,0.0159696636516861,,,,,-0.024816048594862,0.0089377263289469,0.5450087319706337,temporal,-0.00017684147989078386
rh_fusiform,rh,fusiform,-0.0015578897871004,-5.043086983299348,0.0035980857759366,-0.0010768729050478,-4.200649911674554,0.0042208217919784,0.0110332645743442,-0.0160263643454341,-0.0005579452707854,0.0009251882356918,,,,,-0.0243703971066108,0.0042208217919784,0.5602041154512143,temporal,-0.014603209172862992
