option	ds	component	reference	rho	p_gene_perm	n_genes	sal_dCT	p_spin_component
opt3_dCT_dT1T2	ds0	PLS2	C1	0.4131	9.999e-05	7971	0.8859	0.0148
opt3_dCT_dT1T2	ds0	PLS2	C2	0.1155	9.999e-05	7971	0.8859	0.0148
opt3_dCT_dT1T2	ds0	PLS2	C3	-0.7603	9.999e-05	7971	0.8859	0.0148
opt4_full4	ds0	PLS1	NSPN_PLS1_z	-0.8541	9.999e-05	14865	0.1998	0.0002
opt4_full4	ds0	PLS1	NSPN_PLS2_z	-0.1921	9.999e-05	14865	0.1998	0.0002
opt4_full4	ds0	PLS1	C1	-0.9649	9.999e-05	7971	0.1998	0.0002
opt4_full4	ds0	PLS1	C2	0.05077	9.999e-05	7971	0.1998	0.0002
opt4_full4	ds0	PLS1	C3	-0.01162	0.2965	7971	0.1998	0.0002
opt4_full4	ds0	PLS2	NSPN_PLS1_z	0.1923	9.999e-05	14865	0.8688	0.07798
opt4_full4	ds0	PLS2	NSPN_PLS2_z	-0.5291	9.999e-05	14865	0.8688	0.07798
opt4_full4	ds0	PLS2	C1	0.1015	9.999e-05	7971	0.8688	0.07798
opt4_full4	ds0	PLS2	C2	-0.2041	9.999e-05	7971	0.8688	0.07798
opt4_full4	ds0	PLS2	C3	-0.6303	9.999e-05	7971	0.8688	0.07798
opt4_full4	ds0	PLS3	NSPN_PLS1_z	-0.09175	9.999e-05	14865	0.1556	0.05159
opt4_full4	ds0	PLS3	NSPN_PLS2_z	0.1384	9.999e-05	14865	0.1556	0.05159
opt4_full4	ds0	PLS3	C1	0.1344	9.999e-05	7971	0.1556	0.05159
opt4_full4	ds0	PLS3	C2	0.8202	9.999e-05	7971	0.1556	0.05159
opt4_full4	ds0	PLS3	C3	-0.2752	9.999e-05	7971	0.1556	0.05159
opt4_full4	ds0	PLS4	NSPN_PLS1_z	0.07753	9.999e-05	14865	0.4255	0.004599
opt4_full4	ds0	PLS4	NSPN_PLS2_z	-0.414	9.999e-05	14865	0.4255	0.004599
opt4_full4	ds0	PLS4	C1	-0.2221	9.999e-05	7971	0.4255	0.004599
opt4_full4	ds0	PLS4	C2	-0.04914	9.999e-05	7971	0.4255	0.004599
opt4_full4	ds0	PLS4	C3	-0.5396	9.999e-05	7971	0.4255	0.004599
opt5_slopePCs	ds0	PLS1	NSPN_PLS1_z	-0.7951	9.999e-05	14865		0.006199
opt5_slopePCs	ds0	PLS1	NSPN_PLS2_z	-0.2698	9.999e-05	14865		0.006199
opt5_slopePCs	ds0	PLS1	C1	-0.9684	9.999e-05	7971		0.006199
opt5_slopePCs	ds0	PLS1	C2	-0.003236	0.7723	7971		0.006199
opt5_slopePCs	ds0	PLS1	C3	-0.08682	9.999e-05	7971		0.006199
opt5_slopePCs	ds0	PLS2	NSPN_PLS1_z	0.4008	9.999e-05	14865		0.0009998
opt5_slopePCs	ds0	PLS2	NSPN_PLS2_z	-0.6409	9.999e-05	14865		0.0009998
opt5_slopePCs	ds0	PLS2	C1	0.1364	9.999e-05	7971		0.0009998
opt5_slopePCs	ds0	PLS2	C2	-0.7085	9.999e-05	7971		0.0009998
opt5_slopePCs	ds0	PLS2	C3	-0.4728	9.999e-05	7971		0.0009998
opt5_slopePCs	ds0	PLS3	NSPN_PLS1_z	0.1017	9.999e-05	14865		0.3261
opt5_slopePCs	ds0	PLS3	NSPN_PLS2_z	-0.1383	9.999e-05	14865		0.3261
opt5_slopePCs	ds0	PLS3	C1	0.186	9.999e-05	7971		0.3261
opt5_slopePCs	ds0	PLS3	C2	0.6412	9.999e-05	7971		0.3261
opt5_slopePCs	ds0	PLS3	C3	-0.6143	9.999e-05	7971		0.3261
opt1_dCT	ds25	PLS1	NSPN_PLS1_z	-0.3553	9.999e-05	11175	1	0.08198
opt1_dCT	ds25	PLS1	NSPN_PLS2_z	-0.6108	9.999e-05	11175	1	0.08198
opt1_dCT	ds25	PLS1	C1	-0.5605	9.999e-05	7873	1	0.08198
opt1_dCT	ds25	PLS1	C2	-0.04833	9.999e-05	7873	1	0.08198
opt1_dCT	ds25	PLS1	C3	-0.5921	9.999e-05	7873	1	0.08198
opt2_dCT_CT	ds25	PLS1	NSPN_PLS1_z	-0.87	9.999e-05	11175	0.3297	0.0009998
opt2_dCT_CT	ds25	PLS1	NSPN_PLS2_z	-0.1999	9.999e-05	11175	0.3297	0.0009998
opt2_dCT_CT	ds25	PLS1	C1	-0.9233	9.999e-05	7873	0.3297	0.0009998
opt2_dCT_CT	ds25	PLS1	C2	0.1772	9.999e-05	7873	0.3297	0.0009998
opt2_dCT_CT	ds25	PLS1	C3	-0.0598	9.999e-05	7873	0.3297	0.0009998
opt2_dCT_CT	ds25	PLS2	NSPN_PLS1_z	0.314	9.999e-05	11175	0.9441	0.0022
opt2_dCT_CT	ds25	PLS2	NSPN_PLS2_z	-0.6152	9.999e-05	11175	0.9441	0.0022
opt2_dCT_CT	ds25	PLS2	C1	0.1972	9.999e-05	7873	0.9441	0.0022
opt2_dCT_CT	ds25	PLS2	C2	-0.2159	9.999e-05	7873	0.9441	0.0022
opt2_dCT_CT	ds25	PLS2	C3	-0.7559	9.999e-05	7873	0.9441	0.0022
opt3_dCT_dT1T2	ds25	PLS1	NSPN_PLS1_z	-0.7704	9.999e-05	11175	0.4384	0.007798
opt3_dCT_dT1T2	ds25	PLS1	NSPN_PLS2_z	-0.3471	9.999e-05	11175	0.4384	0.007798
opt3_dCT_dT1T2	ds25	PLS1	C1	-0.9243	9.999e-05	7873	0.4384	0.007798
opt3_dCT_dT1T2	ds25	PLS1	C2	-0.1565	9.999e-05	7873	0.4384	0.007798
opt3_dCT_dT1T2	ds25	PLS1	C3	-0.057	9.999e-05	7873	0.4384	0.007798
opt3_dCT_dT1T2	ds25	PLS2	NSPN_PLS1_z	0.3437	9.999e-05	11175	0.8988	0.0206
opt3_dCT_dT1T2	ds25	PLS2	NSPN_PLS2_z	-0.4765	9.999e-05	11175	0.8988	0.0206
opt3_dCT_dT1T2	ds25	PLS2	C1	0.3424	9.999e-05	7873	0.8988	0.0206
opt3_dCT_dT1T2	ds25	PLS2	C2	0.102	9.999e-05	7873	0.8988	0.0206
opt3_dCT_dT1T2	ds25	PLS2	C3	-0.7785	9.999e-05	7873	0.8988	0.0206
opt4_full4	ds25	PLS1	NSPN_PLS1_z	-0.881	9.999e-05	11175	0.1966	0.0002
opt4_full4	ds25	PLS1	NSPN_PLS2_z	-0.2157	9.999e-05	11175	0.1966	0.0002
opt4_full4	ds25	PLS1	C1	-0.9649	9.999e-05	7873	0.1966	0.0002
opt4_full4	ds25	PLS1	C2	0.05191	9.999e-05	7873	0.1966	0.0002
opt4_full4	ds25	PLS1	C3	-0.0129	0.249	7873	0.1966	0.0002
opt4_full4	ds25	PLS2	NSPN_PLS1_z	0.1747	9.999e-05	11175	0.865	0.09778
opt4_full4	ds25	PLS2	NSPN_PLS2_z	-0.5713	9.999e-05	11175	0.865	0.09778
opt4_full4	ds25	PLS2	C1	0.06898	9.999e-05	7873	0.865	0.09778
opt4_full4	ds25	PLS2	C2	-0.2285	9.999e-05	7873	0.865	0.09778
opt4_full4	ds25	PLS2	C3	-0.6246	9.999e-05	7873	0.865	0.09778
opt4_full4	ds25	PLS3	NSPN_PLS1_z	-0.09351	9.999e-05	11175	0.1949	0.02979
opt4_full4	ds25	PLS3	NSPN_PLS2_z	0.1229	9.999e-05	11175	0.1949	0.02979
opt4_full4	ds25	PLS3	C1	0.134	9.999e-05	7873	0.1949	0.02979
opt4_full4	ds25	PLS3	C2	0.8064	9.999e-05	7873	0.1949	0.02979
opt4_full4	ds25	PLS3	C3	-0.3181	9.999e-05	7873	0.1949	0.02979
opt4_full4	ds25	PLS4	NSPN_PLS1_z	0.05918	9.999e-05	11175	0.4185	0.005799
opt4_full4	ds25	PLS4	NSPN_PLS2_z	-0.4183	9.999e-05	11175	0.4185	0.005799
opt4_full4	ds25	PLS4	C1	-0.1713	9.999e-05	7873	0.4185	0.005799
opt4_full4	ds25	PLS4	C2	-0.04722	0.0002	7873	0.4185	0.005799
opt4_full4	ds25	PLS4	C3	-0.5378	9.999e-05	7873	0.4185	0.005799
opt5_slopePCs	ds25	PLS1	NSPN_PLS1_z	-0.8372	9.999e-05	11175		0.006199
opt5_slopePCs	ds25	PLS1	NSPN_PLS2_z	-0.2821	9.999e-05	11175		0.006199
opt5_slopePCs	ds25	PLS1	C1	-0.9693	9.999e-05	7873		0.006199
opt5_slopePCs	ds25	PLS1	C2	0.003705	0.7473	7873		0.006199
opt5_slopePCs	ds25	PLS1	C3	-0.08465	9.999e-05	7873		0.006199
opt5_slopePCs	ds25	PLS2	NSPN_PLS1_z	0.3546	9.999e-05	11175		0.0002
opt5_slopePCs	ds25	PLS2	NSPN_PLS2_z	-0.6765	9.999e-05	11175		0.0002
opt5_slopePCs	ds25	PLS2	C1	0.08532	9.999e-05	7873		0.0002
opt5_slopePCs	ds25	PLS2	C2	-0.7153	9.999e-05	7873		0.0002
opt5_slopePCs	ds25	PLS2	C3	-0.477	9.999e-05	7873		0.0002
opt5_slopePCs	ds25	PLS3	NSPN_PLS1_z	0.08245	9.999e-05	11175		0.2925
opt5_slopePCs	ds25	PLS3	NSPN_PLS2_z	-0.1723	9.999e-05	11175		0.2925
opt5_slopePCs	ds25	PLS3	C1	0.1513	9.999e-05	7873		0.2925
opt5_slopePCs	ds25	PLS3	C2	0.6014	9.999e-05	7873		0.2925
opt5_slopePCs	ds25	PLS3	C3	-0.6548	9.999e-05	7873		0.2925
opt1_dCT	ds50	PLS1	NSPN_PLS1_z	-0.4561	9.999e-05	7454	1	0.1076
opt1_dCT	ds50	PLS1	NSPN_PLS2_z	-0.632	9.999e-05	7454	1	0.1076
opt1_dCT	ds50	PLS1	C1	-0.5991	9.999e-05	6969	1	0.1076
opt1_dCT	ds50	PLS1	C2	-0.0553	9.999e-05	6969	1	0.1076
opt1_dCT	ds50	PLS1	C3	-0.5848	9.999e-05	6969	1	0.1076
opt2_dCT_CT	ds50	PLS1	NSPN_PLS1_z	-0.8896	9.999e-05	7454	0.312	0.0002
opt2_dCT_CT	ds50	PLS1	NSPN_PLS2_z	-0.2151	9.999e-05	7454	0.312	0.0002
opt2_dCT_CT	ds50	PLS1	C1	-0.9229	9.999e-05	6969	0.312	0.0002
opt2_dCT_CT	ds50	PLS1	C2	0.1801	9.999e-05	6969	0.312	0.0002
opt2_dCT_CT	ds50	PLS1	C3	-0.06404	9.999e-05	6969	0.312	0.0002
opt2_dCT_CT	ds50	PLS2	NSPN_PLS1_z	0.2613	9.999e-05	7454	0.9501	0.004399
opt2_dCT_CT	ds50	PLS2	NSPN_PLS2_z	-0.6443	9.999e-05	7454	0.9501	0.004399
opt2_dCT_CT	ds50	PLS2	C1	0.1338	9.999e-05	6969	0.9501	0.004399
opt2_dCT_CT	ds50	PLS2	C2	-0.2272	9.999e-05	6969	0.9501	0.004399
opt2_dCT_CT	ds50	PLS2	C3	-0.7663	9.999e-05	6969	0.9501	0.004399
opt3_dCT_dT1T2	ds50	PLS1	NSPN_PLS1_z	-0.8052	9.999e-05	7454	0.4098	0.008598
opt3_dCT_dT1T2	ds50	PLS1	NSPN_PLS2_z	-0.3473	9.999e-05	7454	0.4098	0.008598
opt3_dCT_dT1T2	ds50	PLS1	C1	-0.9284	9.999e-05	6969	0.4098	0.008598
opt3_dCT_dT1T2	ds50	PLS1	C2	-0.1412	9.999e-05	6969	0.4098	0.008598
opt3_dCT_dT1T2	ds50	PLS1	C3	-0.06054	9.999e-05	6969	0.4098	0.008598
opt3_dCT_dT1T2	ds50	PLS2	NSPN_PLS1_z	0.2958	9.999e-05	7454	0.9122	0.02619
opt3_dCT_dT1T2	ds50	PLS2	NSPN_PLS2_z	-0.5147	9.999e-05	7454	0.9122	0.02619
opt3_dCT_dT1T2	ds50	PLS2	C1	0.2604	9.999e-05	6969	0.9122	0.02619
opt3_dCT_dT1T2	ds50	PLS2	C2	0.06461	9.999e-05	6969	0.9122	0.02619
opt3_dCT_dT1T2	ds50	PLS2	C3	-0.7954	9.999e-05	6969	0.9122	0.02619
opt4_full4	ds50	PLS1	NSPN_PLS1_z	-0.8898	9.999e-05	7454	0.1898	0.0009998
opt4_full4	ds50	PLS1	NSPN_PLS2_z	-0.2405	9.999e-05	7454	0.1898	0.0009998
opt4_full4	ds50	PLS1	C1	-0.9632	9.999e-05	6969	0.1898	0.0009998
opt4_full4	ds50	PLS1	C2	0.05866	9.999e-05	6969	0.1898	0.0009998
opt4_full4	ds50	PLS1	C3	-0.02055	0.08809	6969	0.1898	0.0009998
opt4_full4	ds50	PLS2	NSPN_PLS1_z	0.1374	9.999e-05	7454	0.8573	0.1194
opt4_full4	ds50	PLS2	NSPN_PLS2_z	-0.606	9.999e-05	7454	0.8573	0.1194
opt4_full4	ds50	PLS2	C1	0.01596	0.1893	6969	0.8573	0.1194
opt4_full4	ds50	PLS2	C2	-0.2782	9.999e-05	6969	0.8573	0.1194
opt4_full4	ds50	PLS2	C3	-0.6172	9.999e-05	6969	0.8573	0.1194
opt4_full4	ds50	PLS3	NSPN_PLS1_z	-0.08357	9.999e-05	7454	0.2728	0.0248
opt4_full4	ds50	PLS3	NSPN_PLS2_z	0.05499	9.999e-05	7454	0.2728	0.0248
opt4_full4	ds50	PLS3	C1	0.1053	9.999e-05	6969	0.2728	0.0248
opt4_full4	ds50	PLS3	C2	0.7825	9.999e-05	6969	0.2728	0.0248
opt4_full4	ds50	PLS3	C3	-0.3806	9.999e-05	6969	0.2728	0.0248
opt4_full4	ds50	PLS4	NSPN_PLS1_z	0.05966	9.999e-05	7454	0.3933	0.003999
opt4_full4	ds50	PLS4	NSPN_PLS2_z	-0.4229	9.999e-05	7454	0.3933	0.003999
opt4_full4	ds50	PLS4	C1	-0.1316	9.999e-05	6969	0.3933	0.003999
opt4_full4	ds50	PLS4	C2	-0.1448	9.999e-05	6969	0.3933	0.003999
opt4_full4	ds50	PLS4	C3	-0.4995	9.999e-05	6969	0.3933	0.003999
opt5_slopePCs	ds50	PLS1	NSPN_PLS1_z	-0.8561	9.999e-05	7454		0.005399
opt5_slopePCs	ds50	PLS1	NSPN_PLS2_z	-0.2952	9.999e-05	7454		0.005399
opt5_slopePCs	ds50	PLS1	C1	-0.9686	9.999e-05	6969		0.005399
opt5_slopePCs	ds50	PLS1	C2	0.01726	0.1501	6969		0.005399
opt5_slopePCs	ds50	PLS1	C3	-0.08869	9.999e-05	6969		0.005399
opt5_slopePCs	ds50	PLS2	NSPN_PLS1_z	0.3001	9.999e-05	7454		0.0002
opt5_slopePCs	ds50	PLS2	NSPN_PLS2_z	-0.7002	9.999e-05	7454		0.0002
opt5_slopePCs	ds50	PLS2	C1	0.0409	0.0012	6969		0.0002
opt5_slopePCs	ds50	PLS2	C2	-0.7226	9.999e-05	6969		0.0002
opt5_slopePCs	ds50	PLS2	C3	-0.499	9.999e-05	6969		0.0002
opt5_slopePCs	ds50	PLS3	NSPN_PLS1_z	0.0678	9.999e-05	7454		0.2607
opt5_slopePCs	ds50	PLS3	NSPN_PLS2_z	-0.1826	9.999e-05	7454		0.2607
opt5_slopePCs	ds50	PLS3	C1	0.1227	9.999e-05	6969		0.2607
opt5_slopePCs	ds50	PLS3	C2	0.5762	9.999e-05	6969		0.2607
opt5_slopePCs	ds50	PLS3	C3	-0.6767	9.999e-05	6969		0.2607
