sample	outcome	score	adjust	beta	se	p	n	y_sd_beta
all	withdep	pls2_beyond_grad	base	-0.0049487	0.0065488	0.44985	8189	-0.0074955
all	withdep	pls2_beyond_grad	+global	-0.0036999	0.0065446	0.57184	8189	-0.0056041
all	withdep	pls2_beyond_grad	+global+CT	-0.0031729	0.0068956	0.64542	8189	-0.0048058
all	withdep	pls2_beyond_grad	+global+CT+QC	-0.0033698	0.0068919	0.62487	8189	-0.0051041
all	withdep	ct_grad_slope	base	0.00088657	0.006914	0.89797	8189	0.0013428
all	withdep	ct_grad_slope	+global	-0.0039006	0.0071124	0.58341	8189	-0.0059079
all	withdep	glob_thin	base	0.021468	0.0072057	0.0028887	8189	0.032516
all	rulebreak	grad_slope	base	0.0071608	0.0062543	0.25223	8182	0.011443
all	rulebreak	grad_slope	+global	0.0020342	0.0065918	0.75763	8182	0.0032507
all	rulebreak	grad_slope	+global+CT	0.0049084	0.0067554	0.46748	8182	0.0078437
all	rulebreak	grad_slope	+global+CT+QC	0.0050151	0.0068008	0.46086	8182	0.0080142
all	rulebreak	grad_fit	base	-0.025739	0.0072462	0.00038232	8182	-0.041131
all	rulebreak	grad_fit	+global	-0.032251	0.007492	1.6718e-05	8182	-0.051538
all	rulebreak	grad_fit	+global+CT	-0.0334	0.0075293	9.1633e-06	8182	-0.053374
all	rulebreak	grad_fit	+global+CT+QC	-0.034987	0.0077108	5.6953e-06	8182	-0.055909
all	rulebreak	pls2_beyond_grad	base	0.0013004	0.0061304	0.832	8182	0.0020781
all	rulebreak	pls2_beyond_grad	+global	0.0024306	0.006135	0.69198	8182	0.0038841
all	rulebreak	pls2_beyond_grad	+global+CT	0.0012067	0.0063832	0.85006	8182	0.0019283
all	rulebreak	pls2_beyond_grad	+global+CT+QC	0.0012031	0.0063819	0.85047	8182	0.0019226
all	rulebreak	ct_grad_slope	base	0.00018188	0.0065295	0.97778	8182	0.00029064
all	rulebreak	ct_grad_slope	+global	-0.0040592	0.0066999	0.54461	8182	-0.0064867
all	rulebreak	glob_thin	base	0.018928	0.0067661	0.0051491	8182	0.030248
all	pfactor	grad_slope	base	-0.015483	0.019981	0.43841	8162	-0.0069879
all	pfactor	grad_slope	+global	-0.03268	0.020859	0.11718	8162	-0.01475
all	pfactor	grad_slope	+global+CT	-0.045876	0.021435	0.032335	8162	-0.020706
all	pfactor	grad_slope	+global+CT+QC	-0.044788	0.021606	0.038179	8162	-0.020214
all	pfactor	grad_fit	base	-0.045586	0.024395	0.061668	8162	-0.020575
all	pfactor	grad_fit	+global	-0.061762	0.024907	0.013151	8162	-0.027876
all	pfactor	grad_fit	+global+CT	-0.060418	0.024887	0.015195	8162	-0.027269
all	pfactor	grad_fit	+global+CT+QC	-0.06686	0.02543	0.0085591	8162	-0.030176
all	pfactor	pls2_beyond_grad	base	0.0039472	0.019023	0.83562	8162	0.0017815
all	pfactor	pls2_beyond_grad	+global	0.0069671	0.01902	0.71413	8162	0.0031445
all	pfactor	pls2_beyond_grad	+global+CT	0.022927	0.020033	0.25245	8162	0.010348
all	pfactor	pls2_beyond_grad	+global+CT+QC	0.022728	0.020026	0.25641	8162	0.010258
all	pfactor	ct_grad_slope	base	-0.025005	0.020574	0.22422	8162	-0.011286
all	pfactor	ct_grad_slope	+global	-0.037607	0.021175	0.07573	8162	-0.016974
all	pfactor	glob_thin	base	0.050768	0.021799	0.019865	8162	0.022914
>=3 scans	totprob	grad_slope	base	-0.02142	0.010283	0.037247	6387	-0.020127
>=3 scans	totprob	grad_slope	+global	-0.029763	0.01077	0.0057194	6387	-0.027965
>=3 scans	totprob	grad_slope	+global+CT	-0.03735	0.011101	0.00076697	6387	-0.035094
>=3 scans	totprob	grad_slope	+global+CT+QC	-0.037099	0.011173	0.00089835	6387	-0.034859
>=3 scans	totprob	grad_fit	base	-0.02437	0.012421	0.049765	6387	-0.022898
>=3 scans	totprob	grad_fit	+global	-0.030771	0.012747	0.015784	6387	-0.028912
>=3 scans	totprob	grad_fit	+global+CT	-0.030175	0.012735	0.017811	6387	-0.028352
>=3 scans	totprob	grad_fit	+global+CT+QC	-0.033109	0.01303	0.011056	6387	-0.031109
>=3 scans	totprob	pls2_beyond_grad	base	0.0099725	0.0098178	0.30975	6387	0.0093701
>=3 scans	totprob	pls2_beyond_grad	+global	0.011004	0.0098277	0.26283	6387	0.01034
>=3 scans	totprob	pls2_beyond_grad	+global+CT	0.020442	0.010403	0.049416	6387	0.019207
>=3 scans	totprob	pls2_beyond_grad	+global+CT+QC	0.020356	0.010402	0.050344	6387	0.019127
>=3 scans	totprob	ct_grad_slope	base	-0.01566	0.011125	0.15923	6387	-0.014714
>=3 scans	totprob	ct_grad_slope	+global	-0.020558	0.011324	0.069448	6387	-0.019316
>=3 scans	totprob	glob_thin	base	0.019349	0.011087	0.080958	6387	0.01818
>=3 scans	internal	grad_slope	base	-0.0038776	0.0091224	0.67079	6387	-0.0043636
>=3 scans	internal	grad_slope	+global	-0.012378	0.0094498	0.19022	6387	-0.01393
>=3 scans	internal	grad_slope	+global+CT	-0.019076	0.0097371	0.050101	6387	-0.021467
>=3 scans	internal	grad_slope	+global+CT+QC	-0.018406	0.0097987	0.060327	6387	-0.020713
>=3 scans	internal	grad_fit	base	-0.010894	0.011296	0.33483	6387	-0.01226
>=3 scans	internal	grad_fit	+global	-0.018256	0.011594	0.11536	6387	-0.020544
>=3 scans	internal	grad_fit	+global+CT	-0.017599	0.01158	0.12857	6387	-0.019805
>=3 scans	internal	grad_fit	+global+CT+QC	-0.020458	0.011839	0.083992	6387	-0.023023
>=3 scans	internal	pls2_beyond_grad	base	-0.0058293	0.008763	0.50591	6387	-0.0065599
>=3 scans	internal	pls2_beyond_grad	+global	-0.0045308	0.0087645	0.60519	6387	-0.0050986
>=3 scans	internal	pls2_beyond_grad	+global+CT	0.0030769	0.0092197	0.73858	6387	0.0034626
>=3 scans	internal	pls2_beyond_grad	+global+CT+QC	0.0029637	0.0092205	0.74789	6387	0.0033352
>=3 scans	internal	ct_grad_slope	base	-0.012986	0.0097828	0.18438	6387	-0.014613
>=3 scans	internal	ct_grad_slope	+global	-0.019151	0.010035	0.056351	6387	-0.021551
>=3 scans	internal	glob_thin	base	0.025672	0.009914	0.0096133	6387	0.028889
>=3 scans	external	grad_slope	base	-0.0085349	0.0085982	0.32089	6387	-0.009881
>=3 scans	external	grad_slope	+global	-0.014294	0.0090823	0.11552	6387	-0.016549
