,thinning_score,C1,C2,C3,dCT,CT
lh_31pd,-5.43914,0.951625,-0.0574271,-0.655135,-0.026828,2.49343
lh_31a,26.5869,0.442648,-0.465234,0.866428,-0.0285884,2.85577
lh_VVC,4.47234,-0.235584,-0.784429,1.32694,-0.0211778,2.97699
lh_25,16.3342,-1.86941,-0.771789,-1.50988,-0.0252009,3.15075
lh_s32,36.2329,-1.40622,-0.402142,-0.0767321,-0.0288386,2.57398
lh_pOFC,23.9105,-1.6328,-0.259595,0.300044,-0.0045449,2.83458
lh_PoI1,3.53588,-1.74616,-1.08724,-0.586551,-0.0183122,3.3138
lh_Ig,26.5546,-0.105145,-0.355162,1.07906,-0.0220576,2.88785
lh_p47r,16.7772,-0.110282,0.751486,0.467724,-0.023172,2.55337
lh_TGv,-2.03866,-1.53794,-1.06686,-0.0945557,-0.0135803,3.36232
lh_MBelt,-11.0661,1.1301,-1.03359,-0.442279,-0.0170183,2.76033
lh_A4,4.34734,0.289165,-0.226181,1.33986,-0.0166222,3.12419
lh_STSva,-1.24566,-0.956509,-0.57147,0.270337,-0.0177899,2.74912
lh_TE1m,5.59813,-0.908639,-0.139812,0.810254,-0.0179714,3.1009
lh_PI,5.73183,-1.28296,-1.02609,-0.0446565,-0.00994691,2.83422
lh_a32pr,-7.49177,-1.28071,0.677116,-1.40903,-0.0227333,2.9092
