arm	map	level	reference	rho	n_regions	mean_r	p_spin	p_perm	n
PRSCS_SCZ25_META	relative_ct	parcel	C3	0.1395	137	0.007483	0.1266	0.3227	8596
PRSCS_SCZ25_META	relative_ct	parcel	dCT	-0.05543	179	0.007483	0.4981	0.6833	8596
PRSCS_SCZ25_META	relative_ct	cortex	PLS2	0.1022	22	0.008549	0.6615	0.6913	8596
PRSCS_SCZ25_META	relative_ct	cortex	C3	0.2603	22	0.008549	0.2324	0.3207	8596
PRSCS_SCZ25_META	relative_ct	cortex	dCT	-0.2027	22	0.008549	0.3821	0.4236	8596
PRSCS_SCZ25_EUR	absolute	parcel	PLS2	-0.09062	137	0.01837	0.4657	0.4875	4308
PRSCS_SCZ25_EUR	absolute	parcel	C3	0.06029	137	0.01837	0.5863	0.6723	4308
PRSCS_SCZ25_EUR	absolute	parcel	dCT	0.05157	179	0.01837	0.7169	0.7003	4308
PRSCS_SCZ25_EUR	absolute	cortex	PLS2	0.06268	22	0.02679	0.8186	0.8252	4308
PRSCS_SCZ25_EUR	absolute	cortex	C3	0.2163	22	0.02679	0.3659	0.4705	4308
PRSCS_SCZ25_EUR	absolute	cortex	dCT	-0.1598	22	0.02679	0.5451	0.5514	4308
PRSCS_SCZ25_EUR	relative	parcel	PLS2	-0.1683	137	0.001325	0.13	0.1758	4308
PRSCS_SCZ25_EUR	relative	parcel	C3	-0.06403	137	0.001325	0.5431	0.6004	4308
PRSCS_SCZ25_EUR	relative	parcel	dCT	0.1337	179	0.001325	0.2777	0.2887	4308
PRSCS_SCZ25_EUR	relative	cortex	PLS2	-0.1135	22	0.001201	0.6647	0.6573	4308
PRSCS_SCZ25_EUR	relative	cortex	C3	0.02089	22	0.001201	0.9254	0.9411	4308
PRSCS_SCZ25_EUR	relative	cortex	dCT	-0.0367	22	0.001201	0.8872	0.8661	4308
PRSCS_SCZ25_EUR	absolute_ct	parcel	PLS2	0.05912	137	0.01689	0.5687	0.6503	4308
PRSCS_SCZ25_EUR	absolute_ct	parcel	C3	0.1392	137	0.01689	0.1738	0.3347	4308
PRSCS_SCZ25_EUR	absolute_ct	parcel	dCT	-0.03856	179	0.01689	0.6987	0.7682	4308
PRSCS_SCZ25_EUR	absolute_ct	cortex	PLS2	0.1756	22	0.02377	0.5097	0.5305	4308
PRSCS_SCZ25_EUR	absolute_ct	cortex	C3	0.3698	22	0.02377	0.1434	0.1798	4308
PRSCS_SCZ25_EUR	absolute_ct	cortex	dCT	-0.2513	22	0.02377	0.3549	0.3606	4308
PRSCS_SCZ25_EUR	relative_ct	parcel	PLS2	-0.01289	137	0.005583	0.8974	0.9211	4308
PRSCS_SCZ25_EUR	relative_ct	parcel	C3	0.01285	137	0.005583	0.8984	0.9311	4308
PRSCS_SCZ25_EUR	relative_ct	parcel	dCT	0.04119	179	0.005583	0.6553	0.7602	4308
PRSCS_SCZ25_EUR	relative_ct	cortex	PLS2	0.04009	22	0.006787	0.8794	0.8841	4308
PRSCS_SCZ25_EUR	relative_ct	cortex	C3	0.2264	22	0.006787	0.3807	0.4086	4308
PRSCS_SCZ25_EUR	relative_ct	cortex	dCT	-0.1542	22	0.006787	0.5897	0.5255	4308
PRSCS_MDD_pooled	absolute	parcel	PLS2	-0.07827	137	0.00662	0.4225	0.5305	8596
PRSCS_MDD_pooled	absolute	parcel	C3	-0.04607	137	0.00662	0.6243	0.7443	8596
PRSCS_MDD_pooled	absolute	parcel	dCT	0.06352	179	0.00662	0.5375	0.6344	8596
PRSCS_MDD_pooled	absolute	cortex	PLS2	-0.4116	22	0.01004	0.06779	0.1209	8596
PRSCS_MDD_pooled	absolute	cortex	C3	-0.2739	22	0.01004	0.232	0.3197	8596
PRSCS_MDD_pooled	absolute	cortex	dCT	0.03557	22	0.01004	0.9048	0.9111	8596
PRSCS_MDD_pooled	relative	parcel	PLS2	-0.107	137	0.0003507	0.2899	0.3896	8596
PRSCS_MDD_pooled	relative	parcel	C3	-0.1263	137	0.0003507	0.2054	0.3317	8596
PRSCS_MDD_pooled	relative	parcel	dCT	0.1029	179	0.0003507	0.3481	0.4066	8596
PRSCS_MDD_pooled	relative	cortex	PLS2	-0.528	22	0.0004741	0.0178	0.02897	8596
PRSCS_MDD_pooled	relative	cortex	C3	-0.4274	22	0.0004741	0.06899	0.08791	8596
PRSCS_MDD_pooled	relative	cortex	dCT	0.1914	22	0.0004741	0.5097	0.3986	8596
PRSCS_MDD_pooled	absolute_ct	parcel	PLS2	-0.06596	137	0.01071	0.5739	0.6464	8596
PRSCS_MDD_pooled	absolute_ct	parcel	C3	-0.07743	137	0.01071	0.5119	0.5944	8596
PRSCS_MDD_pooled	absolute_ct	parcel	dCT	-0.1155	179	0.01071	0.3869	0.3976	8596
PRSCS_MDD_pooled	absolute_ct	cortex	PLS2	-0.1214	22	0.01574	0.5563	0.6454	8596
PRSCS_MDD_pooled	absolute_ct	cortex	C3	0.04122	22	0.01574	0.8786	0.8881	8596
PRSCS_MDD_pooled	absolute_ct	cortex	dCT	-0.2953	22	0.01574	0.1856	0.2607	8596
PRSCS_MDD_pooled	relative_ct	parcel	PLS2	-0.08908	137	0.00614	0.4521	0.5155	8596
PRSCS_MDD_pooled	relative_ct	parcel	C3	-0.1377	137	0.00614	0.2172	0.3377	8596
PRSCS_MDD_pooled	relative_ct	parcel	dCT	-0.06173	179	0.00614	0.6377	0.6234	8596
PRSCS_MDD_pooled	relative_ct	cortex	PLS2	-0.4579	22	0.007803	0.04119	0.06993	8596
PRSCS_MDD_pooled	relative_ct	cortex	C3	-0.3337	22	0.007803	0.1414	0.2248	8596
PRSCS_MDD_pooled	relative_ct	cortex	dCT	0.0367	22	0.007803	0.897	0.8861	8596
PRSCS_MDD_eur	absolute	parcel	PLS2	0.00168	137	0.00429	0.9852	0.995	4308
PRSCS_MDD_eur	absolute	parcel	C3	-0.09952	137	0.00429	0.3431	0.4525	4308
PRSCS_MDD_eur	absolute	parcel	dCT	-0.1221	179	0.00429	0.3497	0.3586	4308
PRSCS_MDD_eur	absolute	cortex	PLS2	-0.006211	22	0.00472	0.9792	0.985	4308
PRSCS_MDD_eur	absolute	cortex	C3	0.01976	22	0.00472	0.9324	0.951	4308
PRSCS_MDD_eur	absolute	cortex	dCT	-0.2355	22	0.00472	0.3355	0.3776	4308
PRSCS_MDD_eur	relative	parcel	PLS2	-0.005857	137	0.0004953	0.9668	0.973	4308
PRSCS_MDD_eur	relative	parcel	C3	-0.1246	137	0.0004953	0.239	0.3646	4308
PRSCS_MDD_eur	relative	parcel	dCT	-0.1065	179	0.0004953	0.4359	0.4216	4308
PRSCS_MDD_eur	relative	cortex	PLS2	-0.03557	22	-0.00126	0.882	0.9031	4308
PRSCS_MDD_eur	relative	cortex	C3	-0.09656	22	-0.00126	0.6671	0.7433	4308
PRSCS_MDD_eur	relative	cortex	dCT	-0.1903	22	-0.00126	0.4415	0.4326	4308
PRSCS_MDD_eur	absolute_ct	parcel	PLS2	0.1644	137	0.01725	0.2116	0.1958	4308
PRSCS_MDD_eur	absolute_ct	parcel	C3	0.03299	137	0.01725	0.8088	0.7972	4308
PRSCS_MDD_eur	absolute_ct	parcel	dCT	-0.325	179	0.01725	0.009798	0.005994	4308
PRSCS_MDD_eur	absolute_ct	cortex	PLS2	0.07623	22	0.02274	0.7794	0.7802	4308
PRSCS_MDD_eur	absolute_ct	cortex	C3	0.1067	22	0.02274	0.6719	0.7053	4308
PRSCS_MDD_eur	absolute_ct	cortex	dCT	-0.3665	22	0.02274	0.1648	0.1558	4308
PRSCS_MDD_eur	relative_ct	parcel	PLS2	0.1537	137	0.01381	0.2492	0.2368	4308
PRSCS_MDD_eur	relative_ct	parcel	C3	-0.005652	137	0.01381	0.9662	0.976	4308
PRSCS_MDD_eur	relative_ct	parcel	dCT	-0.3131	179	0.01381	0.016	0.01499	4308
PRSCS_MDD_eur	relative_ct	cortex	PLS2	0.03783	22	0.01507	0.8988	0.9101	4308
PRSCS_MDD_eur	relative_ct	cortex	C3	0.0559	22	0.01507	0.8224	0.8492	4308
PRSCS_MDD_eur	relative_ct	cortex	dCT	-0.2558	22	0.01507	0.3597	0.3097	4308
SBayesRC_SCZ25_META	absolute	parcel	PLS2	-0.009838	137	0.01351	0.9406	0.9171	8596
SBayesRC_SCZ25_META	absolute	parcel	C3	0.1844	137	0.01351	0.1034	0.1808	8596
SBayesRC_SCZ25_META	absolute	parcel	dCT	0.01564	179	0.01351	0.9082	0.8921	8596
SBayesRC_SCZ25_META	absolute	cortex	PLS2	0.179	22	0.01892	0.5247	0.5075	8596
SBayesRC_SCZ25_META	absolute	cortex	C3	0.2874	22	0.01892	0.2535	0.2997	8596
SBayesRC_SCZ25_META	absolute	cortex	dCT	-0.2739	22	0.01892	0.3357	0.2847	8596
SBayesRC_SCZ25_META	relative	parcel	PLS2	-0.06331	137	0.001225	0.5555	0.6264	8596
SBayesRC_SCZ25_META	relative	parcel	C3	0.05974	137	0.001225	0.5253	0.6474	8596
SBayesRC_SCZ25_META	relative	parcel	dCT	0.08395	179	0.001225	0.4537	0.5045	8596
SBayesRC_SCZ25_META	relative	cortex	PLS2	0.009599	22	0.0004328	0.9716	0.962	8596
SBayesRC_SCZ25_META	relative	cortex	C3	0.1632	22	0.0004328	0.5057	0.5475	8596
SBayesRC_SCZ25_META	relative	cortex	dCT	-0.1169	22	0.0004328	0.6663	0.6474	8596
SBayesRC_SCZ25_META	absolute_ct	parcel	PLS2	0.2268	137	0.01586	0.03099	0.07592	8596
SBayesRC_SCZ25_META	absolute_ct	parcel	C3	0.2518	137	0.01586	0.0164	0.08292	8596
SBayesRC_SCZ25_META	absolute_ct	parcel	dCT	-0.2281	179	0.01586	0.04199	0.07592	8596
SBayesRC_SCZ25_META	absolute_ct	cortex	PLS2	0.5133	22	0.02162	0.03239	0.03996	8596
SBayesRC_SCZ25_META	absolute_ct	cortex	C3	0.5584	22	0.02162	0.0174	0.03397	8596
SBayesRC_SCZ25_META	absolute_ct	cortex	dCT	-0.4918	22	0.02162	0.05119	0.05295	8596
SBayesRC_SCZ25_META	relative_ct	parcel	PLS2	0.1941	137	0.00745	0.03179	0.1499	8596
SBayesRC_SCZ25_META	relative_ct	parcel	C3	0.1564	137	0.00745	0.08018	0.2597	8596
SBayesRC_SCZ25_META	relative_ct	parcel	dCT	-0.1591	179	0.00745	0.1018	0.2288	8596
SBayesRC_SCZ25_META	relative_ct	cortex	PLS2	0.3981	22	0.008266	0.1276	0.1119	8596
SBayesRC_SCZ25_META	relative_ct	cortex	C3	0.4082	22	0.008266	0.09998	0.1209	8596
SBayesRC_SCZ25_META	relative_ct	cortex	dCT	-0.3348	22	0.008266	0.2531	0.1588	8596
SBayesRC_SCZ25_EUR	absolute	parcel	PLS2	-0.08322	137	0.01883	0.5233	0.5155	4308
SBayesRC_SCZ25_EUR	absolute	parcel	C3	0.07288	137	0.01883	0.5173	0.6064	4308
SBayesRC_SCZ25_EUR	absolute	parcel	dCT	-0.0003285	179	0.01883	0.9988	0.998	4308
SBayesRC_SCZ25_EUR	absolute	cortex	PLS2	0.2343	22	0.02741	0.4109	0.4106	4308
SBayesRC_SCZ25_EUR	absolute	cortex	C3	0.354	22	0.02741	0.1576	0.2158	4308
SBayesRC_SCZ25_EUR	absolute	cortex	dCT	-0.2863	22	0.02741	0.3341	0.2637	4308
SBayesRC_SCZ25_EUR	relative	parcel	PLS2	-0.1363	137	0.0008038	0.2404	0.2907	4308
SBayesRC_SCZ25_EUR	relative	parcel	C3	-0.05984	137	0.0008038	0.5681	0.6683	4308
SBayesRC_SCZ25_EUR	relative	parcel	dCT	0.06546	179	0.0008038	0.6143	0.6214	4308
SBayesRC_SCZ25_EUR	relative	cortex	PLS2	0.08187	22	0.0003022	0.7556	0.7592	4308
SBayesRC_SCZ25_EUR	relative	cortex	C3	0.1801	22	0.0003022	0.4405	0.5045	4308
SBayesRC_SCZ25_EUR	relative	cortex	dCT	-0.1395	22	0.0003022	0.6005	0.5465	4308
SBayesRC_SCZ25_EUR	absolute_ct	parcel	PLS2	0.1406	137	0.01248	0.1322	0.2917	4308
SBayesRC_SCZ25_EUR	absolute_ct	parcel	C3	0.09396	137	0.01248	0.3217	0.5395	4308
SBayesRC_SCZ25_EUR	absolute_ct	parcel	dCT	-0.1329	179	0.01248	0.1482	0.3027	4308
SBayesRC_SCZ25_EUR	absolute_ct	cortex	PLS2	0.2547	22	0.01719	0.3343	0.3377	4308
SBayesRC_SCZ25_EUR	absolute_ct	cortex	C3	0.3156	22	0.01719	0.2056	0.2767	4308
SBayesRC_SCZ25_EUR	absolute_ct	cortex	dCT	-0.266	22	0.01719	0.3483	0.3257	4308
SBayesRC_SCZ25_EUR	relative_ct	parcel	PLS2	0.05948	137	0.0008157	0.5277	0.6643	4308
SBayesRC_SCZ25_EUR	relative_ct	parcel	C3	-0.04535	137	0.0008157	0.6429	0.7552	4308
SBayesRC_SCZ25_EUR	relative_ct	parcel	dCT	-0.05188	179	0.0008157	0.5967	0.7063	4308
SBayesRC_SCZ25_EUR	relative_ct	cortex	PLS2	0.1146	22	0.0004548	0.6619	0.6484	4308
SBayesRC_SCZ25_EUR	relative_ct	cortex	C3	0.205	22	0.0004548	0.4035	0.4525	4308
SBayesRC_SCZ25_EUR	relative_ct	cortex	dCT	-0.083	22	0.0004548	0.7776	0.7453	4308
SBayesRC_MDD_pooled	absolute	parcel	PLS2	-0.1371	137	0.00787	0.1962	0.3037	8596
SBayesRC_MDD_pooled	absolute	parcel	C3	-0.05481	137	0.00787	0.6275	0.6813	8596
SBayesRC_MDD_pooled	absolute	parcel	dCT	0.05205	179	0.00787	0.6359	0.6873	8596
SBayesRC_MDD_pooled	absolute	cortex	PLS2	-0.2976	22	0.01252	0.183	0.2927	8596
SBayesRC_MDD_pooled	absolute	cortex	C3	-0.1858	22	0.01252	0.4445	0.5125	8596
SBayesRC_MDD_pooled	absolute	cortex	dCT	-0.048	22	0.01252	0.8568	0.8551	8596
SBayesRC_MDD_pooled	relative	parcel	PLS2	-0.1707	137	0.0003006	0.116	0.1968	8596
SBayesRC_MDD_pooled	relative	parcel	C3	-0.1625	137	0.0003006	0.1532	0.2178	8596
SBayesRC_MDD_pooled	relative	parcel	dCT	0.09496	179	0.0003006	0.4153	0.4496	8596
SBayesRC_MDD_pooled	relative	cortex	PLS2	-0.4613	22	0.001087	0.05059	0.06294	8596
SBayesRC_MDD_pooled	relative	cortex	C3	-0.4026	22	0.001087	0.1124	0.1159	8596
SBayesRC_MDD_pooled	relative	cortex	dCT	0.1632	22	0.001087	0.5753	0.5075	8596
SBayesRC_MDD_pooled	absolute_ct	parcel	PLS2	-0.1038	137	0.01079	0.4049	0.4336	8596
SBayesRC_MDD_pooled	absolute_ct	parcel	C3	-0.08502	137	0.01079	0.5291	0.5405	8596
SBayesRC_MDD_pooled	absolute_ct	parcel	dCT	-0.1256	179	0.01079	0.3803	0.3676	8596
SBayesRC_MDD_pooled	absolute_ct	cortex	PLS2	-0.1248	22	0.01615	0.5573	0.6384	8596
SBayesRC_MDD_pooled	absolute_ct	cortex	C3	0.06155	22	0.01615	0.8268	0.8112	8596
SBayesRC_MDD_pooled	absolute_ct	cortex	dCT	-0.275	22	0.01615	0.2164	0.3097	8596
SBayesRC_MDD_pooled	relative_ct	parcel	PLS2	-0.1296	137	0.005414	0.2817	0.3247	8596
SBayesRC_MDD_pooled	relative_ct	parcel	C3	-0.1556	137	0.005414	0.2204	0.2637	8596
SBayesRC_MDD_pooled	relative_ct	parcel	dCT	-0.08299	179	0.005414	0.5505	0.5405	8596
SBayesRC_MDD_pooled	relative_ct	cortex	PLS2	-0.2693	22	0.007259	0.1996	0.3167	8596
SBayesRC_MDD_pooled	relative_ct	cortex	C3	-0.1293	22	0.007259	0.6233	0.6503	8596
SBayesRC_MDD_pooled	relative_ct	cortex	dCT	-0.1632	22	0.007259	0.5053	0.5335	8596
SBayesRC_MDD_eur	absolute	parcel	PLS2	0.004574	137	0.007247	0.969	0.963	4308
SBayesRC_MDD_eur	absolute	parcel	C3	-0.06114	137	0.007247	0.5865	0.6444	4308
SBayesRC_MDD_eur	absolute	parcel	dCT	-0.1343	179	0.007247	0.2715	0.3097	4308
SBayesRC_MDD_eur	absolute	cortex	PLS2	0.002823	22	0.009475	0.991	0.994	4308
SBayesRC_MDD_eur	absolute	cortex	C3	0.1169	22	0.009475	0.5725	0.6703	4308
SBayesRC_MDD_eur	absolute	cortex	dCT	-0.2264	22	0.009475	0.3089	0.3826	4308
SBayesRC_MDD_eur	relative	parcel	PLS2	-0.0154	137	0.0006229	0.8986	0.9101	4308
SBayesRC_MDD_eur	relative	parcel	C3	-0.1089	137	0.0006229	0.3245	0.4086	4308
SBayesRC_MDD_eur	relative	parcel	dCT	-0.1125	179	0.0006229	0.3745	0.3966	4308
SBayesRC_MDD_eur	relative	cortex	PLS2	-0.08639	22	-0.0006827	0.7183	0.7393	4308
SBayesRC_MDD_eur	relative	cortex	C3	0.0175	22	-0.0006827	0.9378	0.956	4308
SBayesRC_MDD_eur	relative	cortex	dCT	-0.1677	22	-0.0006827	0.4633	0.4855	4308
SBayesRC_MDD_eur	absolute_ct	parcel	PLS2	0.1851	137	0.01992	0.1752	0.1489	4308
SBayesRC_MDD_eur	absolute_ct	parcel	C3	0.04923	137	0.01992	0.7169	0.7463	4308
SBayesRC_MDD_eur	absolute_ct	parcel	dCT	-0.388	179	0.01992	0.003199	0.002997	4308
SBayesRC_MDD_eur	absolute_ct	cortex	PLS2	0.09543	22	0.02656	0.6695	0.7453	4308
SBayesRC_MDD_eur	absolute_ct	cortex	C3	0.2084	22	0.02656	0.3335	0.4895	4308
SBayesRC_MDD_eur	absolute_ct	cortex	dCT	-0.4692	22	0.02656	0.04239	0.07493	4308
SBayesRC_MDD_eur	relative_ct	parcel	PLS2	0.1492	137	0.01463	0.2785	0.2418	4308
SBayesRC_MDD_eur	relative_ct	parcel	C3	-0.008466	137	0.01463	0.951	0.953	4308
SBayesRC_MDD_eur	relative_ct	parcel	dCT	-0.361	179	0.01463	0.009198	0.003996	4308
SBayesRC_MDD_eur	relative_ct	cortex	PLS2	0.02202	22	0.01616	0.9128	0.9261	4308
SBayesRC_MDD_eur	relative_ct	cortex	C3	0.09204	22	0.01616	0.6691	0.7333	4308
SBayesRC_MDD_eur	relative_ct	cortex	dCT	-0.3653	22	0.01616	0.1192	0.1319	4308
