gene	dk_thinning_Z	hcp_thinning_Z
ALDH9A1	-2.5628	-2.38685
ALDOA	0.934496	
ALDOC	-0.487952	-0.170993
ALG1	-0.441813	
ALG10	1.1887	3.56768
ALG10B	1.99403	5.00234
ALG13	4.52914	
ALG1L	-0.793078	
ALG2	0.556372	1.9164
ALG3	0.904412	-0.952649
ALG5	-2.43559	-3.98432
ALG8	-5.10327	-3.61058
ALG9	-3.2129	
ALK	-0.540583	-1.69299
ALKAL2	-2.34574	-3.16553
ALKBH1	1.84662	
ALKBH2	2.94274	1.46696
ALKBH3	1.34708	
ALKBH5	-0.325322	
ALKBH7	-0.363324	-0.751738
ALKBH8	2.15253	0.630224
ALMS1	-1.93537	
ALMS1P1	-3.82177	
ALOX12B	3.21319	
ALOX15B	1.96475	
ALOX5	-2.78356	-3.77473
ALOX5AP	-2.85094	-3.96702
ALPK1	-5.32819	-7.47993
ALPL	-0.0915065	-0.586323
ALS2	2.64101	3.43294
ALS2CL	4.60583	5.4887
ALS2CR12	-2.54515	0.309358
ALX3	-0.773586	-0.27035
ALYREF	-0.660453	-0.108895
AMACR	1.29481	
AMD1	0.224152	0.128992
AMDHD1	2.33512	0.691752
AMER1	3.2131	1.53516
AMER3	5.80363	
AMH	2.56261	1.06418
AMIGO1	2.864	
AMIGO2	0.209519	0.999657
AMMECR1	1.24213	1.62938
AMMECR1L	1.72657	
AMN1	-1.13631	-1.53655
AMOT	-1.38059	
AMOTL1	-2.28443	
AMPD3	0.853484	-1.59236
AMPH	1.34415	
AMT	1.40423	2.72211
AMY2A	0.697405	1.60887
AMZ1	-4.28201	-4.95371
AMZ2	-0.256214	
AMZ2P1	-1.88665	-0.379944
ANAPC1	3.01586	3.34816
ANAPC10	2.37717	2.42464
ANAPC11	-1.3583	-0.194644
ANAPC13	-2.39832	
ANAPC15	-0.621918	
ANAPC4	0.807595	2.07553
ANAPC7	0.0234147	
ANG	-0.793739	0.663596
ANGEL1	-0.0614992	-1.24457
ANGEL2	0.69237	1.32728
ANGPT1	-3.11545	-1.4943
ANGPT2	0.395439	
ANGPTL1	-1.40619	
ANGPTL2	-0.581956	-0.610176
ANGPTL4	-1.59016	0.241871
ANGPTL6	0.233059	
ANGPTL8	5.71753	5.55722
ANK1	1.35133	0.242569
ANK3	-0.818548	0.203145
ANKDD1A	-1.34301	0.774185
ANKFY1	0.0793093	
ANKH	1.62661	0.948816
ANKHD1	0.77983	
ANKLE2	0.688844	0.271238
ANKMY2	2.20267	
ANKRA2	-1.54059	-1.00924
ANKRD10	-0.962292	
ANKRD12	1.99162	
ANKRD13A	-0.605429	-1.91735
ANKRD13C	2.64551	
ANKRD16	0.333832	-1.03762
ANKRD18A	-2.46356	-5.19868
ANKRD18B	-1.16407	-1.28543
ANKRD18CP	-2.60016	-1.61575
ANKRD18DP	0.701731	1.45085
ANKRD19P	-1.69472	-0.760045
ANKRD2	2.22705	-0.17903
ANKRD20A11P	-3.19283	-2.35811
ANKRD20A12P	-0.855903	-0.168891
ANKRD20A4-ANKRD20A20P	-0.321963	-0.0447662
ANKRD20A5P	-1.70596	-2.27406
ANKRD20A8P	1.62374	2.65053
ANKRD20A9P	-0.69181	0.0215149
ANKRD23	0.711401	
ANKRD24	5.7395	7.15503
ANKRD26	0.866686	1.69795
ANKRD27	2.9263	1.86973
ANKRD28	3.56144	3.42039
ANKRD29	0.621382	-1.12077
ANKRD30B	2.44576	3.61413
ANKRD30BL	0.115828	2.57081
ANKRD30BP2	0.0199984	0.846709
ANKRD33B	2.56564	2.56723
ANKRD34C	2.90343	3.0516
ANKRD36B	-1.58385	
ANKRD36BP1	-0.51547	
ANKRD36BP2	-2.105	0.720462
ANKRD36C	-0.475365	
ANKRD37	1.41918	0.941069
ANKRD42	-0.9301	-2.4174
ANKRD44	-1.37689	
ANKRD45	-0.995458	0.426945
ANKRD49	1.46682	1.71734
ANKRD50	-0.00363256	0.782821
ANKRD54	-2.64197	-3.41389
ANKRD55	0.711116	4.23595
ANKRD6	-0.552534	0.755632
ANKRD62	0.0706475	-2.08039
ANKRD65	1.41852	0.678291
ANKRD9	-0.616618	-0.00489861
ANKS1A	0.518164	0.987018
ANKS1B	0.82547	2.27817
ANKS3	2.65109	2.01548
ANKS6	2.28307	1.20604
ANKZF1	2.26194	3.21824
ANLN	-0.187529	-2.60428
ANO1	2.7956	
ANO10	-0.29719	2.1147
ANO2	-0.846586	0.555703
ANO3	-0.13398	-0.543629
ANO4		-1.06749
ANO5	2.98505	2.29937
ANO6	-4.00756	
ANO7	2.1911	1.6781
ANO8	-0.341382	
ANOS1	-0.765888	1.64656
ANP32A	-1.20302	-3.6041
ANP32A-IT1	-0.323927	
ANP32AP1	-4.76674	
ANP32D	-3.38531	
ANP32E	-1.88092	0.434606
ANTXR1	0.587654	1.74337
ANTXR2	-0.668608	-1.2329
ANXA1	-0.41145	-1.81078
ANXA11	-1.22073	0.028804
ANXA2	-4.75448	-3.94472
ANXA2P1	-3.95188	
ANXA2P3	4.65103	6.31316
ANXA3	0.661399	-0.216817
ANXA4	-1.09996	-3.44849
ANXA5	-3.62356	-3.34619
ANXA6	0.89914	-1.60143
AOAH	-5.3724	
AOC2	2.64986	
AP1AR	-0.445362	
AP1G2	2.88373	5.18266
AP1M1	1.83089	
AP1S1	-0.803842	-1.48251
AP1S2	-0.68903	-1.61155
AP1S3	0.853789	
AP2A2	0.513709	-0.435231
AP2B1	-1.99756	-1.90942
AP2M1	-0.50126	
AP2S1	-1.04887	-1.42448
AP3B1	-4.09376	
AP3B2	1.80765	1.22088
AP3M1	-2.43154	
AP3M2	0.82654	1.78336
AP3S1	-1.52793	-1.12708
AP4B1	1.26028	
AP4E1	1.94497	1.57983
AP5B1	0.201231	
AP5M1	0.330975	-0.181435
AP5S1	-1.61687	-2.6875
APAF1	-1.60383	-0.268545
APBA1	-1.06117	0.0408993
APBA2	3.36609	
APBA3	0.0550509	
APBB1IP	-3.02959	-3.85954
APBB2	0.580822	-1.15488
APBB3	2.47182	
APCDD1	-2.63666	0.782063
APEH	1.66901	0.894079
APEX2	1.11334	0.693856
APH1A	-0.947063	
APH1B	-3.0533	
API5	2.97679	3.03527
APIP	0.0266035	-1.44238
APLN	-3.36746	-1.05569
APLNR	-2.55604	-1.34465
APLP2	2.99014	
APMAP	1.20913	1.79561
APOC1	-3.13932	-2.4904
APOE	-2.91514	-0.621905
APOL1	2.07379	0.224375
APOL2	2.29908	0.80276
APOL4	2.28104	
APOLD1	-0.0562797	-1.17055
APOM	-1.65648	-0.221818
APOOL	-0.86581	
APOPT1	-3.12559	-3.01573
APPBP2	2.88042	1.00401
APPL2	-4.16176	
APRT	-0.821362	-1.10834
APTR	-2.32763	-2.60086
AQP1	0.00473535	0.890429
AQP11	2.08377	
AQP4	-1.79527	0.886789
AQP5	-5.43235	-4.4141
AQP9	2.93268	2.96505
AQR	0.201102	
AR	1.11013	-0.37366
ARAP1	-1.04617	
ARAP2	1.86681	2.54118
ARAP3	3.71796	6.02919
ARC	1.78491	1.15347
ARF3	1.04643	1.50431
ARF4	-1.64325	
ARFGAP1	2.31384	
ARFGAP3	-0.846329	0.861363
ARFGEF1	0.445046	-2.10181
ARFGEF2	1.85506	0.342276
ARFGEF3	-1.56195	-0.66487
ARFIP1	0.511779	
ARFIP2	3.16349	
ARFRP1	3.19395	
ARG2	2.63372	1.05798
ARGLU1	-3.61789	
ARHGAP10	1.09281	0.865297
ARHGAP12	-0.0660413	1.923
ARHGAP18	-4.5348	-2.51404
ARHGAP20	3.73247	
ARHGAP22	-2.32647	-5.40153
ARHGAP23	-2.06822	
ARHGAP25	2.35568	1.20231
ARHGAP26	3.89709	2.65652
ARHGAP27	-1.96756	-1.46854
ARHGAP27P1	1.41861	1.59069
ARHGAP27P2	4.8423	5.42561
ARHGAP28	0.713891	3.19649
ARHGAP29	3.53343	6.17961
ARHGAP31	-2.5458	1.05483
ARHGAP32	1.30373	2.06791
ARHGAP33	-0.929933	0.634533
ARHGAP36	-2.0508	-0.770511
ARHGAP39	1.88465	2.29719
ARHGAP4	-1.43077	-0.448187
ARHGAP42	-0.322611	2.21841
ARHGAP44	1.1192	-0.832958
ARHGAP45	-2.26634	-3.73745
ARHGAP5-AS1	-1.52842	0.369761
ARHGAP6	-3.28254	-2.1667
ARHGAP9	1.39808	-0.221886
ARHGDIA	-1.10819	-1.04005
ARHGDIB	-0.893258	-1.41051
ARHGDIG	0.758937	0.787183
ARHGEF10	0.727379	0.567813
ARHGEF10L	0.654125	-0.176561
ARHGEF11	0.403167	0.798477
ARHGEF12	2.58496	4.174
ARHGEF16	1.92506	0.719991
ARHGEF17	2.26396	1.10677
ARHGEF18	1.82062	1.03355
ARHGEF2	1.83127	0.669757
ARHGEF25	3.44876	
ARHGEF26	-2.78973	
ARHGEF26-AS1	-2.66583	0.749146
ARHGEF28	-0.469165	-1.18403
ARHGEF3	2.34346	
ARHGEF33	-1.21901	
ARHGEF4	0.114738	-0.754767
ARHGEF40	-2.94521	-1.11006
ARHGEF6	-2.74393	-1.96368
ARHGEF7	0.399748	0.35852
ARID1A	-0.157239	
ARID1B	0.403347	
ARID2	2.86053	2.63522
ARID3A	0.630476	
ARID3B	-1.39794	-1.8582
ARID3C	1.51345	
ARID4B	1.9624	
ARID5A	4.48269	7.51948
ARID5B	1.50276	1.22056
ARIH1	1.94772	
ARIH2	0.513915	-0.3303
ARL10	-0.798423	0.660201
ARL13B	-0.489977	-0.465746
ARL14EP	-0.739252	
ARL15	0.306901	-0.357598
ARL16	-2.09597	-2.15291
ARL17A	0.37877	1.11396
ARL17B	-0.580028	
ARL2	1.13571	
ARL2BP	1.15454	1.40696
ARL3	-1.67997	-0.981194
ARL4A	-0.661305	0.391759
ARL4C	6.23601	6.14871
ARL4D	1.84421	-0.179307
ARL5A	-0.390317	-2.54465
ARL5B	2.50928	2.18757
ARL6	4.15365	0.353519
ARL6IP1	-0.293576	
ARL6IP4	-0.321543	
ARL6IP5	1.87578	-0.00650292
ARL8B	2.16219	
ARL9	-1.14872	-0.0231526
ARMC1	0.139431	
ARMC10	-0.893064	-0.498596
ARMC2	-1.09591	1.32174
ARMC4	3.56594	
ARMC7	1.68437	
ARMC8	3.70691	1.57891
ARMC9	0.956499	2.88722
ARMCX1	-0.00957348	0.885249
ARMCX2	-0.190975	-0.804501
ARMCX3	2.56854	
ARMCX4	2.3969	3.29183
ARMCX6	-0.806405	-0.549579
ARMT1	1.15058	-1.58442
ARNT	1.84526	
ARNT2	-0.263609	2.21841
ARNTL	2.87011	1.82176
ARNTL2	-0.120595	-0.352738
ARPC1B	-2.34975	
ARPC2	-0.930807	-1.02046
ARPC3	-1.8026	-1.55275
ARPC4	-1.01512	
ARPC5	-2.92613	-3.09941
ARPC5L	-2.78002	
ARPIN	-0.523999	
ARPP19	0.817321	0.701843
ARPP21	1.89071	4.4076
ARRB1	-1.42247	0.112076
ARRB2	-0.952154	-1.05719
ARRDC1-AS1	-0.605922	-1.36339
ARRDC3	0.811371	
ARRDC4	0.0839439	
ARSF	-2.66766	
ARSG	2.78521	1.5646
ARSJ	2.90386	6.28226
ART3	2.36706	-0.498495
ARV1	-0.921743	
ARVCF	-0.411849	1.11566
ARX	0.125308	
ASAH1	-3.70455	-2.72077
ASAH2	0.439355	-1.21238
ASAH2B	0.43179	-0.04282
ASAP1	4.25444	
ASAP1-IT1	1.32744	
ASAP1-IT2	0.889601	
ASAP2	1.3542	0.687621
ASAP3	-2.94675	-1.31143
ASB1	-0.860963	-0.983262
ASB13	1.79178	0.505233
ASB2	5.39478	6.54021
ASB5	-1.12244	-0.496578
ASB6	2.94925	0.82165
ASB7	1.49042	
ASB8	0.407712	
ASCC3	-2.57856	
ASCL2	-1.39412	-1.36728
ASGR1	3.83056	3.04308
ASGR2	2.62366	1.55659
ASH1L	1.11879	1.14728
ASH1L-AS1	-1.37916	-0.66245
ASH2L	0.72091	0.669082
ASIC1	-2.16757	
ASIC2	-0.901695	-2.32707
ASIC3	1.17299	3.53811
ASIC4	0.707257	2.77406
ASIP	-5.08745	
ASL	0.373948	0.314218
ASMTL	2.20384	2.03603
ASMTL-AS1	0.813608	2.08702
ASNSD1	3.10177	2.94845
ASNSP1	1.58219	-0.878979
ASPDH	1.31701	0.145595
ASPH	-1.51983	
ASPHD1	-0.599245	
ASPHD2	-0.814316	-0.336757
ASPRV1	1.01919	0.0944775
ASPSCR1	1.27436	0.445733
ASS1	0.525502	2.22524
ASTE1	2.54901	4.28764
ASTN1	-1.07705	-0.0652054
ASTN2	0.623427	-0.820624
ASXL2	-0.796569	0.642086
ASXL3	0.660651	2.44851
ATAD1	0.450107	
ATAD2	1.7914	2.53505
ATAD2B	0.821837	0.351049
ATAD3A	0.963529	
ATAD5	1.75186	
ATCAY	3.45806	
ATE1	-0.968578	-0.696261
ATF1	0.357348	
ATF2	5.67501	
ATF4	2.44206	0.612316
ATF5	-5.20879	-4.02361
ATF6B	1.72413	3.3797
ATF7IP2	0.645148	1.02348
ATG101	1.53316	
ATG12	-1.19538	
ATG14	1.0391	
ATG16L1	2.11971	1.87905
ATG2A	2.57483	
ATG4A	0.240228	
ATG4B	0.249415	
ATG4D	1.8847	0.0133142
ATG5	3.48742	
ATG7	3.9711	2.47853
ATG9A	4.39245	
ATIC	-0.934399	
ATL1	1.59544	-0.423702
ATL2	4.52933	
ATM	-0.428564	
ATMIN	1.02662	
ATN1	1.56621	
ATOH7	-0.865568	-0.797385
ATOX1	-1.13663	-1.41454
ATP10A	0.726318	-0.675041
ATP10D	-4.25442	
ATP11A	0.513313	-0.844504
ATP11B	1.97537	
ATP13A3	0.5055	-0.833484
ATP1A1	1.87551	0.261448
ATP1A3	1.3016	-0.0866975
ATP1A4	1.39525	-0.246687
ATP1B1	1.84336	-0.34686
ATP1B3	1.88911	-0.0266571
ATP2A2	2.42277	0.40409
ATP2B1	2.9108	1.82569
ATP2B2	1.13523	0.330718
ATP2B3	1.29359	-0.292146
ATP2B4	-0.621425	-0.289065
ATP2C1	-0.904235	-1.03619
ATP2C2	-2.08151	-1.79509
ATP4A	4.43687	5.46639
ATP5F1A	0.747419	-0.678898
ATP5F1B	1.75646	-0.46566
ATP5F1C	-3.7816	
ATP5F1D	0.957579	-0.709684
ATP5IF1	-1.49985	
ATP5MC1	-1.28434	
ATP5MC3	0.674307	
ATP5ME	-1.93651	-3.51787
ATP5MF	-2.08948	
ATP5MPL	3.26926	
ATP5PB	-1.82461	
ATP5PF	-0.451429	
ATP5S	-4.3417	
ATP6AP1	2.41071	0.321338
ATP6AP1L	-0.663561	
ATP6AP2	0.258509	
ATP6V0A1	4.65772	
ATP6V0A2	1.93891	1.01103
ATP6V0A4	-3.18936	-4.06441
ATP6V0B	2.77889	
ATP6V0C	2.1293	
ATP6V0CP3	1.1275	
ATP6V0D1	0.982073	-1.13717
ATP6V0E1	-4.44672	-2.84893
ATP6V0E2	-2.13252	-3.08954
ATP6V0E2-AS1	-1.86662	-1.71328
ATP6V1A	1.51633	0.304884
ATP6V1B2	0.943328	
ATP6V1C1	0.0412942	0.630827
ATP6V1C2	1.51294	2.35414
ATP6V1D	-1.04313	
ATP6V1E1	-0.456598	-1.44826
ATP6V1E2	-0.906151	-1.12927
ATP6V1G1	0.682137	
ATP6V1H	-0.857037	-1.8584
ATP7A	3.38278	
ATP7B	-1.76183	-1.39911
ATP8A1	0.592974	0.358574
ATP8A2	-1.07395	-2.94533
ATP8B1	2.11981	2.28467
ATP8B2	0.907331	1.17296
ATP8B3	-3.0379	
ATP9A	1.10758	1.41512
ATP9B	1.00565	
ATPAF1	-3.35552	-2.07267
ATPAF2	0.0543666	-0.0121945
ATR	0.885913	
ATRAID	-4.11312	
ATRNL1	2.47057	1.64515
ATRX	1.05383	1.51658
ATXN1	4.21202	6.69019
ATXN10	-2.56375	-1.808
ATXN2L	2.85991	2.10968
ATXN3	1.85941	0.317525
ATXN7	0.920027	2.20963
ATXN7L1	2.14832	
ATXN7L2	2.09405	3.96593
ATXN7L3	2.69349	1.64944
ATXN7L3B	3.17912	
AUH	2.3502	
AUNIP	-1.6053	-3.41032
AURKA	1.26611	
AURKAIP1	2.62862	
AURKB	-0.809166	
AUTS2	-1.04358	0.548566
AVEN	-0.225098	-3.12545
AVIL	0.0611319	0.112386
AVL9	0.52522	1.71989
AVP	-2.59539	
AVPI1	4.4037	3.37042
AXIN1	-2.58301	
AXIN2	1.82124	2.60369
AXL	-3.10256	
AZGP1	-0.323387	-2.16201
AZI2	-0.689391	
AZIN1	-1.28822	-1.26388
AZIN1-AS1	-0.906378	-1.05408
AZIN2	2.04108	
B2M	-4.87701	-4.19142
B3GALNT1	-0.276058	1.03647
B3GALNT2	0.562031	1.17826
B3GALT1	2.70067	
B3GALT2	0.341339	-0.929698
B3GALT4	0.791121	
B3GALT5-AS1	-2.43187	-4.166
B3GALT6	-0.72761	0.336305
B3GAT1	-1.05716	0.516684
B3GAT2	-1.6418	-1.12438
B3GLCT	-1.70136	-3.46139
B3GNT2	0.709716	0.225693
B3GNT4	0.148643	-1.5557
B3GNT5	-3.42855	-4.30322
B3GNT7	-0.171756	
B3GNT8	-2.25949	
B3GNT9	-1.01997	-0.563809
