outcome	brain	adj_global	model	beta	se	p	n	n_cases	y_sd_beta	source
pfactor	c3_proj	False	change	0.013449	0.019573	0.49202	8162		0.0060668	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	False	trajectory	0.0044623	0.0036496	0.22145	8549		0.013505	7.0 p/mh_p_cbcl.tsv
totprob_clin	c3_proj	False	clinical_logit	0.04354	0.042158	0.3017	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	c3_proj	False	clinical_logit	0.0073936	0.030804	0.81032	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	c3_proj	False	clinical_logit	0.019095	0.054505	0.72608	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	c3_proj	False	clinical_logit	0.018188	0.030331	0.54873	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	c3_proj	False	ksads_logit	0.018654	0.033344	0.57586	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	c3_proj	False	ksads_logit	0.066591	0.04035	0.09888	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	c3_proj	False	ksads_logit	-0.071893	0.054587	0.18783	8716	398		7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	True	base	-0.0026734	0.0096051	0.78076	8715		-0.003381	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	True	y3	-0.0082406	0.01002	0.41083	8069		-0.010411	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	True	late	-0.0084682	0.0086437	0.32723	8185		-0.011699	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	True	change	-0.0072522	0.0074008	0.32713	8184		-0.010019	7.0 p/mh_p_cbcl.tsv
anxdep	c3_proj	True	trajectory	-0.00039575	0.0014023	0.77777	8553		-0.0032875	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	True	base	-0.001706	0.0073601	0.8167	8715		-0.0027789	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	True	y3	-0.010785	0.0088076	0.22075	8070		-0.015322	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	True	late	-0.0039224	0.0080478	0.62598	8190		-0.0059414	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	True	change	-0.0034405	0.0072167	0.63354	8189		-0.0052114	7.0 p/mh_p_cbcl.tsv
withdep	c3_proj	True	trajectory	8.1761e-06	0.0013335	0.99511	8552		7.2856e-05	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	True	base	-0.0092424	0.0082118	0.26037	8715		-0.013808	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	True	y3	-0.0058123	0.0085071	0.49446	8070		-0.0087421	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	True	late	-0.00044623	0.007462	0.95231	8183		-0.00071043	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	True	change	0.0024833	0.0065869	0.70616	8182		0.0039536	7.0 p/mh_p_cbcl.tsv
somatic	c3_proj	True	trajectory	0.0016244	0.0012716	0.20144	8552		0.014756	7.0 p/mh_p_cbcl.tsv
social	c3_proj	True	base	-0.011155	0.0086374	0.19654	8715		-0.015763	7.0 p/mh_p_cbcl.tsv
social	c3_proj	True	y3	-0.014124	0.0082019	0.085054	8068		-0.021541	7.0 p/mh_p_cbcl.tsv
social	c3_proj	True	late	-0.010585	0.0067978	0.11945	8182		-0.018909	7.0 p/mh_p_cbcl.tsv
social	c3_proj	True	change	-0.0064298	0.0059382	0.27891	8181		-0.011487	7.0 p/mh_p_cbcl.tsv
social	c3_proj	True	trajectory	0.00030019	0.0012397	0.80867	8552		0.0029431	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	True	base	-0.0048608	0.0083179	0.55896	8715		-0.0070919	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	True	y3	4.4328e-05	0.0085371	0.99586	8070		6.575e-05	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	True	late	0.0040914	0.0073581	0.57818	8184		0.0067911	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	True	change	0.005939	0.0063693	0.35111	8183		0.0098579	7.0 p/mh_p_cbcl.tsv
thought	c3_proj	True	trajectory	0.0014752	0.0012493	0.23767	8553		0.014287	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	True	base	0.00482	0.010286	0.63934	8715		0.0055975	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	True	y3	0.0035571	0.010436	0.73323	8070		0.0041878	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	True	late	-0.0011933	0.0094202	0.8992	8189		-0.0015235	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	True	change	-0.0050749	0.0075309	0.50039	8188		-0.0064796	7.0 p/mh_p_cbcl.tsv
attention	c3_proj	True	trajectory	-0.0019007	0.0014097	0.17758	8554		-0.015604	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	True	base	0.00014274	0.0074655	0.98475	8715		0.00022414	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	True	y3	-0.0055126	0.0079415	0.48758	8069		-0.0085723	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	True	late	0.0041777	0.0074731	0.57614	8183		0.0066762	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	True	change	0.0026372	0.0065909	0.68906	8182		0.0042144	7.0 p/mh_p_cbcl.tsv
rulebreak	c3_proj	True	trajectory	0.00091382	0.001239	0.46079	8553		0.0086187	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	True	base	0.0059584	0.010678	0.57683	8715		0.0066418	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	True	y3	-0.0064977	0.010773	0.54639	8069		-0.0074425	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	True	late	0.0020957	0.0092278	0.82034	8193		0.0027684	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	True	change	-0.0030989	0.0075689	0.68223	8192		-0.0040937	7.0 p/mh_p_cbcl.tsv
aggressive	c3_proj	True	trajectory	0.000371	0.001484	0.80259	8554		0.0029438	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	True	base	-0.005416	0.012361	0.66127	8715		-0.0052693	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	True	y3	-0.0090444	0.01353	0.50384	8069		-0.0082989	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	True	late	-0.010429	0.01305	0.42419	8188		-0.0097251	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	True	change	-0.0084361	0.010219	0.40905	8187		-0.0078667	7.0 p/mh_p_cbcl.tsv
totprob	c3_proj	True	trajectory	-0.00041586	0.0017979	0.81707	8553		-0.0026531	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	True	base	-0.0045198	0.011046	0.68241	8715		-0.0050146	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	True	y3	-0.011156	0.011853	0.34662	8069		-0.011867	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	True	late	-0.0069629	0.010775	0.51813	8190		-0.0077834	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	True	change	-0.0047848	0.0090316	0.59626	8189		-0.0053486	7.0 p/mh_p_cbcl.tsv
internal	c3_proj	True	trajectory	0.00012629	0.0016491	0.93896	8554		0.00088975	7.0 p/mh_p_cbcl.tsv
external	c3_proj	True	base	0.007451	0.011502	0.51712	8715		0.007706	7.0 p/mh_p_cbcl.tsv
external	c3_proj	True	y3	-0.0070288	0.01181	0.55175	8069		-0.0073089	7.0 p/mh_p_cbcl.tsv
external	c3_proj	True	late	0.0036297	0.010565	0.73118	8186		0.004163	7.0 p/mh_p_cbcl.tsv
external	c3_proj	True	change	-0.0030393	0.0086425	0.72509	8185		-0.0034859	7.0 p/mh_p_cbcl.tsv
external	c3_proj	True	trajectory	0.00070288	0.0016487	0.66988	8554		0.0050168	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	True	base	0.0001091	0.0081074	0.98926	8715		0.00016401	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	True	y3	-0.0064396	0.0094763	0.49679	8069		-0.0086685	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	True	late	0.00065037	0.0085554	0.9394	8182		0.00092087	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	True	change	6.7131e-05	0.007594	0.99295	8181		9.505e-05	7.0 p/mh_p_cbcl.tsv
depress	c3_proj	True	trajectory	0.00055307	0.0013938	0.69152	8552		0.0046504	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	True	base	-0.0090765	0.0089732	0.31177	8715		-0.012409	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	True	y3	-0.0078458	0.0092638	0.39703	8069		-0.010853	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	True	late	-0.010004	0.0077842	0.19873	8186		-0.015409	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	True	change	-0.0061928	0.006656	0.35217	8185		-0.0095382	7.0 p/mh_p_cbcl.tsv
anxdisord	c3_proj	True	trajectory	0.00015027	0.001267	0.90559	8553		0.0013631	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	True	base	-0.0088139	0.0073401	0.22984	8715		-0.014555	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	True	y3	-0.0045196	0.0074761	0.54548	8070		-0.0076789	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	True	late	0.0022802	0.0064453	0.72351	8193		0.0041928	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	True	change	0.0050814	0.0057838	0.37964	8192		0.0093437	7.0 p/mh_p_cbcl.tsv
somaticpr	c3_proj	True	trajectory	0.0016231	0.0011435	0.15577	8554		0.016347	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	True	base	0.00522	0.0096543	0.58872	8715		0.0064184	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	True	y3	0.0035871	0.0097112	0.71185	8070		0.0045372	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	True	late	-0.00086119	0.0085006	0.9193	8192		-0.001217	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	True	change	-0.0044467	0.0068731	0.51765	8191		-0.0062838	7.0 p/mh_p_cbcl.tsv
adhd	c3_proj	True	trajectory	-0.0014282	0.0013187	0.27877	8554		-0.012563	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	True	base	0.0091084	0.0083393	0.27473	8715		0.012916	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	True	y3	-0.0018914	0.0084966	0.82384	8069		-0.0027597	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	True	late	0.005636	0.0072606	0.43761	8193		0.0094865	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	True	change	-0.00034521	0.0061187	0.95501	8192		-0.00058107	7.0 p/mh_p_cbcl.tsv
opposit	c3_proj	True	trajectory	0.0003025	0.0012008	0.8011	8554		0.002972	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	True	base	0.004919	0.0080103	0.53916	8715		0.0071585	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	True	y3	-0.0071531	0.0082176	0.38405	8069		-0.010652	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	True	late	0.0027046	0.0073137	0.71153	8187		0.0044354	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	True	change	-0.0013418	0.0062916	0.83112	8186		-0.0022004	7.0 p/mh_p_cbcl.tsv
conduct	c3_proj	True	trajectory	-0.00031863	0.0012161	0.79332	8554		-0.0030491	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	True	base	-0.011974	0.028216	0.6713	8715		-0.0051516	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	True	y3	-0.026022	0.029213	0.37304	8068		-0.011138	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	True	late	-0.011674	0.02667	0.66159	8163		-0.005266	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	True	change	-0.0070881	0.021027	0.73605	8162		-0.0031974	7.0 p/mh_p_cbcl.tsv
pfactor	c3_proj	True	trajectory	0.0017522	0.0038815	0.65169	8549		0.0053032	7.0 p/mh_p_cbcl.tsv
totprob_clin	c3_proj	True	clinical_logit	0.021219	0.046002	0.64462	8188	663		7.0 p/mh_p_cbcl.tsv
internal_clin	c3_proj	True	clinical_logit	0.0043161	0.034148	0.89942	8190	1256		7.0 p/mh_p_cbcl.tsv
external_clin	c3_proj	True	clinical_logit	0.026878	0.059164	0.64961	8186	395		7.0 p/mh_p_cbcl.tsv
depress_clin	c3_proj	True	clinical_logit	-0.0054742	0.03338	0.86973	6760	1401		7.0 p/mh_p_cbcl.tsv
mdd_youth_DX	c3_proj	True	ksads_logit	0.019447	0.035768	0.58666	8716	1111		7.0 p/mh_p_cbcl.tsv
mdd_parent_DX	c3_proj	True	ksads_logit	0.029918	0.043683	0.49341	8716	791		7.0 p/mh_p_cbcl.tsv
psychosis_parent_DX	c3_proj	True	ksads_logit	-0.10008	0.058895	0.089256	8716	398		7.0 p/mh_p_cbcl.tsv
