label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_44,2.88459,-0.0148045,-44.2936,13.1517,-0.54118,0.591689,association,Inferior_Frontal
lh_45,2.80829,-0.0218987,-15.2004,15.3796,-0.0695963,1.06861,association,Inferior_Frontal
lh_46,2.66199,-0.0223157,-16.6597,31.6976,-0.205208,1.11654,association,Dorsolateral_Prefrontal
lh_47l,2.95451,-0.0230997,-26.482,14.219,-0.22174,0.782946,association,Inferior_Frontal
lh_47m,2.71971,-0.0249553,8.51748,1.27006,,,association,Orbital_and_Polar_Frontal
lh_47s,3.18915,-0.0206537,-69.4888,25.0124,-1.36913,0.329757,association,Orbital_and_Polar_Frontal
lh_52,2.54561,-0.0174913,-13.5753,6.79814,-0.628875,0.0592361,auditory,Early_Auditory
lh_55b,2.95,-0.00517589,-9.63691,-32.2177,0.482588,-0.750999,sensorimotor,Premotor
lh_5L,2.48666,-0.0271302,25.9672,-1.65278,0.636314,-0.378335,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5m,2.51487,-0.0265876,62.744,-7.67425,,,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5mv,2.43636,-0.0268678,36.5591,17.3104,0.537936,0.000728977,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6a,2.67227,-0.00861955,-18.6919,-21.4722,0.0162966,-0.399385,sensorimotor,Premotor
lh_6d,3.00965,-0.000135853,22.7774,-61.4564,0.89311,-2.13149,sensorimotor,Premotor
lh_6ma,3.02818,-0.0150135,-33.4366,-20.0041,-0.15871,-0.195281,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6mp,2.86345,-0.0100773,-9.79881,-50.5393,0.431711,-1.73448,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6r,2.80604,-0.0113063,-26.0399,-7.87142,,,sensorimotor,Premotor
lh_6v,3.23944,-0.00729851,-27.9164,-34.4843,,,sensorimotor,Premotor
lh_7AL,2.45258,-0.02247,23.6521,4.0695,0.741154,0.299826,association,Superior_Parietal
lh_7Am,2.58877,-0.0277032,31.0139,4.57387,0.695755,0.00292805,association,Superior_Parietal
lh_7PC,2.5787,-0.0198141,31.5833,-13.4378,0.813794,-0.66671,association,Superior_Parietal
lh_7PL,2.62017,-0.0299388,20.22,41.2872,,,association,Superior_Parietal
lh_7Pm,2.66145,-0.0289813,30.6646,31.2893,1.09123,0.999146,association,Superior_Parietal
