gene	PLS1	PLS2	C1	C3
SORL1	6.28749	0.114408	0.759369	0.110072
SORT1	6.08849	-2.90279	0.595845	-0.129508
SOST	9.83405	-0.0631683	0.823362	0.144954
SOSTDC1	-1.11614	-1.84154	0.00477998	-0.0524167
SOWAHA	-8.17177	1.27148	-0.785697	0.226546
SOWAHB	1.24613	8.59332	0.12491	0.669677
SOWAHC	-3.62514	-3.71938	-0.406607	-0.562083
SOWAHD	-9.27092	-1.88444	-0.61299	-0.167503
SOX11	-9.69393	-0.831315	-0.839297	-0.177084
SOX15	3.17976	3.16821	0.145779	0.0399093
SOX17	3.56456	-1.85693	0.473865	-0.196533
SOX2-OT	2.51944	-4.30399	0.149385	-0.461965
SOX3	-5.37214	-1.30585	-0.574129	-0.513988
SOX4	-6.10716	1.21994	-0.746924	0.125709
SOX5	-11.8576	-4.19228	-0.61744	-0.141002
SOX9-AS1	-6.99791	1.07965	-0.719581	-0.182704
SP3	9.65142	3.22174	0.606803	0.243042
SP5	-12.2992	-0.87638	-0.874044	-0.0277658
SP9	5.83225	-0.347801	0.471558	0.152016
SPA17	-3.21535	-2.07853	-0.479097	-0.0687016
SPACA6	6.61284	0.178902	0.63186	-0.240441
SPACA9	-6.36656	4.07314	-0.63244	0.20719
SPAG16	7.15328	-2.0804	0.77267	-0.204295
SPAG4	15.1807	1.068	0.893694	0.025353
SPAG5	4.06245	0.727061	0.364511	-0.000338081
SPARC	-4.44971	-5.21198	-0.557433	-0.553206
SPARCL1	2.39376	0.25284	0.509145	-0.25754
SPART	11.4499	-0.885673	0.68634	-0.211175
SPATA1	-3.69241	-0.626051	-0.440452	-0.182553
SPATA13	-0.822319	-3.08434	-0.327737	-0.50833
SPATA18	-11.2728	-4.848	-0.632571	-0.210541
SPATA20	-3.47104	1.13226	-0.574954	-0.028782
SPATA22	2.83307	1.07847	0.537764	0.0451186
SPATA33	-19.6567	-0.701067	-0.92748	-0.0806617
SPATA4	-5.74285	2.08406	-0.666901	0.0867834
SPATA5L1	0.338163	1.51104	-0.403929	0.0609847
SPATA6	3.36442	-2.38797	0.328002	-0.445774
SPATA7	0.879268	-0.93936	0.243636	-0.112125
SPATC1L	-9.82776	5.17361	-0.806682	0.248887
SPATS2L	-2.13693	5.3974	-0.298741	0.523177
SPCS2	-1.7159	-1.07887	0.104479	-0.105099
SPCS3	-5.60893	0.12615	-0.341157	0.349208
SPDEF	1.12643	2.77779	0.228981	0.310013
SPDL1	-2.41285	2.05541	-0.581746	0.118125
SPDYE5	7.1427	4.55932	0.298645	0.243754
SPECC1	12.7021	-1.96084	0.794016	-0.22653
SPECC1L	6.01789	-0.957454	0.712181	-0.043082
SPEF2	6.00627	-3.94431	0.668968	-0.197086
SPEG	1.5404	1.96963	-0.0922844	0.215966
SPHK1	3.84931	-4.84596	0.703016	-0.18026
SPHK2	3.57839	-1.0821	0.684145	-0.103462
SPHKAP	-11.3317	-3.89257	-0.629479	-0.402476
SPIB	1.22862	-0.145289	0.583784	0.0525892
SPICE1	-7.04803	5.21386	-0.665628	0.24718
SPIDR	4.27415	0.328209	0.281248	0.0988789
SPIN3	4.34253	4.31638	0.513099	0.22368
SPIN4	-3.25531	-1.06911	-0.58282	-0.211976
SPINK2	3.74268	0.392391	0.11815	0.148846
SPINK8	1.88635	-7.3831	0.438833	-0.419293
SPINT2	-10.88	4.21486	-0.787924	0.271498
SPNS2	12.3391	-1.77567	0.796555	-0.163633
SPOCD1	7.11261	0.674509	0.678521	0.0990356
SPOCK3	2.59278	-1.36769	0.177357	-0.372001
SPON2	-4.9899	3.15248	-0.550553	0.296023
SPOPL	6.58578	0.330462	0.607549	-0.101214
SPP1	3.88487	-7.42283	0.360609	-0.478713
SPPL3	-17.5156	4.43561	-0.885784	0.208841
SPR	-1.56207	-0.751361	0.0973671	-0.113576
