outcome	map	cortex_id	cortex	r	t	p	n
totprob	absolute_ct	9	Posterior_Opercular	-0.0033268	-0.30052	0.76379	8187
totprob	absolute_ct	10	Early_Auditory	0.019692	1.7792	0.075247	8187
totprob	absolute_ct	11	Auditory_Association	0.025909	2.3412	0.019247	8187
totprob	absolute_ct	12	Insular_and_Frontal_Opercular	0.001112	0.10045	0.91999	8187
totprob	absolute_ct	13	Medial_Temporal	0.024567	2.2199	0.026456	8187
totprob	absolute_ct	14	Lateral_Temporal	0.014649	1.3234	0.18573	8187
totprob	absolute_ct	15	Temporo-Parieto-Occipital_Junction	0.0064	0.57814	0.56319	8187
totprob	absolute_ct	16	Superior_Parietal	-0.032412	-2.9294	0.0034056	8187
totprob	absolute_ct	17	Inferior_Parietal	-0.003902	-0.35248	0.72448	8187
totprob	absolute_ct	18	Posterior_Cingulate	-0.010909	-0.9855	0.32441	8187
totprob	absolute_ct	19	Anterior_Cingulate_and_Medial_Prefrontal	0.0037955	0.34286	0.73171	8187
totprob	absolute_ct	20	Orbital_and_Polar_Frontal	-0.0078848	-0.71227	0.47632	8187
totprob	absolute_ct	21	Inferior_Frontal	0.010946	0.98888	0.32275	8187
totprob	absolute_ct	22	Dorsolateral_Prefrontal	-0.0059578	-0.5382	0.59046	8187
totprob	relative_ct	1	Primary_Visual	0.0032036	0.28937	0.7723	8187
totprob	relative_ct	2	Early_Visual	0.012176	1.0999	0.27142	8187
totprob	relative_ct	3	Dorsal_Stream_Visual	0.0043894	0.39649	0.69175	8187
totprob	relative_ct	4	Ventral_Stream_Visual	0.018654	1.6853	0.091975	8187
totprob	relative_ct	5	MT+_Complex_and_Neighboring_Visual_Areas	0.0084398	0.76237	0.44586	8187
totprob	relative_ct	6	Somatosensory_and_Motor	-0.0011373	-0.10273	0.91818	8187
totprob	relative_ct	7	Paracentral_Lobular_and_Mid_Cingulate	-0.022089	-1.9957	0.046	8187
totprob	relative_ct	8	Premotor	-0.0066201	-0.59799	0.54986	8187
totprob	relative_ct	9	Posterior_Opercular	-0.011044	-0.99762	0.31849	8187
totprob	relative_ct	10	Early_Auditory	0.020217	1.8265	0.067815	8187
totprob	relative_ct	11	Auditory_Association	0.026889	2.4297	0.015135	8187
totprob	relative_ct	12	Insular_and_Frontal_Opercular	-0.0024727	-0.22335	0.82327	8187
totprob	relative_ct	13	Medial_Temporal	0.023098	2.0869	0.036929	8187
totprob	relative_ct	14	Lateral_Temporal	0.0089301	0.80666	0.41988	8187
totprob	relative_ct	15	Temporo-Parieto-Occipital_Junction	0.00091648	0.082783	0.93403	8187
totprob	relative_ct	16	Superior_Parietal	-0.046493	-4.2041	2.6493e-05	8187
totprob	relative_ct	17	Inferior_Parietal	-0.012861	-1.1618	0.24536	8187
totprob	relative_ct	18	Posterior_Cingulate	-0.017647	-1.5943	0.11092	8187
totprob	relative_ct	19	Anterior_Cingulate_and_Medial_Prefrontal	-0.0079621	-0.71921	0.47203	8187
totprob	relative_ct	20	Orbital_and_Polar_Frontal	-0.017756	-1.6041	0.10873	8187
totprob	relative_ct	21	Inferior_Frontal	0.00034416	0.031087	0.9752	8187
totprob	relative_ct	22	Dorsolateral_Prefrontal	-0.021563	-1.9482	0.051431	8187
