outcome	score	decile	score_mid	mean_resid_sd	se	n
external	grad_slope	8	1.0446	-0.0071531	0.028082	819
external	grad_slope	9	1.071	-0.0081717	0.028322	818
external	grad_slope	10	1.1211	0.010753	0.029013	819
pfactor	grad_fit	1	0.80831	0.053953	0.028382	817
pfactor	grad_fit	2	0.85848	0.0098286	0.027604	816
pfactor	grad_fit	3	0.88176	-0.0047384	0.026629	816
pfactor	grad_fit	4	0.89593	0.0016687	0.026354	816
pfactor	grad_fit	5	0.90592	-0.0066111	0.025858	816
pfactor	grad_fit	6	0.91439	0.0088371	0.027177	816
pfactor	grad_fit	7	0.92153	0.0072999	0.025958	816
pfactor	grad_fit	8	0.92886	-0.040795	0.028272	816
pfactor	grad_fit	9	0.9365	0.0026582	0.028368	816
pfactor	grad_fit	10	0.94813	-0.032127	0.026438	817
pfactor	grad_slope	1	0.88623	0.05654	0.026169	817
pfactor	grad_slope	2	0.92923	0.0008453	0.026578	816
pfactor	grad_slope	3	0.95355	-0.0041411	0.026963	816
pfactor	grad_slope	4	0.97207	-0.010951	0.027094	816
pfactor	grad_slope	5	0.98956	-0.0116	0.027276	816
pfactor	grad_slope	6	1.0065	0.010786	0.026398	816
pfactor	grad_slope	7	1.0238	0.013751	0.02848	816
pfactor	grad_slope	8	1.0446	-0.029138	0.027428	816
pfactor	grad_slope	9	1.0709	-0.0096797	0.026796	816
pfactor	grad_slope	10	1.121	-0.016461	0.027962	817
totprob	grad_fit	1	0.80806	0.040636	0.026405	819
totprob	grad_fit	2	0.85842	0.018933	0.027937	819
totprob	grad_fit	3	0.88172	-0.005211	0.027126	818
totprob	grad_fit	4	0.89594	0.008858	0.026887	819
totprob	grad_fit	5	0.90595	-0.0045381	0.027434	819
totprob	grad_fit	6	0.9144	0.0030358	0.027767	818
totprob	grad_fit	7	0.92152	0.0057708	0.026278	819
totprob	grad_fit	8	0.92886	-0.022484	0.028213	818
totprob	grad_fit	9	0.93651	-0.0077979	0.027351	819
totprob	grad_fit	10	0.94814	-0.037233	0.026773	819
totprob	grad_slope	1	0.88604	0.062656	0.025983	819
totprob	grad_slope	2	0.92917	0.007244	0.026299	819
totprob	grad_slope	3	0.95355	0.01046	0.026562	818
totprob	grad_slope	4	0.97208	-0.02345	0.028413	819
totprob	grad_slope	5	0.98957	-1.8608e-05	0.027107	819
totprob	grad_slope	6	1.0065	0.028405	0.02695	818
totprob	grad_slope	7	1.0238	0.018381	0.028018	819
totprob	grad_slope	8	1.0446	-0.049711	0.026893	818
totprob	grad_slope	9	1.071	-0.039864	0.027998	819
totprob	grad_slope	10	1.1211	-0.014116	0.027767	819
anxdisord	grad_fit	1	0.80808	0.0326	0.030143	819
anxdisord	grad_fit	2	0.85843	-0.017076	0.029032	818
anxdisord	grad_fit	3	0.88172	0.0044681	0.028738	819
anxdisord	grad_fit	4	0.89594	-0.0073038	0.029094	818
anxdisord	grad_fit	5	0.90595	0.0060402	0.028703	819
anxdisord	grad_fit	6	0.91444	-0.010084	0.029146	818
anxdisord	grad_fit	7	0.92153	-0.00014308	0.029377	818
anxdisord	grad_fit	8	0.92887	-0.027913	0.030497	819
anxdisord	grad_fit	9	0.93652	0.032143	0.029677	818
anxdisord	grad_fit	10	0.94814	-0.012734	0.029519	819
anxdisord	grad_slope	1	0.88613	0.019007	0.028979	819
anxdisord	grad_slope	2	0.92918	0.023558	0.029034	818
anxdisord	grad_slope	3	0.95357	-0.031952	0.028638	819
anxdisord	grad_slope	4	0.97211	-0.016873	0.029692	818
anxdisord	grad_slope	5	0.98957	0.04077	0.030108	819
anxdisord	grad_slope	6	1.0065	0.031217	0.02971	818
anxdisord	grad_slope	7	1.0238	0.018519	0.030173	818
anxdisord	grad_slope	8	1.0447	-0.059474	0.028597	819
anxdisord	grad_slope	9	1.071	0.0090322	0.029151	818
anxdisord	grad_slope	10	1.1211	-0.033725	0.029715	819
