label,CT,dCT,PLS1,PLS2,C1,C3
lh_8BM,3.25042,-0.0241341,23.3871,3.44787,-0.302781,0.276188
lh_8C,2.68735,-0.0167436,0.286597,3.62644,0.237464,0.387725
lh_9-46d,2.50781,-0.0226716,3.49609,15.3044,-0.205744,0.350561
lh_9a,2.70912,-0.0232046,7.09254,38.0658,-0.198649,1.47316
lh_9m,3.09514,-0.0289288,39.9873,16.3169,-0.895001,0.363464
lh_9p,2.81494,-0.0193836,23.2115,5.14892,-0.398069,0.346828
lh_A1,2.68638,-0.0206392,-105.56,-33.1906,1.65139,-2.01302
lh_A4,3.11443,-0.0163167,-8.18686,4.38008,0.289165,1.33986
lh_A5,3.23819,-0.0203861,9.55887,3.28042,-0.239209,1.06523
lh_AAIC,3.76303,-0.0157817,,,,
lh_AIP,2.43562,-0.022248,-31.3316,5.02671,0.867618,0.712809
lh_AVI,2.98901,-0.0203092,33.7662,4.30915,-0.733992,0.361394
lh_DVT,2.42599,-0.0249859,-63.671,3.59794,1.16893,-0.46209
lh_EC,2.44045,-0.00942134,67.5307,-69.5299,-1.24921,-2.63237
lh_FEF,2.71436,-0.00357333,-4.65221,-27.3791,0.368128,-0.605317
lh_FFC,2.88755,-0.0183536,-14.4164,-0.397735,0.242502,0.980555
lh_FOP1,3.05089,-0.0169773,,,,
lh_FOP2,2.77795,-0.0193248,,,,
lh_FOP3,2.67358,-0.0140493,40.4852,2.05887,-1.01572,-0.48484
lh_FOP4,2.943,-0.0155748,47.8201,-5.64599,-0.94216,-0.0429287
lh_FOP5,2.64764,-0.0173669,,,,
lh_FST,2.56471,-0.0202854,-51.7607,17.6487,1.03204,1.0996
lh_IFJa,2.66666,-0.0163824,,,,
lh_IFJp,2.62906,-0.0121112,,,,
lh_IFSa,2.61544,-0.0231055,7.3287,26.3108,-0.00776582,0.870521
lh_IFSp,2.64782,-0.0197344,-18.2234,11.6798,0.512682,0.743701
lh_IP0,2.42674,-0.0223717,-62.4054,21.4611,1.14751,0.675677
lh_IP1,2.49155,-0.0234181,-49.3136,0.946296,1.18664,0.614343
lh_IP2,2.49221,-0.0225296,-28.1305,2.9138,0.784298,0.694965
lh_IPS1,2.34606,-0.0246,-77.8282,-18.461,1.41622,-1.25222
lh_Ig,2.88059,-0.0223589,1.56271,26.7896,-0.105145,1.07906
lh_LBelt,2.62268,-0.0136122,,,,
lh_LIPd,2.37171,-0.0218024,,,,
lh_LIPv,2.33006,-0.0182607,-46.7621,-13.871,1.15483,0.252415
lh_LO1,2.30932,-0.017035,,,,
lh_LO2,2.72968,-0.019828,,,,
lh_LO3,2.53471,-0.02074,-53.4871,10.6609,1.15882,0.92301
lh_MBelt,2.75639,-0.0167452,-63.1198,-11.6093,1.1301,-0.442279
lh_MI,3.28206,-0.0243944,97.4144,16.3438,-1.80147,-0.582666
lh_MIP,2.35505,-0.0213063,-54.5048,-1.72734,1.13342,-0.283009
lh_MST,2.43535,-0.0162854,,,,
lh_MT,2.50736,-0.0168827,,,,
lh_OFC,2.43133,-0.0220834,59.0379,27.3671,-1.38138,0.591579
lh_OP1,2.87705,-0.0196157,,,,
lh_OP2-3,2.72335,-0.0204141,,,,
lh_OP4,2.91002,-0.0215849,-15.0876,-15.5058,0.385299,-0.106502
lh_PBelt,2.69649,-0.0136744,-62.5901,-24.4727,1.15985,-1.04465
lh_PCV,2.61698,-0.023896,-33.3831,12.023,0.699377,0.319168
lh_PEF,2.63171,-0.00620241,,,,
lh_PF,2.88152,-0.020169,-10.6602,8.45477,0.319679,1.27399
lh_PFcm,2.7472,-0.0199354,,,,
lh_PFm,2.79754,-0.0231217,-13.6037,9.8329,0.46308,1.39265
lh_PFop,2.92402,-0.0194776,9.89499,9.22687,-0.0308032,1.14219
lh_PFt,2.62425,-0.0195228,-15.6257,-14.7676,0.419426,-0.0675265
lh_PGi,2.68091,-0.02423,-17.0964,8.09343,0.450138,0.824966
lh_PGp,2.81392,-0.0260028,-43.6585,8.28786,0.870767,0.339318
lh_PGs,2.85622,-0.0281114,-41.5907,17.6606,0.926209,1.21282
lh_PH,2.68067,-0.0197046,-34.005,11.1327,0.671717,0.872097
lh_PHA1,2.98661,-0.0142352,42.0103,-30.8329,-1.03757,-1.65863
lh_PHA2,2.43599,-0.0184432,61.7227,24.5532,-1.36733,0.57116
lh_PHA3,2.70626,-0.0172839,39.9364,10.9565,-1.06958,0.474079
lh_PHT,2.97839,-0.020854,-3.96725,1.53312,0.110119,1.02473
lh_PI,2.8304,-0.00938287,52.3586,3.65017,-1.28296,-0.0446565
lh_PIT,2.70472,-0.0181499,,,,
lh_POS1,2.85339,-0.0246553,-26.1063,17.8032,0.431601,0.949841
lh_POS2,2.47092,-0.0226028,-52.7177,22.3889,1.10881,1.10435
lh_PSL,2.93249,-0.0187095,-8.77215,13.8359,0.306398,1.44304
lh_PeEc,3.07457,-0.00588949,100.526,-31.9997,-1.89739,-1.79619
lh_Pir,2.99625,-0.000382911,,,,
lh_PoI1,3.30892,-0.0173384,81.2513,1.23883,-1.74616,-0.586551
lh_PoI2,3.59502,-0.020702,96.1351,-4.32485,-1.90057,-1.585
lh_PreS,1.71387,-0.0122032,26.7739,-28.9291,-0.971794,-1.85018
lh_ProS,2.36249,-0.027536,,,,
lh_RI,2.58848,-0.0201434,,,,
lh_RSC,2.39017,-0.0148258,-38.1772,-7.75502,0.721925,-0.611172
lh_SCEF,3.07464,-0.0169091,8.76507,-26.7806,0.115468,-0.710137
lh_SFL,3.28585,-0.0196723,17.0337,-33.2039,0.0286624,-0.799577
lh_STGa,3.61665,-0.0127183,85.925,2.22563,-1.67887,-0.112868
lh_STSda,2.95348,-0.0194582,,,,
lh_STSdp,2.71952,-0.0242898,-11.8243,5.287,0.313021,1.10998
lh_STSva,2.74275,-0.0178691,36.2,-2.03181,-0.956509,0.270337
lh_STSvp,2.86796,-0.0248754,10.6188,-1.47827,-0.279481,0.48085
lh_STV,2.9096,-0.0203569,5.22785,8.26102,0.0656365,1.22222
lh_TA2,3.0554,-0.00956376,46.2423,11.1736,-1.10928,0.457959
lh_TE1a,3.38033,-0.0174836,44.6489,-1.37723,-1.02731,0.0774407
lh_TE1m,3.08772,-0.0180893,43.9128,5.00064,-0.908639,0.810254
lh_TE1p,3.04035,-0.0188847,19.1794,4.33858,-0.486758,1.25773
lh_TE2a,2.91218,-0.0181758,48.0836,2.17856,-1.14865,0.321337
lh_TE2p,2.77357,-0.0182196,23.5887,14.0754,-0.645703,1.3367
lh_TF,2.91368,-0.0171849,53.2387,4.33575,-1.23328,0.712786
lh_TGd,3.4823,-0.0117828,97.238,-12.1038,-1.91955,-0.963901
lh_TGv,3.35826,-0.013464,69.7551,-3.6428,-1.53794,-0.0945557
lh_TPOJ1,2.74704,-0.0211634,-12.8327,9.84786,0.317889,1.22209
lh_TPOJ2,2.69897,-0.0219262,-19.4801,-5.48609,0.498947,0.760364
lh_TPOJ3,2.52295,-0.0232161,,,,
lh_V1,1.83674,-0.00919467,-149.828,-18.6507,2.12011,-1.90591
lh_V2,2.03186,-0.0197938,-123.055,-19.8526,2.04986,-1.48774
lh_V3,2.2418,-0.019677,-126.013,-5.46677,2.03484,-1.29937
lh_V3A,2.25424,-0.0196771,-116.65,1.19248,1.92001,-0.46184
lh_V3B,2.27406,-0.017952,,,,
lh_V3CD,2.43751,-0.0208039,,,,
lh_V4,2.34288,-0.0180068,-88.557,-7.51876,1.62756,-0.480772
lh_V4t,2.69139,-0.0190505,,,,
lh_V6,2.23104,-0.0193757,,,,
lh_V6A,2.53049,-0.0232938,,,,
lh_V7,2.42566,-0.0223922,,,,
lh_V8,2.61015,-0.0173912,,,,
lh_VIP,2.60741,-0.0241941,-46.8,-1.50938,0.994613,-0.243781
lh_VMV1,2.56741,-0.0192869,-67.7404,-0.164255,1.25355,0.27371
lh_VMV2,2.44376,-0.0195622,,,,
lh_VMV3,2.62653,-0.0211122,-43.6435,-0.145922,0.790039,0.658477
lh_VVC,2.96972,-0.0207678,9.33714,4.00265,-0.235584,1.32694
lh_a10p,2.46865,-0.0270605,,,,
lh_a24,2.95242,-0.022802,80.4289,23.9002,-1.78344,-1.13557
lh_a24pr,3.06836,-0.0271829,63.4008,-14.1813,-1.40209,-1.9079
lh_a32pr,2.89937,-0.0227771,62.6127,-7.47326,-1.28071,-1.40903
lh_a47r,2.82754,-0.0282817,9.35402,16.464,-0.295698,1.00363
lh_a9-46v,2.57107,-0.0274401,0.625389,42.5935,-0.059806,1.18985
lh_d23ab,3.23603,-0.0314878,-21.9498,12.3936,0.275201,-0.533134
lh_d32,3.00665,-0.0234559,51.5551,15.133,-1.14663,-0.251635
lh_i6-8,2.91405,-0.0144509,-1.53735,-26.6353,0.339133,-0.637269
lh_p10p,2.44593,-0.0274797,,,,
lh_p24,3.20421,-0.0245201,,,,
lh_p24pr,3.01453,-0.0287699,46.7404,-4.09474,-0.928579,-0.633267
lh_p32,2.61805,-0.026112,66.374,30.219,-1.30067,-0.0990243
lh_p32pr,2.88067,-0.0204649,34.2956,5.46483,-0.53642,-0.0325678
lh_p47r,2.54788,-0.0226926,3.26378,16.8336,-0.110282,0.467724
lh_p9-46v,2.6387,-0.0227223,-16.2824,12.2444,0.48793,0.552504
lh_pOFC,2.82892,-0.00464698,89.2064,22.843,-1.6328,0.300044
lh_s32,2.56108,-0.0284981,62.5744,34.9692,-1.40622,-0.0767321
lh_s6-8,3.02453,-0.0160121,,,,
lh_v23ab,3.06394,-0.0236412,,,,
