gene	PLS1	PLS2	C1	C3
G0S2	2.2511	-1.32814	0.429291	-0.326327
G6PD	1.26899	-2.47525	0.402625	-0.061005
GAB1	3.91083	-0.88716	0.381665	-0.307576
GABARAP	-9.27684	0.372468	-0.744671	-0.043318
GABBR1	-12.4186	1.87013	-0.859222	0.101355
GABPB1-IT1	9.05714	4.49515	0.52859	0.175283
GABRA1	4.99803	1.42245	0.668693	0.286955
GABRA2	-2.5256	0.563403	-0.633071	0.1124
GABRA3	-16.5924	-0.892617	-0.864334	0.0195936
GABRA4	8.6099	-0.635848	0.755679	-0.131774
GABRA5	-16.8381	1.17848	-0.95011	0.0133269
GABRB1	-9.45577	3.47283	-0.912127	0.142085
GABRB2	8.06158	0.762118	0.714676	0.265946
GABRB3	-11.3488	0.835708	-0.783393	0.264999
GABRD	4.56492	2.04402	0.640388	0.338998
GABRE	-6.73547	2.40332	-0.572594	0.262824
GABRG1	-3.23772	4.82115	-0.618182	0.234484
GABRG2	4.08585	3.08144	0.640167	0.4322
GABRG3	1.62014	2.04667	0.15	0.240512
GAD1	7.23338	0.321355	0.476133	-0.0591983
GADD45B	3.53143	-2.82948	0.535226	-0.151428
GADD45GIP1	-6.85277	1.51497	-0.560261	0.235142
GAL	-2.24446	0.913635	-0.083348	-0.0551174
GALE	5.25849	0.224485	0.650036	0.295774
GALM	-5.96804	0.0588137	-0.674114	-0.239456
GALNT11	-4.07844	0.193118	-0.560679	0.205106
GALNT12	5.69112	-1.87696	0.554197	-0.172115
GALNT13	0.604805	-0.262492	0.398693	0.342081
GALNT14	-12.8823	0.26032	-0.731603	0.290466
GALNT15	1.06248	-3.92539	0.00974239	-0.558852
GALNT16	-1.40423	2.45983	-0.39992	-0.232378
GALNT17	-5.91295	5.26246	-0.582586	0.419863
GALNT18	-3.54446	1.05564	-0.590102	0.348945
GALNTL5	-2.02905	1.26261	-0.0552852	0.486991
GALR1	7.98464	3.49215	0.689346	0.142313
GALT	1.88918	-2.3619	0.528136	-0.144919
GAMT	-6.87897	-0.14319	-0.56901	-0.134184
GANC	4.69644	-2.93025	0.474315	-0.330178
GAP43	-7.84252	2.13207	-0.577331	0.309103
GAPVD1	5.77606	-3.33941	0.661324	-0.166112
GAR1	-6.42737	-1.15912	-0.693805	0.0332684
GARNL3	0.164412	-1.0593	0.016759	-0.236667
GART	5.57065	0.052775	0.62294	0.0815542
GAS2	12.0169	-2.98828	0.889468	-0.0562113
GAS5	-1.25199	-0.837632	-0.245311	-0.153988
GAS6	7.22843	-1.73125	0.731944	-0.220858
GASAL1	-10.5355	-1.60531	-0.844393	0.0405814
GATAD2A	2.59437	-2.24615	0.634838	-0.190365
GATB	-8.1262	1.93413	-0.612824	0.121664
GBA	-9.88515	-1.63936	-0.710774	0.0124586
GBAP1	-7.16671	0.544017	-0.538754	0.17152
GBE1	-1.68834	-3.00763	-0.0369588	-0.33067
GBP2	1.24754	-2.02371	0.0441712	-0.43169
GBP3	-0.287985	-2.28839	-0.206701	-0.538651
GBP4	0.877435	-1.1135	0.252665	-0.12642
GCC2	7.74756	-0.563376	0.755597	0.0358122
GCHFR	0.91717	0.0259515	0.404197	0.0698557
GCLM	1.47541	0.272987	0.458217	0.101218
GCNT1	-9.53652	0.0209083	-0.795246	-0.0186964
GCSH	-0.0383603	-1.71635	0.0816297	-0.456671
GDA	-10.2365	2.29401	-0.921453	0.0640893
GDE1	-7.97867	-2.6802	-0.49384	0.0855906
GDF10	-6.40574	1.9791	-0.584921	0.0198465
GDF7	-1.26576	-0.102222	0.171472	0.155554
GDPD1	9.68725	-3.16326	0.850039	0.0256489
GDPD2	-5.65054	1.59022	-0.74952	-0.0859282
GDPD5	0.321421	-0.795441	0.230506	-0.125113
GDPGP1	-4.48105	0.733944	-0.492271	0.174914
GEM	-1.16713	-0.0861265	-0.260697	-0.451319
GEMIN7	2.24272	-1.46575	0.511429	0.178803
GEMIN8	-2.87786	-0.52903	-0.538443	-0.15679
GFAP	-2.14917	-1.35771	-0.519161	-0.468238
GFM1	8.7838	-1.21504	0.689958	-0.119465
GFOD1	3.06537	3.4503	0.459579	0.535196
GFOD2	-0.727526	1.84167	0.194527	0.582089
GFPT2	3.02143	1.42747	0.247239	-0.0952146
GFRA1	0.125117	-3.95335	0.0478616	-0.612313
GFRA2	5.68147	-0.201209	0.775316	0.0538238
GGA2	11.0915	1.19493	0.718949	0.183761
GGCT	-14.2509	3.13264	-0.876549	0.209232
GGCX	-10.7122	-1.39376	-0.740642	0.136942
GGH	2.18569	-1.73206	0.334087	0.0510039
GGN	-4.5195	3.56447	-0.488297	0.256244
GGNBP2	-1.59959	0.230714	0.0889891	0.163356
GGT1	6.60115	2.7816	0.516002	0.191924
GGT3P	6.90039	0.0934053	0.604171	0.0662849
