gene	dCT + CT|DK	dCT alone|DK	CT + dCT + T1T2 + dT1T2|DK	dCT + CT|HCP	dCT alone|HCP
AHNAK2	1.97605	1.56096	3.88999	0.313283	-0.138804
AHR	1.07601	0.286892	0.990296	1.17275	0.731227
AHRR	3.25501	-0.130401	3.31568	3.91472	1.2242
AHSA1	-0.874471	-0.264444	-2.53193		
AHSG	4.57495	3.35362	3.85672	2.59671	1.95963
AIF1	-1.48249	-2.30291	-2.57906	-3.09993	-3.19945
AIFM2	4.86081	0.321701	3.52043	4.77965	2.58249
AIFM3	-3.66962	-1.2479	-3.51931	-0.925157	0.165286
AIG1	4.28267	3.0137	4.28035	4.27439	3.48384
AIM2	-3.31795	-1.93292	-3.18588	-1.95171	-2.09976
AIP	0.821012	2.03755	-0.0360636	0.395768	1.03649
AIRE	0.906277	0.848831	2.90291	0.0715393	-0.0317293
AJAP1	2.29818	2.23502	4.71583	3.89695	2.89344
AK1	-0.651922	0.288413	-0.967115	-0.850974	-0.420703
AK2	-1.43874	-0.296839	-2.55779	-2.76042	-1.34719
AK3	-1.97622	-2.69654	-2.20497		
AK4	0.358265	-1.52354	0.452384	1.75818	0.369954
AK5	3.35729	0.349927	1.99944	0.861659	-0.173758
AK6	-0.483544	-1.58316	-1.39148		
AK8	-2.71169	-3.38648	-3.93976		
AK9	0.715317	1.92244	1.05161	1.37434	1.81337
AKAIN1	0.315202	1.48365	0.394898	-2.26454	-0.98224
AKAP1	-1.31948	0.32782	-1.9448	-0.151832	0.444629
AKAP10	2.08126	2.80097	1.71895	2.14583	2.84308
AKAP11	4.2003	2.47464	4.81227		
AKAP12	1.31084	1.68571	4.71903	0.477425	0.641656
AKAP13	-0.249752	0.138229	-0.113378	0.863215	1.23699
AKAP14	-2.43266	-3.14625	-6.81141	-3.42154	-3.3798
AKAP17A	-0.388733	1.04506	0.407811	0.702668	1.17869
AKAP5	0.931411	-0.847591	-0.286051	0.597905	-0.289353
AKAP6	2.19961	2.6365	3.4005		
AKAP7	-2.2122	-1.27302	-3.66273	-0.0881751	0.591689
AKAP8	3.66271	1.46157	4.44551	0.815352	-0.199531
AKAP9	2.9835	3.6765	2.96447		
AKIRIN1	-0.412573	-1.99124	-1.5187		
AKIRIN2	3.59094	-0.448341	2.50867	0.882479	-0.529419
AKR1B1	-0.0815586	-0.610573	-1.36714		
AKR1C1	-0.922104	-1.95579	-1.7924	-3.06788	-3.73716
AKR1C3	-0.800062	-2.15289	-2.29157	-1.72113	-2.71209
AKR1C4	-1.02549	-2.02111	-1.56456	-2.68254	-3.37968
AKR7A2	-2.53342	-3.16032	-3.29071	-1.97223	-2.44516
AKR7A2P1	-0.92166	-2.34633	-1.26296	-0.298975	-1.1025
AKR7A3	-0.72189	-2.16469	-0.860364	-1.68332	-2.3872
AKR7L	-2.7989	-3.40763	-3.37633	-0.779395	-1.46154
AKT1	-2.58597	-0.200025	-1.40187		
AKT1S1	-3.95325	-0.52981	-3.18109	-3.4195	-1.91353
AKT3	-0.407635	0.877566	-0.686594	0.232729	1.01291
AKTIP	-1.87843	-3.01716	-2.8024		
ALAS1	1.12246	1.01254	1.564		
ALB	-2.69278	-2.46148	-2.1066		
ALCAM	-0.791333	-1.9474	-0.193783	-1.29749	-1.71128
ALDH1A1	-1.22246	0.269501	-1.65065	-0.0837825	0.469288
ALDH1A3	0.390507	2.44406	0.0537605	2.65626	2.91352
ALDH1B1	0.496483	1.28268	0.518469	-2.18733	-1.37019
ALDH1L1	-0.985885	-1.91693	-1.1906	0.882177	0.318056
ALDH1L2	-0.822907	0.247708	-0.833498		
ALDH2	-0.776061	-1.88197	-0.618994	1.22041	0.344894
ALDH3A2	3.85965	1.48942	2.04675	-0.236214	-0.908573
ALDH4A1	-0.830016	-1.8556	-0.807292	0.844713	0.222566
ALDH5A1	-1.88496	-2.55934	-1.66868		
ALDH6A1	-1.24571	-2.16434	-1.05464	0.772287	0.337316
ALDH7A1	-2.75884	-3.16942	-3.47163	-0.777333	-1.32128
ALDH8A1	-0.353211	0.465593	-0.555916		
ALDH9A1	-2.12199	-2.5628	-2.61002	-1.80761	-2.38685
ALDOA	2.16158	0.934496	1.79645		
ALDOC	-0.804894	-0.487952	-1.40252	-0.482356	-0.170993
ALG1	-1.58827	-0.441813	-0.727575		
ALG10	0.581045	1.1887	1.38752	2.94795	3.56768
ALG10B	0.83827	1.99403	2.05279	4.40286	5.00234
ALG13	5.73185	4.52914	5.9211		
ALG1L	1.16485	-0.793078	0.451995		
ALG2	-1.84495	0.556372	-0.718503	1.23621	1.9164
ALG3	-0.517596	0.904412	-0.877964	-1.44826	-0.952649
ALG5	-0.988098	-2.43559	-2.38494	-3.30849	-3.98432
ALG8	-2.98577	-5.10327	-4.12783	-2.91274	-3.61058
ALG9	-2.91492	-3.2129	-3.34275		
ALK	1.5695	-0.540583	1.57449	-1.31017	-1.69299
ALKAL2	-1.34351	-2.34574	-2.15589	-4.05988	-3.16553
ALKBH1	0.87899	1.84662	1.07632		
ALKBH2	1.76529	2.94274	1.33118	0.847354	1.46696
ALKBH3	0.584339	1.34708	0.524298		
ALKBH5	-2.23284	-0.325322	-2.03193		
ALKBH7	1.06977	-0.363324	0.96352	-0.0769942	-0.751738
ALKBH8	0.649026	2.15253	1.05359	-0.228219	0.630224
ALMS1	-5.00504	-1.93537	-4.65026		
ALMS1P1	-4.92222	-3.82177	-6.9532		
ALOX12B	2.29948	3.21319	1.65917		
ALOX15B	3.05784	1.96475	2.91954		
ALOX5	-2.39202	-2.78356	-3.35434	-3.60895	-3.77473
ALOX5AP	-2.18796	-2.85094	-3.09897	-3.64489	-3.96702
ALPK1	-5.43406	-5.32819	-5.21149	-7.96099	-7.47993
ALPL	2.16209	-0.0915065	1.24931	0.700839	-0.586323
ALS2	1.48481	2.64101	1.44204	2.95105	3.43294
ALS2CL	7.4715	4.60583	5.36825	5.18062	5.4887
ALS2CR12	-3.14676	-2.54515	-2.16953	0.0588711	0.309358
ALX3	-4.05752	-0.773586	-2.966	-1.7265	-0.27035
ALYREF	1.70247	-0.660453	1.63611	0.895994	-0.108895
AMACR	0.928567	1.29481	0.0517645		
AMD1	-3.25125	0.224152	-2.31094	-1.00741	0.128992
AMDHD1	2.30824	2.33512	2.97088	0.727886	0.691752
AMER1	1.89584	3.2131	3.98447	0.999927	1.53516
AMER3	5.40348	5.80363	5.44788		
AMH	1.83946	2.56261	2.16724	0.344786	1.06418
AMIGO1	2.18828	2.864	2.34829		
AMIGO2	5.20942	0.209519	4.25334	4.52125	0.999657
AMMECR1	-1.81888	1.24213	-0.458897	0.518985	1.62938
AMMECR1L	0.180217	1.72657	0.0398978		
AMN1	1.03947	-1.13631	-0.279812	-0.724103	-1.53655
AMOT	-0.506073	-1.38059	-0.535613		
AMOTL1	-4.38302	-2.28443	-3.06004		
AMPD3	-0.0971266	0.853484	0.180801	-2.85415	-1.59236
AMPH	1.04078	1.34415	1.16565		
AMT	0.000882561	1.40423	-0.150949	1.89272	2.72211
AMY2A	-0.065381	0.697405	-0.367375	1.06538	1.60887
AMZ1	-2.83957	-4.28201	-3.60893	-4.15263	-4.95371
AMZ2	1.48796	-0.256214	-0.175941		
AMZ2P1	-0.486999	-1.88665	-2.49204	0.421	-0.379944
ANAPC1	1.7429	3.01586	2.01653	2.66598	3.34816
ANAPC10	0.899521	2.37717	1.39084	1.5819	2.42464
ANAPC11	0.81474	-1.3583	-0.690742	0.934142	-0.194644
ANAPC13	-1.73505	-2.39832	-2.68701		
ANAPC15	1.03252	-0.621918	-0.372006		
ANAPC4	-0.469441	0.807595	-0.9013	1.21319	2.07553
ANAPC7	-0.839042	0.0234147	-1.72478		
ANG	0.147877	-0.793739	0.769741	1.0786	0.663596
ANGEL1	0.523566	-0.0614992	0.865866	-1.0004	-1.24457
ANGEL2	-0.451592	0.69237	-1.40324	0.843159	1.32728
ANGPT1	-2.54037	-3.11545	-0.666431	-1.06795	-1.4943
ANGPT2	-0.0890798	0.395439	-0.53495		
ANGPTL1	0.361472	-1.40619	-0.266998		
ANGPTL2	-3.91469	-0.581956	-2.90581	-1.68743	-0.610176
ANGPTL4	-0.725613	-1.59016	-0.752809	0.902635	0.241871
ANGPTL6	2.46393	0.233059	1.68178		
