gene	dCT + CT|DK	dCT alone|DK	CT + dCT + T1T2 + dT1T2|DK	dCT + CT|HCP	dCT alone|HCP
LY6E	4.17762	1.71139	2.49769	1.69207	0.697703
LY6G5B	-0.310088	1.2504	-0.259277	1.22654	2.23241
LY6G5C	-1.08467	0.181783	-0.713717		
LY6H	4.31238	-0.139874	4.18434	4.39333	0.636601
LY86	-2.03927	-2.58427	-2.5939	-2.03722	-2.38233
LY86-AS1	5.96389	1.86174	5.2298	2.31655	0.839048
LY9	-2.9251	-3.76952	-2.02629		
LY96	-3.70186	-4.6632	-3.7599	-5.32516	-5.97962
LYAR				0.467192	1.04699
LYG1	0.31822	1.52205	0.409571		
LYN	0.545957	-1.12529	0.335721	1.36627	0.476388
LYNX1	1.07873	1.75668	1.50561	-0.546595	-0.271529
LYPD1	-1.08053	-2.17544	-1.02431	-0.502144	-1.32404
LYPD5	-0.495387	1.44892	-0.953874	-1.55288	0.177899
LYPD6	1.38172	0.202304	1.84221		
LYPD6B	6.28334	2.33837	4.16799		
LYPD8	3.5329	-0.900617	1.6926	0.209787	-1.07017
LYPLA1	-2.8698	-0.712889	-4.15566	-2.16243	-1.46872
LYPLAL1	-2.28929	-3.051	-2.30346	-1.39438	-1.84852
LYRM1	-0.104946	-1.14333	-0.579614		
LYRM2	-0.782874	-2.30247	-1.50665	-0.421193	-1.13856
LYRM4	4.81982	4.10594	5.45892	1.40664	1.55635
LYRM7	1.40783	2.90411	1.42411	0.491887	1.30166
LYRM9	0.547471	-1.46799	0.457853	0.229287	-0.841736
LYSMD1	-1.68723	0.683534	-0.692697		
LYSMD2	1.84636	2.40624	1.55723	0.293984	0.526323
LYSMD4	0.29163	2.02981	0.768726	2.49697	3.0247
LYST	3.40194	3.64888	3.23861	4.06655	4.478
LYVE1	-1.34947	-2.19968	-1.64509	-0.545624	-1.18005
LYZL1	-2.52491	-2.74449	-1.50169		
LYZL4	3.78127	-0.119332	2.92586	1.39688	-0.521432
LZIC	-0.909729	-1.99345	-1.36898		
LZTFL1	3.55567	3.88705	4.45326	4.24334	4.71003
LZTR1	1.51156	0.689538	2.06675	-0.0190518	-0.630903
LZTS1	0.687426	0.387533	-0.112486	-0.861544	-0.909635
LZTS3	0.65286	2.02788	0.427197	2.72543	3.26774
MAATS1	0.0488711	1.3392	1.14325	1.92707	2.72893
MACO1	0.432478	1.6429	1.06927		
MACROD1	-0.771299	0.840112	-0.689724		
MACROD2	-0.784174	-2.11502	-1.9859	0.215223	-0.235519
MAD1L1	1.14669	1.95243	1.94638	0.203489	0.706325
MAD2L1	1.54355	2.45355	1.8353		
MAD2L1BP	-2.26982	-0.86626	-1.69527		
MAD2L2	-1.0793	-2.36342	-2.31209	-2.49025	-2.85562
MADCAM1	0.724871	1.85785	1.87875	0.283907	0.908705
MADD	2.66616	1.93713	2.67409		
MAEA	2.92425	2.12108	4.42811	1.02845	0.510021
MAF	-1.05991	-1.73514	-1.41708		
MAFB	3.71094	5.48495	2.90864	4.43639	4.97309
MAFF	1.56057	2.07613	3.95747	1.88047	1.95878
MAFG	1.76569	-0.631062	3.12829	2.36602	0.786006
MAFK	2.99183	1.31771	6.01768	4.77506	3.93524
MAG	0.162251	0.717426	0.314014	-2.35097	-1.77311
MAGED1	2.20301	-0.400415	1.38693	0.829198	-0.814453
MAGEE1	3.52063	2.76402	2.6507		
MAGEF1	1.81009	0.656573	1.06242	1.4044	1.01501
MAGEH1	4.10009	0.0151227	4.67198	2.44798	0.543249
MAGEL2	0.521317	1.44024	1.23793	-2.01091	-0.741979
MAGI1	2.54536	2.78013	2.22752		
MAGI2	-0.552236	-0.0487408	-1.07611		
MAGI2-AS3	-2.79654	1.32659	-1.55831	1.3268	1.81445
MAGI3	2.83676	3.7436	2.30772	2.1161	2.60134
MAGIX	3.12676	0.44007	1.98824	0.639074	-0.33685
MAIP1	-0.84777	0.0163685	-2.60361		
MAL2	8.82948	4.8875	6.54178	5.34983	4.50605
MALAT1	-1.44753	1.10911	-0.224096	0.160878	1.47348
MALL	-2.74508	-4.2593	-4.62102	-3.50208	-4.34671
MAMDC4	1.09421	2.1936	1.57135		
MAML1	0.00749342	1.641	1.24479	1.18498	1.8645
MAML2	-3.93909	-4.4947	-2.63158	-1.36505	-1.78579
MAML3	-5.53771	-2.74127	-5.82787	-2.57541	-1.96223
MAMLD1	-0.884112	-1.7166	-0.945948	1.10129	0.304036
MAN1A1	1.54602	-0.953409	1.89157	0.106468	-0.759136
MAN1A2	4.62441	4.91964	7.4446	7.82086	7.65276
MAN1B1	2.80931	1.47528	2.13034	0.741985	-0.166459
MAN1B1-AS1	-4.96195	-5.36563	-4.36908	-4.25549	-4.55711
MAN1C1	0.929298	2.26443	0.181534	-0.0619722	0.689357
MAN2A1	1.69786	1.63999	2.50524	-0.396916	-0.463209
MAN2A2	0.419927	1.5696	0.554736	-1.05987	-0.125616
MAN2B2	1.24821	-0.977684	0.256557	0.900547	-0.181123
MANBAL	3.47069	2.52118	2.86824		
MANEAL	1.43544	-1.13524	0.726619	-2.25399	-2.54775
MANF	0.935538	-0.838677	-0.0493825	-0.393434	-1.36336
MANSC1	0.599334	2.12391	0.0352001		
MAOA	-1.10449	-1.95693	-1.30329	1.79152	0.781226
MAOB	3.64168	0.0880608	5.89636	5.79303	2.26054
MAP10	3.45117	4.19169	3.47592		
MAP1A	-2.55247	-1.22219	-2.68224	-4.57434	-3.57436
MAP1B	1.42887	1.45731	2.95564	-0.762879	-0.804315
MAP1LC3A	0.5854	-1.19399	0.082355	-1.25138	-1.75665
MAP1LC3B	-0.953949	1.17725	-0.984262	-0.0122347	0.905776
MAP1LC3B2	-2.03974	-0.038206	-1.48922	-2.03505	-1.13019
MAP2	-0.973759	-2.21321	-0.961766	-2.51352	-3.12639
MAP2K1	0.992633	-1.05586	-0.125234	-2.88051	-3.92527
MAP2K2	1.13369	1.68245	1.35184	-0.347543	-0.214624
MAP2K3	-0.212424	1.15426	0.243933	-1.07757	-0.381909
MAP2K4	3.29661	2.72593	4.63381	0.620291	0.206171
MAP2K5	0.0524456	-0.572751	-0.642602	-2.41782	-2.57094
MAP2K6	-1.3907	0.772774	-0.751147	-1.61697	-0.349195
MAP2K7	-1.4661	0.981122	-0.366315	-1.17035	0.149783
MAP3K10	-2.36137	-1.52054	-2.58836	-0.16387	0.366051
MAP3K12	-1.70065	0.289845	-1.74807	-0.8271	0.161763
MAP3K13	4.05211	3.18039	4.86327	4.60716	4.11319
MAP3K14	0.254427	1.46094	0.896275	0.398	1.02888
MAP3K20	-1.37165	-1.21261	-1.12436	0.894459	1.59792
MAP3K21	1.74065	2.88825	1.48979	2.85437	3.42886
MAP3K3	-1.39644	0.853018	-1.04668	-0.60396	0.397838
MAP3K4	-1.43404	-1.59315	-2.85308	-0.0803764	-0.0450205
MAP3K5	-1.72424	-1.69431	-3.75312	0.581716	0.634544
MAP3K6	-0.995139	1.52334	-0.189824	1.0045	1.57309
MAP3K8	-2.97546	-0.827249	-1.75475	-0.906834	-0.224724
MAP3K9	-1.40392	0.520655	-0.86729	-2.14715	-0.743928
MAP4	5.59938	1.35982	5.70645	2.58169	1.28613
MAP4K2	-3.85508	-0.239684	-3.81984	-0.307752	0.592955
MAP4K3	5.00055	3.77831	5.1566		
MAP6	0.566588	-1.22288	0.139226		
MAP6D1	-0.0875926	1.1277	0.0899234	-1.98183	-1.10258
MAP7D2	0.200945	1.18058	0.325479	-1.48294	-0.699886
MAP7D3	-1.36166	-1.92338	-0.922782		
MAP9	1.00844	2.09273	2.57667	0.447934	1.07547
MAPK1	-0.504198	-2.02822	-1.40411	-0.735955	-1.36725
MAPK10	2.60599	3.23856	5.10403	2.19375	2.44092
MAPK11	4.07273	1.14311	2.85356	3.06039	1.57255
MAPK13	5.26822	4.22582	7.47552	1.87182	1.79639
MAPK14	-1.58199	0.33957	-1.15834		
MAPK1IP1L	2.02947	-0.568892	2.95219	3.56282	1.29586
MAPK3	1.10246	-1.34895	0.519456	2.13704	-0.0068122
MAPK4	6.86979	3.54099	5.78804	4.89611	5.36212
MAPK6	0.669882	1.69414	-0.106183	0.884067	1.44734
MAPK7	2.99193	0.933923	2.92587		
MAPK8	-1.21161	0.636121	-0.54902		
MAPK8IP1	-1.65752	-2.71674	-1.57825	-1.92637	-2.13382
MAPK8IP1P2	-1.50677	-2.71834	-1.04068	-3.10779	-3.09626
MAPK8IP2	4.29955	0.665617	4.19523		
MAPK9	1.18847	2.16979	2.15684	1.71662	2.51608
MAPKAP1	-0.480392	-1.86176	-0.356825		
MAPKAPK2	-2.48092	-2.85047	-2.82612	-1.72248	-1.74984
MAPKAPK3	0.0906687	-1.06672	1.09835	1.02324	0.4384
MAPKAPK5	-1.10292	-1.94153	-1.26036		
MAPKAPK5-AS1	-2.89903	-3.20494	-3.71468	-2.82982	-3.20668
MAPKBP1	-0.143353	1.35725	0.25776	1.15161	1.81718
MAPRE1	-1.0844	-1.93018	-0.991738	-3.54681	-4.28741
MAPRE2	0.459823	0.101873	0.773979		
MAPRE3	-1.43937	-2.46067	-1.81849		
MARC1	6.96082	2.40026	6.61614	4.66607	3.30397
MARC2	3.10917	0.187787	1.86307		
MARCH1	4.6682	1.06403	5.30411	4.21946	2.14532
MARCH2	0.189996	0.999345	-0.959385	-1.42405	-1.05398
MARCH3	-1.58395	-2.04604	-3.57536	0.00421967	-0.407488
MARCH4	1.02999	-0.823072	0.439029	1.28592	0.51118
MARCH6	4.12989	4.25649	6.09029	3.37529	4.00073
MARCH7	0.213851	0.929948	1.36178		
MARCH8	0.774703	-0.885618	2.40106	0.230397	-0.501208
MARCKS	2.00653	-0.251059	3.58699	4.1732	1.64685
MARCO	0.604926	-0.77384	0.846929	-1.2716	-1.9036
MARF1	4.01476	5.41324	5.24114	5.29772	5.58428
MARK1	3.17105	1.6879	3.35684	5.2672	2.71934
MARK4	0.864963	0.0718802	1.23101		
MARS	2.52964	2.45725	2.17615		
MASP1	-3.46827	-3.77453	-3.80148	-2.25421	-2.72433
MASP2	-0.654918	1.38673	-0.323781	0.275737	1.23511
MAST3	4.50748	0.469566	3.25664	1.9829	0.550928
MAST4	1.60135	2.51178	4.55539	2.62855	2.83552
MAT2A	0.15135	1.49044	1.20723		
MAT2B	4.63975	5.83613	4.03224	4.32222	4.71682
MATK	-0.45705	1.09366	-0.733406	-0.663423	0.199674
MATN1-AS1				-1.60545	-1.04066
MATN2	-2.45651	-3.48189	-5.79352	-1.64258	-1.87528
MATN3	-4.01384	-1.81093	-4.32738	-5.35352	-4.57704
MATN4	0.87203	1.98149	0.930981		
MATR3	-0.119919	0.922456	0.407749		
MAX	0.206556	2.00474	0.969173	1.39419	2.09701
MAZ	0.946563	0.13872	0.752705	2.62027	1.4605
MB21D2	4.11579	1.63109	4.09005	3.96271	2.37058
MBD1	5.33229	1.91723	3.96509		
MBD2	1.72886	2.77513	2.71853	1.08987	1.56956
MBD3	-0.643607	1.43878	-0.360032	1.66549	2.65656
MBD5	1.713	2.70181	4.32507	2.10826	2.6653
MBD6	-3.32456	-1.007	-2.87669		
MBL1P	-2.06145	0.17156	-2.28695	-0.00206959	0.901086
MBLAC1	1.02562	2.39606	0.466851		
MBLAC2	0.57454	-0.870063	0.985652	0.541514	-0.0938012
MBNL2	1.50186	2.3973	1.71243	1.09506	1.76792
MBNL3	-3.63432	-3.61148	-3.81873	-2.27717	-2.66755
MBOAT1	-0.858252	-0.352921	-0.146293	-5.38064	-4.55541
MBOAT2	0.816328	-1.39736	1.4266	0.0123551	-1.01001
MBOAT7	5.20073	0.332591	4.87119	6.10074	1.55963
MBP	-1.03786	-0.0401261	-1.63694	1.65232	2.70563
MBTD1	-0.238876	1.2207	-0.996282	1.25022	2.29769
MBTPS1	2.1123	2.54034	1.55107		
MBTPS2	2.45399	3.17918	2.47862		
MC1R	-2.27614	0.629549	-2.90261	-3.51746	-1.21006
MCAM	-0.977145	-0.137512	-0.745971	-3.07521	-1.93999
MCCC1	1.03398	0.790346	0.473391		
MCCC2	-0.675874	-1.05943	-0.790347		
MCEE	-1.55314	-0.282668	-1.1447		
MCF2	-2.43908	0.0800491	-4.27481	-3.91514	-1.39271
MCF2L	0.482277	1.8137	1.15137	1.70528	2.03328
MCF2L-AS1	0.0655934	1.61441	0.514626	-0.362433	0.617121
MCF2L2	-0.327352	1.15528	-0.25152	4.34624	4.80995
MCFD2	0.971868	-0.83626	1.00124	2.8874	1.04335
MCHR1	3.09814	1.15775	2.64078		
MCHR2	8.73761	5.24362	8.61798	5.55955	4.56508
MCM2	0.984886	2.18198	1.90324		
MCM3	-8.3178	-4.59571	-7.89967	-2.2497	-2.28788
MCM3AP-AS1	-4.2481	-0.0162632	-2.36774	-1.10913	0.109166
MCM5	-6.15168	-2.79628	-5.1972	-3.41162	-2.62913
MCM6	1.5101	0.477965	2.09374	0.892622	0.223602
MCM7	-5.44247	-1.80811	-4.48961	-4.15534	-2.57808
MCM8	-0.340553	1.85918	-0.383295		
MCMBP	-2.36165	-2.28967	-3.53956		
MCOLN1	2.42163	2.75217	2.93221		
MCPH1	-1.00033	0.949395	-0.750266		
MCRIP1	2.91783	0.407929	1.69777		
MCRIP2	0.646545	1.70209	0.390573		
MCRS1	-0.470071	1.44377	-1.60066	1.63394	2.23312
MCTP1	5.67817	0.977511	4.41043	2.65621	0.795901
MCTP2	4.02544	3.59716	5.38683	3.0247	3.19339
MCTS1	2.47111	-0.788299	1.54967	-1.36826	-2.33171
MCU	0.147327	1.65288	0.168884	-0.958187	-0.285588
MCUB	3.36691	-0.609779	2.83572	2.09137	-0.0519737
MCUR1	0.406982	-1.54024	-0.532183	-0.564331	-1.53863
MDC1	0.630345	1.75216	1.1436	1.18363	1.80018
MDFIC	2.77371	0.582037	4.3039	2.14571	1.65399
MDGA1	1.76536	-0.481338	1.35783	-0.981896	-1.68009
MDGA2	2.02663	2.6178	2.05877	2.1065	2.56345
MDH1	0.701431	1.53216	1.07832	-0.739255	-0.244196
MDH1B	-1.23457	0.814128	-1.98961		
MDH2	2.75973	1.05785	2.78995	1.06708	0.0804461
MDK	0.588252	-1.21346	0.158872	1.77424	0.847826
MDM2	-0.22866	1.19718	0.86594		
ME1	0.399054	-1.8848	0.0688579	-0.824456	-1.81179
ME2	-0.987961	-2.17481	-1.06889	-0.838856	-1.43363
ME3	4.04248	0.0988425	2.58428	0.99041	-0.483892
MEA1	6.96703	0.741291	6.13153	5.36487	2.16382
MEAF6	1.9067	0.612256	1.23192		
MECOM	-2.14143	-0.358158	-2.96512	-3.06264	-1.82735
MECP2	-0.594269	1.23877	0.0301952	1.23707	1.9159
MECR	1.62051	-0.118269	1.3852	-1.48534	-2.25002
MED10	1.65565	-0.333614	0.802107		
MED11	-2.83611	-0.166282	-3.91132	-3.9917	-1.34851
MED12L	8.28822	5.69153	8.0564		
MED13	-2.10213	-0.999036	-2.43306		
MED14OS	2.50416	0.225125	1.56483		
MED16	3.02308	-0.103612	2.47644	4.14864	1.97745
MED17	0.907531	2.02311	0.621051		
MED19	2.31785	0.394295	1.45815		
MED20	2.50218	3.64538	1.74365		
MED21	4.38189	4.01821	3.55304	1.04279	1.99114
MED22	-2.21074	0.950758	-1.4767	-0.2879	0.48265
MED23	1.09452	2.30399	1.34076	2.45935	3.38883
MED24	-1.228	-2.68629	-1.17412		
MED26	1.64368	2.1301	2.13903		
MED27	1.39167	0.0157518	0.304668		
MED29	-4.32206	-4.76746	-4.78963		
MED30	-0.120875	1.4665	0.644057		
MED31	2.73332	2.19589	2.91376		
MED4	1.30025	-0.319165	0.0560823		
MED7	1.67793	1.28013	1.42709		
MED8	1.55697	-0.269929	1.29763		
MED9	0.482475	2.20935	1.20596	2.63026	3.54767
MEDAG	4.97024	3.07865	5.32478	2.20618	1.62022
MEF2A	-0.37712	1.25875	0.223169	2.1022	2.78888
MEF2C	0.473367	1.7492	1.22954	2.94952	3.69226
MEF2D	-0.862435	0.151168	-0.366092		
MEG3	-3.22292	-3.26238	-3.48745		
MEGF11	-3.29702	-3.58668	-2.99508		
MEGF6	2.63111	3.24475	3.42201	3.63433	4.71603
MEGF8	5.91886	5.01409	4.36579		
MEGF9	1.14144	-0.114036	1.04123		
MEI1	1.47455	0.629423	0.45067	-1.23516	-2.06341
MEIG1	-0.346367	-1.68509	-1.60429		
MEIKIN	-2.84718	-0.630404	-2.00476		
MEIS1	-0.0103225	-0.726762	-1.90177	-1.67944	-1.98
MEIS2	-1.83016	-1.46981	-1.75898	-1.70642	-1.73257
MEIS3	5.25747	-0.619015	3.60097	2.96619	0.15362
MEIS3P1	0.76815	0.757706	1.69746	0.836888	0.909501
MELTF	2.0706	2.34795	3.3623	4.4723	4.48537
MELTF-AS1	-0.179086	0.278135	0.00190208		
MEPCE	-0.0889881	1.53026	1.63294	0.966049	1.61945
MEPE	2.48596	-0.0222208	2.65636	0.0721099	-1.17439
MERTK	-1.3653	-1.73191	-1.42442	2.02003	1.86803
MESD	1.24429	-0.664963	1.49755	0.0789278	-0.413682
MESP1	3.52177	-0.336881	3.65626	2.25253	0.124815
MEST	2.15169	-0.586305	0.991039	2.21362	0.723363
MET	-0.0916825	0.461674	-1.38772	2.0353	2.69833
METAP1	3.44929	1.14207	2.49846		
METAP2	-0.133857	1.20744	-0.405636	-0.145786	0.512581
METRN	-2.48016	-2.55524	-2.06715		
METRNL	-4.54462	-4.85797	-3.12323	-2.0794	-2.70697
METTL1	2.31498	0.172499	0.909741	-0.795868	-1.73073
METTL13	4.46821	4.80703	4.65725	2.54216	2.92346
METTL14	-1.08508	0.310858	-0.523322		
METTL15	-1.8803	0.72927	-2.49912	-1.803	-0.695327
METTL17	-0.342713	1.35658	-0.184664	0.889292	1.70518
METTL18	-1.99005	-0.255125	-1.89418		
METTL21A	4.3069	4.93796	3.37701	2.74499	3.29449
METTL21C	5.5643	5.20786	5.95804	8.98739	9.91475
METTL24	0.546271	2.38292	1.288	2.36815	3.00402
METTL25	-0.729564	0.307377	-0.855077		
METTL2A	-3.68674	-0.90766	-3.86552		
METTL3	-2.59775	-2.07773	-2.91786		
METTL5	-0.075023	-1.61739	-1.35641	-0.779382	-1.38202
METTL6	0.781246	-1.35064	-0.331857	-0.533468	-1.201
METTL7A	-0.650692	-1.61422	-0.616995		
METTL8	0.210678	-1.01642	0.288966	-2.86121	-3.51848
METTL9	1.93269	-0.244798	0.252911	4.32089	2.30647
MEX3A	-0.554169	-1.7045	-0.917301	-0.0657688	-0.605966
MEX3C	-0.290187	0.528302	-0.0792046		
MEX3D	-2.66061	-1.50117	-2.61995		
MFAP1	3.01948	0.882955	2.67861		
MFAP3	2.22419	2.98762	1.71773	3.21999	3.87267
MFAP3L	-1.4284	0.254179	-0.921196	-2.97733	-1.45729
MFAP4	0.0263191	-1.30639	0.295811	0.249331	-0.00545704
MFF	0.0683167	0.996132	-1.15539	-0.627754	-0.245225
MFGE8	2.45602	2.10182	2.75315	2.81601	3.32004
MFHAS1	-0.800113	1.58627	0.513143	0.260149	1.43341
MFN1	-0.724258	0.222494	0.353348		
MFN2	2.78212	2.78504	5.03582	0.612237	0.601973
MFNG	-5.52801	-3.48227	-5.21152		
MFSD1	-1.48021	-2.24596	-2.02802	-2.93149	-2.13788
MFSD10	0.979385	-0.436805	0.95345		
MFSD12	1.89619	0.24465	1.37944	0.51167	-0.579823
MFSD13A	1.48698	0.49146	0.66116		
MFSD14A	0.198009	-0.188524	0.291802		
MFSD14C	-1.97453	-0.788751	-1.35742		
MFSD2A	-3.26769	-0.874211	-3.66371	-3.12293	-2.3804
MFSD2B	-2.03785	-2.16681	-1.40261		
MFSD4A	3.35717	1.56206	1.47435	0.68785	-0.219474
MFSD4B	2.15703	0.598996	1.83458	2.72093	2.35028
MFSD6	0.58917	0.167044	0.439623	-3.11819	-3.65436
MFSD8	-0.50048	0.760504	0.438083		
MFSD9	-1.70651	0.687266	-1.32627	-1.90506	-0.705641
MGA	3.12559	3.51277	4.41331	5.29751	5.62094
MGARP	-4.26948	-0.91876	-4.70369	-5.03218	-2.06459
MGAT1	-2.8237	-0.685118	-2.06165	-0.578768	0.0299626
MGAT3	-0.050554	-0.336963	0.331478		
MGAT4A	2.74194	3.58158	3.91385	7.44783	7.73404
MGAT4B	2.7862	-0.769062	1.19065	1.26297	-0.111693
MGAT4C	2.33713	2.90336	3.64213	2.06202	2.21732
MGAT5	0.773853	1.49605	0.957255	-0.655629	-0.380593
MGAT5B	2.44237	2.17024	1.92428	4.69086	4.47421
MGC16025	-2.55714	0.173441	-1.1935	-1.36323	-0.0362587
MGC16275	-2.90884	-3.41544	-3.15652		
MGC27345	0.94269	2.28539	1.75602	3.00457	3.65346
MGC2889	-0.603201	-1.01087	-1.66964		
MGC34796	0.221651	-0.243262	-0.0809775	0.405328	0.269624
MGC70870	-5.61612	-6.01728	-5.02642		
MGEA5	6.05549	3.75423	5.01901	4.02253	3.39605
MGLL	0.761666	-0.00186285	-0.00545353	0.228879	0.132127
MGMT	-0.432268	-1.9522	-0.675811	-1.71723	-2.09988
MGP	0.86837	0.0979513	-0.892766	-0.964026	-1.34763
MGST1	-0.15965	-1.69371	-1.17309	1.71532	-0.225154
MGST2	-1.46178	0.575758	-1.04231	-2.15772	-0.814398
MGST3	-1.3192	-1.8023	-4.16205		
MHENCR	0.323081	-1.07683	-0.832513		
MIA3	0.509115	1.92509	0.866826	0.31841	1.06155
MIAT	1.24466	2.31408	1.70293	3.10069	3.59553
MIB1	-1.1775	-0.907861	-1.00055		
MIB2	-0.413547	1.42773	0.696789		
MICA	-5.57586	-1.49886	-5.1355	-5.69701	-3.76029
MICAL1	0.703004	1.34342	1.13111	2.81038	3.58234
MICAL2	4.03707	4.06456	2.87713	3.00881	3.59103
MICAL3	-2.42732	0.189379	-2.78052		
MICALL1	-1.03897	-0.604832	-0.863104		
MICB	-6.43139	-1.8452	-4.77056	-5.70934	-3.76069
MICU2	-3.4799	-1.19758	-3.03903	-1.3021	-0.404477
MICU3	1.29064	2.18375	0.739393	0.325711	1.05778
MID1	-3.99996	-4.87596	-4.82742		
MID2	-0.759823	1.47642	0.141416	0.281672	1.12697
MIEF1	2.59295	0.0854165	3.03499		
MIER1	-0.442541	1.37025	0.390762	1.76592	2.29273
MIER3	1.05358	2.26736	1.88606		
MIF	2.92087	-0.27093	1.18409	-0.762309	-1.61565
MIF-AS1	1.55775	-0.705869	0.0970223	-1.02765	-1.87485
MIGA1	1.57279	1.56127	2.12877	-0.561616	-0.769457
MIGA2	-0.252636	1.194	0.156092		
MIIP	-0.120708	-1.72526	-0.586064		
MILR1	-2.50949	-2.77672	-3.33642	-3.70858	-3.77259
MINDY1				-4.81283	-3.87299
MINDY2	-5.8405	-3.00754	-5.36808		
MINDY3	-0.262501	1.28716	-0.256934	-0.663207	0.317519
MINK1	-2.03373	-3.27531	-2.34526	-0.773629	-1.37223
MINOS1	0.680627	-1.02988	-0.0446938	-0.414777	-1.30453
MINPP1	-1.19806	0.104445	-1.70355		
MIOS	2.8156	3.92625	2.34487	4.51437	5.03448
MIPEP	-1.3956	-1.37865	-1.18129		
MIPOL1	-2.82636	-2.12111	-2.70734		
MIR100HG	1.73162	-0.78539	1.57564	-2.299	-3.33818
MIR124-2HG	1.56264	2.82041	2.74674	4.88668	5.64342
MIR193BHG	1.72325	2.18438	2.66056		
MIR22HG	1.78588	2.21601	4.76536	-0.163756	-0.0518906
MIR29B2CHG	0.883378	2.24955	1.96348	1.54167	1.82997
MIR31HG	-0.0447745	1.47282	-0.51886	0.138675	1.02123
MIR4435-2HG	-0.965288	-2.30342	-4.44271	-1.75808	-2.17192
MIR4453HG	-0.571037	0.665165	0.131647		
MIR4697HG	2.5641	3.24279	2.2022	2.47197	2.99043
MIR497HG	-0.243776	-0.197968	-0.299925	4.64273	5.06882
MIR600HG	0.739141	2.08823	2.43354	0.386334	1.25172
MIR7-3HG	3.62576	0.364335	3.61382	1.53475	0.208986
MIR9-3HG	-0.200013	0.847527	-0.724516	0.715809	1.22049
MIR99AHG	0.834823	-0.60702	1.85192	1.43353	0.730856
MIRLET7BHG	-4.46853	-1.24197	-3.66791	-1.34284	-0.0541747
MIS18A	-0.0773406	1.203	-1.58606		
MIS18BP1	-3.18704	-0.355348	-5.73506	-2.38521	-1.14954
MITF	-4.09419	-0.789806	-5.17281	-4.06654	-2.09516
MKKS	0.500049	-1.16669	-0.749278		
MKL1	2.89389	3.01088	3.4807		
MKL2	5.54819	1.33887	5.63516	7.02892	2.80835
MKLN1	-2.22817	0.921849	-1.12942	1.909	2.33262
MKNK1	-2.66387	-2.19294	-5.62201	-0.43677	-0.30791
MKNK2	-1.59698	1.26292	-1.07419	1.24908	1.91568
MKRN1	1.59324	1.93431	3.01735		
MKRN2	3.7643	4.03886	3.92486	4.08394	4.68857
MKRN9P	0.724173	1.21084	0.613751		
MKX	2.7168	3.67801	4.32839	2.32544	2.67515
MLC1	-1.31071	-2.30231	-1.37753		
MLEC	1.61584	-0.871141	0.588197		
MLF1	-2.58114	-3.39348	-5.44212	0.52207	0.172881
MLH1	-3.40198	-4.24416	-2.93209	-2.42196	-2.71802
MLH3	0.302564	1.18586	0.949568		
MLIP	4.53315	1.86723	6.1933	6.35004	4.16198
MLKL	-3.11407	-3.25285	-4.02444	-5.58018	-4.90494
MLLT1	-2.75403	-3.23536	-1.54422		
MLLT10	-0.0461078	1.92602	1.3269	1.89274	2.74801
MLLT11	3.29277	1.11182	2.60337		
MLLT3	-0.979043	-0.026055	-0.464183		
MLLT6	-0.243963	0.61339	-0.271363		
MLNR	0.469176	-1.16564	0.486454	1.90157	0.800148
MLPH	-2.12651	-0.0486403	-1.25257	-2.3763	-1.86274
MLX	-0.291406	-1.57645	-1.78549		
MLXIP	-1.48308	0.482483	-1.08768	-0.762695	0.3373
MLXIPL	3.25273	3.81419	4.28892		
MLYCD	2.70926	3.23922	3.13884		
MMAA	1.99771	0.26027	2.25365	0.501386	-0.201493
MMAB	-0.150196	-2.24233	-0.995645	-2.57826	-2.91177
MMACHC	-1.14447	-0.834381	-2.03703	-5.04449	-4.17027
MMD	0.0410039	-1.92849	-0.368603	-2.32076	-2.10751
MMGT1	2.68964	0.828098	1.65321	1.76304	1.33719
MMP14	-0.401775	-0.208275	0.125119		
MMP15	-0.359835	0.903231	0.775426	-0.788915	-0.378249
MMP16	0.768111	0.601995	0.635285	3.23239	2.62288
MMP17	2.91095	2.11436	2.45089		
MMP28	-1.39274	-2.27521	-1.70905	1.54197	0.563252
MMRN2	-2.25157	-2.91992	-2.0597		
MMS19	1.86988	-0.223636	1.01089		
MMS22L	-0.987039	1.23148	-1.86875	-1.25322	-0.00104344
MNAT1	3.67356	4.05582	3.25444		
MND1	3.46195	1.85639	4.57088	1.03099	0.636756
MNDA	-2.2531	-2.7097	-2.66781	-2.91701	-3.23021
MNS1	0.708949	2.21312	0.757718	2.66879	3.39648
MNT	-1.09198	-1.26015	-1.36826	0.936833	0.749931
MOAP1	2.52954	3.20929	1.67183		
MOB1B	2.0869	-0.847912	1.56671	3.33847	0.370086
MOB2	2.31436	3.16685	4.26194	1.6258	2.03271
MOB3A	-1.79633	-2.43521	-2.2647		
MOB3B	2.92413	3.03277	4.21486	1.28789	1.55081
MOB3C	-3.42565	-2.84141	-2.86231		
MOBP	-3.29415	-2.96448	-4.5511	-5.61129	-4.44838
MOCS1	-0.19576	0.778597	-0.611693	0.420078	0.995657
MOCS2	-1.60317	-2.60168	-3.92076		
MOG	-0.895917	-0.240459	-0.469383	-3.73188	-2.79758
MOGAT1	-1.64603	0.90352	-1.58524	1.13683	1.60373
MOGAT2	-4.26339	-0.823907	-3.73101	-0.722691	0.524673
MOGAT3	-1.75257	0.702089	-0.574464		
MOGS	-0.00198168	0.909972	0.0242589		
