label,CT,dCT,PLS1,PLS2,C1,C3,system,cortex
lh_5L,2.48666,-0.0271302,22.441,-2.78411,0.636314,-0.378335,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5m,2.51487,-0.0265876,65.5155,-15.1388,,,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_5mv,2.43636,-0.0268678,27.2988,13.0003,0.537936,0.000728977,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6a,2.67227,-0.00861955,-14.7438,-18.2494,0.0162966,-0.399385,sensorimotor,Premotor
lh_6d,3.00965,-0.000135853,24.0612,-57.5553,0.89311,-2.13149,sensorimotor,Premotor
lh_6ma,3.02818,-0.0150135,-25.8564,-16.5094,-0.15871,-0.195281,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6mp,2.86345,-0.0100773,-1.17713,-48.4427,0.431711,-1.73448,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_6r,2.80604,-0.0113063,-20.9849,-4.56164,,,sensorimotor,Premotor
lh_6v,3.23944,-0.00729851,-20.2869,-31.5268,,,sensorimotor,Premotor
lh_7AL,2.45258,-0.02247,23.3114,2.82728,0.741154,0.299826,association,Superior_Parietal
lh_7Am,2.58877,-0.0277032,25.2781,4.7512,0.695755,0.00292805,association,Superior_Parietal
lh_7PC,2.5787,-0.0198141,27.9471,-14.831,0.813794,-0.66671,association,Superior_Parietal
lh_7PL,2.62017,-0.0299388,27.7132,32.6258,,,association,Superior_Parietal
lh_7Pm,2.66145,-0.0289813,38.4915,21.8676,1.09123,0.999146,association,Superior_Parietal
lh_7m,2.77469,-0.0269963,50.2097,1.72305,1.28124,-0.260952,association,Posterior_Cingulate
lh_8Ad,2.70439,-0.0151497,-11.7237,-1.61965,-0.0616636,0.30109,association,Dorsolateral_Prefrontal
lh_8Av,2.96934,-0.0197406,-12.1115,-13.6836,0.0939365,-0.292834,association,Dorsolateral_Prefrontal
lh_8BL,3.27516,-0.0253951,-25.6827,-13.2577,-0.393402,-0.263895,association,Dorsolateral_Prefrontal
lh_8BM,3.25042,-0.0241341,-24.7441,3.31184,-0.302781,0.276188,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_8C,2.68735,-0.0167436,-2.97028,4.64338,0.237464,0.387725,association,Dorsolateral_Prefrontal
lh_9-46d,2.50781,-0.0226716,-6.50303,11.4841,-0.205744,0.350561,association,Dorsolateral_Prefrontal
lh_9a,2.70912,-0.0232046,-11.748,34.7492,-0.198649,1.47316,association,Dorsolateral_Prefrontal
lh_9m,3.09514,-0.0289288,-39.4867,15.5194,-0.895001,0.363464,association,Anterior_Cingulate_and_Medial_Prefrontal
lh_9p,2.81494,-0.0193836,-24.4211,6.12469,-0.398069,0.346828,association,Dorsolateral_Prefrontal
lh_A1,2.68638,-0.0206392,88.0568,-28.4836,1.65139,-2.01302,auditory,Early_Auditory
lh_A4,3.11443,-0.0163167,2.89041,8.8529,0.289165,1.33986,auditory,Auditory_Association
lh_A5,3.23819,-0.0203861,-10.7957,5.59272,-0.239209,1.06523,auditory,Auditory_Association
lh_AAIC,3.76303,-0.0157817,-130.041,4.90335,,,auditory,Insular_and_Frontal_Opercular
lh_AIP,2.43562,-0.022248,24.9138,7.64212,0.867618,0.712809,association,Superior_Parietal
lh_AVI,2.98901,-0.0203092,-32.6621,3.37977,-0.733992,0.361394,auditory,Insular_and_Frontal_Opercular
lh_DVT,2.42599,-0.0249859,51.8006,2.84977,1.16893,-0.46209,association,Posterior_Cingulate
lh_EC,2.44045,-0.00942134,-67.4599,-56.7987,-1.24921,-2.63237,association,Medial_Temporal
lh_FEF,2.71436,-0.00357333,0.205434,-23.745,0.368128,-0.605317,sensorimotor,Premotor
lh_FFC,2.88755,-0.0183536,9.39698,1.35128,0.242502,0.980555,visual,Ventral_Stream_Visual
lh_FOP1,3.05089,-0.0169773,-30.8619,-9.5608,,,sensorimotor,Posterior_Opercular
lh_FOP2,2.77795,-0.0193248,-50.8615,-7.25858,,,auditory,Insular_and_Frontal_Opercular
lh_FOP3,2.67358,-0.0140493,-42.9173,1.57428,-1.01572,-0.48484,auditory,Insular_and_Frontal_Opercular
lh_FOP4,2.943,-0.0155748,-46.509,-4.57422,-0.94216,-0.0429287,auditory,Insular_and_Frontal_Opercular
lh_FOP5,2.64764,-0.0173669,,,,,auditory,Insular_and_Frontal_Opercular
lh_FST,2.56471,-0.0202854,39.9716,18.0323,1.03204,1.0996,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_IFJa,2.66666,-0.0163824,4.3588,-4.12668,,,association,Inferior_Frontal
lh_IFJp,2.62906,-0.0121112,-24.8607,-17.1691,,,association,Inferior_Frontal
lh_IFSa,2.61544,-0.0231055,-7.21606,25.5883,-0.00776582,0.870521,association,Inferior_Frontal
lh_IFSp,2.64782,-0.0197344,13.6456,11.2706,0.512682,0.743701,association,Inferior_Frontal
lh_IP0,2.42674,-0.0223717,49.6322,19.8837,1.14751,0.675677,association,Inferior_Parietal
lh_IP1,2.49155,-0.0234181,39.0537,3.42013,1.18664,0.614343,association,Inferior_Parietal
lh_IP2,2.49221,-0.0225296,21.8096,4.38794,0.784298,0.694965,association,Inferior_Parietal
lh_IPS1,2.34606,-0.0246,66.171,-19.5519,1.41622,-1.25222,visual,Dorsal_Stream_Visual
lh_Ig,2.88059,-0.0223589,-5.80865,25.3075,-0.105145,1.07906,auditory,Insular_and_Frontal_Opercular
lh_LBelt,2.62268,-0.0136122,28.0178,-42.7727,,,auditory,Early_Auditory
lh_LIPd,2.37171,-0.0218024,34.0343,-10.226,,,association,Superior_Parietal
lh_LIPv,2.33006,-0.0182607,35.4315,-8.66971,1.15483,0.252415,association,Superior_Parietal
lh_LO1,2.30932,-0.017035,89.1833,-12.1174,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO2,2.72968,-0.019828,69.7722,-11.3533,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO3,2.53471,-0.02074,41.4192,12.7355,1.15882,0.92301,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_MBelt,2.75639,-0.0167452,50.7277,-8.87177,1.1301,-0.442279,auditory,Early_Auditory
lh_MI,3.28206,-0.0243944,-90.0794,15.6121,-1.80147,-0.582666,auditory,Insular_and_Frontal_Opercular
lh_MIP,2.35505,-0.0213063,45.4263,-1.34888,1.13342,-0.283009,association,Superior_Parietal
lh_MST,2.43535,-0.0162854,78.0091,-4.11671,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_MT,2.50736,-0.0168827,95.0436,-38.5766,,,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_OFC,2.43133,-0.0220834,-57.1822,27.5893,-1.38138,0.591579,association,Orbital_and_Polar_Frontal
lh_OP1,2.87705,-0.0196157,-1.39187,-18.3335,,,sensorimotor,Posterior_Opercular
lh_OP2-3,2.72335,-0.0204141,28.8169,6.64735,,,sensorimotor,Posterior_Opercular
lh_OP4,2.91002,-0.0215849,9.36008,-13.2946,0.385299,-0.106502,sensorimotor,Posterior_Opercular
lh_PBelt,2.69649,-0.0136744,51.3196,-20.1996,1.15985,-1.04465,auditory,Early_Auditory
lh_PCV,2.61698,-0.023896,26.6636,10.2904,0.699377,0.319168,association,Posterior_Cingulate
lh_PEF,2.63171,-0.00620241,2.29032,-58.4395,,,sensorimotor,Premotor
lh_PF,2.88152,-0.020169,4.73869,9.19407,0.319679,1.27399,association,Inferior_Parietal
lh_PFcm,2.7472,-0.0199354,34.779,-3.25259,,,auditory,Early_Auditory
lh_PFm,2.79754,-0.0231217,7.7594,10.1409,0.46308,1.39265,association,Inferior_Parietal
lh_PFop,2.92402,-0.0194776,-13.2297,11.6154,-0.0308032,1.14219,association,Inferior_Parietal
lh_PFt,2.62425,-0.0195228,10.3491,-12.1182,0.419426,-0.0675265,association,Inferior_Parietal
lh_PGi,2.68091,-0.02423,11.4231,8.69428,0.450138,0.824966,association,Inferior_Parietal
lh_PGp,2.81392,-0.0260028,33.714,8.43776,0.870767,0.339318,association,Inferior_Parietal
lh_PGs,2.85622,-0.0281114,30.5398,18.0452,0.926209,1.21282,association,Inferior_Parietal
lh_PH,2.68067,-0.0197046,27.2815,12.0334,0.671717,0.872097,visual,MT+_Complex_and_Neighboring_Visual_Areas
lh_PHA1,2.98661,-0.0142352,-45.1669,-22.5784,-1.03757,-1.65863,association,Medial_Temporal
lh_PHA2,2.43599,-0.0184432,-61.1568,27.1166,-1.36733,0.57116,association,Medial_Temporal
lh_PHA3,2.70626,-0.0172839,-41.8813,13.7623,-1.06958,0.474079,association,Medial_Temporal
lh_PHT,2.97839,-0.020854,-0.0260306,2.59988,0.110119,1.02473,association,Lateral_Temporal
lh_PI,2.8304,-0.00938287,-50.4407,5.57087,-1.28296,-0.0446565,auditory,Insular_and_Frontal_Opercular
lh_PIT,2.70472,-0.0181499,25.3657,-0.3527,,,visual,Ventral_Stream_Visual
lh_POS1,2.85339,-0.0246553,16.3051,18.848,0.431601,0.949841,association,Posterior_Cingulate
lh_POS2,2.47092,-0.0226028,41.4841,23.1486,1.10881,1.10435,association,Posterior_Cingulate
lh_PSL,2.93249,-0.0187095,5.66402,14.3096,0.306398,1.44304,association,Temporo-Parieto_Occipital_Junction
lh_PeEc,3.07457,-0.00588949,-94.371,-23.1867,-1.89739,-1.79619,association,Medial_Temporal
lh_Pir,2.99625,-0.000382911,-44.3621,-64.041,,,auditory,Insular_and_Frontal_Opercular
lh_PoI1,3.30892,-0.0173384,-77.6443,5.63083,-1.74616,-0.586551,auditory,Insular_and_Frontal_Opercular
lh_PoI2,3.59502,-0.020702,-90.6673,-2.3717,-1.90057,-1.585,auditory,Insular_and_Frontal_Opercular
lh_PreS,1.71387,-0.0122032,-34.5809,-23.0418,-0.971794,-1.85018,association,Medial_Temporal
lh_ProS,2.36249,-0.027536,-54.4187,-7.49934,,,association,Posterior_Cingulate
lh_RI,2.58848,-0.0201434,53.9925,-14.212,,,auditory,Early_Auditory
lh_RSC,2.39017,-0.0148258,28.0222,-7.45756,0.721925,-0.611172,association,Posterior_Cingulate
lh_SCEF,3.07464,-0.0169091,-14.5369,-23.7882,0.115468,-0.710137,sensorimotor,Paracentral_Lobular_and_Mid_Cingulate
lh_SFL,3.28585,-0.0196723,-19.3956,-27.6687,0.0286624,-0.799577,association,Dorsolateral_Prefrontal
lh_STGa,3.61665,-0.0127183,-80.1067,8.69324,-1.67887,-0.112868,auditory,Auditory_Association
lh_STSda,2.95348,-0.0194582,-33.6395,4.74457,,,auditory,Auditory_Association
lh_STSdp,2.71952,-0.0242898,8.0753,5.15837,0.313021,1.10998,auditory,Auditory_Association
lh_STSva,2.74275,-0.0178691,-36.0383,-0.939602,-0.956509,0.270337,auditory,Auditory_Association
lh_STSvp,2.86796,-0.0248754,-11.7582,-2.17633,-0.279481,0.48085,auditory,Auditory_Association
lh_STV,2.9096,-0.0203569,-6.22008,10.4103,0.0656365,1.22222,association,Temporo-Parieto-Occipital_Junction
lh_TA2,3.0554,-0.00956376,-46.3153,15.3076,-1.10928,0.457959,auditory,Auditory_Association
lh_TE1a,3.38033,-0.0174836,-41.6779,0.571002,-1.02731,0.0774407,association,Lateral_Temporal
lh_TE1m,3.08772,-0.0180893,-40.9569,6.92812,-0.908639,0.810254,association,Lateral_Temporal
lh_TE1p,3.04035,-0.0188847,-20.1886,5.60903,-0.486758,1.25773,association,Lateral_Temporal
lh_TE2a,2.91218,-0.0181758,-46.944,3.8583,-1.14865,0.321337,association,Lateral_Temporal
lh_TE2p,2.77357,-0.0182196,-25.7589,15.4304,-0.645703,1.3367,association,Lateral_Temporal
lh_TF,2.91368,-0.0171849,-51.4075,7.68788,-1.23328,0.712786,association,Medial_Temporal
lh_TGd,3.4823,-0.0117828,-90.2799,-6.09169,-1.91955,-0.963901,association,Lateral_Temporal
lh_TGv,3.35826,-0.013464,-66.0035,0.937463,-1.53794,-0.0945557,association,Lateral_Temporal
lh_TPOJ1,2.74704,-0.0211634,8.51484,11.2306,0.317889,1.22209,association,Temporo-Parieto-Occipital_Junction
lh_TPOJ2,2.69897,-0.0219262,13.2053,-3.84964,0.498947,0.760364,association,Temporo-Parieto-Occipital_Junction
lh_TPOJ3,2.52295,-0.0232161,12.298,19.4004,,,association,Temporo-Parieto-Occipital_Junction
