gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
TMEM200C	6.1134	5.9255	5.7303	0.022061	248	10
NEUROD6	6.0835	5.9245	5.8605	0.017591	249	10
MEGF8	6.0271	5.9189		0.018139	250	10
TNFAIP8L1	6.155	5.9107	5.7036	0.014635	251	10
GOLGA3	6.0348	5.91		0.017572	252	10
ADCYAP1	6.1669	5.9061	5.7472	0.022181	253	10
NRCAM	6.1276	5.9054	5.5028	0.01893	254	10
KLHL18	6.115	5.8971		0.018414	255	10
ATP6V0A1	6.1124	5.8875	5.5694	0.021924	256	10
RTP1	6.1206	5.8845	5.5603	0.016588	257	10
IER5	5.464	5.8795	6.1793	0.011131	258	10
ANKRD24	5.8023	5.8423	5.8879	0.012941	259	10
NSD3	6.143	5.8343	5.6632	0.021922	260	10
FILIP1L	5.9839	5.8252	5.7016	0.016825	261	10
NUP50	5.8725	5.8002		0.015926	262	10
RUFY2	5.7733	5.7988		0.01919	263	10
KBTBD11	5.973	5.7964	5.6626	0.022781	264	10
ANKRD28	6.0173	5.7954	5.4677	0.021305	265	10
TSPYL4	6.3125	5.7953	5.4394	0.01458	266	10
CD83	6.2122	5.7928	5.1938	0.013109	267	10
WASF1	6.1097	5.7905	5.4728	0.019688	268	10
CAMKK2	5.4006	5.7886	6.2644	0.011185	269	10
FAM117B	6.0145	5.7849	5.6284	0.022523	270	10
ARHGAP28	5.8738	5.7761	5.8063	0.014156	271	10
ZNF184	5.9381	5.7721	5.7086	0.016405	272	10
NUDT16	6.0219	5.7717	5.3365	0.012767	273	10
MPP2	5.9444	5.7589	5.6048	0.017113	274	10
USP20	6.1276	5.7494		0.019635	275	10
RASL11B	5.8273	5.7441	5.7439	0.016043	276	10
FHL2	5.6994	5.743		0.01801	277	10
KCNJ4	5.8471	5.7416		0.022071	278	10
DNAJC30	6.1939	5.7408	5.2742	0.014303	279	10
HSPA13	5.8938	5.7359	5.5747	0.014214	280	10
EXD3	5.8734	5.7346	5.5444	0.018708	281	10
ALG13	5.7934	5.7318		0.021344	282	10
LGI4	5.9489	5.7283	5.6226	0.013514	283	10
