gene	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	U_ds25_thinning	rank_ds25	decile_ds25
THAP8	2.6984	2.5865	2.4886	0.009816	1967	9
SKIV2L	2.7075	2.5863		0.012368	1968	9
ZBED9	2.4612	2.5847	2.6561	0.0080892	1969	9
CYP1B1-AS1	2.5611	2.5833	2.5922	0.011206	1970	9
KAT7	2.6957	2.5821		0.014122	1971	9
FSTL4	2.3437	2.582	2.8536	0.0069483	1972	9
PITPNM2	2.7277	2.5789	2.4536	0.0090351	1973	9
EFNA5	2.3158	2.5756	2.9029	0.0078262	1974	9
RNF8	2.6074	2.5748		0.013853	1975	9
FAM163B	2.6891	2.5734		0.013128	1976	9
UBE2K	2.5257	2.5732		0.0097988	1977	9
RIPK2	2.7138	2.5731	2.4534	0.0068456	1978	9
C2orf80	2.688	2.5725	2.5171	0.0065641	1979	9
PARP2	2.5235	2.5696	2.5949	0.012413	1980	9
MYADM	2.7708	2.5679	2.3265	0.0091186	1981	9
LOC644189	2.6908	2.5667	2.4526	0.011396	1982	9
PXN-AS1	2.7417	2.5659	2.3707	0.0093625	1983	9
SLC27A3	2.7227	2.5655	2.3964	0.011986	1984	9
SSRP1	2.5728	2.5644		0.014235	1985	9
MIR4697HG	2.3769	2.5641	2.7389	0.0078152	1986	9
RPUSD2	2.2283	2.5632	2.9407	0.0056165	1987	9
PTPRK	2.5719	2.5625	2.5463	0.015046	1988	9
KAT2A	2.4064	2.5613	2.6785	0.0083378	1989	9
SARNP	2.8421	2.5612	2.2509	0.00425	1990	9
CYGB	2.7098	2.5577	2.3899	0.011976	1991	9
JOSD1	2.4327	2.5574	2.7028	0.0088322	1992	9
LASP1	2.6734	2.557		0.0085463	1993	9
PXMP4	2.7399	2.557	2.3723	0.0081708	1994	9
FOXP2	2.4192	2.5567	2.6665	0.0086425	1995	9
RABL2A	2.371	2.5558	2.7467	0.0083245	1996	9
MYBBP1A	2.3047	2.5547	2.8168	0.0071597	1997	9
DKK2	2.5728	2.5544	2.5305	0.013381	1998	9
IBTK	2.5471	2.5542	2.5664	0.0097334	1999	9
GFM2	2.8627	2.5518		0.0077781	2000	9
HSP90AB1	2.7961	2.5516	2.2596	0.007821	2001	9
PAXIP1-AS1	2.7297	2.5507	2.3603	0.0093543	2002	9
ABCC8	2.0969	2.5476	3.0434	0.0051542	2003	9
SNAPC5	2.8493	2.5468	2.2253	0.0065201	2004	9
RNF139	2.7192	2.5461	2.366	0.0084821	2005	9
DVL2	2.3443	2.5457	2.6856	0.007806	2006	9
WDR86	2.6387	2.5456	2.5054	0.0043127	2007	9
MAGI1	2.5231	2.5454	2.5635	0.012173	2008	9
OLFM1	2.5576	2.5434	2.5201	0.010392	2009	9
LINC02145	2.503	2.5431		0.010188	2010	9
AGBL5	2.7526	2.5427		0.0081041	2011	9
OSBPL8	2.6628	2.5426	2.4576	0.012856	2012	9
HEMK1	2.6684	2.5425	2.389	0.012485	2013	9
BCL2L13	2.5965	2.5411	2.4819	0.017127	2014	9
RCN2	2.6391	2.5408	2.466	0.008042	2015	9
SPATC1L	2.6286	2.538	2.5118	0.0075361	2016	9
NRGN	2.4932	2.5376	2.5664	0.01067	2017	9
MRE11	2.5861	2.5326		0.013598	2018	9
UTP6	2.5827	2.5325		0.012209	2019	9
ATXN7L3B	2.5347	2.5323		0.0081352	2020	9
C11orf95	2.6445	2.5318	2.4515	0.010281	2021	9
NEUROD1	2.5649	2.5311	2.5003	0.013362	2022	9
CRIM1	2.6425	2.5303	2.4413	0.0085529	2023	9
LINC01116	2.6396	2.5299	2.3852	0.014893	2024	9
MARS	2.5663	2.5296		0.013918	2025	9
MOAP1	2.4588	2.5295		0.0081002	2026	9
CELSR3	2.41	2.5287	2.6157	0.010152	2027	9
TP53BP1	2.6279	2.5281	2.4726	0.011719	2028	9
MUL1	2.5916	2.5248		0.013767	2029	9
PCDH9	2.5507	2.5232		0.010819	2030	9
COMMD10	2.6728	2.5231		0.010935	2031	9
EXOC4	2.8835	2.5226	2.0918	0.0055192	2032	9
CCDC24	2.6175	2.5207	2.4734	0.0094964	2033	9
NUDT2	2.7811	2.5192	2.2549	0.0060493	2034	9
FABP3	2.7981	2.519	2.1935	0.0058842	2035	9
RNF150	2.6222	2.5186	2.4519	0.0036921	2036	9
FCRLB	2.4805	2.5183		0.013632	2037	9
TBC1D15	2.5412	2.5155		0.011301	2038	9
PCDHB18P	2.2611	2.5153	2.7662	0.0069408	2039	9
MOSPD1	2.2982	2.5151	2.8025	0.0074581	2040	9
PNOC	2.5632	2.5135	2.4628	0.013849	2041	9
DENND6B	2.6366	2.5118	2.4063	0.0097492	2042	9
SMYD3	2.7161	2.5113	2.2663	0.010999	2043	9
RANBP17	2.2476	2.5107	2.7143	0.0062879	2044	9
LOC105372480	2.9521	2.5063	2.0455	0.006305	2045	9
SCN3A	2.6094	2.5059	2.4282	0.0097624	2046	9
PKIA	2.575	2.5058	2.5476	0.0047139	2047	9
MED14OS	2.737	2.5042		0.010453	2048	9
CORO2A	2.4177	2.5028	2.6181	0.010925	2049	9
LOC729970	2.5908	2.5027	2.4757	0.0077248	2050	9
LRRC20	2.4862	2.5022	2.5298	0.012155	2051	9
MED20	2.3944	2.5022		0.0083035	2052	9
CA11	2.7394	2.5021	2.2633	0.0059587	2053	9
YPEL4	2.3491	2.5012	2.5998	0.0081608	2054	9
CXXC4	2.5742	2.4994	2.4633	0.010083	2055	9
RBM4	2.5405	2.4985	2.4478	0.012382	2056	9
TWSG1	2.6033	2.4979		0.01206	2057	9
ELP3	2.5261	2.4966	2.4602	0.015521	2058	9
KMT5B	2.2949	2.4953	2.6308	0.0069348	2059	9
ZKSCAN5	2.5698	2.4948		0.0099284	2060	9
PSMC1	2.6553	2.4945	2.3118	0.013525	2061	9
ZFP1	2.5521	2.4943		0.012223	2062	9
PPM1K	2.6204	2.4942		0.009928	2063	9
TIMM13	2.788	2.4932	2.163	0.0059855	2064	9
CRSP8P	2.7374	2.4924	2.221	0.010639	2065	9
SOX12	2.4725	2.4921		0.013217	2066	9
PPP1R3E	2.3259	2.4917	2.7171	0.0058836	2067	9
MYBPC2	2.5701	2.4911	2.4067	0.011251	2068	9
ZNF622	2.6386	2.4886		0.011291	2069	9
SNX30	2.4841	2.4883		0.014044	2070	9
MEPE	2.7004	2.486	2.2176	0.0087361	2071	9
NDUFV1	2.521	2.4847		0.014946	2072	9
C12orf76	2.6154	2.4843	2.3264	0.0099187	2073	9
ARHGEF28	2.729	2.484	2.1927	0.0071444	2074	9
DHRS7B	2.6274	2.4819	2.2872	0.011892	2075	9
S100A6	2.5845	2.4789	2.3469	0.012932	2076	9
LRTM2	2.439	2.4787		0.010885	2077	9
UBR4	2.6312	2.4783		0.013429	2078	9
SEC61A2	2.6408	2.4769	2.3043	0.010589	2079	9
SLC25A14	2.7066	2.4755	2.2287	0.0097721	2080	9
LINC01664	2.5461	2.4749		0.010645	2081	9
GCNT1	2.663	2.4748	2.2574	0.0083757	2082	9
DRD3	2.6489	2.474		0.014181	2083	9
EDC3	2.5934	2.4739	2.3352	0.013006	2084	9
DNMBP	2.2875	2.4735		0.0074615	2085	9
TIMM10	2.9469	2.473	1.9731	0.0049708	2086	9
UBA1	2.6002	2.4718		0.014946	2087	9
MCTS1	2.8663	2.4711	2.0029	0.005764	2088	9
ATP6V0CP3	2.6332	2.471		0.012374	2089	9
NIPAL2	2.0647	2.4707	2.9778	0.0040667	2090	9
KREMEN2	2.6836	2.4699	2.2343	0.0087533	2091	9
SDAD1	2.612	2.4681		0.012389	2092	9
TEX47	2.4603	2.4666	2.4677	0.012828	2093	9
ANGPTL6	2.6864	2.4639	2.2192	0.0093024	2094	9
FDPS	2.7096	2.4622	2.166	0.0088628	2095	9
ATOH7	2.5501	2.4621	2.452	0.0049493	2096	9
APBA2	2.3745	2.4609		0.011383	2097	9
POLR3C	2.7506	2.4602		0.0078131	2098	9
CRELD1	2.3303	2.46	2.5944	0.007788	2099	9
RASAL2	2.4669	2.4577	2.4392	0.012799	2100	9
POLR3B	2.5208	2.4576		0.014165	2101	9
TMEM115	2.4692	2.4576		0.012051	2102	9
PCBP3	2.6277	2.4576	2.2517	0.0097974	2103	9
TTC9	2.4859	2.4574		0.014865	2104	9
NIPSNAP1	2.7103	2.4568	2.1372	0.0067347	2105	9
THBD	2.6316	2.4562	2.246	0.0098059	2106	9
MFGE8	2.5022	2.456	2.4263	0.013832	2107	9
TUBB	2.7058	2.4559	2.145	0.0054967	2108	9
SCN3B	2.5373	2.4553	2.435	0.0071215	2109	9
MBTPS2	2.3587	2.454		0.008367	2110	9
TPX2	2.612	2.4535		0.012415	2111	9
ZNF213-AS1	2.4158	2.4535		0.0096716	2112	9
ZMYND8	2.2504	2.4533	2.6691	0.0059174	2113	9
GPR158	2.2986	2.4532	2.6484	0.0083038	2114	9
PPP4R2	2.4317	2.4518	2.4766	0.010608	2115	9
HTR1F	1.953	2.4509	3.0336	0.0033578	2116	9
ULK2	2.4915	2.4507		0.01364	2117	9
P2RY6	2.6988	2.4507	2.1901	0.007858	2118	9
PPP2R5B	2.3415	2.4495	2.5982	0.0088566	2119	9
ZNF77	2.2891	2.4495	2.579	0.0081909	2120	9
KCNQ5	2.3625	2.4484	2.5559	0.011722	2121	9
ID2	2.5341	2.4463	2.3542	0.012661	2122	9
TIMM10B	2.599	2.4461		0.0088607	2123	9
HS3ST2	2.5196	2.4446	2.3495	0.018694	2124	9
MGAT5B	2.4584	2.4424	2.4293	0.014065	2125	9
UNC79	2.2568	2.4412	2.5789	0.0078371	2126	9
GSK3B	2.2617	2.438	2.6813	0.0078509	2127	9
TOX2	2.2842	2.4369	2.6459	0.0089069	2128	9
DBNDD1	2.4826	2.4366	2.3715	0.011499	2129	9
USP12	2.666	2.4358	2.1788	0.0057963	2130	9
SESN3	2.6256	2.4336	2.2653	0.0076254	2131	9
DIEXF	2.6117	2.4333	2.2357	0.0084166	2132	9
CACNG6	2.4962	2.4325	2.3745	0.011822	2133	9
TFAP2E	2.3926	2.4324	2.4671	0.0086974	2134	9
OR2L3	2.2779	2.4296	2.6082	0.0082715	2135	9
OBSL1	2.3393	2.4293	2.4933	0.0081413	2136	9
GUCY1A2	2.3886	2.4289	2.484	0.014257	2137	9
CYP1B1	2.5431	2.4273	2.3342	0.010615	2138	9
TOP2B	2.4196	2.4247		0.011867	2139	9
FAM90A1	2.2652	2.4234		0.0088012	2140	9
CNRIP1	2.5095	2.423	2.3741	0.0089746	2141	9
MCOLN1	2.3906	2.4216	2.4519	0.011807	2142	9
SPATS2L	2.4628	2.4209	2.3983	0.013408	2143	9
GPR68	2.6953	2.4207	2.1019	0.0062543	2144	9
C1QTNF4	2.4332	2.4204	2.4052	0.011017	2145	9
ZCCHC3	2.3575	2.4203	2.4696	0.0071971	2146	9
PNPLA6	2.5604	2.4173		0.012886	2147	9
ZNF280A	2.3583	2.4162		0.0088736	2148	9
CDKN2A	2.3943	2.4152	2.4593	0.0092181	2149	9
STARD7	2.6321	2.415	2.2055	0.0069785	2150	9
FAM19A1	2.5348	2.4147	2.3109	0.0099682	2151	9
LEFTY1	2.3822	2.4123		0.012163	2152	9
PSEN2	2.5397	2.4115		0.013224	2153	9
VAT1	2.5768	2.4092	2.2317	0.0082244	2154	9
NMRK1	2.3111	2.4089		0.0097027	2155	9
IRS2	2.4865	2.4085	2.3103	0.015641	2156	9
GCNA	2.3462	2.4074	2.4467	0.010075	2157	9
PKIB	2.5766	2.4058	2.2496	0.008008	2158	9
PID1	2.5682	2.4051	2.2332	0.0035039	2159	9
KHDC1	2.4734	2.4044	2.3154	0.013026	2160	9
TRAF2	2.343	2.404		0.011018	2161	9
MSANTD4	2.4464	2.4035		0.012894	2162	9
IFT22	2.5938	2.4024	2.13	0.0036265	2163	9
TOMM6	2.6822	2.3978	2.1093	0.0057898	2164	9
SNX13	2.5043	2.3973	2.3265	0.0088857	2165	9
C1QL4	2.5556	2.3945	2.204	0.0078301	2166	9
FXR2	2.4539	2.3942		0.014031	2167	9
RNF11	2.5238	2.3936	2.2975	0.0059014	2168	9
ANKRD13C	2.4059	2.3935		0.013971	2169	9
YJEFN3	2.7526	2.3923	1.9504	0.0044906	2170	9
LINC02223	2.5056	2.3916	2.3168	0.011175	2171	9
PSMB7	2.8317	2.3911	1.8934	0.0052666	2172	9
FAM182B	2.5971	2.3871	2.1701	0.0061209	2173	9
RUBCN	2.5039	2.3867	2.2987	0.0089144	2174	9
DOK6	2.4829	2.3862	2.294	0.0037523	2175	9
LINGO1	2.5154	2.3857	2.272	0.0071298	2176	9
LTB	2.144	2.3846	2.6882	0.0073469	2177	9
SERINC1	2.5664	2.3836	2.1635	0.0087527	2178	9
SLC6A17	2.3436	2.3829	2.3756	0.0085858	2179	9
SULT2B1	2.3605	2.3823		0.011312	2180	9
KLF10	2.5615	2.3817	2.1963	0.0089335	2181	9
UBP1	2.2726	2.3803	2.4511	0.009214	2182	9
RNF128	2.4171	2.3779	2.3258	0.01544	2183	9
FBXW9	2.52	2.3769	2.228	0.010125	2184	9
TMEM97	2.5383	2.3759	2.2276	0.0096115	2185	9
TMEM132A	2.4997	2.3751	2.2881	0.0085911	2186	9
LINC00339	2.32	2.3749		0.01006	2187	9
TRIM36	2.5149	2.3741	2.1805	0.0037563	2188	9
DDAH1	2.6144	2.3728	2.0615	0.0048127	2189	9
EIF4A2	2.0999	2.3727	2.6978	0.0058364	2190	9
ZFPM2	2.2835	2.3711	2.4985	0.010056	2191	9
CALB1	2.475	2.3706	2.3046	0.0087756	2192	9
PCDH1	2.4649	2.3693		0.0097853	2193	9
ITGA4	2.3945	2.3684		0.01607	2194	9
EGR3	2.5196	2.3669	2.202	0.010698	2195	9
ANKRD34C	1.9402	2.3664	2.9177	0.0042065	2196	9
TMEM69	2.213	2.3661		0.0072345	2197	9
RC3H1	2.2878	2.366		0.0092945	2198	9
AOC2	2.3567	2.3659		0.013336	2199	9
CEBPA	2.4611	2.3655	2.3226	0.0053576	2200	9
RS1	2.4842	2.3635	2.2597	0.010575	2201	9
SLC49A3	2.4206	2.3624	2.2925	0.014475	2202	9
LOC101927027	2.4849	2.3622	2.2942	0.0060654	2203	9
SFRP1	2.4764	2.3611	2.2599	0.0074187	2204	9
ZNF484	2.2775	2.3608		0.011134	2205	9
COL24A1	2.4617	2.3583	2.229	0.014305	2206	9
CCDC158	2.4688	2.3563		0.011908	2207	9
PHKG2	2.2225	2.3561	2.5138	0.0091085	2208	9
CCT5	2.6476	2.3561	2.0144	0.0066111	2209	9
YARS2	2.462	2.3556		0.012214	2210	9
GMPPB	2.4372	2.3555	2.2498	0.013575	2211	9
FAM220A	2.4782	2.3554		0.010927	2212	9
ASB1	2.5035	2.3546	2.1554	0.0045927	2213	9
LOC100505938	2.1766	2.3544	2.5659	0.0061456	2214	9
GPR180	2.0252	2.3535	2.6654	0.0056044	2215	9
DCUN1D1	2.2618	2.3529	2.4712	0.010061	2216	9
IKBIP	2.5761	2.3522	2.1348	0.005513	2217	9
DUSP5	2.1842	2.3512		0.0095869	2218	9
TUBA4A	2.5577	2.3496	2.1255	0.0095253	2219	9
JADE2	2.4883	2.3488	2.211	0.010839	2220	9
TMEM39B	2.3238	2.3478	2.369	0.011691	2221	9
WDR25	2.4796	2.3473	2.2212	0.0092142	2222	9
RDH11	2.4937	2.3468	2.1577	0.011297	2223	9
CCNT2	2.2091	2.3467	2.4955	0.0076454	2224	9
ANKRD6	2.422	2.3465	2.3371	0.0057644	2225	9
SMAD1	2.4589	2.3447	2.2567	0.0088623	2226	9
RFPL2	2.1255	2.3433	2.6318	0.0070102	2227	9
MRPL27	2.3037	2.3425	2.4063	0.011857	2228	9
MTCL1	1.9755	2.3421	2.8359	0.0054237	2229	9
ZNF541	2.3138	2.3419	2.3598	0.011386	2230	9
ANO5	2.2963	2.3396	2.3989	0.011997	2231	9
LMTK2	1.9455	2.3392	2.5343	0.0032946	2232	9
CFL1	2.5296	2.3378		0.01091	2233	9
SCARNA17	2.2672	2.3377		0.0085566	2234	9
PHYHIPL	2.3567	2.3376	2.3212	0.0094289	2235	9
MGAT4C	2.2998	2.3371	2.3732	0.010722	2236	9
SRPRB	2.3636	2.3366		0.013679	2237	9
FAM213B	2.4771	2.3351	2.2125	0.0069739	2238	9
TDG	2.1053	2.3332	2.5219	0.0066733	2239	9
STK25	2.5051	2.3325	2.139	0.0046001	2240	9
SPRYD7	2.4397	2.332		0.00974	2241	9
KRT83	2.428	2.3312	2.2358	0.010283	2242	9
B9D1	2.5023	2.3295	2.1804	0.0047977	2243	9
IREB2	2.2831	2.3291	2.324	0.0080977	2244	9
LCMT1	2.5562	2.3281	2.0753	0.0099965	2245	9
NEDD8	2.5692	2.3271		0.0097044	2246	9
NPTX2	2.5814	2.3269	2.0644	0.00623	2247	9
LGALS1	2.3631	2.3264	2.2835	0.015227	2248	9
SPATA20	2.5127	2.3261	2.108	0.0070767	2249	9
GRM6	2.4572	2.3251	2.2075	0.011745	2250	9
OR2M1P	2.2602	2.3246		0.0086579	2251	9
C10orf82	2.4098	2.3244		0.0098813	2252	9
TMIE	2.5102	2.3243	2.1456	0.0088408	2253	9
FAR2P1	2.5311	2.3238	2.1161	0.0051534	2254	9
ZBTB17	2.3513	2.323		0.012576	2255	9
NAP1L1	2.2399	2.321	2.4278	0.010291	2256	9
RXRB	2.2418	2.3181		0.0091491	2257	9
MED19	2.4547	2.3178		0.012132	2258	9
DNPH1	2.568	2.3164	2.0769	0.0069828	2259	9
CPSF3	2.3083	2.3164		0.010298	2260	9
CYP2R1	2.4429	2.3155		0.011155	2261	9
METTL1	2.5481	2.315	2.0641	0.0095195	2262	9
MOB2	2.2153	2.3144	2.4385	0.011007	2263	9
GPR25	2.4463	2.3142	2.1768	0.0068517	2264	9
CUL2	2.4695	2.3142	2.1358	0.0091092	2265	9
LRRC39	2.4275	2.3138		0.016281	2266	9
MYOM2	2.3924	2.3134	2.2083	0.014046	2267	9
ZDHHC24	2.5167	2.3129	2.1045	0.0084569	2268	9
DRG2	2.4634	2.3123	2.1597	0.011115	2269	9
PLPBP	2.5079	2.3122	2.1225	0.0053542	2270	9
PPARG	2.4172	2.3112	2.1706	0.013625	2271	9
AMDHD1	2.3268	2.3082	2.2866	0.012195	2272	9
KLC1	2.5073	2.3081	2.0889	0.010021	2273	9
C16orf95	2.5865	2.3045	1.9799	0.0068137	2274	9
BFSP1	2.4628	2.3039	2.1779	0.0070427	2275	9
CHST15	2.45	2.3027	2.14	0.012769	2276	9
IL10RA	2.5097	2.3012	2.0117	0.0046628	2277	9
RIMS1	2.3887	2.3007	2.2362	0.0090039	2278	9
ALOX12B	2.2616	2.2995		0.012366	2279	9
AJAP1	2.3296	2.2982	2.2733	0.01245	2280	9
ZNF791	2.1359	2.2982		0.0046371	2281	9
RPL15	2.0871	2.2963	2.5282	0.006606	2282	9
LAGE3	2.4566	2.2957		0.011106	2283	9
ARHGAP25	2.3137	2.2942	2.2677	0.013137	2284	9
NMT1	2.4443	2.2937	2.1618	0.010226	2285	9
ENPP4	2.3501	2.2927	2.2271	0.014152	2286	9
TBC1D9	2.2934	2.2911		0.010502	2287	9
DONSON	2.3593	2.291		0.012986	2288	9
TMEM242	2.4698	2.2901	2.0998	0.010429	2289	9
UGCG	1.917	2.2895	2.6645	0.0048617	2290	9
ATAD3A	2.449	2.2892		0.010529	2291	9
LOC389895	2.5673	2.2881		0.0067351	2292	9
TRAPPC13	2.3873	2.2856		0.013267	2293	9
GUCA1B	2.3111	2.2854	2.2325	0.012551	2294	9
PPIP5K2	2.207	2.2853	2.3868	0.012141	2295	9
KRT86	2.4575	2.2849		0.0080412	2296	9
WDR66	2.3664	2.2843	2.2466	0.0047967	2297	9
PAPSS1	2.4077	2.284	2.1644	0.012163	2298	9
NUMB	2.247	2.2831		0.012465	2299	9
SKIL	2.2666	2.2828		0.013289	2300	9
SMIM10L2A	2.4372	2.2827	2.0903	0.0040307	2301	9
CBLL1	2.3614	2.2799		0.0097146	2302	9
ZNF786	2.1042	2.2789	2.4219	0.0072708	2303	9
PTCH1	2.3622	2.2772	2.2296	0.010625	2304	9
GALNT18	2.3727	2.2772	2.2202	0.0098019	2305	9
MPV17L2	2.451	2.277	2.105	0.0066891	2306	9
DYNC1I1	2.4401	2.2755	2.0816	0.011783	2307	9
SGSM1	2.3527	2.2749	2.2123	0.011307	2308	9
GLB1L3	2.0693	2.2742	2.5243	0.0071211	2309	9
DTX1	2.3978	2.274	2.1926	0.0092015	2310	9
FIZ1	2.1547	2.2736	2.4417	0.0088589	2311	9
EIF1AX	2.1461	2.2735	2.4213	0.0078674	2312	9
KCNJ8	2.2926	2.2725	2.2467	0.016084	2313	9
MYBPHL	2.1631	2.2721	2.3996	0.008711	2314	9
F12	2.3692	2.2721	2.2301	0.0069508	2315	9
PRELID2	2.1853	2.272	2.3367	0.012323	2316	9
TXN	2.7051	2.2719	1.6018	0.0025009	2317	9
ZFP28	2.4994	2.2718		0.0058629	2318	9
NRXN3	2.2676	2.2708	2.2797	0.010669	2319	9
CTH	2.4622	2.2698	2.0382	0.0069415	2320	9
MRPS25	2.5281	2.2695	1.9739	0.0076456	2321	9
TMEM87B	2.3138	2.2691	2.2368	0.011871	2322	9
PCDHB2	2.2755	2.2677	2.2963	0.011931	2323	9
ZNF322	2.1938	2.2668	2.3304	0.0090989	2324	9
DPH2	2.4301	2.266		0.010343	2325	9
DBN1	2.3385	2.2644		0.011681	2326	9
ZNF585B	2.2326	2.2626		0.010768	2327	9
ZNF331	2.2875	2.2626	2.2329	0.013995	2328	9
INSIG1	2.3237	2.2617	2.1754	0.012774	2329	9
ERCC2	2.3983	2.2601	2.1496	0.0061216	2330	9
TUBB8	2.5515	2.2572	1.9006	0.0056029	2331	9
DNAJC8	2.518	2.2564	1.9635	0.0082936	2332	9
TDRD9	2.5304	2.2557	1.9447	0.0049599	2333	9
FIBP	2.2826	2.2544		0.015769	2334	9
FEZ2	2.4621	2.254	2.0148	0.0099044	2335	9
SIK3	2.0881	2.2519		0.007192	2336	9
TAB2	2.3458	2.2512	2.1997	0.0085646	2337	9
C16orf86	2.2376	2.248		0.010365	2338	9
PAK3	2.3285	2.2467	2.2132	0.0069001	2339	9
XKR9	2.1572	2.2462	2.3785	0.0079083	2340	9
ARL8B	2.2704	2.2441	2.2004	0.012748	2341	9
KIF26A	2.3124	2.244	2.1535	0.01218	2342	9
CCT7	2.4148	2.2437	2.0428	0.011848	2343	9
SLC17A7	2.4038	2.2424	2.0907	0.0092087	2344	9
MON1A	2.4035	2.2421		0.010518	2345	9
FAIM2	2.3135	2.2414	2.1447	0.014859	2346	9
PPM1B	2.0248	2.241	2.4535	0.0051761	2347	9
GSPT2	2.318	2.2409	2.1962	0.0091696	2348	9
PARP8	2.3145	2.2407	2.192	0.010551	2349	9
RBP5	2.2292	2.2381	2.2444	0.013301	2350	9
DNAJB9	2.279	2.2365	2.1753	0.012956	2351	9
SH3GLB2	2.4929	2.2338	1.9393	0.0088851	2352	9
GABRB1	2.323	2.2334	2.206	0.0049715	2353	9
RIN1	2.3577	2.2329	2.1301	0.0086537	2354	9
TRIM49	2.2856	2.2312		0.012851	2355	9
NR1H3	2.4808	2.231	1.9596	0.0071673	2356	9
DHPS	2.2378	2.2302		0.010369	2357	9
BOP1	2.4036	2.2284	2.0577	0.010247	2358	9
SMUG1	2.3481	2.2282		0.010472	2359	9
RGL1	2.3555	2.2272		0.0094442	2360	9
DENND4A	2.1105	2.2259	2.2938	0.0057571	2361	9
GRM8	2.3395	2.2252	2.1491	0.010284	2362	9
ZNF727	2.3667	2.2248	2.0984	0.0066332	2363	9
ICAM5	2.3453	2.2247	2.1482	0.0061456	2364	9
RAB14	2.2218	2.2243		0.013619	2365	9
MFAP3	1.8477	2.2242	2.6629	0.0043849	2366	9
C18orf25	1.8332	2.2231	2.719	0.0045174	2367	9
UBC	2.3734	2.2227		0.010505	2368	9
DMAP1	2.2375	2.222		0.010878	2369	9
SLBP	2.4648	2.2217		0.0064149	2370	9
NMRAL1	2.3341	2.221	2.1052	0.009789	2371	9
IMMT	2.313	2.221	2.1029	0.014153	2372	9
CSTF2T	2.0828	2.2191	2.3935	0.0083943	2373	9
RBFOX1	2.028	2.2189	2.4232	0.0064087	2374	9
ARNTL	1.9379	2.2188	2.4918	0.0050455	2375	9
GPBP1	2.132	2.2181	2.2785	0.0091733	2376	9
IFNLR1	1.6424	2.217	2.7707	0.0029637	2377	9
SSR4	2.5496	2.216	1.8393	0.0049715	2378	9
INSL3	2.1944	2.2121		0.013149	2379	9
STAP2	2.2499	2.212		0.011365	2380	9
OR2L8	1.8936	2.2115	2.5615	0.0047517	2381	9
ATG101	2.2823	2.2096		0.011351	2382	9
SBF1P1	2.3237	2.2096		0.013041	2383	9
KRBOX4	2.3335	2.2085	2.1263	0.0066176	2384	9
C12orf73	2.3796	2.2085	2.0608	0.0053071	2385	9
TMEM81	2.0143	2.2082	2.461	0.0071409	2386	9
TSR2	2.4016	2.2072		0.0082126	2387	9
KRT31	2.2135	2.2069	2.197	0.010622	2388	9
SPDEF	2.1974	2.2042	2.2117	0.012725	2389	9
AQP11	2.2357	2.2039		0.015251	2390	9
TUBB8P12	2.4576	2.2037	1.8888	0.0048042	2391	9
MAGED1	2.4838	2.203	1.8897	0.0077669	2392	9
BNIP3	2.2337	2.2025	2.1695	0.010959	2393	9
ZC2HC1A	2.2832	2.2012	2.1093	0.012138	2394	9
ADAT2	2.2113	2.2005		0.0091997	2395	9
AKAP6	2.1975	2.1996	2.2193	0.012247	2396	9
C20orf27	2.7035	2.1993	1.5854	0.0032121	2397	9
ARID2	1.8503	2.1984	2.6325	0.0048786	2398	9
FGFR1OP	1.9801	2.1982	2.3505	0.0052344	2399	9
CACNB1	2.2258	2.1969	2.1659	0.013443	2400	9
AFAP1L1	2.0898	2.1961	2.3108	0.0085379	2401	9
ZC2HC1C	2.3608	2.1951		0.010532	2402	9
DGKE	2.163	2.1943		0.010769	2403	8
CHMP1A	2.3045	2.1942	2.1153	0.0059222	2404	8
TMEM267	2.0369	2.1938		0.0061845	2405	8
CEMIP	1.9805	2.193	2.3833	0.0064213	2406	8
ADAM8	1.9733	2.1892	2.3623	0.0063462	2407	8
CYB5R1	2.4609	2.1889	1.8455	0.0044941	2408	8
USP5	2.344	2.1888	2.0088	0.010512	2409	8
SLC6A13	2.1336	2.1888	2.2624	0.011313	2410	8
SIL1	2.4385	2.1887	1.9102	0.0063679	2411	8
AMIGO1	2.0985	2.1883		0.0094031	2412	8
SLC29A2	2.0613	2.1869	2.3434	0.0090981	2413	8
SLC30A7	2.0429	2.1867	2.2952	0.0062736	2414	8
PRAG1	1.9793	2.1857	2.3964	0.0051662	2415	8
GPR137C	2.0895	2.1842	2.2573	0.0080035	2416	8
DECR2	2.2919	2.1836	2.0855	0.0095585	2417	8
MRAP2	2.2285	2.1828	2.1372	0.011983	2418	8
WDR31	2.2898	2.1813	2.082	0.006674	2419	8
ANKRD50	2.2654	2.1804	2.1293	0.0074074	2420	8
ATP6V1H	2.5007	2.1801	1.8289	0.0058779	2421	8
PCDHB16	2.0186	2.1791	2.3775	0.0065323	2422	8
ST7-AS1	2.234	2.179		0.010838	2423	8
VPS13D	2.2253	2.177	2.1138	0.014357	2424	8
CACNG8	2.0768	2.1768	2.3057	0.0094091	2425	8
FUCA1	2.3594	2.1749	1.9933	0.0068496	2426	8
PDC	2.0325	2.1748	2.322	0.0073729	2427	8
CAPN12	2.263	2.1736	2.1202	0.010202	2428	8
ISLR2	2.3531	2.1731	1.9951	0.011483	2429	8
ELL2	2.0933	2.1712	2.2481	0.0095275	2430	8
TMEM237	1.9158	2.1709	2.5101	0.0052465	2431	8
