universe	vector	cell_class	n_markers	n_universe	mean_weight	null_mean	null_sd	z	p_perm
own	AHBA C1	Endo	537	7973	0.02876	-0.03292	0.02392	2.579	0.01005
own	AHBA C1	Micro	391	7973	-0.1503	-0.03302	0.02852	-4.114	5e-05
own	AHBA C1	Neuro	600	7973	-0.0009507	-0.03287	0.02285	1.397	0.1627
own	AHBA C1	Neuro-Ex	862	7973	0.02327	-0.03249	0.01886	2.957	0.0032
own	AHBA C1	Neuro-In	638	7973	0.001452	-0.03285	0.02204	1.557	0.1207
own	AHBA C1	OPC	96	7973	-0.2518	-0.03315	0.05914	-3.697	0.0002
own	AHBA C1	Oligo	405	7973	0.1417	-0.03258	0.02823	6.172	5e-05
own	AHBA C1	Per	38	7973	0.05805	-0.03325	0.09405	0.9707	0.332
shared	ABCD PLS2, HCP-MMP	Astro	440	7338	0.9761	0.3792	0.1161	5.142	5e-05
shared	ABCD PLS2, HCP-MMP	Endo	516	7338	-0.2437	0.3785	0.1061	-5.867	5e-05
shared	ABCD PLS2, HCP-MMP	Micro	382	7338	-0.9966	0.379	0.1258	-10.94	5e-05
shared	ABCD PLS2, HCP-MMP	Neuro	574	7338	1.462	0.3776	0.1001	10.84	5e-05
shared	ABCD PLS2, HCP-MMP	Neuro-Ex	835	7338	1.374	0.3787	0.08208	12.12	5e-05
shared	ABCD PLS2, HCP-MMP	Neuro-In	612	7338	1.128	0.3783	0.09703	7.723	5e-05
shared	ABCD PLS2, HCP-MMP	OPC	90	7338	0.3017	0.3801	0.2647	-0.2962	0.7673
shared	ABCD PLS2, HCP-MMP	Oligo	355	7338	-1.224	0.3785	0.1307	-12.26	5e-05
shared	ABCD PLS2, HCP-MMP	Per	37	7338	0.3796	0.3774	0.4103	0.005407	0.996
shared	ABCD PLS2, DK	Astro	440	7338	-0.1977	0.4317	0.1179	-5.339	5e-05
shared	ABCD PLS2, DK	Endo	516	7338	-0.3595	0.4305	0.1097	-7.203	5e-05
shared	ABCD PLS2, DK	Micro	382	7338	-0.8421	0.4318	0.1283	-9.929	5e-05
shared	ABCD PLS2, DK	Neuro	574	7338	1.742	0.4303	0.1022	12.83	5e-05
shared	ABCD PLS2, DK	Neuro-Ex	835	7338	1.566	0.431	0.08341	13.61	5e-05
shared	ABCD PLS2, DK	Neuro-In	612	7338	1.122	0.4314	0.09904	6.978	5e-05
shared	ABCD PLS2, DK	OPC	90	7338	-0.04116	0.4341	0.2703	-1.758	0.07945
shared	ABCD PLS2, DK	Oligo	355	7338	-0.3239	0.4307	0.1335	-5.652	5e-05
shared	ABCD PLS2, DK	Per	37	7338	-0.1435	0.4302	0.4209	-1.363	0.1714
shared	ABCD dCT alone, HCP-MMP	Astro	440	7338	0.4121	0.2832	0.108	1.194	0.2347
shared	ABCD dCT alone, HCP-MMP	Endo	516	7338	-0.2121	0.2834	0.0981	-5.051	5e-05
shared	ABCD dCT alone, HCP-MMP	Micro	382	7338	-1.062	0.2835	0.1164	-11.56	5e-05
shared	ABCD dCT alone, HCP-MMP	Neuro	574	7338	1.161	0.2821	0.09284	9.466	5e-05
shared	ABCD dCT alone, HCP-MMP	Neuro-Ex	835	7338	1.179	0.2834	0.07611	11.76	5e-05
shared	ABCD dCT alone, HCP-MMP	Neuro-In	612	7338	0.9521	0.2832	0.08967	7.46	5e-05
shared	ABCD dCT alone, HCP-MMP	OPC	90	7338	-0.1356	0.2844	0.2457	-1.709	0.0862
shared	ABCD dCT alone, HCP-MMP	Oligo	355	7338	-0.8225	0.2824	0.1213	-9.106	5e-05
shared	ABCD dCT alone, HCP-MMP	Per	37	7338	0.4543	0.2798	0.3795	0.4598	0.648
shared	ABCD dCT alone, DK	Astro	440	7338	-0.9894	0.2424	0.09906	-12.43	5e-05
shared	ABCD dCT alone, DK	Endo	516	7338	-0.2521	0.2423	0.09019	-5.482	5e-05
shared	ABCD dCT alone, DK	Micro	382	7338	-1.012	0.2435	0.1067	-11.76	5e-05
shared	ABCD dCT alone, DK	Neuro	574	7338	1.213	0.2419	0.08464	11.47	5e-05
shared	ABCD dCT alone, DK	Neuro-Ex	835	7338	1.198	0.2429	0.06953	13.73	5e-05
shared	ABCD dCT alone, DK	Neuro-In	612	7338	0.8292	0.2437	0.08155	7.179	5e-05
shared	ABCD dCT alone, DK	OPC	90	7338	-0.6673	0.2443	0.2247	-4.057	0.0001
shared	ABCD dCT alone, DK	Oligo	355	7338	0.07292	0.2413	0.1102	-1.527	0.1258
shared	ABCD dCT alone, DK	Per	37	7338	-0.09873	0.2375	0.349	-0.9634	0.3337
shared	ABCD dCT+dT1T2 PLS2, DK	Astro	440	7338	-0.00258	0.3581	0.1233	-2.925	0.0035
shared	ABCD dCT+dT1T2 PLS2, DK	Endo	516	7338	-0.8136	0.3563	0.1141	-10.26	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	Micro	382	7338	-0.7918	0.3579	0.1338	-8.591	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	Neuro	574	7338	1.703	0.3565	0.1068	12.62	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	Neuro-Ex	835	7338	1.483	0.3572	0.08708	12.93	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	Neuro-In	612	7338	1.089	0.3568	0.1031	7.1	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	OPC	90	7338	0.2447	0.3588	0.2815	-0.4054	0.6835
shared	ABCD dCT+dT1T2 PLS2, DK	Oligo	355	7338	-0.6239	0.357	0.1399	-7.014	5e-05
shared	ABCD dCT+dT1T2 PLS2, DK	Per	37	7338	-0.5047	0.3579	0.4392	-1.964	0.0502
shared	AHBA C3	Astro	440	7338	-0.09531	0.01023	0.01186	-8.9	5e-05
shared	AHBA C3	Endo	516	7338	-0.09057	0.01006	0.01092	-9.218	5e-05
shared	AHBA C3	Micro	382	7338	-0.103	0.01011	0.01292	-8.759	5e-05
shared	AHBA C3	Neuro	574	7338	0.1775	0.01007	0.01023	16.37	5e-05
shared	AHBA C3	Neuro-Ex	835	7338	0.1719	0.01018	0.008384	19.29	5e-05
shared	AHBA C3	Neuro-In	612	7338	0.1053	0.01012	0.009898	9.619	5e-05
shared	AHBA C3	OPC	90	7338	-0.05057	0.01041	0.02712	-2.249	0.0247
shared	AHBA C3	Oligo	355	7338	-0.1675	0.01006	0.01341	-13.24	5e-05
shared	AHBA C3	Per	37	7338	-0.06286	0.009933	0.04203	-1.732	0.08525
shared	NSPN PLS2	Astro	440	7338	-2.119	-0.3017	0.1613	-11.27	5e-05
shared	NSPN PLS2	Endo	516	7338	-0.7177	-0.3034	0.1488	-2.784	0.0052
shared	NSPN PLS2	Micro	382	7338	-0.5832	-0.3027	0.1744	-1.608	0.1078
shared	NSPN PLS2	Neuro	574	7338	0.8484	-0.3028	0.1392	8.269	5e-05
shared	NSPN PLS2	Neuro-Ex	835	7338	0.8048	-0.3022	0.1143	9.688	5e-05
shared	NSPN PLS2	Neuro-In	612	7338	0.1175	-0.3008	0.1355	3.088	0.00275
shared	NSPN PLS2	OPC	90	7338	-1.353	-0.3025	0.3676	-2.858	0.00385
shared	NSPN PLS2	Oligo	355	7338	0.02729	-0.3039	0.1806	1.834	0.06525
shared	NSPN PLS2	Per	37	7338	-0.3074	-0.305	0.5752	-0.004138	0.9967
shared	AHBA C1	Astro	440	7338	-0.35	-0.02994	0.02694	-11.88	5e-05
shared	AHBA C1	Endo	516	7338	0.03297	-0.02957	0.02504	2.498	0.0118
shared	AHBA C1	Micro	382	7338	-0.1497	-0.02959	0.02932	-4.095	5e-05
shared	AHBA C1	Neuro	574	7338	-0.002612	-0.0297	0.02331	1.162	0.2458
shared	AHBA C1	Neuro-Ex	835	7338	0.01875	-0.02954	0.0191	2.529	0.0108
shared	AHBA C1	Neuro-In	612	7338	0.002356	-0.0293	0.02267	1.396	0.1631
shared	AHBA C1	OPC	90	7338	-0.265	-0.02979	0.06167	-3.815	0.00025
shared	AHBA C1	Oligo	355	7338	0.1368	-0.03006	0.03035	5.5	5e-05
shared	AHBA C1	Per	37	7338	0.06804	-0.03125	0.09551	1.039	0.3014
