label,Astro,Endo,Micro,Neuro-Ex,Neuro-In,OPC,Oligo,Per,L1,L2,L3,L4,L5,L6,WM,SCZ top 250,SCZ top 500,SCZ top 1000,MDD top 250,MDD top 500,MDD top 1000,PLS2,C3,normative_thinning_um_yr,tier
lh_POS1,-0.8651,-0.8689,-1.238,1.051,1.19,-0.4054,-0.3595,-1.076,-1.338,0.3407,0.1579,0.3813,0.9368,0.6289,-0.8784,-0.2165,-0.02667,-0.0005133,0.2635,0.06161,0.2741,0.8167,0.9464,24.66,fast
lh_23d,1.093,0.3953,-0.7006,0.4591,0.7571,-0.2393,-1.554,1.082,1.058,0.4232,0.6655,0.2662,0.8876,0.6758,-1.181,0.559,0.3959,0.3166,0.1591,0.07574,0.2235,0.4241,0.2308,32.05,fast
lh_v23ab,0.4738,1.259,-0.02916,-0.9247,-1.431,0.348,0.8812,0.3994,0.715,-1.185,-1.009,-0.2122,-0.2448,-0.3086,1.005,-0.2124,-0.3299,-0.325,-0.8408,-0.7033,-0.6184,-0.6141,,23.64,fast
lh_d23ab,1.885,1.081,-0.3124,-0.1348,0.3053,0.9714,0.4065,2.164,1.68,0.07387,-0.2266,-0.6703,-0.6968,-0.3371,0.8823,1.009,0.5888,0.7732,0.5366,0.7168,0.7697,0.158,-0.5312,31.49,fast
lh_31pv,-0.5978,-1.103,-2.482,0.9685,1.022,-1.811,-2.599,-0.6625,-0.9846,0.02128,0.6016,0.9313,1.172,-0.02197,-2.989,-1.036,-1.208,-1.297,-0.7717,-1.149,-1.187,1.135,0.978,26.81,fast
lh_5m,-1.392,-1.08,-1.84,-0.4778,0.02767,-0.6682,-0.2676,-1.041,-1.82,-1.316,-1.183,0.9493,-0.2301,-0.4344,-1.084,-1.328,-1.13,-1.293,-1.707,-1.711,-1.451,-0.29,,26.59,fast
lh_5mv,0.6127,0.8951,-0.5861,0.8842,1.48,0.3739,0.2874,0.8283,0.2658,1.01,0.3688,-7.435e-05,0.1112,0.402,0.2794,0.9855,0.8084,1.048,0.7923,0.8115,0.9964,0.6542,0.0007263,26.87,fast
lh_23c,0.3162,-0.06171,-0.2419,0.006963,0.2431,-0.3693,-0.4788,0.2837,0.2429,0.06491,0.2141,0.05107,0.4973,0.2538,-0.4844,-1.165,-1.138,-0.8128,-0.711,-0.6644,-0.5196,0.3815,-0.102,25.68,fast
lh_5L,0.4511,-1.003,-0.294,-0.933,-0.8945,-0.1917,0.1171,-0.4395,-0.1021,-1.195,-1.586,-0.05618,-0.4426,-0.5763,0.3861,-0.6934,-0.5113,-0.5479,-0.5845,-0.7414,-0.8368,-0.06246,-0.377,27.13,fast
lh_24dd,-0.05937,1.795,-0.1944,-0.4295,-0.2403,-0.08333,0.8209,1.042,0.4745,-0.8811,-0.8173,0.7272,0.09563,0.3588,0.7071,0.03711,-0.05115,0.0418,-0.4803,-0.2264,-0.1527,-1.194,-1.227,18.13,slow
lh_24dv,0.7729,0.8095,-0.2521,-0.04858,0.1088,0.7141,0.1868,0.6162,1.059,-0.02523,-0.5963,-0.583,0.4998,1.14,0.4395,-0.2433,-0.2012,-0.1137,-0.1566,0.1149,0.2975,-0.2717,-1.022,20.62,mid
lh_7AL,0.2687,-0.8463,0.1258,-0.6194,-0.7932,-0.7975,-0.4805,-0.4151,0.02739,-0.06201,0.2213,0.1137,-0.8228,-1.34,0.01372,-0.3211,-0.1911,-0.06826,-0.2332,-0.1983,-0.262,0.1538,0.2987,22.47,mid
lh_SCEF,0.104,0.4812,-0.5668,0.1805,0.1996,-0.1071,-0.2172,0.01516,0.2356,-1.203,-0.5591,1.192,1.303,1.269,-0.6162,0.1251,-0.1506,-0.3383,-0.4811,-0.6049,-0.5118,-1.231,-0.7075,16.91,slow
lh_6ma,-0.3682,-0.2023,0.5404,1.645,0.938,0.4864,0.5597,-0.8346,-0.9803,-0.09914,0.1465,1.228,2.11,2.433,-0.01045,0.1726,0.2583,0.6885,0.5474,0.6409,0.9029,-0.756,-0.1946,15.01,slow
lh_7Am,1.026,-0.9523,-0.3754,0.5464,0.2244,-0.2324,0.5075,-0.2236,-0.2887,-0.2702,-0.3514,0.6227,0.5945,-0.2023,0.6679,0.7907,0.937,1.269,0.7182,1.136,1.243,0.1728,0.002917,27.7,fast
lh_7PL,-0.2896,-1.813,-0.4599,1.474,1.814,-0.3648,-1.416,-0.9445,-1.359,0.4877,0.8955,1.664,1.305,-0.1876,-1.363,-0.1752,0.6715,0.4994,1.11,0.8595,0.8152,1.56,,29.94,fast
lh_7PC,-0.5343,-1.463,-0.5076,-1.231,-1.825,-0.8451,0.4955,-1.097,-0.8581,-1.868,-1.85,0.3162,-0.2217,-1.091,0.3407,-0.7701,-1.014,-0.796,-1.43,-1.488,-1.289,-0.5078,-0.6643,19.81,mid
lh_LIPv,-1.202,-2.021,-0.9298,-0.2599,-0.5892,-1.311,-0.4538,-1.403,-1.643,-0.8847,-0.07745,0.7709,-0.1623,-1.071,-1.137,-1.262,-1.167,-1.365,-1.074,-1.202,-1.425,-0.4448,0.2515,18.26,mid
lh_VIP,0.8477,0.411,0.5936,0.4364,0.3508,0.2096,0.9681,0.5307,0.1546,-0.2522,-0.1332,0.7,0.4352,-0.517,1.05,1.009,0.8388,1.378,0.8258,1.098,1.386,0.003595,-0.2429,24.19,fast
lh_MIP,0.1824,-0.07568,-0.2171,-0.9228,-0.631,-0.327,0.3574,0.716,0.07086,-0.6936,-0.1047,0.1792,-1.266,-2.041,0.3078,-0.589,-0.7592,-0.4769,-0.9314,-0.6476,-0.6134,-0.08305,-0.282,21.31,mid
lh_1,-1.124,-0.4228,0.6713,-0.05426,-0.2451,-1.46,0.2557,-0.8579,-1.133,-1.337,-0.89,1.795,0.387,-0.9212,0.06847,0.6493,0.4668,0.5876,-0.3919,-0.3065,-0.03882,-0.9232,-0.9438,16.33,slow
lh_2,0.4549,0.01223,-0.4822,0.4952,0.3407,-0.3924,-0.4402,0.7035,0.06269,0.486,0.621,0.7177,0.1919,-0.8177,-0.3551,-0.2862,0.00219,0.38,0.04215,0.2639,0.2874,0.2226,0.5989,20.78,mid
