gene	DK_PLS2_matchedX	DK_PLS1_dCTonly_matchedX
ARSJ	4.87028	2.85665
ART3	1.40953	1.88209
ARVCF	-0.149515	-0.602918
ASAH1	-2.4679	-3.73006
ASAH2	-2.16475	0.0870993
ASAH2B	-2.3502	0.302692
ASAP2	1.01684	1.88008
ASAP3	-2.17606	-2.71567
ASB1	2.25374	-0.797491
ASB13	0.502988	1.68038
ASB2	6.41169	4.89622
ASB5	0.10057	-0.607995
ASB6	4.07872	2.75595
ASCL2	0.165254	-1.55216
ASGR1	3.14982	3.68875
ASGR2	2.82754	2.64873
ASH1L	-0.394817	0.964718
ASH1L-AS1	-0.676689	-1.74577
ASH2L	5.50452	1.24729
ASIC2	1.76511	-0.769241
ASIC3	0.631406	1.32127
ASIC4	1.56793	0.686987
ASL	3.20325	0.462629
ASMTL	3.27422	1.96238
ASMTL-AS1	1.42914	1.33831
ASNSD1	2.96719	3.75676
ASNSP1	1.26959	1.39494
ASPDH	-0.222263	1.19014
ASPHD2	0.280784	-0.674334
ASPRV1	-1.71479	0.0539575
ASPSCR1	-0.833269	1.05907
ASS1	2.42094	0.120065
ASTE1	1.75519	2.4713
ASTN1	0.490612	-1.22442
ASTN2	-1.04351	0.781489
ASXL2	0.932084	-0.26745
ASXL3	3.67737	0.513278
ATAD2	0.148585	1.62261
ATAD2B	-1.38225	0.142317
ATE1	0.500247	-0.947519
ATF4	1.42515	2.51545
ATF5	-3.99574	-4.2332
ATF6B	0.412751	1.57124
ATF7IP2	1.27944	0.594545
ATG16L1	1.33522	2.02955
ATG4D	0.598658	1.60877
ATG7	6.20321	3.66338
ATL1	3.14906	1.84219
ATOH7	2.21566	-0.98182
ATOX1	1.14559	-0.893378
ATP10A	-0.407341	0.610591
ATP11A	-2.10306	0.316208
ATP13A3	-2.58149	0.355936
ATP1A1	1.39472	1.89755
ATP1A3	0.854161	1.47593
ATP1A4	0.87221	1.66268
ATP1B1	1.0915	1.7739
ATP1B3	1.09416	1.71314
ATP2A2	1.90322	2.32707
ATP2B1	3.66902	3.61599
ATP2B2	-1.19436	1.15842
ATP2B3	-0.472756	1.14375
ATP2B4	3.54919	-0.705121
ATP2C1	1.58855	-0.458378
ATP2C2	-1.2797	-1.90187
ATP4A	4.0872	3.71728
