gene	dCT + CT|DK	dCT alone|DK	NSPN PLS2	AHBA C3	AHBA C1	snRNAseq PC1	snRNAseq PC1 (U01)	dCT + CT|HCP	dCT alone|HCP
AC004080.12			1.43773						
AC004241.1			-1.092						
AC004381.2			0.252921						
AC004409.1			-1.34524						
AC004690.2			0.935466						
AC004790.2			-2.71345						
AC004797.1			-1.23805						
AC004863.6			1.7309						
AC004980.7			-1.61793						
AC005014.1			-2.09088						
AC005041.9			0.586952						
AC005077.3			-3.88237						
AC005152.2			-5.34776						
AC005277.1			-0.346142						
AC005301.1			-4.1021						
AC005358.1			-0.239754						
AC005393.1			-3.94155						
AC005488.13			-1.97919						
AC005512.1			-3.21925						
AC005551.1			9.78857						
AC005829.1			-3.7207						
AC005840.2			-1.7057						
AC005921.3			-2.02256						
AC005962.2			-0.306478						
AC006014.8			-4.19838						
AC006273.1			-0.073742						
AC006276.1			2.3949						
AC006517.3			-1.47298						
AC007276.5			-3.5128						
AC007364.1			-0.015846						
AC007405.8			-5.61488						
AC007510.1			-2.09819						
AC007601.1			4.9322						
AC007688.2			2.36005						
AC007743.1			1.36665						
AC007952.2			-3.48136						
AC008026.2			-0.433327						
AC008073.1			-3.3789						
AC008073.2			-0.517068						
AC008074.2			-0.407917						
AC008132.4			2.4115						
AC008429.1			1.14303						
AC008449.1			2.35385						
AC008537.3			-1.6596						
AC008687.3			-1.10668						
AC008735.3			-3.71945						
AC008806.1			-1.96385						
AC008875.1			-2.48194						
AC008969.2			-4.031						
AC009086.2			-5.58346						
AC009093.1			-1.39606						
AC009107.3			-1.99526						
AC009123.1			-1.54539						
AC009139.1			-0.114087						
AC009163.1			-3.9811						
AC009171.1			1.30725						
AC009236.1			-3.46151						
AC009365.1			-1.94085						
AC009509.1			-0.538761						
AC009532.1			0.666935						
AC010087.3			7.35612						
AC010203.2			-2.44032						
AC010325.3			-2.94298						
AC010332.1			-2.95935						
AC010336.2			0.0288						
AC010422.1			0.15829						
AC010442.2			-1.65189						
AC010606.4			-2.56585						
AC010624.2			-2.3001						
AC010645.1			-1.883						
AC010896.1			5.84622						
AC010974.2			-4.03187						
AC010980.2			-1.84901						
AC010982.1			-3.65501						
AC011346.1			-2.80295						
AC011427.1			-1.08043						
AC011443.1			-4.54512						
AC011472.2			6.67648						
AC011479.2			-1.52556						
AC011498.2			-5.51742						
AC011498.3			-3.08708						
AC011500.2			-2.97177						
AC011511.1			-0.732746						
AC011530.1			-3.68571						
AC012100.1			-1.7877						
AC012435.1			-2.07076						
AC012621.2			0.612314						
AC012652.1			1.77408						
AC013271.3			1.3827						
AC013283.1			0.372013						
AC013356.1			-1.53327						
AC013356.3			-2.01364						
AC013400.2			-0.038476						
AC013402.2			2.88456						
AC013553.1			-4.22831						
AC013553.2			-2.04991						
AC015871.2			-0.043543						
AC015936.3			1.13505						
AC016525.1			-0.291636						
AC016629.3			0.010571						
AC016683.6			-4.85028						
AC016747.3			-1.70666						
AC016757.1			2.26981						
AC017096.1			7.52091						
AC017099.3			-0.683136						
AC018682.6			-1.2904						
AC018755.8			-1.11234						
AC018865.8			-1.63755						
AC019171.4			-3.66239						
AC020663.1			-2.7654						
AC021054.1			-1.87621						
AC021148.2			0.981446						
AC021534.2			5.31112						
AC021850.1			2.02474						
AC021860.1			-3.01338						
AC022075.1			-0.501207						
AC022098.1			-3.47727						
AC022098.3			-2.46608						
AC022100.1			-1.24934						
AC022311.1			-4.59792						
AC022498.2			-3.60876						
AC022596.6			-0.759469						
AC022748.1			-2.32744						
AC023024.1			-2.11976						
AC023055.2			0.093706						
AC023510.2			-3.35141						
AC023830.2			1.06568						
AC024270.1			-0.751145						
AC024560.3			-3.45543						
AC024575.2			-8.00508						
AC024575.3			-0.175909						
AC024940.3			-0.705391						
AC025627.16			-2.4148						
AC025647.1			-0.263641						
AC026369.2			-12.3286						
AC027323.1			-0.870786						
AC034193.5			0.062561						
AC034199.2			-1.28736						
AC034236.3			0.153176						
AC044839.2			-2.57951						
AC055839.1			-1.93181						
AC058791.2			-6.83145						
AC062028.1			-2.31084						
AC063965.2			3.14601						
AC063977.1			-3.41321						
AC066593.1			-2.96006						
AC068020.3			-1.50082						
AC068057.2			2.19057						
AC068181.1			0.870219						
AC068353.1			4.52981						
AC068385.1			0.272593						
AC068491.1			-5.95848						
AC068580.3			1.59483						
AC068658.1			5.48128						
AC068989.2			0.144501						
AC069029.1			2.18033						
AC069146.2			-0.557702						
AC069154.2			-0.577222						
AC069234.1			2.72758						
AC069525.1			-2.95185						
AC073043.2			-2.85916						
AC073135.1			-1.37165						
AC073343.8			-5.03301						
AC073346.1			-7.2842						
AC073548.1			1.84785						
AC073869.20			1.79588						
AC074286.1			-1.18496						
AC078802.1			-1.1153						
AC078847.1			0.137976						
AC078937.4			3.73764						
AC079061.1			2.23349						
AC079341.1			8.64504						
AC079776.2			-1.61148						
AC079953.2			-1.28364						
AC084018.1			-4.11686						
AC084125.1			-2.58156						
AC084209.1			-4.05785						
AC084851.1			-3.57247						
AC087309.1			-2.72393						
AC087392.3			0.350499						
AC087645.1			-0.285264						
AC087742.2			-0.412039						
AC090099.4			1.51662						
AC090360.1			-3.77841						
AC090844.1			-1.8918						
AC091152.2			-2.80337						
AC091565.3			-2.41628						
AC091878.1			4.65591						
AC092070.4			-2.63826						
AC092070.5			-4.82988						
AC092143.3			-0.745122						
AC092324.1			1.6666						
AC092327.1			0.229251						
AC092329.2			-1.50392						
AC092384.2			-1.31686						
AC092436.3			-7.75276						
AC092490.2			-4.61082						
AC093063.1			-0.347892						
AC093283.3			0.466466						
AC093310.1			-5.39626						
AC093726.2			-2.37521						
AC093734.11			-1.50158						
AC093838.4			-4.61439						
AC093849.1			-1.85388						
AC094086.1			0.301581						
AC096655.2			0.8403						
AC097067.1			0.798295						
AC098591.2			2.47333						
AC098799.1			2.28685						
AC099524.1			-5.66934						
AC099759.1			-4.82427						
AC099797.1			4.79444						
AC100756.1			2.82746						
AC100775.1			0.068369						
AC100793.2			-1.34631						
AC100793.3			-4.31062						
AC100803.1			1.37137						
AC103540.1			3.41758						
AC103965.1			-3.47448						
AC104665.1			-3.92932						
AC104819.1			0.428068						
AC105206.1			2.97686						
AC105337.1			-1.44217						
AC105391.2			-2.73148						
AC106037.2			-2.17663						
AC106739.1			-2.8364						
AC106818.2			1.05866						
AC107212.1			0.274252						
AC107883.1			-3.32886						
AC107983.3			1.36632						
AC108134.5			-1.98588						
AC108938.1			1.77697						
AC109486.1			7.79732						
AC110619.2			-2.00241						
AC110754.1			-1.94143						
AC110760.2			2.1322						
AC110814.1			5.74005						
AC112641.2			10.4827						
AC113191.1			1.04881						
AC114273.1			-0.95867						
AC114947.2			0.607332						
AC115090.1			-3.25191						
AC116165.2			-1.37188						
