outcome	spec	term	beta	se	p	y_sd_beta	n
rulebreak	low + high | CT, QC	low - high	-0.017426	0.02198	0.4279	-0.027846	8182
pfactor	low alone	PLS2-low	0.05066	0.021611	0.019068	0.022865	8162
pfactor	mid alone	PLS2-mid	0.049967	0.021867	0.022312	0.022552	8162
pfactor	high alone	PLS2-high	0.041682	0.021326	0.050648	0.018812	8162
pfactor	low + high	PLS2-low	0.049835	0.035765	0.1635	0.022492	8162
pfactor	low + high	PLS2-high	0.0010028	0.035267	0.97731	0.00045262	8162
pfactor	low + high	low - high	0.048832	0.067329	0.46828	0.02204	8162
pfactor	low + high | CT, QC	PLS2-low	0.02311	0.037732	0.54021	0.010431	8162
pfactor	low + high | CT, QC	PLS2-high	-0.00015059	0.038168	0.99685	-6.7969e-05	8162
pfactor	low + high | CT, QC	low - high	0.023261	0.068943	0.73582	0.010498	8162
