label,normative_thinning_um_yr,tier
lh_TA2,9.563762874393731,slow
lh_TE1a,17.483614858908233,slow
lh_TE1m,18.089267102223495,slow
lh_TE1p,18.884674945722402,mid
lh_TE2a,18.1757867514427,mid
lh_TE2p,18.21960450124967,mid
lh_TF,17.184885541561638,slow
lh_TGd,11.78283792910592,slow
lh_TGv,13.464040749112412,slow
lh_TPOJ1,21.163407333420196,mid
lh_TPOJ2,21.926209228150114,mid
lh_TPOJ3,23.216077741067643,fast
lh_V1,9.19467466798198,slow
lh_V2,19.79378969248133,mid
lh_V3,19.677038498217975,mid
lh_V3A,19.677100625638378,mid
lh_V3B,17.951970324066203,slow
lh_V3CD,20.803870427629533,mid
lh_V4,18.006779708387175,slow
lh_V4t,19.050464115957542,mid
lh_V6,19.375746881365632,mid
lh_V6A,23.293849598053388,fast
lh_V7,22.392194465093553,mid
lh_V8,17.391234785261105,slow
lh_VIP,24.194147218154843,fast
lh_VMV1,19.28693854836853,mid
lh_VMV2,19.56222652388841,mid
lh_VMV3,21.11220694486396,mid
lh_VVC,20.767750466160255,mid
lh_a10p,27.06049076840449,fast
lh_a24,22.801961972029147,fast
lh_a24pr,27.182898832260268,fast
lh_a32pr,22.777117245390478,fast
lh_a47r,28.28166400727312,fast
lh_a9-46v,27.440090775487068,fast
lh_d23ab,31.48778081385091,fast
lh_d32,23.455877467977814,fast
lh_i6-8,14.450887785379825,slow
lh_p10p,27.479660533559194,fast
lh_p24,24.52014991269923,fast
lh_p24pr,28.769866047649952,fast
lh_p32,26.112004627437564,fast
lh_p32pr,20.4649349502016,mid
lh_p47r,22.69261903951165,fast
lh_p9-46v,22.722311702134068,fast
lh_pOFC,4.6469785669874595,slow
lh_s32,28.498059531140576,fast
lh_s6-8,16.012139335119812,slow
lh_v23ab,23.641218159819424,fast
