label,PLS2,CT,CT_delta,MT,MT_delta,min_coverage,n_hemispheres
lh_IFJa,0.0701058,2.80521,-16.4794,0.872448,4.38063,1,2
lh_IFJp,0.0601604,2.81039,-14.1947,0.878087,4.17988,1,2
lh_IFSa,0.0940953,2.80389,-22.1026,0.860965,5.14386,1,2
lh_IFSp,0.0876923,2.8101,-19.7616,0.869622,5.08362,1,2
lh_IP0,0.0264052,2.7518,-19.4844,0.920338,4.33446,1,2
lh_IP1,0.0273984,2.77375,-20.0504,0.903502,4.32832,1,2
lh_IP2,0.0230861,2.68836,-16.4136,0.885489,4.19765,1,2
lh_IPS1,0.016091,2.44102,-16.0261,0.945837,3.48093,1,2
lh_Ig,-0.0520549,2.8709,-15.0218,0.903188,1.91158,1,2
lh_LBelt,-0.00975036,2.85526,-12.0895,0.93036,5.96227,1,2
lh_LIPd,0.0273203,2.46604,-15.3532,0.930119,3.59031,1,2
lh_LIPv,0.0255921,2.48665,-16.2291,0.932459,3.23142,1,2
lh_LO1,0.0166569,2.604,-16.734,0.967682,2.91654,1,2
lh_LO2,0.00530017,2.76743,-13.3003,0.947891,2.99745,1,2
lh_LO3,0.0158097,2.73731,-16.1431,0.938943,3.66362,1,2
lh_MBelt,-0.0122163,2.80424,-12.4682,0.931061,5.55655,1,2
lh_MI,-0.0274187,3.58505,-18.61,0.904575,-0.0581612,1,2
lh_MIP,0.021102,2.50118,-17.0996,0.935086,3.63162,1,2
lh_MST,-0.00682017,2.71099,-14.9944,0.924436,3.60455,1,2
lh_MT,0.00238551,2.70887,-15.6674,0.938925,3.73379,1,2
lh_OFC,0.00425926,2.814,-20.435,0.880659,5.80649,1,2
lh_OP1,-0.0249931,2.92648,-16.8492,0.884872,4.44535,1,2
lh_OP2-3,-0.0369031,2.84937,-14.3417,0.89112,2.95941,1,2
lh_OP4,-0.00925868,2.86315,-14.1718,0.88374,4.13859,1,2
lh_PBelt,-0.00385663,2.88042,-13.0008,0.902842,5.8101,1,2
lh_PCV,0.00608764,2.64431,-18.6765,0.904582,2.77445,1,2
lh_PEF,0.0318608,2.86628,-10.5556,0.920086,4.49256,1,2
lh_PF,0.0130319,2.95609,-18.7672,0.858431,4.24391,1,2
lh_PFcm,-0.0125899,2.88517,-17.0751,0.874162,4.76395,1,2
lh_PFm,0.0226759,2.87999,-19.2493,0.870692,4.26273,1,2
lh_PFop,-0.00369723,2.8958,-13.8654,0.87215,4.45684,1,2
lh_PFt,0.00450109,2.73542,-16.7472,0.880797,4.40725,1,2
lh_PGi,0.00247783,2.83088,-18.1191,0.875676,4.20653,1,2
lh_PGp,0.0220049,2.80694,-18.1865,0.903608,4.24335,1,2
lh_PGs,0.0238397,2.88187,-19.5479,0.883464,4.33461,1,2
lh_PH,0.00765663,2.88186,-16.1551,0.89381,3.41589,1,2
lh_PHA1,-0.163755,2.56717,-8.08615,0.917912,3.10531,1,2
lh_PHA2,-0.157143,2.59314,-7.55568,0.912457,3.05824,1,2
lh_PHA3,-0.0646214,2.8178,-15.5676,0.890755,3.86496,1,2
lh_PHT,0.00488508,3.01411,-15.8619,0.870863,4.08738,1,2
lh_PI,-0.0156853,3.13917,-10.473,0.830454,4.12787,1,2
lh_PIT,-0.00523238,2.77914,-11.9213,0.939826,2.9726,1,2
lh_POS1,-0.0282507,2.73354,-11.5353,0.931167,2.57855,1,2
lh_POS2,0.0261606,2.56746,-13.8416,0.948846,2.95176,1,2
lh_PSL,0.00705305,3.05504,-17.2968,0.865161,4.96033,1,2
lh_PeEc,-0.134995,3.04315,-2.9539,0.836313,3.4609,1,2
lh_Pir,-0.13843,3.70544,-12.5465,0.902616,1.61544,0.5142,1
lh_PoI1,-0.031691,3.3516,-15.1077,0.8887,0.861442,1,2
lh_PoI2,-0.0385377,3.53954,-17.2246,0.903571,0.0420874,1,2
lh_PreS,-0.127096,2.6014,-6.98599,0.92894,2.89257,0.623338,2
lh_ProS,-0.131478,2.54606,-7.92955,0.956097,2.12145,1,2
lh_RI,-0.025148,2.84973,-15.7635,0.89546,4.53613,1,2
lh_RSC,-0.0542007,2.58173,-8.28416,0.94425,2.34764,0.997253,2
lh_SCEF,-0.000291082,3.08179,-18.8408,0.90066,3.38638,1,2
lh_SFL,0.0151222,3.19318,-19.0501,0.881704,3.76186,1,2
lh_STGa,-0.035,3.26359,-10.1949,0.807448,3.94116,1,2
lh_STSda,-0.0220299,3.06496,-17.3909,0.841123,5.24123,1,2
lh_STSdp,0.00814092,2.92961,-16.3222,0.863673,5.68083,1,2
lh_STSva,-0.00556559,3.18322,-19.6661,0.816065,5.70073,1,2
lh_STSvp,0.0126192,3.08809,-21.1236,0.83822,5.86763,1,2
lh_STV,0.00209817,2.98375,-16.6967,0.871637,5.09671,1,2
lh_TA2,-0.0178925,3.05043,-16.7516,0.833581,5.06137,1,2
lh_TE1a,-0.00707741,3.32723,-19.2529,0.800405,5.43802,1,2
lh_TE1m,-7.87429e-05,3.16629,-22.4317,0.826752,5.94458,1,2
lh_TE1p,0.00346983,3.12591,-18.3824,0.845632,4.92635,1,2
lh_TE2a,-0.0161722,3.10514,-22.6768,0.828401,5.49087,1,2
lh_TE2p,-0.00796394,2.97775,-18.3883,0.864908,4.5746,1,2
lh_TF,-0.0436229,2.96197,-19.247,0.840463,4.84693,1,2
lh_TGd,-0.0675362,3.40291,-3.88487,0.808339,2.83968,1,2
lh_TGv,-0.0455441,3.10938,-12.3586,0.801871,3.80425,1,2
lh_TPOJ1,0.00316351,2.83912,-16.4937,0.873358,5.00994,1,2
lh_TPOJ2,-0.0106288,2.86601,-16.5668,0.883998,4.12544,1,2
lh_TPOJ3,-0.0289491,2.64724,-15.2299,0.914359,3.82603,1,2
lh_V1,-0.0754509,2.2867,-13.0057,0.985296,1.47423,1,2
lh_V2,-0.0372707,2.41175,-14.5213,0.981131,2.04891,1,2
lh_V3,0.00260064,2.46428,-14.9623,0.981348,2.78076,1,2
lh_V3A,0.0276887,2.46945,-15.8833,0.990748,3.19884,1,2
lh_V3B,0.0231459,2.51561,-14.7056,0.963489,3.26362,1,2
lh_V3CD,0.0221165,2.58478,-17.2541,0.953698,3.53922,1,2
lh_V4,0.00520683,2.54531,-14.9106,0.969466,3.03472,1,2
lh_V4t,0.00288647,2.74441,-13.9226,0.938273,3.26791,1,2
lh_V6,0.0220662,2.44166,-14.5912,0.980907,3.1893,1,2
lh_V6A,0.0233073,2.50247,-17.0841,0.983086,3.57514,1,2
lh_V7,0.02568,2.48392,-15.7704,0.98889,3.49333,1,2
lh_V8,-0.00515449,2.7775,-16.6847,0.939812,3.20228,1,2
lh_VIP,0.0117954,2.61887,-20.0686,0.922182,2.57653,1,2
lh_VMV1,-0.156884,2.49851,-10.9385,0.953279,2.55466,1,2
lh_VMV2,-0.0450919,2.56533,-12.8457,0.945044,2.78396,1,2
lh_VMV3,-0.0257604,2.82063,-17.3273,0.919775,3.32236,1,2
lh_VVC,-0.038785,2.84513,-18.0664,0.90276,3.69379,1,2
lh_a10p,0.07,2.71118,-21.9145,0.857246,6.78342,1,2
lh_a24,-0.157666,2.85581,-10.6787,0.90433,1.08143,1,2
lh_a24pr,-0.0392382,2.58814,-11.1106,0.895139,1.74558,1,2
lh_a32pr,-0.0117348,3.07412,-19.7698,0.863193,3.04782,1,2
lh_a47r,0.0652636,2.83182,-23.7761,0.848982,6.42871,1,2
lh_a9-46v,0.0858808,2.6819,-18.2684,0.860777,4.86812,1,2
lh_d23ab,-0.052137,2.55011,-9.61557,0.936004,2.83262,1,2
lh_d32,-0.0429985,3.12441,-21.7623,0.850008,3.23886,1,2
lh_i6-8,0.0738203,2.96357,-17.0169,0.898365,3.87328,1,2
lh_p10p,0.0654961,2.66259,-19.9756,0.862756,5.28821,1,2
lh_p24,-0.10991,2.74152,-10.7463,0.901215,1.30052,1,2
lh_p24pr,-0.0384408,2.50969,-11.5632,0.917021,1.97652,1,2
lh_p32,-0.00898807,2.80047,-19.8691,0.876695,3.84144,1,2
lh_p32pr,-0.0137971,2.96527,-17.0837,0.883802,2.80479,1,2
lh_p47r,0.0872135,2.78006,-21.1507,0.854052,5.47043,1,2
lh_p9-46v,0.0896469,2.75379,-20.8435,0.872825,4.6462,1,2
lh_pOFC,-0.0276938,3.00425,-20.0969,0.873464,4.93539,0.944175,2
lh_s32,0.0145979,2.6768,-20.8118,0.899381,5.2154,1,2
lh_s6-8,0.0506603,3.05067,-17.3729,0.873695,4.23185,1,2
lh_v23ab,-0.0339933,2.64386,-8.17187,0.93371,2.88726,1,2
