gene,C1,C2,C3
ADAM17,-0.0767270476046014,-0.3164456428942624,-0.1768913772122136
ADAM20P1,0.4510645528767054,-0.1534070425773352,0.3494203558628782
ADAM22,0.8333770738806967,0.186555092974388,0.1966365207638947
ADAM23,0.9139263667107482,0.2916978210344363,0.0755002217469742
ADAM28,-0.5963680206592555,0.0443065331605386,-0.3233162692373633
ADAM8,0.5632857805902463,-0.401249747342444,0.1383859262489894
ADAM9,0.5743602784262867,-0.3488705475050604,-0.0209660429880999
ADAMTS13,0.7351266824083142,-0.2255025823128926,0.061892452731575
ADAMTS19,-0.6738269308028857,0.1049318040294259,-0.0687180652520554
ADAMTS2,0.1739254568285377,0.4602650041830674,-0.0467557122915605
ADAMTS3,-0.7342379390381346,0.1571540911483397,0.4091425002848441
ADAMTS4,0.2318468828058603,0.3241702966659633,-0.3989585406762948
ADAMTS5,0.76481549148496,0.180231217947005,0.1422836528915359
ADAMTS8,-0.5355167460833001,-0.1007423214731437,0.4275250597149261
ADAMTS9,-0.6588525464394749,0.3022863461033178,-0.3904125936212165
ADAMTSL1,0.4397826684627391,-0.5163278552116969,-0.0930403778246008
ADAMTSL2,-0.4374700467546072,0.491150815942049,-0.1476497188237552
ADAMTSL3,-0.341489906213061,0.4819902274359235,-0.4511084477854526
ADAP2,-0.7408651622349702,0.0570629886222637,-0.2901962545515434
ADARB2-AS1,0.1303367867995513,0.4971656717556466,-0.4818902086549265
ADCY1,0.5061017918174889,0.269130757986424,-0.0140702431296828
ADCY2,-0.6900000244536658,0.3152243844990309,0.1333089698616726
ADCY3,0.5114487807503145,-0.3765423000546744,0.0473822997430542
ADCY4,0.3156073522915584,0.4007927628620041,-0.2538629495543898
ADCY7,-0.6325197653492559,0.3881737329431945,0.3309420622055913
ADCY8,0.1043742599178288,-0.275631848330099,-0.4883558963066461
ADCY9,0.8646833477272903,-0.0312228248904087,0.0815736687004864
ADCYAP1,-0.03963130021851,0.2611917074536849,0.3978067417663324
ADCYAP1R1,-0.6223151537383659,-0.2105224030901849,-0.381861594315283
ADD1,0.7173595222802229,-0.0525175886792278,-0.016395808975477
ADGRA1,0.4343958653555882,0.1876198261679227,0.2022165449314399
ADGRA2,0.5079290772241445,0.1064232791584832,0.1782690650813532
ADGRA3,-0.6760014477628172,0.0079057018665102,-0.2904836234935067
ADGRB3,-0.7756129016789335,0.019844718451749,0.3296007578914774
ADGRE5,0.0520646174002738,0.2480957272537666,-0.3480111240475018
ADGRF5,-0.3939561824658061,0.2337962400419469,0.1914931145324851
ADGRG1,-0.7854124372189867,0.017128997071078,-0.0567319196051508
ADGRG6,-0.3718266510930865,-0.1491709075917256,-0.1887971570526295
ADGRL2,0.5959623838494285,-0.4353081323069686,0.110576909160137
ADGRL3,-0.7378068313782554,-0.2447437934591063,0.2405153521713068
ADGRL4,0.5081946637758015,0.2477565799732874,-0.1567596916444358
ADGRV1,-0.7961603877560517,-0.239886124733914,-0.1266972106705772
ADH5,-0.7214812667685507,-0.0428855354104093,-0.0142320650460515
ADI1,-0.6856828402132532,-0.060176106650796,-0.2933423310722703
ADIPOR1,-0.7377483100852508,-0.0465474401391458,-0.0788071173380514
ADIRF,-0.8206808113566745,-0.133748844158801,-0.2890527728049573
ADK,-0.4611186222232755,0.4565923860937291,0.0146367625330313
ADM,0.7160204743867097,0.0984210341942234,-0.2487864859291804
ADM5,-0.7800600015846759,-0.142631681787714,0.2461150879291514
ADNP,-0.2982268540002791,-0.1539192859941525,0.5314460837147227
ADNP2,0.3728121045929463,-0.1329289810359244,0.1960440519364689
ADO,0.7984081667857237,0.068393563533131,0.1603280818219677
ADORA2B,-0.5996932921593249,0.0016863283746551,-0.1991526841765069
ADPRHL1,0.553550996750942,0.6308706168840099,0.2072259401701333
ADPRHL2,-0.4325083224834854,0.3954269106301688,0.0477848828731378
ADRA1A,-0.1828099656835508,0.0632441891296832,-0.381318911821999
ADRA1B,-0.7492319410338292,0.3299326215960762,0.0617278761858047
ADRA1D,0.4627469331154439,0.5290049306738729,0.3669226970161549
ADRA2A,0.1005074101434901,0.3035973283420808,0.01491119572197
ADRA2C,-0.7406834247280311,-0.0111357802816674,0.0053573895895916
ADRB1,0.5854736791523238,-0.4148287840110359,0.3799987485926263
ADRB2,-0.7154544835108253,0.1772364628561517,-0.2662609539822624
ADSSL1,0.6270413174721837,0.3570890094730136,-0.3464259129714768
ADTRP,-0.6488001527161222,0.5060770394845168,0.2906331449806128
AEBP1,-0.4260576481567549,0.2473984231625153,-0.3130688665272507
AEBP2,0.5261594082056018,-0.2868350498008002,0.2225864655643888
AFAP1L1,0.5047879604952967,0.4139335214417226,0.1478374144960753
