hemi,parcel,n_vertices,coverage,PLS2,valid_PLS2,CT,valid_CT,CT_delta,valid_CT_delta,MT,valid_MT,MT_delta,valid_MT_delta,region
r,R_6d_ROI,876,1,-0.002363,1,2.7746,1,-13.028,1,0.979,1,3.9783,1,6d
r,R_6mp_ROI,1454,1,-0.01075,1,2.9337,1,-15.233,1,0.96997,1,4.364,1,6mp
r,R_6v_ROI,709,1,0.027461,1,2.9419,1,-10.957,1,0.89718,1,5.016,1,6v
r,R_p24pr_ROI,556,1,-0.037014,1,2.6858,1,-12.326,1,0.9082,1,1.8685,1,p24pr
r,R_33pr_ROI,422,1,-0.038578,1,2.6352,1,-11.127,1,0.89521,1,1.5016,1,33pr
r,R_a24pr_ROI,361,1,-0.038476,1,2.6363,1,-10.731,1,0.89028,1,1.3912,1,a24pr
r,R_p32pr_ROI,783,1,0.0091954,1,2.9709,1,-15.038,1,0.88379,1,2.8111,1,p32pr
r,R_a24_ROI,410,1,-0.15578,1,2.9222,1,-10.665,1,0.88868,1,1.4009,1,a24
r,R_d32_ROI,702,1,-0.0024644,1,3.1627,1,-21.083,1,0.84308,1,2.8137,1,d32
r,R_8BM_ROI,973,1,0.025149,1,3.3038,1,-20.811,1,0.85681,1,3.5729,1,8BM
r,R_p32_ROI,453,1,0.003223,1,2.8608,1,-20.71,1,0.86651,1,3.8603,1,p32
r,R_10r_ROI,435,1,0.03308,1,2.7815,1,-21.9,1,0.87616,1,4.2713,1,10r
