gene,gene_original,PLS1_z,PLS2_z
AGPAT2,AGPAT2,-11.692166,7.585193
GATB,PET112L,-6.997285,7.558063
ARHGAP9,ARHGAP9,9.862342,7.557454
TNNC2,TNNC2,8.179507,7.553247
ADRA1D,ADRA1D,-2.469187,7.5522
EPHB6,EPHB6,2.891443,7.53659
KCNV1,KCNV1,-8.145222,7.525806
AC017096.1,AC017096.1,-1.513432,7.520907
TBC1D7,TBC1D7,-4.208538,7.514002
YOD1,YOD1,4.531232,7.487816
CNTNAP2,CNTNAP2,-3.357849,7.482628
HPSE2,HPSE2,-1.034313,7.463227
LYNX1,LYNX1,4.239552,7.460017
CBLN2,CBLN2,-3.868693,7.452418
TRMT10C,RG9MTD1,-6.401823,7.446195
RSPH3,RSPH3,-1.415252,7.445452
SMIM12,C1orf212,-0.777394,7.441567
ASB6,ASB6,-9.267625,7.420304
CXorf1,CXorf1,-7.175954,7.409948
NAPEPLD,NAPEPLD,3.839977,7.40347
UBE3D,UBE2CBP,-8.56239,7.390689
FHL2,FHL2,0.807662,7.367591
AC010087.3,AC010087.3,-10.827564,7.35612
OSTF1,OSTF1,-0.972018,7.347807
LYRM4,LYRM4,-6.847416,7.342191
TUBB8,TUBB8,-15.992393,7.321445
MAFB,MAFB,6.84945,7.319792
MEPE,MEPE,-13.393473,7.313981
CDC42SE2,CDC42SE2,-12.882755,7.307465
ELAVL4,ELAVL4,5.649424,7.305086
NEK2,NEK2,-12.240481,7.261552
DIRAS1,DIRAS1,7.747798,7.253577
SEZ6L2,SEZ6L2,-1.682159,7.245086
TNFRSF14,TNFRSF14,-7.505674,7.242859
GPR158,GPR158,9.3358,7.233898
CCDC68,CCDC68,-9.838158,7.228205
COL4A3,COL4A3,1.16106,7.222847
LYPD6B,LYPD6B,-9.965715,7.2217
STX19,STX19,2.661968,7.216355
SKAP2,SKAP2,-15.967803,7.199728
TIRAP,TIRAP,0.360917,7.194658
DCUN1D3,DCUN1D3,-1.784088,7.1915
OR2L8,OR2L8,9.368044,7.170467
DACH1,DACH1,-2.148551,7.169849
PAH,PAH,-4.336655,7.153735
TMEM169,TMEM169,0.545558,7.152784
ZNF233,ZNF233,-9.374172,7.151211
PNLDC1,PNLDC1,1.687868,7.149791
AP000911.1,AP000911.1,-3.693382,7.145995
HCN1,HCN1,10.73863,7.1432
AKAP6,AKAP6,0.486237,7.139638
KCNH1,KCNH1,3.366803,7.136024
METTL21A,FAM119A,2.765637,7.13218
FGF5,FGF5,7.908728,7.131168
FAM49B,FAM49B,9.162398,7.129824
