gene,gene_original,PLS1_z,PLS2_z
AC027323.1,AC027323.1,1.440635,-0.870786
MGC34034,MGC34034,1.303103,-0.870915
ZNF639,ZNF639,4.827624,-0.871311
GPR107,GPR107,-2.346666,-0.871964
PPFIA2,PPFIA2,-2.122096,-0.873107
STARD8,STARD8,6.935299,-0.87451
DAND5,DAND5,-9.443131,-0.874932
OR51A4,OR51A4,2.162883,-0.875079
LOC644852,LOC644852,1.622643,-0.875088
RTL8A,FAM127B,-16.397947,-0.875672
ALDH1L2,ALDH1L2,0.784195,-0.876602
WDR87,WDR87,3.992534,-0.87692
PROK2,PROK2,-6.164857,-0.876926
TM4SF20,TM4SF20,2.639977,-0.876957
CCRL2,CCRL2,0.908267,-0.877438
TNFSF15,TNFSF15,-0.39884,-0.877948
KRTAP10-11,KRTAP10-11,2.409745,-0.878026
RSL24D1P11,RSL24D1P11,5.37629,-0.878212
GJA8,GJA8,2.319662,-0.878454
FKBP6,FKBP6,-2.404846,-0.878659
OR2T4,OR2T4,2.018101,-0.879174
GTF3A,GTF3A,10.346581,-0.879429
IL1RN,IL1RN,-0.270823,-0.879471
DRG2,DRG2,-8.725889,-0.879716
GPRC5A,GPRC5A,0.689355,-0.879912
SPART,SPG20,8.658141,-0.88012
RP2,RP2,4.264074,-0.880489
PRMT1,PRMT1,-7.336242,-0.88054
C6orf195,C6orf195,4.949303,-0.881157
MYH15,MYH15,-13.551887,-0.88178
SART3,SART3,-1.729671,-0.881853
ATP10A,ATP10A,10.869282,-0.882572
HOXD8,HOXD8,2.149797,-0.882883
SCIMP,SCIMP,-3.670897,-0.883893
MAGEB6,MAGEB6,2.839805,-0.884407
C1orf194,C1orf194,-7.751802,-0.884516
ACY1,ACY1,0.617773,-0.884861
LOC100294059,LOC100294059,9.915067,-0.884943
NUFIP1,NUFIP1,-6.182093,-0.885265
IGFL3,IGFL3,5.320001,-0.885295
PLIN3,M6PRBP1,2.216856,-0.885397
PDPK1,PDPK1,-2.95008,-0.885742
ECD,ECD,10.760911,-0.885794
ROBO1,ROBO1,-19.534368,-0.885969
SLURP1,SLURP1,1.802365,-0.88627
CEP192,CEP192,10.189581,-0.886539
CLEC2B,CLEC2B,7.161957,-0.887932
PPYR1,PPYR1,5.744651,-0.888003
KYAT3,CCBL2,-7.460517,-0.888046
C18orf51,C18orf51,-0.841643,-0.888114
DCLRE1C,DCLRE1C,12.016694,-0.888137
DNAH10,DNAH10,4.919073,-0.888292
INHBA,INHBA,7.986885,-0.889585
FN3KRP,FN3KRP,-8.159598,-0.890524
GPR45,GPR45,2.927502,-0.890752
OR6K2,OR6K2,0.076037,-0.89078
PNRC2,PNRC2,-9.073841,-0.890978
ZNF781,ZNF781,9.991631,-0.891335
KPTN,KPTN,-9.366923,-0.891686
LOC100133756,LOC100133756,-1.046466,-0.892028
CTR9,CTR9,-9.293672,-0.892314
FAM160A1,FAM160A1,3.161135,-0.89319
NOP9,C14orf21,4.583779,-0.89349
LY86,LY86,-11.430029,-0.893752
RAB42,RAB42,1.513793,-0.894167
PGM2L1,PGM2L1,-14.961588,-0.894221
FAT1,FAT1,-2.150714,-0.894443
FSD1L,FSD1L,-4.279378,-0.895028
YME1L1,YME1L1,-1.385927,-0.895064
GPI,GPI,-12.412849,-0.895957
SLC33A1,SLC33A1,9.446582,-0.896128
C10orf91,C10orf91,2.54596,-0.89628
ZNF398,ZNF398,11.647898,-0.8964
PCDHB14,PCDHB14,13.112523,-0.896568
SERF2,SERF2,-0.535036,-0.897059
KIAA1919,KIAA1919,-5.056641,-0.897408
SEMA6C,SEMA6C,-0.088022,-0.897565
CARMIL1,LRRC16A,-8.161711,-0.897604
DESI2,PPPDE1,10.05862,-0.897765
AP4B1,AP4B1,2.36629,-0.898255
TARDBP,TARDBP,8.877506,-0.898329
MINDY1,FAM63A,2.465704,-0.898891
ICOS,ICOS,3.929702,-0.899254
GAFA1,GAFA1,-0.306095,-0.899719
LSS,LSS,0.021059,-0.899825
HBS1L,HBS1L,5.882637,-0.900306
FUT5,FUT5,1.445064,-0.900592
ABCB4,ABCB4,2.958962,-0.900709
RABAC1,RABAC1,-11.517244,-0.901075
SNX5,SNX5,1.360774,-0.901544
RFTN2,RFTN2,-1.481659,-0.901723
COPS8,COPS8,-7.143142,-0.902411
HSD17B7,HSD17B7,-6.017473,-0.902584
SPTBN4,SPTBN4,12.18465,-0.902684
SERPINB3,SERPINB3,0.206963,-0.902802
NDUFB5,NDUFB5,2.966348,-0.90317
AP000654.2,AP000654.2,-12.159911,-0.90329
KNDC1,KNDC1,7.594491,-0.903296
PCNA,PCNA,7.710657,-0.903442
IL26,IL26,0.42664,-0.903534
CHD9,CHD9,16.263879,-0.903914
TBL3,TBL3,-5.786225,-0.903988
DAO,DAO,6.06481,-0.904395
ANAPC5,ANAPC5,0.845669,-0.904427
B4GALT2,B4GALT2,-17.441781,-0.904577
PLK2,PLK2,3.180207,-0.905153
UBXN2B,UBXN2B,-5.544011,-0.905471
OR6B3,OR6B3,3.15828,-0.905643
TMEM219,TMEM219,-14.787672,-0.906651
OR5T2,OR5T2,1.022591,-0.908172
CCRL1,CCRL1,7.025599,-0.908181
SPANXN2,SPANXN2,3.499058,-0.909267
CLEC12A,CLEC12A,3.422484,-0.909411
LOC401859,LOC401859,0.059307,-0.909536
ZNF239,ZNF239,-9.08582,-0.909545
OR10G3,OR10G3,-1.980954,-0.909607
OPN1SW,OPN1SW,1.225088,-0.909619
LOC728804,LOC728804,7.19926,-0.909724
PRPH,PRPH,-0.276844,-0.909789
AVEN,AVEN,4.356591,-0.909835
TCEAL6,TCEAL6,0.607484,-0.910061
ECI1,DCI,7.426407,-0.9107
DIO1,DIO1,2.422009,-0.910825
GPRC5B,GPRC5B,2.062186,-0.910965
MST1,MST1,2.737917,-0.911187
ZFAND4,ANUBL1,9.916921,-0.911825
SLC16A4,SLC16A4,7.722562,-0.911825
SCNM1,SCNM1,-2.387036,-0.912332
NEK6,NEK6,-10.155552,-0.913493
TRIM74,TRIM74,7.00669,-0.913602
VRK2,VRK2,4.310202,-0.913733
MYNN,MYNN,12.219276,-0.913924
STK17B,STK17B,-9.814203,-0.913944
HMGB3P30,HMGB3P30,3.146505,-0.914465
FGFRL1,FGFRL1,-1.843233,-0.914467
LCE6A,LCE6A,3.957317,-0.914494
BARHL1,BARHL1,3.077061,-0.914515
SSBP1,SSBP1,-8.668568,-0.914594
CAMP,CAMP,2.422879,-0.914819
LYRM1,LYRM1,-11.40316,-0.91493
RRN3,RRN3,-6.416094,-0.915003
CEP170P1,CEP170L,5.851924,-0.915058
ABCA7,ABCA7,9.645748,-0.915242
FAM13C,FAM13C,-2.503799,-0.915664
PPY2,PPY2,2.444464,-0.916024
HFE,HFE,-1.795818,-0.916055
OR2J2,OR2J2,1.348169,-0.91648
USP5,USP5,-9.966631,-0.917002
STMP1,C7orf73,5.182909,-0.917032
ZNF608,ZNF608,-6.356016,-0.917088
OGFRL1,OGFRL1,4.495301,-0.917474
PPM1F,PPM1F,-11.011192,-0.917482
NBN,NBN,-4.079728,-0.917676
PLSCR1,PLSCR1,9.360572,-0.917763
TTTY7,TTTY7,2.967856,-0.918226
RP11-323F24.1,RP11-323F24.1,-8.750217,-0.918358
ATP8B4,ATP8B4,-9.274542,-0.918475
CNGA1,CNGA1,0.76332,-0.918671
SEC14L2,SEC14L2,-8.163265,-0.918982
C2,C2,-0.229034,-0.91912
SOX12,SOX12,-0.357752,-0.919367
PFKFB4,PFKFB4,-1.765144,-0.920142
MDH2,MDH2,-10.654294,-0.920176
CCDC47,CCDC47,10.476144,-0.920325
OR52N4,OR52N4,-1.789514,-0.92033
KIAA1210,KIAA1210,1.275483,-0.921008
NDFIP1,NDFIP1,-3.710278,-0.921071
PGAM1P8,PGAM1P8,-5.18716,-0.921158
HSD3B7,HSD3B7,-6.18108,-0.921238
NUDT8,NUDT8,7.615943,-0.921588
LOC284441,LOC284441,-0.494807,-0.92173
SPINT1,SPINT1,4.140812,-0.922325
PIP5KL1,PIP5KL1,10.812644,-0.923138
KCMF1,KCMF1,4.488587,-0.923481
TMEM131,TMEM131,-4.470557,-0.923883
SLC12A5,SLC12A5,14.072698,-0.924207
FAM76B,FAM76B,14.350303,-0.924383
RBM48,C7orf64,7.286336,-0.924522
CCT5,CCT5,-14.45983,-0.925545
OR4D2,OR4D2,2.075032,-0.925937
TM4SF1,TM4SF1,4.802026,-0.926103
RHBDL3,RHBDL3,15.4398,-0.926394
GLI4,GLI4,5.651066,-0.926762
MYLPF,MYLPF,-0.273017,-0.927156
AZU1,AZU1,-0.001364,-0.92869
REG1A,REG1A,1.508291,-0.929186
SAXO2,FAM154B,6.591257,-0.929291
OR1L4,OR1L4,2.074063,-0.929671
COL17A1,COL17A1,1.876053,-0.929981
FLJ31715,FLJ31715,3.575681,-0.930092
ACVR2B,ACVR2B,-9.283835,-0.930734
MIDN,MIDN,3.017753,-0.931375
MAGEF1,MAGEF1,-3.005818,-0.931672
BRINP3,FAM5C,1.951829,-0.931677
GALNT16,GALNTL1,-4.104777,-0.932068
HTR3D,HTR3D,3.034178,-0.932552
KLF17,KLF17,0.059184,-0.934159
IFNG,IFNG,1.292442,-0.934326
ABHD1,ABHD1,-11.121162,-0.934543
TMEM185B,TMEM185B,-3.690748,-0.934964
MYMK,TMEM8C,8.182863,-0.935047
SUNC1,SUNC1,1.5839,-0.935449
ECM2,ECM2,5.178458,-0.935647
WDR66,WDR66,-19.117459,-0.935949
LMX1B,LMX1B,2.068026,-0.93615
HIP1,HIP1,1.471187,-0.936369
RANGAP1,RANGAP1,0.535283,-0.936622
SH3RF3-AS1,SH3RF3-AS1,0.056061,-0.936817
LCN9,LCN9,0.184118,-0.937121
MAP7D3,MAP7D3,-10.040831,-0.937369
STYXL1,STYXL1,-10.295813,-0.938319
ADAM28,ADAM28,-12.671083,-0.938667
RP1-163G9.1,RP1-163G9.1,-9.211577,-0.93874
DCLRE1B,DCLRE1B,-8.051104,-0.938766
OLR1,OLR1,6.390278,-0.939356
BMP8A,BMP8A,9.737601,-0.939358
TMEM138,TMEM138,-0.553986,-0.93994
SP140,SP140,2.408682,-0.940197
SLC17A7,SLC17A7,-11.638078,-0.940531
BTNL2,BTNL2,9.74271,-0.940574
VNN1,VNN1,1.422805,-0.940965
TGFBR1,TGFBR1,9.915491,-0.941039
RAB41,RAB41,1.015163,-0.941865
AP4E1,AP4E1,13.873377,-0.942322
HABP4,HABP4,1.708469,-0.942764
CCDC115,CCDC115,9.129685,-0.943235
NEURL2,NEURL2,8.938623,-0.943309
FGF21,FGF21,1.123871,-0.943342
RPP14,RPP14,5.061496,-0.943361
PRAMEF16,PRAMEF16,3.440268,-0.943554
KCNK6,KCNK6,-2.175099,-0.944
C10orf18,C10orf18,7.808515,-0.944507
USP34,USP34,2.172378,-0.944528
SULT1B1,SULT1B1,-0.09056,-0.945092
SLC29A4P1,SLC29A4P1,-9.038782,-0.945291
SNRNP27,SNRNP27,-15.366438,-0.945379
ACTG2,ACTG2,-1.73905,-0.945615
LRR1,PPIL5,16.18457,-0.945629
IFT27,RABL4,-16.05743,-0.94579
CLCNKA,CLCNKA,-0.008072,-0.94596
RP1-10C16.2,RP1-10C16.2,4.685957,-0.946105
AK5,AK5,-11.982322,-0.946784
ENOSF1,ENOSF1,-1.842258,-0.946804
SEMG1,SEMG1,4.729413,-0.947609
MUM1,MUM1,11.56312,-0.947661
C3orf16,C3orf16,2.789706,-0.947753
BEX2,BEX2,-13.148036,-0.948368
FNDC7,FNDC7,-0.207555,-0.948472
LOC100130811,LOC100130811,8.160503,-0.948522
NELFCD,TH1L,3.811746,-0.948696
GCK,GCK,-1.153636,-0.94901
C12orf71,C12orf71,-3.979558,-0.949341
RAB11FIP4,RAB11FIP4,1.150151,-0.949381
HIST1H2AI,HIST1H2AI,-3.434966,-0.949771
SHTN1,KIAA1598,-0.227007,-0.949968
GAK,GAK,-5.609683,-0.950062
ITGB1BP3,ITGB1BP3,2.469507,-0.950088
ASB7,ASB7,5.392234,-0.950298
APOLD1,APOLD1,6.982859,-0.950392
DCBLD1,DCBLD1,3.316801,-0.951235
TMEM14B,TMEM14B,5.479097,-0.951374
SLC2A14,SLC2A14,-5.616856,-0.951439
HSDL1,HSDL1,-12.785607,-0.951852
UBA7,UBA7,-10.872267,-0.952407
NCKAP5L,KIAA1602,6.555591,-0.952473
TTC19,TTC19,0.564586,-0.953511
RNF13,RNF13,4.932869,-0.953682
PCK2,PCK2,-7.490657,-0.953797
ELOF1,ELOF1,2.768601,-0.95434
KRT15,KRT15,2.846869,-0.954439
TREML2,TREML2,-0.165659,-0.955242
CWF19L1,CWF19L1,9.203934,-0.955504
TDP1,TDP1,-2.559944,-0.955976
MCEE,MCEE,4.76572,-0.956315
CRTAP,CRTAP,5.783487,-0.956885
MATN4,MATN4,10.747722,-0.956908
METAP1D,METAP1D,4.289289,-0.957039
BMX,BMX,1.572254,-0.95758
THAP1,THAP1,10.878331,-0.958457
INSRR,INSRR,1.824507,-0.958548
AC114273.1,AC114273.1,3.192943,-0.95867
TAC4,TAC4,1.966403,-0.959059
VPS28,VPS28,-2.626022,-0.959208
S1PR1,S1PR1,-9.835169,-0.959239
OR2D2,OR2D2,7.39739,-0.959524
IFRD1,IFRD1,4.766352,-0.960654
YPEL4,YPEL4,17.462188,-0.961254
CAMSAP2,CAMSAP1L1,7.793075,-0.961298
ATG3,ATG3,3.266735,-0.96164
AGAP4,AGAP4,9.056468,-0.96178
TMEM255B,FAM70B,6.419007,-0.96221
SSTR2,SSTR2,-20.512106,-0.962832
MAGEL2,MAGEL2,8.368359,-0.962881
DCPS,DCPS,11.765338,-0.962945
RAB11FIP2,RAB11FIP2,13.231698,-0.963293
LOC401021,LOC401021,2.684034,-0.963378
NPC1,NPC1,3.858538,-0.96365
APOL3,APOL3,3.468179,-0.964473
SLC5A10,SLC5A10,2.912105,-0.964505
CREG1,CREG1,-7.846498,-0.96465
TSGA10,TSGA10,-5.178571,-0.965064
NKD2,NKD2,-13.750545,-0.965286
OR52D1,OR52D1,-0.125666,-0.965405
RTP3,RTP3,3.026215,-0.965873
GJD3,GJD3,-5.689833,-0.965916
CRACR2B,EFCAB4A,-0.929545,-0.966008
MRPL45,MRPL45,4.733676,-0.966439
LAX1,LAX1,2.938106,-0.966782
DEFB129,DEFB129,1.671111,-0.967089
SRP14P1,SRP14P1,4.622092,-0.967387
SMTNL1,SMTNL1,2.970614,-0.967577
PLBD1,PLBD1,2.232313,-0.967711
SGCE,SGCE,2.302282,-0.967973
LOC100287723,LOC100287723,-5.147532,-0.968005
ATP11C,ATP11C,2.777863,-0.968502
OR4C16,OR4C16,2.586291,-0.96856
LOC100294362,LOC100294362,7.40676,-0.969825
MOV10,MOV10,-10.955,-0.969846
CDX4,CDX4,4.729194,-0.970121
NPY,NPY,-10.788486,-0.970188
C1orf123,C1orf123,-1.957486,-0.970236
MRPL57,MRP63,-4.819731,-0.970322
SCUBE1,SCUBE1,2.88636,-0.970446
ILDR1,ILDR1,7.149201,-0.970885
CYP3A5,CYP3A5,0.153286,-0.971322
ARHGDIA,ARHGDIA,-19.575498,-0.971454
FBXO3,FBXO3,-4.210497,-0.971862
HBG1,HBG1,-11.339862,-0.972152
C16orf65,C16orf65,3.302333,-0.972266
ZG16,ZG16,2.861124,-0.972319
LCN12,LCN12,-13.851012,-0.972469
ZSCAN2,ZSCAN2,-1.923971,-0.97324
C19orf51,C19orf51,2.33126,-0.973322
MED14,MED14,0.941076,-0.973359
BOLA2,BOLA2,-8.129067,-0.973503
LOC100289586,LOC100289586,-1.668514,-0.973566
CES3,CES3,-10.114622,-0.973972
SPATC1,SPATC1,2.348306,-0.974041
OVOL3,OVOL3,2.262519,-0.974216
CLEC9A,CLEC9A,-8.194729,-0.974297
SLAMF9,SLAMF9,6.480192,-0.974405
TMEM19,TMEM19,-0.932628,-0.974511
TAGLN,TAGLN,1.694514,-0.974753
ZNF813,ZNF813,1.54136,-0.975254
ATP6V1G1,ATP6V1G1,8.308706,-0.975559
ANKRD6,ANKRD6,-17.649023,-0.975641
LBX2,LBX2,1.826059,-0.975681
STAU1,STAU1,-1.304436,-0.975858
CSRP1,CSRP1,2.141196,-0.977185
DET1,DET1,3.933379,-0.977819
PSORS1C2,PSORS1C2,2.506588,-0.977865
ATP1A3,ATP1A3,9.891374,-0.977899
MORC2,MORC2,5.393329,-0.977988
ZRANB2,ZRANB2,7.604121,-0.978211
ZNF324,ZNF324,6.338638,-0.978763
FOXR1,FOXR1,4.559079,-0.97877
INSR,INSR,11.193125,-0.978781
LOC729400,LOC729400,3.362247,-0.978913
ABHD2,ABHD2,-9.769247,-0.979194
RMI1,RMI1,11.668894,-0.979348
LOC729458,LOC729458,2.333356,-0.979363
ZNF788,ZNF788,1.900216,-0.979671
PPDPF,PPDPF,-13.656451,-0.980091
WNT9A,WNT9A,1.632889,-0.980136
SLC22A7,SLC22A7,3.322453,-0.980139
ZFP14,ZFP14,9.408383,-0.980409
C17orf58,C17orf58,-12.688692,-0.980678
CLEC4A,CLEC4A,-13.638823,-0.980782
POU4F3,POU4F3,1.23343,-0.9809
PLPP5,PPAPDC1B,-7.985419,-0.981108
DNAJC7,DNAJC7,-4.793392,-0.981291
DUSP5,DUSP,12.513362,-0.981999
SPRR2B,SPRR2B,1.002778,-0.982044
ZNF469,ZNF469,-7.947657,-0.982232
GIMAP1,GIMAP1,1.987464,-0.982866
ACADM,ACADM,6.813541,-0.98328
LCN1P1,LCN1P1,-0.661186,-0.983329
ARMCX6,ARMCX6,2.747233,-0.984432
ARMC9,ARMC9,4.151662,-0.984457
OR7C1,OR7C1,3.301727,-0.985362
FOXK2,FOXK2,-2.216274,-0.986311
MALT1,MALT1,6.142169,-0.9867
PTGIR,PTGIR,1.343049,-0.986789
PSMD2,PSMD2,-4.281862,-0.986907
RANBP17,RANBP17,12.316518,-0.987243
SNAI1,SNAI1,6.141512,-0.98742
IGSF10,IGSF10,-10.635223,-0.98767
KLF1,KLF1,3.789344,-0.987689
GUCA1C,GUCA1C,-2.169459,-0.987808
PHLDB1,PHLDB1,0.197815,-0.988328
C2CD2L,C2CD2L,-7.381045,-0.988449
ARFIP1,ARFIP1,-0.07499,-0.988528
SPOCK1,SPOCK1,0.342264,-0.988557
OPLAH,OPLAH,-2.025204,-0.988772
PRLH,PRLH,2.092821,-0.98878
GH2,GH2,0.377369,-0.988832
C1orf127,C1orf127,1.820488,-0.988894
CYP4A11,CYP4A11,1.839866,-0.988952
GBP7,GBP7,1.055142,-0.988954
TUSC5,TUSC5,1.737453,-0.988985
C14orf182,C14orf182,3.523751,-0.990087
PIGF,PIGF,-12.538385,-0.990854
FAM218A,C4ORF39,-1.217965,-0.99115
VCX3A,VCX3A,4.516365,-0.991224
SLC7A2,SLC7A2,-1.439259,-0.991422
SLC36A3,SLC36A3,3.398914,-0.991689
UCK1,UCK1,-3.023423,-0.9919
ZNF790,ZNF790,-3.563642,-0.991953
SLC2A8,SLC2A8,3.317069,-0.992045
DDX31,DDX31,9.500516,-0.992802
ANGPT4,ANGPT4,-2.311009,-0.993155
PIGP,PIGP,-7.52956,-0.993281
MS4A4A,MS4A4A,-8.169265,-0.994094
TAC1,TAC1,-16.28132,-0.994453
TTC9B,TTC9B,-4.140513,-0.994844
RAB8A,RAB8A,-4.853344,-0.994963
SPRYD5,SPRYD5,1.959848,-0.995378
MUC8,MUC8,2.255639,-0.995588
MAPKAPK5-AS1,C12ORF47,-10.504193,-0.995979
TARS,TARS,9.481049,-0.996132
TMEM52,TMEM52,-10.998446,-0.996771
OR51B4,OR51B4,-1.572136,-0.996943
CADM3,CADM3,-1.833652,-0.99718
SIX3,SIX3,-2.112529,-0.997347
MRPS31,MRPS31,8.148818,-0.998622
RAPH1,RAPH1,-8.029008,-0.999287
ARCN1,ARCN1,7.058124,-0.999366
BCAM,BCAM,4.848179,-0.999492
GUF1,GUF1,-6.445865,-0.999971
MRPL51,MRPL51,-3.745256,-1.000798
SUCLG1,SUCLG1,-1.564587,-1.001147
SIGLECP3,SIGLECP3,0.673232,-1.00159
C4orf35,C4orf35,1.28427,-1.00186
AGSK1,AGSK1,1.590859,-1.001882
GPR63,GPR63,2.413421,-1.002142
CLPTM1L,CLPTM1L,0.523587,-1.002404
UBOX5,UBOX5,6.545002,-1.003535
KIAA1328,KIAA1328,-9.004419,-1.003792
PODXL2,PODXL2,2.294902,-1.004065
PPARGC1A,PPARGC1A,12.840769,-1.004271
ANKRD13D,ANKRD13D,4.704727,-1.004955
NXN,NXN,-9.41394,-1.005006
IGFLR1,TMEM149,4.971512,-1.005416
TAAR9,TAAR9,2.740465,-1.005493
TMEM250,C9ORF69,5.829847,-1.005516
IKZF2,IKZF2,-0.062193,-1.006312
VWA8,KIAA0564,11.159422,-1.006757
NS3BP,NS3BP,-5.324562,-1.008
PRPF6,PRPF6,-0.090773,-1.008149
ADD1,ADD1,2.742344,-1.009045
CCDC149,CCDC149,3.075769,-1.009541
TSR2,TSR2,-6.363092,-1.009714
PUF60,PUF60,-9.937606,-1.010103
DDX20,DDX20,-11.7842,-1.010291
REXO4,REXO4,2.669529,-1.011109
CBX3,CBX3,5.296003,-1.011347
ELOVL2,ELOVL2,-2.055437,-1.011409
SLC10A6,SLC10A6,-1.519483,-1.012171
ABCC9,ABCC9,-0.473853,-1.01219
ATP6V1F,ATP6V1F,-3.375621,-1.012192
PLPP1,PPAP2A,6.896554,-1.012422
ASIC3,ACCN3,8.548515,-1.012593
PNO1,PNO1,-8.563899,-1.012872
ZFAND1,ZFAND1,9.483542,-1.013428
FAN1,MTMR15,7.796302,-1.013829
RASSF7,RASSF7,1.772116,-1.01422
GAS2L3,GAS2L3,-8.71141,-1.01436
MCF2,MCF2,13.70216,-1.014405
RPS5,RPS5,-3.161851,-1.014515
TRAPPC12,TTC15,3.679318,-1.014607
MRPL21,MRPL21,0.297004,-1.014642
AP2A2,AP2A2,-10.669441,-1.016771
GAA,GAA,5.261934,-1.016985
C12orf74,C12orf74,2.746112,-1.017301
RAC1,RAC1,-6.660199,-1.01756
IK,IK,0.632698,-1.017884
CPSF4L,CPSF4L,2.426028,-1.018053
GFM2,GFM2,-6.774176,-1.018262
CHPF2,CSGLCA-T,-8.206912,-1.01866
BAAT,BAAT,10.37992,-1.018723
KMT5B,SUV420H1,10.26794,-1.019284
ICAM2,ICAM2,7.302101,-1.019339
CD248,CD248,-2.671898,-1.019463
FLJ40453,FLJ40453,1.802191,-1.020499
DMBT1,DMBT1,3.574745,-1.020762
IGSF1,IGSF1,2.305589,-1.021095
AP5B1,AP5B1,1.735609,-1.021766
C15orf32,C15orf32,-1.345317,-1.022259
RGS10,RGS10,-11.166367,-1.02265
UBR1,UBR1,-4.297724,-1.022696
HEBP1,HEBP1,-13.833202,-1.022841
LOC100131744,LOC100131744,9.077822,-1.023186
PTPN1,PTPN1,1.879118,-1.024068
COPB2,COPB2,0.222335,-1.025222
SRSF6,SFRS6,4.94961,-1.025829
UCA1,UCA1,3.636283,-1.026259
ITIH5L,ITIH5L,1.561383,-1.026424
CCL7,CCL7,4.785993,-1.026596
NUDT16P,NUDT16P,1.211739,-1.02668
FAM22E,FAM22E,3.45264,-1.027046
SEMA6B,SEMA6B,-8.305498,-1.027394
APOA4,APOA4,5.531208,-1.02851
PTRH1,PTRH1,-12.940838,-1.028592
KIFC3,KIFC3,-5.184936,-1.02865
CAPZA3,CAPZA3,0.509182,-1.028813
TAF9,TAF9,-6.38911,-1.029144
S1PR3,S1PR3,0.795466,-1.029397
TEX101,TEX101,1.035611,-1.0298
LMAN1,LMAN1,5.017365,-1.030327
DPT,DPT,6.861322,-1.030439
C8orf37,C8orf37,5.318308,-1.030547
CHRM4,CHRM4,1.315263,-1.030641
BTBD3,BTBD3,11.150932,-1.030688
TDRD12,TDRD12,-4.358329,-1.030773
APOF,APOF,2.795303,-1.031048
DNA2,DNA2,12.531748,-1.031078
TGS1,TGS1,5.756212,-1.03115
BACE1,BACE1,1.359441,-1.032274
PRAMEF2,PRAMEF2,1.92176,-1.032535
ZNF137P,ZNF137P,1.924199,-1.032613
CTTNBP2NL,CTTNBP2NL,4.72404,-1.032682
EIF2AK3,EIF2AK3,6.119556,-1.033078
SNRPC,SNRPC,-8.469579,-1.033742
CRISP1,CRISP1,2.667958,-1.034186
LOC729313,LOC729313,0.856976,-1.034349
SAA3P,SAA3P,2.729332,-1.034913
FAM153B,FAM153B,3.568934,-1.03507
OR4K14,OR4K14,2.548973,-1.035103
REPIN1,REPIN1,10.915783,-1.035172
UQCRC2,UQCRC2,1.714157,-1.035399
ISPD,ISPD,5.332923,-1.035684
HOXA3,HOXA3,4.745833,-1.036661
FKTN,FKTN,4.869118,-1.036868
TAS2R16,TAS2R16,2.935463,-1.036881
PCIF1,PCIF1,9.20403,-1.03698
MAPT,MAPT,-9.325789,-1.037223
PTTG3,PTTG3,3.149399,-1.037618
SUPT7L,SUPT7L,6.196734,-1.038413
RNF152,RNF152,1.143674,-1.039161
MAP1LC3B,MAP1LC3B,8.798508,-1.039188
CCDC166,CCDC166,1.830604,-1.039658
ERP44,ERP44,12.910295,-1.0397
DEFB134,DEFB134,7.313004,-1.039733
GABRA6,GABRA6,10.527407,-1.039867
RBMS3,RBMS3,4.079727,-1.040114
MAP3K9,MAP3K9,12.845668,-1.041529
SAA2,SAA2,10.437202,-1.042008
CCL25,CCL25,-0.429975,-1.042154
LOC100287146,LOC100287146,-20.782752,-1.042386
PHACTR3,PHACTR3,-7.380588,-1.042557
ZNF512,ZNF512,7.034077,-1.042566
IDO1,IDO1,2.733189,-1.042625
SVIP,SVIP,5.421712,-1.042984
CAT,CAT,0.000903,-1.043277
CST1,CST1,3.688718,-1.0434
TNPO2,TNPO2,-0.832613,-1.043618
PPT2,PPT2,5.177006,-1.044119
C14orf176,C14orf176,2.739249,-1.044298
AL589182.2,AL589182.2,-15.720982,-1.044399
ZNF717,ZNF717,-2.441501,-1.044448
TIMM9,TIMM9,2.853563,-1.044486
CSF1R,CSF1R,-11.261109,-1.044488
TMEM206,TMEM206,0.876429,-1.04456
LOC646719,LOC646719,2.142126,-1.044603
NOS3,NOS3,4.286407,-1.044619
C1orf192,C1orf192,-0.661496,-1.04483
CBWD6,CBWD6,3.079149,-1.045082
C6orf58,C6orf58,1.555613,-1.045351
CYP4Z2P,CYP4Z2P,-1.44473,-1.045638
FURIN,FURIN,4.016253,-1.046288
NFXL1,NFXL1,9.824869,-1.046527
BUB1,BUB1,3.744417,-1.047211
EFCAB5,EFCAB5,-0.056516,-1.047232
ZC3H3,ZC3H3,-1.398676,-1.047966
CAV2,CAV2,-1.866468,-1.048298
PNPO,PNPO,8.131341,-1.04867
MUC20,MUC20,14.072861,-1.048751
RAI14,RAI14,0.079001,-1.048795
SLC31A1,SLC31A1,2.642584,-1.04952
C20orf185,C20orf185,1.436344,-1.050084
TFE3,TFE3,1.383827,-1.050129
SLC9A7,SLC9A7,-10.055854,-1.051393
PLEKHG2,PLEKHG2,-0.916174,-1.051404
DHRSX,DHRSX,-1.674348,-1.051688
CAPRIN1,CAPRIN1,0.524071,-1.051922
TFAM,TFAM,10.978101,-1.052433
TMEM165,TMEM165,5.659649,-1.052981
C10orf120,C10orf120,2.415653,-1.053354
DAW1,WDR69,-20.832863,-1.053662
LOC220906,LOC220906,-2.08802,-1.053945
LRFN1,LRFN1,-6.412559,-1.053949
C9orf139,C9orf139,2.310326,-1.054975
NAGLU,NAGLU,-0.245762,-1.055697
MAP4K5,MAP4K5,3.183819,-1.055845
CCDC106,CCDC106,-4.128655,-1.055965
DRD4,DRD4,0.694656,-1.056723
KIR3DL2,KIR3DL2,2.139439,-1.057427
