label,system,cortex_id,cortex
lh_Ig,auditory,12,Insular_and_Frontal_Opercular
lh_LBelt,auditory,10,Early_Auditory
lh_LIPd,association,16,Superior_Parietal
lh_LIPv,association,16,Superior_Parietal
lh_LO1,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO2,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_LO3,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_MBelt,auditory,10,Early_Auditory
lh_MI,auditory,12,Insular_and_Frontal_Opercular
lh_MIP,association,16,Superior_Parietal
lh_MST,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_MT,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_OFC,association,20,Orbital_and_Polar_Frontal
lh_OP1,sensorimotor,9,Posterior_Opercular
lh_OP2-3,sensorimotor,9,Posterior_Opercular
lh_OP4,sensorimotor,9,Posterior_Opercular
lh_PBelt,auditory,10,Early_Auditory
lh_PCV,association,18,Posterior_Cingulate
lh_PEF,sensorimotor,8,Premotor
lh_PF,association,17,Inferior_Parietal
lh_PFcm,auditory,10,Early_Auditory
lh_PFm,association,17,Inferior_Parietal
lh_PFop,association,17,Inferior_Parietal
lh_PFt,association,17,Inferior_Parietal
lh_PGi,association,17,Inferior_Parietal
lh_PGp,association,17,Inferior_Parietal
lh_PGs,association,17,Inferior_Parietal
lh_PH,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_PHA1,association,13,Medial_Temporal
lh_PHA2,association,13,Medial_Temporal
lh_PHA3,association,13,Medial_Temporal
lh_PHT,association,14,Lateral_Temporal
lh_PI,auditory,12,Insular_and_Frontal_Opercular
lh_PIT,visual,4,Ventral_Stream_Visual
lh_POS1,association,18,Posterior_Cingulate
lh_POS2,association,18,Posterior_Cingulate
lh_PSL,association,15,Temporo-Parieto_Occipital_Junction
lh_PeEc,association,13,Medial_Temporal
lh_Pir,auditory,12,Insular_and_Frontal_Opercular
lh_PoI1,auditory,12,Insular_and_Frontal_Opercular
lh_PoI2,auditory,12,Insular_and_Frontal_Opercular
lh_PreS,association,13,Medial_Temporal
lh_ProS,association,18,Posterior_Cingulate
lh_RI,auditory,10,Early_Auditory
lh_RSC,association,18,Posterior_Cingulate
lh_SCEF,sensorimotor,7,Paracentral_Lobular_and_Mid_Cingulate
lh_SFL,association,22,Dorsolateral_Prefrontal
lh_STGa,auditory,11,Auditory_Association
lh_STSda,auditory,11,Auditory_Association
lh_STSdp,auditory,11,Auditory_Association
lh_STSva,auditory,11,Auditory_Association
lh_STSvp,auditory,11,Auditory_Association
lh_STV,association,15,Temporo-Parieto-Occipital_Junction
lh_TA2,auditory,11,Auditory_Association
lh_TE1a,association,14,Lateral_Temporal
lh_TE1m,association,14,Lateral_Temporal
lh_TE1p,association,14,Lateral_Temporal
lh_TE2a,association,14,Lateral_Temporal
lh_TE2p,association,14,Lateral_Temporal
lh_TF,association,13,Medial_Temporal
lh_TGd,association,14,Lateral_Temporal
lh_TGv,association,14,Lateral_Temporal
lh_TPOJ1,association,15,Temporo-Parieto-Occipital_Junction
lh_TPOJ2,association,15,Temporo-Parieto-Occipital_Junction
lh_TPOJ3,association,15,Temporo-Parieto-Occipital_Junction
lh_V1,visual,1,Primary_Visual
lh_V2,visual,2,Early_Visual
lh_V3,visual,2,Early_Visual
lh_V3A,visual,3,Dorsal_Stream_Visual
lh_V3B,visual,3,Dorsal_Stream_Visual
lh_V3CD,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_V4,visual,2,Early_Visual
lh_V4t,visual,5,MT+_Complex_and_Neighboring_Visual_Areas
lh_V6,visual,3,Dorsal_Stream_Visual
lh_V6A,visual,3,Dorsal_Stream_Visual
lh_V7,visual,3,Dorsal_Stream_Visual
lh_V8,visual,4,Ventral_Stream_Visual
lh_VIP,association,16,Superior_Parietal
lh_VMV1,visual,4,Ventral_Stream_Visual
lh_VMV2,visual,4,Ventral_Stream_Visual
lh_VMV3,visual,4,Ventral_Stream_Visual
lh_VVC,visual,4,Ventral_Stream_Visual
lh_a10p,association,20,Orbital_and_Polar_Frontal
lh_a24,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_a24pr,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_a32pr,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_a47r,association,21,Inferior_Frontal
lh_a9-46v,association,22,Dorsolateral_Prefrontal
lh_d23ab,association,18,Posterior_Cingulate
lh_d32,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_i6-8,association,22,Dorsolateral_Prefrontal
lh_p10p,association,20,Orbital_and_Polar_Frontal
lh_p24,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_p24pr,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_p32pr,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_p47r,association,21,Inferior_Frontal
lh_p9-46v,association,22,Dorsolateral_Prefrontal
lh_pOFC,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_s32,association,19,Anterior_Cingulate_and_Medial_Prefrontal
lh_s6-8,association,22,Dorsolateral_Prefrontal
lh_v23ab,association,18,Posterior_Cingulate
