method	trait_arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC1	EUR	4308	3601	691	726	-0.08856383384211	0.0524545918283696	0.0917537931304387	-0.0383168087987186	0.0159675702320531	0.016465512425789	0.0502470250433914	0.0548189486627388	0.916599574948526	0.359352507192631
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC1	EUR	4308	3601	691	726	-0.0771309617104224	0.0510150175647318	0.130975250063267	-0.0286087589863576	0.0159430300947199	0.0728334034159625	0.0485222027240647	0.0534427514101916	0.907928604791323	0.363915943517012
CT	BIP_eur	raw	BIPeur	0p001	slope_PC1	full	8596	7198	1350	1449	-0.033218746013156	0.0349582814554284	0.342133506811589	-0.0250232981378294	0.0115012237541379	0.0296105401607852	0.0081954478753266	0.0368074254266738	0.222657460561952	0.823802111758608
CT	BIP_eur	raw	BIPeur	0p01	slope_PC1	full	8596	7198	1350	1449	0.0211477787639598	0.0360276147400221	0.557294269497191	-0.0238688347755174	0.011684546311094	0.0411126936861663	-0.0450166135394772	0.0378837084998902	-1.18828423409518	0.23472144697431
CT	BIP_eur	raw	BIPeur	0p05	slope_PC1	full	8596	7198	1350	1449	0.0495598639414747	0.0410146418760951	0.227092534605573	-0.0253475526565807	0.0130569457426239	0.0522615516651858	-0.0749074165980554	0.0430417860180444	-1.74034173597378	0.0817990296443242
CT	BIP_eur	raw	BIPeur	0p1	slope_PC1	full	8596	7198	1350	1449	0.0355320409559742	0.042198623482725	0.399902865947564	-0.0207742963749675	0.0132933069904422	0.118153836253973	-0.0563063373309417	0.0442334649649231	-1.2729352623764	0.203041015047749
CT	BIP_eur	raw	BIPeur	0p5	slope_PC1	full	8596	7198	1350	1449	0.0422686934349873	0.0436184737932399	0.33266381721874	-0.0107230888540836	0.0137053727503731	0.434006109050648	-0.0529917822890709	0.04570462873561	-1.15944016514422	0.246276812835123
CT	BIP_eur	raw	BIPeur	1	slope_PC1	full	8596	7198	1350	1449	0.0459119956295055	0.043931056613881	0.296137826632033	-0.0129921534985977	0.0137681493961694	0.345387418558439	-0.0589041491281032	0.0460201471108296	-1.27996438138812	0.200557663077188
CT	BIP_eur	raw	BIPeur	1e-5	slope_PC1	full	8596	7198	1350	1449	-0.049853950752252	0.0353899383855832	0.159116499757206	-0.0222552642141342	0.0115595849553054	0.0542373896479174	0.0275986865381178	0.0372248223884877	0.741405459241442	0.458447635385509
CT	BIP_eur	raw	BIPeur	5e-8	slope_PC1	full	8596	7198	1350	1449	-0.0242656377109874	0.0350827597958958	0.489245518240941	-0.0166923955172028	0.0116814384439964	0.153058449612541	0.0075732421937845	0.0369569492887621	0.204920653342116	0.837634118591184
