method	trait	trait_arm	discovery_ancestry	target_stratum	matched	score	discovery_gwas	phenotype	threshold	n	n_families	n_snps	beta	se	p	p_adj
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	8596	7198	1071688	-0.0141143953843509	0.0143617193364826	0.32574401516038	0.32574401516038
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	8596	7198	1071688	0.0138077641587723	0.0146149441462284	0.344803745940964	0.344803745940964
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	8596	7198	1071688	0.0098864574507386	0.0147479882356426	0.502647424820685	0.502647424820685
PRSCS	BIP	BIP_eur	EUR	full	no	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	8596	7198	1071688	-0.0071732325586664	0.0139098515176638	0.606081694232219	0.606081694232219
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	4308	3601	1071688	-0.0388593856978853	0.0155199969619856	0.0123259111726877	0.0123259111726877
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	4308	3601	1071688	0.0293394993860831	0.0158368591432059	0.0640106616454569	0.0640106616454569
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	4308	3601	1071688	-0.0164939129831846	0.0148346093139296	0.266266215926571	0.266266215926571
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	4308	3601	1071688	-0.011782932166984	0.0157667907841086	0.454908814742622	0.454908814742622
PRSCS	BIP	BIP_eur	EUR	EUR	yes	raw	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	4308	3601	1071688	-3.34011021371958e-05	0.0156497064723966	0.998297178888012	0.998297178888012
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC1	prscs	8596	7198	1071688	-0.0164427050615812	0.0110153604156436	0.135552990540468	0.135552990540468
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC3	prscs	8596	7198	1071688	0.0133588638713511	0.0110704536591767	0.227577155519997	0.227577155519997
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	baseline_thickness	prscs	8596	7198	1071688	-0.0047749505981325	0.0108911810491411	0.661090341323282	0.661090341323282
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	global_slope	prscs	8596	7198	1071688	-0.0043333668467414	0.0105361302596097	0.680873289331353	0.680873289331353
PRSCS	BIP	BIP_eur	EUR	full	no	zanc	PGC bip2024 EUR (O'Connell 2025)	slope_PC2	prscs	8596	7198	1071688	0.004402843711792	0.0111701986557864	0.693473346476306	0.693473346476306
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	8596	7198	1041386	0.0158428233985719	0.0117759604400387	0.178548162165415	0.178548162165415
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	8596	7198	1041386	-0.0146688088019522	0.0117192060651387	0.210719208569431	0.210719208569431
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	8596	7198	1041386	-0.0100423536715116	0.0115766691468596	0.385711679906506	0.385711679906506
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	8596	7198	1041386	-0.0067831342497395	0.0112080150798842	0.545060226894651	0.545060226894651
PRSCS	BIP	BIP_pooled	multi	full	yes	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	8596	7198	1041386	0.0009926800550472	0.0118833781029806	0.933428059055858	0.933428059055858
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	4308	3601	1041386	-0.0282079677180959	0.0154173595018916	0.0673818259654506	0.0673818259654506
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	4308	3601	1041386	0.0157717030948581	0.0157315723013485	0.316137057844751	0.316137057844751
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	4308	3601	1041386	-0.0131906120149774	0.014732969929662	0.37067256755056	0.37067256755056
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	4308	3601	1041386	-0.0040182944549746	0.0156587875985025	0.797487887738224	0.797487887738224
PRSCS	BIP	BIP_pooled	multi	EUR	no	raw	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	4308	3601	1041386	0.003733786441214	0.0155405977525876	0.810140059089033	0.810140059089033
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC3	prscs	8596	7198	1041386	0.0170136873536294	0.0109742648275261	0.121101570594823	0.121101570594823
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC1	prscs	8596	7198	1041386	-0.0116780846815127	0.0109223291868627	0.28501434215952	0.28501434215952
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	baseline_thickness	prscs	8596	7198	1041386	-0.0068160648613173	0.0107908742502028	0.527631932854698	0.527631932854698
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	global_slope	prscs	8596	7198	1041386	-0.0059464588874332	0.0104453624071683	0.569173686060084	0.569173686060084
PRSCS	BIP	BIP_pooled	multi	full	yes	zanc	PGC bip2024 multi-ancestry (EUR+AFR+EAS+LAT)	slope_PC2	prscs	8596	7198	1041386	-0.0001679778359517	0.0110748479551165	0.987898914717141	0.987898914717141
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC2	prscs	8596	7198	1052950	-0.0128591999843914	0.0159398389583483	0.419843633182388	0.419843633182388
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	8596	7198	1052950	-0.0096924397512206	0.015532108499239	0.532627141080194	0.532627141080194
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC1	prscs	8596	7198	1052950	0.0035831673446388	0.015721680069901	0.81972003749439	0.81972003749439
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	global_slope	prscs	8596	7198	1052950	-0.0025532232430083	0.0150351340495456	0.865158135611937	0.865158135611937
PRSCS	ADHD	ADHD	EUR	full	no	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	8596	7198	1052950	0.0022716882501244	0.0157978488088281	0.885664028953515	0.885664028953515
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	baseline_thickness	prscs	4308	3601	1052950	-0.0252785681239486	0.0154842757878228	0.102640917210462	0.102640917210462
PRSCS	ADHD	ADHD	EUR	EUR	yes	raw	Demontis 2023 iPSYCH+deCODE+PGC	slope_PC3	prscs	4308	3601	1052950	0.0195958275092241	0.0156132288996288	0.209520134658239	0.209520134658239
