method	trait	arm	score	disorder	threshold	phenotype	stratum	n	n_families	n_multi_families	n_pairs	beta_within	se_within	p_within	beta_between	se_between	p_between	beta_diff	se_diff	z_diff	p_diff
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p5	slope_PC2	full	8082	6789	1250	1339	0.036858508168382	0.0377232426799174	0.328676361359734	0.0189647771113995	0.0119587206233761	0.112819316173086	-0.0178937310569826	0.0395792558087184	-0.452098724227175	0.651197862716443
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1	slope_PC2	full	8082	6789	1250	1339	0.0497025024626128	0.0377648432457312	0.188324312628366	0.019514095769696	0.0119575954570745	0.10273845211607	-0.0301884066929168	0.039617111925634	-0.762004225587773	0.446057482182397
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1e-5	slope_PC2	full	8082	6789	1250	1339	-0.0332919280040525	0.0357325322317165	0.351630605255273	0.00897566450773051	0.0119013121055579	0.450770654422375	0.042267592511783	0.0376404573477784	1.12292983374916	0.261467295720359
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	5e-8	slope_PC2	full	8082	6789	1250	1339	-0.0345651420929003	0.0364010590590111	0.342474646203477	0.00186494542100451	0.0118886719881675	0.87535401133813	0.0364300875139048	0.0382967227179042	0.951258617669478	0.341473108534848
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p001	slope_PC3	EUR	4116	3447	655	686	0.0559631851921414	0.051523422625508	0.277803022284501	-0.0114150035403206	0.0166698945573949	0.493538807659743	-0.067378188732462	0.0541224307971917	-1.24492170325724	0.213160532255297
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p01	slope_PC3	EUR	4116	3447	655	686	0.0436144146390501	0.0506075671709374	0.389104185863064	-0.00407809591054708	0.016661394548229	0.806654825051488	-0.0476925105495972	0.0532723050443334	-0.895259000148526	0.37064865187351
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p05	slope_PC3	EUR	4116	3447	655	686	0.0353119703379935	0.0501481925484455	0.481588670999294	-0.021674190169449	0.0166786322624924	0.193856334029639	-0.0569861605074425	0.0528496674988602	-1.07826904509232	0.280913707058755
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p1	slope_PC3	EUR	4116	3447	655	686	0.0255319439051117	0.0498631484422113	0.608795810087664	-0.0189784057047503	0.0167196031479188	0.256416048750404	-0.044510349609862	0.0525912121378457	-0.84634576387395	0.397359885056157
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p5	slope_PC3	EUR	4116	3447	655	686	0.0100759406823212	0.0513679676134323	0.844551870049254	-0.00501972335540312	0.0167535869230754	0.764485409854897	-0.0150956640377243	0.0540296537533563	-0.279395905563925	0.779941012912943
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1	slope_PC3	EUR	4116	3447	655	686	0.0173061929815515	0.0517949667565651	0.738389285160672	-0.00396585836252198	0.0167379085786706	0.812719171191436	-0.0212720513440735	0.0544301338571719	-0.390813871593494	0.695934820777593
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1e-5	slope_PC3	EUR	4116	3447	655	686	0.065766698526407	0.0505390995651673	0.193610712183917	-0.0155872776286337	0.0167535142135321	0.352238425322244	-0.0813539761550408	0.0531345494495525	-1.5310937421664	0.125746226215047
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	5e-8	slope_PC3	EUR	4116	3447	655	686	0.0323171358003393	0.0497337655568688	0.516047364609901	-0.0163499519815453	0.0166679353539427	0.326703385681291	-0.0486670877818847	0.0524453037932675	-0.927958926002677	0.353428876092867
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p001	slope_PC3	full	8082	6789	1250	1339	0.019848457478897	0.0363265237233514	0.584877869692489	0.00229673099762605	0.0116901399754032	0.84425036749562	-0.0175517264812709	0.0381493507683313	-0.460079296967775	0.645459303715141
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p01	slope_PC3	full	8082	6789	1250	1339	0.0639238744291351	0.0369807791642582	0.0840894671582017	0.00465091062137986	0.0117024247083799	0.691062049104704	-0.0592729638077552	0.0387854986472827	-1.52822487463128	0.126456714849433
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p05	slope_PC3	full	8082	6789	1250	1339	0.0321148194206765	0.0373078491776412	0.389480875265661	-0.0102041639460942	0.0117077117221323	0.383470773930256	-0.0423189833667707	0.0391007438188006	-1.08230635107311	0.279116424852294
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p1	slope_PC3	full	8082	6789	1250	1339	0.0205043637621504	0.0372299034418529	0.581886180490269	-0.00837646670589144	0.011739924303228	0.475559648874002	-0.0288808304680419	0.0390366136119044	-0.73983954538604	0.459397360530315
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	0p5	slope_PC3	full	8082	6789	1250	1339	0.0204855434317947	0.0373276593273788	0.58322104289141	-0.000407550553481185	0.0117636276735786	0.972363879082011	-0.0208930939852759	0.0391431557056307	-0.533761103534901	0.593506827899411
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1	slope_PC3	full	8082	6789	1250	1339	0.024762800173637	0.0373757683200034	0.507728122370086	-0.00107045609530407	0.0117626572930348	0.92749166814596	-0.0258332562689411	0.039187318962841	-0.659224896029177	0.509751362159891
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	1e-5	slope_PC3	full	8082	6789	1250	1339	0.0767635584619112	0.0353159020775672	0.0298874229113249	0.000876034375623785	0.0117046563541759	0.940340318571782	-0.0758875240862874	0.03718352634139	-2.04089099537111	0.0412616630509803
CT	ALZnoAPOE	pooled	zanc	ALZnoAPOE	5e-8	slope_PC3	full	8082	6789	1250	1339	0.052518019286551	0.0360089351951069	0.14491732807572	-0.00291425161307587	0.0116915302375003	0.803165990797038	-0.0554322708996268	0.0378627585587781	-1.46403149188335	0.143185344000735
PRSCS	SCZ	pooled	raw	SCZpooled	prscs	baseline_thickness	EUR	4116	3447	655	686	0.0433458461638159	0.0396450948782678	0.274609689645175	-0.00711694787043232	0.0176867699888438	0.687423042403845	-0.0504627940342482	0.0429772781452985	-1.17417380094762	0.24032541764095
