section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	baseline_thickness	SBayesRC	-2.4353e-05	0.010712	0.99819	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	1lmm	baseline_thickness	PRSCSX	-0.0054582	0.010694	0.60977	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	hcp	perregion	baseline_thickness	PRSCSX	-0.0050697	0.010683	0.6351	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	hcp	1lmm	baseline_thickness	CT	0.013674	0.010961	1	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	hcp	perregion	baseline_thickness	CT	0.013632	0.01095	1	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	hcp	1lmm	baseline_thickness	PRSCSX	-0.010247	0.010925	0.34831	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	hcp	perregion	baseline_thickness	PRSCSX	-0.0098853	0.010914	0.36511	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	1lmm	baseline_thickness	CT	-0.012181	0.01537	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	perregion	baseline_thickness	CT	-0.012168	0.015351	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	1lmm	baseline_thickness	PRSCS	0.0098535	0.015386	0.52193	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	perregion	baseline_thickness	PRSCS	0.010134	0.015366	0.5096	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	hcp	1lmm	baseline_thickness	SBayesR	0.01597	0.015332	0.29766	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab_hcp/prs_scz2025/table_order_of_operations_scz2025.tsv
