section	readout	atlas	construction	trait	method	estimate	se	p	n	note	source
ahba_h3	MAGMA gene-property (marginal): thinning_Z_ds25	hcp	perregion	slope_PC2	MAGMA	1.453e-05	0.0033956	0.99659	10325	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (marginal): thinning_Z_ds50	hcp	perregion	slope_PC2	MAGMA	0.0024468	0.0042691	0.56657	6935	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (marginal): AHBA_C3	hcp	perregion	slope_PC3	MAGMA	0.048975	0.041571	0.23881	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (marginal): thinning_Z_ds0	hcp	perregion	slope_PC3	MAGMA	0.0026297	0.0029149	0.36698	13765	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (marginal): thinning_Z_ds25	hcp	perregion	slope_PC3	MAGMA	0.0027364	0.0033696	0.41676	10325	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (marginal): thinning_Z_ds50	hcp	perregion	slope_PC3	MAGMA	0.0021749	0.0042313	0.60727	6935	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	baseline_thickness	MAGMA	0.068231	0.063198	0.28034	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds0	hcp	perregion	baseline_thickness	MAGMA	-0.0023474	0.0062138	0.70561	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	baseline_thickness	MAGMA	0.073277	0.065008	0.2597	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds25	hcp	perregion	baseline_thickness	MAGMA	-0.0029484	0.0064793	0.64909	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	baseline_thickness	MAGMA	0.075408	0.072443	0.29795	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds50	hcp	perregion	baseline_thickness	MAGMA	-0.0009257	0.0071932	0.89761	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	global_slope	MAGMA	-0.040558	0.061774	0.51149	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds0	hcp	perregion	global_slope	MAGMA	0.0070609	0.0060738	0.24507	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	global_slope	MAGMA	-0.038426	0.063578	0.54561	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds25	hcp	perregion	global_slope	MAGMA	0.0072536	0.0063367	0.25238	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	global_slope	MAGMA	-0.054368	0.070594	0.44124	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds50	hcp	perregion	global_slope	MAGMA	0.0096247	0.0070096	0.16978	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC1	MAGMA	0.082516	0.062344	0.1857	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds0	hcp	perregion	slope_PC1	MAGMA	-0.0021234	0.0061299	0.72905	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC1	MAGMA	0.094012	0.064168	0.14295	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds25	hcp	perregion	slope_PC1	MAGMA	-0.0028755	0.0063955	0.653	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC1	MAGMA	0.091213	0.07118	0.20009	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds50	hcp	perregion	slope_PC1	MAGMA	-0.0030562	0.0070678	0.66546	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC2	MAGMA	0.036803	0.062338	0.55496	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds0	hcp	perregion	slope_PC2	MAGMA	-0.0047649	0.0061293	0.43695	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC2	MAGMA	0.039362	0.064116	0.53929	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds25	hcp	perregion	slope_PC2	MAGMA	-0.0042103	0.0063903	0.51001	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC2	MAGMA	0.0068342	0.071235	0.92357	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds50	hcp	perregion	slope_PC2	MAGMA	0.00068242	0.0070732	0.92314	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC3	MAGMA	0.04553	0.061599	0.45986	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds0	hcp	perregion	slope_PC3	MAGMA	0.00045904	0.0060567	0.93959	6917	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC3	MAGMA	0.044202	0.063288	0.48494	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds25	hcp	perregion	slope_PC3	MAGMA	0.00061179	0.0063078	0.92274	6829	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): AHBA_C3	hcp	perregion	slope_PC3	MAGMA	0.047099	0.070343	0.50316	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
ahba_h3	MAGMA gene-property (condC3): thinning_Z_ds50	hcp	perregion	slope_PC3	MAGMA	-0.0002824	0.0069846	0.96775	6055	n = genes	work/results_70tab_hcp/magma_ahba_pls_h3/table_h3.tsv
heritability	GREML h2	dk	1lmm	global_slope	GCTA	0.2072	0.0451	8.7661e-07	6011		work/results_70tab/scan_1lmm/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	dk	1lmm	baseline_thickness	GCTA	0.2254	0.0464	3.3016e-07	6011		work/results_70tab/scan_1lmm/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	dk	perregion	baseline_thickness	GCTA	0.2234	0.0464	4.1536e-07	6011		work/results_70tab/reml_imp_pooled/reml_summary.tsv
heritability	GREML h2	dk	perregion	global_slope	GCTA	0.1656	0.0446	5.6173e-05	6011		work/results_70tab/reml_imp_pooled/reml_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	1lmm	baseline_thickness	GENESIS	1.0224		3.8345e-07	4205	hits=0; p<1e-5=139	work/results_70tab/scan_1lmm/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	1lmm	global_slope	GENESIS	1.0041		2.6391e-07	4205	hits=0; p<1e-5=122	work/results_70tab/scan_1lmm/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	baseline_thickness	GENESIS	1.0225		3.9659e-07	4205	hits=0; p<1e-5=140	work/results_70tab/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	global_slope	GENESIS	0.9951		5.4096e-07	4205	hits=0; p<1e-5=80	work/results_70tab/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC1	GENESIS	0.9996		7.9175e-07	4205	hits=0; p<1e-5=56	work/results_70tab/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC2	GENESIS	1.0232		2.8419e-07	4205	hits=0; p<1e-5=197	work/results_70tab/assoc_eur/gwas_summary.tsv
gwas	GWAS EUR: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC3	GENESIS	0.997		2.1052e-07	4205	hits=0; p<1e-5=84	work/results_70tab/assoc_eur/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	baseline_thickness	GENESIS	1.0388		6.5241e-08	8395	hits=0; p<1e-5=343	work/results_70tab/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	global_slope	GENESIS	1.0265		3.1105e-07	8395	hits=0; p<1e-5=130	work/results_70tab/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC1	GENESIS	1.0196		5.448e-07	8395	hits=0; p<1e-5=66	work/results_70tab/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC2	GENESIS	1.047		4.6216e-09	8395	hits=1; p<1e-5=125	work/results_70tab/assoc/gwas_summary.tsv
gwas	GWAS pooled: lambda_GC (estimate), n hits p<5e-8 (note)	dk	perregion	slope_PC3	GENESIS	1.0149		1.3689e-07	8395	hits=0; p<1e-5=84	work/results_70tab/assoc/gwas_summary.tsv
ldsc	LDSC h2 (EUR); note = h2 z	dk	1lmm	baseline_thickness	LDSC	0.4168	0.09619			h2_z=4.33	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	dk	1lmm	baseline_thickness	LDSC	0.1296	0.1236	0.2943			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	dk	1lmm	baseline_thickness	LDSC	-0.04237	0.1057	0.6885			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	dk	1lmm	baseline_thickness	LDSC	-0.1288	0.1039	0.2151		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	dk	1lmm	baseline_thickness	LDSC	0.0993	0.05443	0.06809			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	dk	1lmm	baseline_thickness	LDSC	-0.02487	0.05397	0.6449			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	dk	1lmm	baseline_thickness	LDSC	0.03337	0.05621	0.5528			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	dk	1lmm	baseline_thickness	LDSC	0.04482	0.05197	0.3885			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	dk	perregion	baseline_thickness	LDSC	0.4199	0.09592			h2_z=4.38	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	dk	perregion	baseline_thickness	LDSC	0.1321	0.1233	0.2839			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	dk	perregion	baseline_thickness	LDSC	-0.04248	0.1054	0.687			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	dk	perregion	baseline_thickness	LDSC	-0.1279	0.1033	0.2159		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	dk	perregion	baseline_thickness	LDSC	0.1018	0.05426	0.06058			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	dk	perregion	baseline_thickness	LDSC	-0.02375	0.05366	0.6581			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	dk	perregion	baseline_thickness	LDSC	0.03371	0.05614	0.5482			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	dk	perregion	baseline_thickness	LDSC	0.04519	0.05201	0.3849			work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	dk	1lmm	global_slope	LDSC	0.0149	0.0966			h2_z=0.15	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	dk	1lmm	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC h2 (EUR); note = h2 z	dk	perregion	global_slope	LDSC	0.06367	0.09806			h2_z=0.65	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_IGAP_noAPOE	dk	perregion	global_slope	LDSC	0.0156	0.3101	0.9599		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ALZ_noAPOE	dk	perregion	global_slope	LDSC	-0.02176	0.2215	0.9217		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with ASD	dk	perregion	global_slope	LDSC					uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with EA	dk	perregion	global_slope	LDSC	0.2139	0.2396	0.3719		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with MDD_EUR	dk	perregion	global_slope	LDSC	-0.08317	0.1721	0.629		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with PGC3_EUR	dk	perregion	global_slope	LDSC	-0.1471	0.1793	0.412		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
ldsc	LDSC rg with SCZ25_EUR	dk	perregion	global_slope	LDSC	-0.2345	0.2204	0.2873		uninformative (phenotype h2 z<4)	work/results_70tab/ldsc_1lmm/table_ldsc_panel.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	1lmm	baseline_thickness	CT	0.01974	0.015665	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	perregion	baseline_thickness	CT	0.020298	0.015654	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	1lmm	baseline_thickness	PRSCS	0.014659	0.015533	0.34536	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	perregion	baseline_thickness	PRSCS	0.015553	0.015522	0.3164	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	1lmm	baseline_thickness	SBayesR	0.016671	0.015521	0.28284	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	perregion	baseline_thickness	SBayesR	0.017384	0.01551	0.26241	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	1lmm	baseline_thickness	SBayesRC	0.017068	0.015494	0.27069	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	perregion	baseline_thickness	SBayesRC	0.017933	0.015483	0.24682	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	1lmm	baseline_thickness	PRSCSX	0.0038775	0.01544	0.80173	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR GWAS -> EUR (primary)	dk	perregion	baseline_thickness	PRSCSX	0.0047418	0.015429	0.75861	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	1lmm	baseline_thickness	CT	-0.0078047	0.010641	1	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	perregion	baseline_thickness	CT	-0.0073798	0.010635	1	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	1lmm	baseline_thickness	PRSCS	-0.0066737	0.010712	0.5333	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	perregion	baseline_thickness	PRSCS	-0.0063115	0.010706	0.55552	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	1lmm	baseline_thickness	SBayesR	0.0010772	0.010709	0.91988	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	perregion	baseline_thickness	SBayesR	0.0010835	0.010703	0.91937	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	1lmm	baseline_thickness	SBayesRC	-0.0062264	0.010707	0.56089	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	perregion	baseline_thickness	SBayesRC	-0.0057409	0.0107	0.59162	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	1lmm	baseline_thickness	PRSCSX	-0.0088316	0.010677	0.40817	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> pooled zanc (primary)	dk	perregion	baseline_thickness	PRSCSX	-0.0084627	0.010671	0.42776	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	dk	1lmm	baseline_thickness	CT	0.013343	0.010944	1	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	dk	perregion	baseline_thickness	CT	0.01339	0.010938	1	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	dk	1lmm	baseline_thickness	PRSCSX	-0.010775	0.010908	0.32332	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): ancestry-matched composite -> pooled (primary)	dk	perregion	baseline_thickness	PRSCSX	-0.010338	0.010902	0.34305	8596	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	1lmm	baseline_thickness	CT	-0.01045	0.015364	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	perregion	baseline_thickness	CT	-0.0098444	0.015353	1	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	1lmm	baseline_thickness	PRSCS	0.0069326	0.01538	0.65219	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	perregion	baseline_thickness	PRSCS	0.0076742	0.015369	0.61757	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	1lmm	baseline_thickness	SBayesR	0.01364	0.015326	0.37352	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	perregion	baseline_thickness	SBayesR	0.013981	0.015315	0.36137	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	1lmm	baseline_thickness	SBayesRC	0.013175	0.015336	0.39032	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	perregion	baseline_thickness	SBayesRC	0.014041	0.015325	0.35961	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	1lmm	baseline_thickness	PRSCSX	0.0033413	0.015358	0.82778	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): multi GWAS -> EUR (secondary)	dk	perregion	baseline_thickness	PRSCSX	0.0042023	0.015347	0.78424	4308	score=raw; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	1lmm	baseline_thickness	CT	0.028689	0.010879	0.066995	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	perregion	baseline_thickness	CT	0.028835	0.010872	0.064088	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	1lmm	baseline_thickness	PRSCS	0.0083706	0.010859	0.44082	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	perregion	baseline_thickness	PRSCS	0.0088285	0.010853	0.41596	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	1lmm	baseline_thickness	SBayesR	0.014076	0.01092	0.19744	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
prs_scz2025	PRS beta (SD/SD): EUR weights -> pooled zanc (secondary)	dk	perregion	baseline_thickness	SBayesR	0.014443	0.010914	0.18574	8596	score=zanc; p = threshold-adjusted for C+T	work/results_70tab/prs_scz2025/table_order_of_operations_scz2025.tsv
