atlas	phenotype	trait_arm	stratum	method	score	beta_perregion	se_perregion	p_adj_perregion	beta_1lmm	se_1lmm	p_adj_1lmm	n
hcp	baseline_thickness	MDD_eur	EUR	PRSCS	raw	-0.0270978554959344	0.0154890185064728	0.0802783175648894	-0.0276132643112736	0.0155083769688395	0.0750587512825747	4308
hcp	baseline_thickness	MDD_eur	EUR	SBayesR	raw	-0.0207016637578266	0.015701747240807	0.18743017682774	-0.0214850877548159	0.0157213837985167	0.171817698473197	4308
hcp	baseline_thickness	MDD_eur	EUR	SBayesRC	raw	-0.0207223071572708	0.0156092473041701	0.184392443523902	-0.0214146983291235	0.0156288218267859	0.170694753396831	4308
hcp	baseline_thickness	ASD	EUR	CT	raw	-0.039918955212501	0.0152559406256191	0.0712936699456467	-0.0397411101806088	0.0152750870546041	0.074466355054428	4308
hcp	baseline_thickness	ASD	EUR	PRSCS	raw	-0.0395218691807112	0.0153711877814052	0.0101690799717373	-0.0393829867606219	0.0153905690546035	0.0105342898964044	4308
hcp	baseline_thickness	ASD	EUR	SBayesR	raw	-0.0111590555455586	0.0153385272102855	0.466948321969534	-0.0111863116264404	0.0153576550536788	0.466416625026283	4308
hcp	baseline_thickness	ASD	EUR	SBayesRC	raw	-0.0149449786375174	0.0152742716797644	0.327911217464325	-0.0148181554213684	0.0152933306209653	0.332635059433173	4308
hcp	baseline_thickness	ALZ	EUR	CT	raw	0.0235581738221038	0.015355206364446	1.0	0.0227521966342652	0.0153746800870786	1.0	4308
hcp	baseline_thickness	ALZ	EUR	PRSCS	raw	0.0063474074128855	0.0153464661948948	0.679182587043165	0.0057329718641572	0.0153658715302653	0.709094174091022	4308
hcp	baseline_thickness	ALZ	EUR	SBayesR	raw	-0.0066788012353407	0.0153776141465988	0.664078204394917	-0.0068065811384364	0.0153970734038438	0.658461066215348	4308
hcp	baseline_thickness	ALZ	EUR	SBayesRC	raw	-0.0052448631425961	0.0154010338419769	0.733457140467384	-0.0055356976330747	0.0154205634642279	0.719626666742371	4308
hcp	baseline_thickness	ALZ_noAPOE	EUR	CT	raw	-0.0348471168514614	0.0152616058163975	0.179681709809614	-0.0348154944386785	0.0152806859657009	0.182013913544168	4308
hcp	baseline_thickness	ALZ_noAPOE	EUR	PRSCS	raw	0.0169786192193942	0.0152965224745355	0.26707585028775	0.0164262843022275	0.0153157122731642	0.2835504246888	4308
