GENE	thinning_Z_ds0	thinning_Z_ds25	thinning_Z_ds50	AHBA_C3
51046	5.697	5.5166	5.3217	0.578348
7532	5.6878	5.5057	5.1848	NA
10409	5.939	5.5004	5.1582	NA
7533	5.6879	5.4951	5.2256	0.447013
1033	5.5576	5.4943	NA	NA
716	5.7207	5.4905	5.108	0.335823
10690	5.5287	5.4859	5.4791	0.508607
10641	5.6007	5.4783	5.2786	NA
23180	5.5	5.4749	5.4892	0.835638
84830	5.7174	5.4627	5.0521	0.290633
57465	5.4672	5.4591	5.6081	0.303404
374899	5.5199	5.4578	NA	NA
54014	5.6263	5.4571	5.3669	0.276086
83696	5.7329	5.4533	5.1326	NA
55509	5.6472	5.4531	5.2495	0.341628
92749	5.566	5.45	5.3811	0.367928
11022	5.8279	5.4487	5.0409	0.352002
7125	4.9929	5.4334	5.912	0.320202
3241	5.5756	5.4322	5.3445	0.165811
2891	5.5439	5.4319	5.3161	0.421991
27044	5.5139	5.428	5.2602	0.271086
26038	5.7218	5.4254	NA	NA
5026	5.8659	5.4232	4.8982	0.271832
1845	5.671	5.4167	5.1883	0.534955
55530	5.7107	5.4157	5.0151	0.274802
388886	5.5607	5.4098	5.3428	NA
4023	5.5909	5.4045	5.2814	0.713267
205147	5.441	5.4035	5.311	NA
79803	5.5188	5.3961	NA	NA
23367	5.5654	5.3948	5.3486	0.267251
6259	5.7188	5.3876	5.1371	0.360248
282974	5.7258	5.3825	4.8751	0.173526
9681	5.3266	5.3823	5.4554	0.465257
65264	5.6566	5.3815	4.8813	0.144154
5621	5.547	5.3679	5.0778	0.410099
56853	5.4711	5.3665	5.2505	0.345891
7090	5.5269	5.364	NA	NA
255928	5.6074	5.3578	NA	0.225162
3479	5.4245	5.3567	5.4083	0.200981
51116	5.2783	5.3565	NA	NA
10900	5.9166	5.3558	4.5567	0.374395
7673	4.9066	5.3468	5.7462	0.264975
9329	5.691	5.3429	NA	NA
10376	5.6811	5.342	4.9134	0.233621
55178	5.5105	5.3369	5.0896	0.274694
4152	5.5345	5.3323	NA	NA
284656	5.5723	5.3181	4.8944	0.155132
10955	5.5075	5.3148	5.0051	0.492148
4948	5.3952	5.3102	5.2793	0.224572
7781	5.3996	5.3094	5.2146	0.687221
9334	5.6253	5.3081	4.998	0.458438
253558	5.5557	5.3006	5.1113	0.338581
94134	5.7332	5.2967	4.7861	0.0828919
6804	5.3348	5.2793	5.2664	0.550521
222865	5.3786	5.2788	5.1658	0.227993
