gene	thinning_Z_ds25	U_ds25_thinning	rank_ds25	decile_ds25
MRM3	5.3369	0.021736	376	10
MBD1	5.3323	0.017328	377	10
EPHA10	5.3181	0.0092059	378	10
SERINC3	5.3148	0.020624	379	10
OCA2	5.3102	0.014888	380	10
SLC30A3	5.3094	0.017254	381	10
B4GALT5	5.3081	0.013288	382	10
LCLAT1	5.3006	0.014411	383	10
ARHGAP12	5.2967	0.0090789	384	10
STX1A	5.2793	0.017625	385	10
TMEM130	5.2788	0.012286	386	10
JAZF1	5.2725	0.017268	387	10
GFOD1	5.2698	0.013137	388	10
ZNF721	5.2684	0.017377	389	10
MAPK13	5.2682	0.020674	390	10
GPX3	5.2623	0.021662	391	10
ADGRF5	5.2603	0.018463	392	10
PBX1	5.26	0.018442	393	10
RWDD2A	5.26	0.019165	394	10
MEIS3	5.2575	0.0065908	395	10
CHN1	5.2572	0.014919	396	10
MTCH1	5.2552	0.011657	397	10
S1PR2	5.2425	0.017277	398	10
GPN1	5.2379	0.01862	399	10
BBC3	5.2365	0.022313	400	10
TWISTNB	5.2361	0.017247	401	10
TMX3	5.233	0.022594	402	10
SPINT2	5.2325	0.015131	403	10
FGF22	5.2301	0.017398	404	10
LIN37	5.2224	0.017835	405	10
LRFN2	5.2218	0.020246	406	10
GNAZ	5.2209	0.016771	407	10
SPON2	5.2148	0.016073	408	10
AMIGO2	5.2094	0.010392	409	10
NECTIN1	5.2081	0.016909	410	10
CYHR1	5.2078	0.015098	411	10
FADS3	5.2054	0.013605	412	10
XKR6	5.2038	0.0072132	413	10
MBOAT7	5.2007	0.010926	414	10
HCN3	5.1965	0.02028	415	10
HIVEP1	5.1956	0.020815	416	10
PRKAR1B	5.1857	0.020834	417	10
TGOLN2	5.1854	0.016585	418	10
USP43	5.1826	0.023501	419	10
YTHDF2	5.1807	0.016647	420	10
CCDC85A	5.1794	0.018156	421	10
FAM13A	5.1719	0.012975	422	10
DDX25	5.1711	0.015506	423	10
FBXO40	5.1688	0.021162	424	10
LY6D	5.1646	0.012808	425	10
TM2D3	5.1619	0.013506	426	10
C14orf28	5.1589	0.016468	427	10
IPCEF1	5.153	0.013802	428	10
LOC100288911	5.1524	0.0055097	429	10
ENSA	5.1494	0.014812	430	10
PSCA	5.1404	0.020605	431	10
SLC39A10	5.1386	0.019582	432	10
SLC25A42	5.1319	0.018928	433	10
NT5DC2	5.1317	0.013008	434	10
DCHS2	5.1301	0.01498	435	10
ARHGDIG	5.1201	0.012913	436	10
PART1	5.1187	0.023289	437	10
UBE2E2	5.1154	0.01848	438	10
SYNGR3	5.115	0.015615	439	10
CNN1	5.1126	0.021843	440	10
SLC29A1	5.1119	0.012652	441	10
EFCAB1	5.1105	0.0077375	442	10
RC3H2	5.1098	0.016266	443	10
B3GALT6	5.1066	0.0057673	444	10
ATF2	5.1058	0.017397	445	10
GOPC	5.0932	0.013836	446	10
RNF111	5.0907	0.015009	447	10
ZNF473	5.0898	0.019013	448	10
HS2ST1	5.0882	0.014532	449	10
NOV	5.0859	0.012424	450	10
ACTG1	5.0851	0.0077231	451	10
TNFSF13B	5.085	0.019699	452	10
SIRPA	5.0836	0.016183	453	10
PRKAA2	5.0794	0.012017	454	10
PPP1CB	5.0731	0.016952	455	10
RIC8B	5.0684	0.014356	456	10
ZBBX	5.0593	0.021462	457	10
ZNF418	5.0569	0.015565	458	10
CNR1	5.048	0.0092964	459	10
DRAP1	5.0452	0.018168	460	10
SNAPC2	5.0394	0.013288	461	10
APMAP	5.0287	0.013496	462	10
PRRT4	5.0274	0.019699	463	10
HERC1	5.0149	0.01656	464	10
PP12613	5.012	0.015692	465	10
BEX3	5.0106	0.011605	466	10
ABHD8	5.0056	0.016192	467	10
NAA15	5.0036	0.013773	468	10
CHML	5.0028	0.0083303	469	10
SEMA4F	5.0022	0.01148	470	10
MAP4K3	5.0005	0.019042	471	10
ATP9A	4.9933	0.014179	472	10
ARMCX1	4.9929	0.0094078	473	10
ETS2	4.9885	0.0080054	474	10
INTS3	4.9722	0.017268	475	10
MEDAG	4.9702	0.019818	476	10
KCNS2	4.9696	0.0091082	477	10
TCERG1L	4.9695	0.017215	478	10
SMIM29	4.9673	0.006929	479	10
VPS37D	4.9657	0.009366	480	10
ATG9A	4.9619	0.018916	481	10
CDCA5	4.9533	0.019442	482	10
RAB3C	4.9508	0.016096	483	10
GEMIN4	4.9495	0.018257	484	10
PLPP6	4.9445	0.016952	485	10
ANGPTL8	4.9434	0.015217	486	10
PLAG1	4.942	0.013553	487	10
CDKL1	4.9391	0.011245	488	10
SCN2A	4.9389	0.021061	489	10
PKDCC	4.936	0.016542	490	10
RARB	4.9306	0.017675	491	10
GFPT1	4.9287	0.015418	492	10
FBXO44	4.9258	0.016729	493	10
STAT4	4.9197	0.014909	494	10
GUCY1B1	4.9189	0.017482	495	10
TRIML2	4.9113	0.015755	496	10
LOC105379807	4.9018	0.015755	497	10
BAG5	4.8992	0.019247	498	10
NNMT	4.8872	0.014665	499	10
ZNF449	4.8863	0.017634	500	10
ARHGEF25	4.8807	0.020084	501	10
PNMA3	4.8805	0.01348	502	10
C9orf40	4.8749	0.018062	503	10
BAIAP2L2	4.8736	0.019988	504	10
DGKB	4.8723	0.015343	505	10
FBXO11	4.8717	0.014767	506	10
TNFRSF11A	4.8656	0.01272	507	10
SPPL3	4.8643	0.010156	508	10
AIFM2	4.8608	0.011861	509	10
ENC1	4.8556	0.0131	510	10
STYK1	4.8553	0.01157	511	10
POP7	4.8526	0.017935	512	10
ZNF25	4.8506	0.01358	513	10
RANBP9	4.8499	0.020219	514	10
ANXA2P3	4.8472	0.019235	515	10
PNMA8A	4.8413	0.014756	516	10
KLHL35	4.8371	0.015482	517	10
PPM1L	4.8353	0.014056	518	10
TRIM17	4.8328	0.017825	519	10
ZNF215	4.8327	0.018506	520	10
EFNB2	4.8316	0.010896	521	10
TRIM66	4.8232	0.017265	522	10
SELENOH	4.8228	0.016892	523	10
ZNF826P	4.8199	0.015646	524	10
LYRM4	4.8198	0.017684	525	10
FARSA	4.8183	0.020468	526	10
ZNF48	4.8141	0.014558	527	10
CTC1	4.8136	0.012509	528	10
YOD1	4.8102	0.010401	529	10
TMPO	4.8093	0.016934	530	10
NLK	4.807	0.014486	531	10
RBM24	4.8018	0.019464	532	10
HTR5A	4.7975	0.01884	533	10
DYNLL1	4.7942	0.0060231	534	10
ATL2	4.7826	0.012782	535	10
GRM1	4.7815	0.01316	536	10
NEXMIF	4.7811	0.014642	537	10
COMMD5	4.7798	0.017538	538	10
CSRNP3	4.7763	0.013748	539	10
ZNF263	4.7665	0.017422	540	10
ADCY7	4.766	0.013079	541	10
SNUPN	4.7615	0.010955	542	10
PDZD2	4.7613	0.015528	543	10
UCHL1	4.7606	0.01134	544	10
CDK20	4.76	0.018323	545	10
MRPL41	4.76	0.017057	546	10
DCAF4	4.7591	0.015333	547	10
KLF6	4.7497	0.015577	548	10
FOXJ3	4.7436	0.017966	549	10
DOC2A	4.7428	0.01207	550	10
NRXN1	4.7423	0.018425	551	10
CITED2	4.7353	0.0096881	552	10
CBFA2T3	4.7326	0.014259	553	10
PNCK	4.7218	0.0075896	554	10
FAM241B	4.7151	0.016063	555	10
NSFL1C	4.7098	0.0054666	556	10
URGCP	4.7043	0.011588	557	10
DUSP19	4.7027	0.01918	558	10
CLUAP1	4.7022	0.014694	559	10
NRIP1	4.7013	0.012663	560	10
YPEL5	4.7012	0.019994	561	10
ARHGAP29	4.6971	0.019219	562	10
DUSP6	4.6948	0.020514	563	10
DGCR5	4.6947	0.014699	564	10
ZNF540	4.6867	0.01459	565	10
KHK	4.6769	0.016916	566	10
SLC26A10	4.673	0.014203	567	10
MARCH1	4.6682	0.015314	568	10
NPY1R	4.6655	0.015874	569	10
FREM3	4.664	0.017946	570	10
