trait	model	set	submodel	n_genes	beta	beta_std	se	p
SCZ	cond_on_pool	SCZ_prio_finemap	2	61	0.53106	0.030489	0.1728	0.0010604
SCZ	cond_on_pool	SCZ_locus_pool	3	457	2.3867	0.37098	0.067689	1.2398e-261
SCZ	cond_on_pool	SCZ_prio_rare	3	7	1.5601	0.030385	0.50579	0.0010217
SCZ	cond_on_pool	SCZ_locus_pool	4	457	2.3754	0.36923	0.068965	3.0933e-250
SCZ	cond_on_pool	SCZ_prio_smr	4	44	0.51378	0.025063	0.20867	0.0069114
SCZ	cond_on_pool	SCZ_locus_pool	5	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised	5	101	0.61254	0.045201	0.14238	8.5096e-06
SCZ	cond_on_pool	SCZ_locus_pool	6	457	2.2672	0.35241	0.075325	2.1718e-193
SCZ	cond_on_pool	SCZ_prioritised_pc	6	101	0.61254	0.045201	0.14238	8.5096e-06
slope_PC1	cond_on_pool	SCZ_locus_pool	1	457	-0.15199	-0.023656	0.09049	0.95348
slope_PC1	cond_on_pool	SCZ_pool_not_prio	1	356	0.1753	0.024148	0.10268	0.043901
slope_PC1	cond_on_pool	SCZ_locus_pool	2	457	-0.0078824	-0.0012268	0.056051	0.55592
slope_PC1	cond_on_pool	SCZ_prio_finemap	2	61	-0.090045	-0.0051765	0.12531	0.7638
slope_PC1	cond_on_pool	SCZ_locus_pool	3	457	-0.029145	-0.0045361	0.051546	0.7141
slope_PC1	cond_on_pool	SCZ_prio_rare	3	7	0.26174	0.0051046	0.38694	0.24939
slope_PC1	cond_on_pool	SCZ_locus_pool	4	457	-0.00042559	-6.6238e-05	0.052917	0.50321
slope_PC1	cond_on_pool	SCZ_prio_smr	4	44	-0.2581	-0.012607	0.1486	0.95879
slope_PC1	cond_on_pool	SCZ_locus_pool	5	457	0.023306	0.0036274	0.058238	0.34451
slope_PC1	cond_on_pool	SCZ_prioritised	5	101	-0.1753	-0.012953	0.10268	0.9561
slope_PC1	cond_on_pool	SCZ_locus_pool	6	457	0.023306	0.0036274	0.058238	0.34451
slope_PC1	cond_on_pool	SCZ_prioritised_pc	6	101	-0.1753	-0.012953	0.10268	0.9561
slope_PC2	cond_on_pool	SCZ_locus_pool	1	457	-0.10643	-0.016566	0.092157	0.87593
slope_PC2	cond_on_pool	SCZ_pool_not_prio	1	356	0.21344	0.029402	0.10457	0.020632
slope_PC2	cond_on_pool	SCZ_locus_pool	2	457	0.078484	0.012215	0.057084	0.084595
slope_PC2	cond_on_pool	SCZ_prio_finemap	2	61	-0.16098	-0.0092541	0.12762	0.89641
slope_PC2	cond_on_pool	SCZ_locus_pool	3	457	0.041317	0.0064307	0.052496	0.21563
slope_PC2	cond_on_pool	SCZ_prio_rare	3	7	0.4206	0.0082028	0.39408	0.14293
slope_PC2	cond_on_pool	SCZ_locus_pool	4	457	0.069504	0.010818	0.053896	0.098607
slope_PC2	cond_on_pool	SCZ_prio_smr	4	44	-0.22189	-0.010839	0.15135	0.92868
slope_PC2	cond_on_pool	SCZ_locus_pool	5	457	0.107	0.016654	0.059311	0.03562
slope_PC2	cond_on_pool	SCZ_prioritised	5	101	-0.21344	-0.015771	0.10457	0.97937
slope_PC2	cond_on_pool	SCZ_locus_pool	6	457	0.107	0.016654	0.059311	0.03562
slope_PC2	cond_on_pool	SCZ_prioritised_pc	6	101	-0.21344	-0.015771	0.10457	0.97937
slope_PC3	cond_on_pool	SCZ_locus_pool	1	457	-0.041149	-0.0064045	0.090986	0.67445
slope_PC3	cond_on_pool	SCZ_pool_not_prio	1	356	0.062342	0.008588	0.10324	0.27298
slope_PC3	cond_on_pool	SCZ_locus_pool	2	457	0.021921	0.0034118	0.056354	0.34864
slope_PC3	cond_on_pool	SCZ_prio_finemap	2	61	-0.096201	-0.0055303	0.12598	0.77744
slope_PC3	cond_on_pool	SCZ_locus_pool	3	457	0.0016931	0.00026352	0.051825	0.48697
slope_PC3	cond_on_pool	SCZ_prio_rare	3	7	0.14043	0.0027388	0.38903	0.35906
slope_PC3	cond_on_pool	SCZ_locus_pool	4	457	0.0058812	0.00091535	0.053208	0.45599
slope_PC3	cond_on_pool	SCZ_prio_smr	4	44	-0.018014	-0.0008799	0.14942	0.54798
slope_PC3	cond_on_pool	SCZ_locus_pool	5	457	0.021193	0.0032985	0.058558	0.35871
slope_PC3	cond_on_pool	SCZ_prioritised	5	101	-0.062342	-0.0046065	0.10324	0.72702
slope_PC3	cond_on_pool	SCZ_locus_pool	6	457	0.021193	0.0032985	0.058558	0.35871
slope_PC3	cond_on_pool	SCZ_prioritised_pc	6	101	-0.062342	-0.0046065	0.10324	0.72702
