comparison	variable	type	n_genes	beta	se	p
MDD_vs_global_slope	global_slope	COVAR	18223	-0.0068813	0.011195	0.53878
MDD_vs_slope_PC1	slope_PC1	COVAR	18223	-0.01159	0.011345	0.30699
MDD_vs_slope_PC2	slope_PC2	COVAR	18223	0.0046407	0.011172	0.67788
MDD_vs_slope_PC3	slope_PC3	COVAR	18223	0.0064172	0.011297	0.57
SCZ_vs_baseline_thickness	baseline_thickness	COVAR	18255	0.021124	0.011404	0.063993
SCZ_vs_global_slope	global_slope	COVAR	18255	0.013823	0.011343	0.22301
SCZ_vs_slope_PC1	slope_PC1	COVAR	18255	0.0073946	0.011444	0.51818
SCZ_vs_slope_PC2	slope_PC2	COVAR	18255	-0.014162	0.011297	0.21001
SCZ_vs_slope_PC3	slope_PC3	COVAR	18255	0.0046746	0.011392	0.68156
slope_PC1_ahba_components_posneg	C1+	COVAR	6939	0.0090868	0.034487	0.79219
slope_PC1_ahba_components_posneg	C2+	COVAR	6939	0.096019	0.054365	0.07741
slope_PC1_ahba_components_posneg	C3+	COVAR	6939	0.094517	0.070099	0.17759
slope_PC1_ahba_components_posneg	C1-	COVAR	6939	-0.041503	0.032635	0.20352
slope_PC1_ahba_components_posneg	C2-	COVAR	6939	-0.0084818	0.061866	0.89096
slope_PC1_ahba_components_posneg	C3-	COVAR	6939	-0.03558	0.072178	0.62206
slope_PC1_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	-0.83491	1.4299	0.55931
slope_PC1_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	0.81545	1.2163	0.50261
slope_PC1_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	4.0162	2.3574	0.088469
slope_PC1_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	15.186	11.477	0.18581
slope_PC2_ahba_components_posneg	C1+	COVAR	6939	-0.0099733	0.035271	0.77737
slope_PC2_ahba_components_posneg	C2+	COVAR	6939	0.015547	0.055614	0.77983
slope_PC2_ahba_components_posneg	C3+	COVAR	6939	0.018564	0.071702	0.79572
slope_PC2_ahba_components_posneg	C1-	COVAR	6939	-0.025377	0.03338	0.44713
slope_PC2_ahba_components_posneg	C2-	COVAR	6939	0.058068	0.063268	0.35875
slope_PC2_ahba_components_posneg	C3-	COVAR	6939	0.010252	0.073819	0.88955
slope_PC2_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	-1.1931	1.4525	0.4114
slope_PC2_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	0.029414	1.2355	0.98101
slope_PC2_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	6.7319	2.3941	0.0049325
slope_PC2_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	16.302	11.658	0.16201
slope_PC3_ahba_components_posneg	C1+	COVAR	6939	0.056408	0.034662	0.10371
slope_PC3_ahba_components_posneg	C2+	COVAR	6939	0.025456	0.054664	0.64146
slope_PC3_ahba_components_posneg	C3+	COVAR	6939	-0.0066655	0.070479	0.92466
slope_PC3_ahba_components_posneg	C1-	COVAR	6939	-0.042451	0.032807	0.19573
slope_PC3_ahba_components_posneg	C2-	COVAR	6939	-0.03651	0.062191	0.55718
slope_PC3_ahba_components_posneg	C3-	COVAR	6939	0.054909	0.072557	0.44921
slope_PC3_snrnaseq_pc1	PC1_herringV3+	COVAR	15479	-1.2066	1.4428	0.40303
slope_PC3_snrnaseq_pc1	PC1_U01V2+	COVAR	15479	0.82056	1.2273	0.50378
slope_PC3_snrnaseq_pc1	PC1_herringV3-	COVAR	15479	2.9613	2.3788	0.2132
slope_PC3_snrnaseq_pc1	PC1_U01V2-	COVAR	15479	3.6142	11.581	0.75499
