readout	phenotype	arm	method	comparable	value_dk	value_hcp	se_dk	se_hcp	p_dk	p_hcp	n_dk	n_hcp
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	global_slope	EUR	MAGMA	yes	-0.0015513	0.0092571	0.0029594	0.0029359	0.83651	0.21451	13765	13765
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	0.00096906	0.0072077	0.0029087	0.0029078	0.89565	0.32916	13765	13765
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.0085909	-0.0049437	0.0029247	0.0029019	0.24754	0.50243	13765	13765
MAGMA H3 thinning_Z_ds0 marginal (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.0075124	0.0066797	0.0028975	0.0029149	0.30741	0.36698	13765	13765
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	yes	-0.0086945	-0.0061735	0.0062046	0.0062138	0.59417	0.70561	6917	6917
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	yes	0.029194	0.01857	0.0061643	0.0060738	0.07178	0.24507	6917	6917
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	-0.019003	-0.0055844	0.0061427	0.0061299	0.23951	0.72905	6917	6917
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.020335	-0.012531	0.0061742	0.0061293	0.21048	0.43695	6917	6917
MAGMA H3 thinning_Z_ds0 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.0090709	0.0012073	0.0060242	0.0060567	0.56698	0.93959	6917	6917
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	baseline_thickness	EUR	MAGMA	yes	0.0035441	0.0061542	0.0034242	0.0034194	0.68442	0.47971	10325	10325
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	global_slope	EUR	MAGMA	yes	0.0082037	0.015166	0.003449	0.0034074	0.35028	0.080519	10325	10325
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	0.0034907	0.0079135	0.0033861	0.0033924	0.68561	0.35965	10325	10325
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.0037091	3.7e-05	0.003407	0.0033956	0.66901	0.99659	10325	10325
MAGMA H3 thinning_Z_ds25 marginal (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.012497	0.0069681	0.0033566	0.0033696	0.14374	0.41676	10325	10325
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	baseline_thickness	EUR	MAGMA	yes	-0.0099826	-0.007592	0.00647	0.0064793	0.54907	0.64909	6829	6829
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	global_slope	EUR	MAGMA	yes	0.030995	0.018678	0.0064295	0.0063367	0.061236	0.25238	6829	6829
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC1	EUR	MAGMA	no (atlas-specific PC)	-0.019354	-0.0074044	0.0064065	0.0063955	0.24075	0.653	6829	6829
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC2	EUR	MAGMA	no (atlas-specific PC)	-0.019925	-0.010842	0.0064306	0.0063903	0.22891	0.51001	6829	6829
MAGMA H3 thinning_Z_ds25 | AHBA_C3 (beta_std)	slope_PC3	EUR	MAGMA	no (atlas-specific PC)	-0.0075703	0.0015753	0.0062751	0.0063078	0.63943	0.92274	6829	6829
MAGMA H3 thinning_Z_ds50 marginal (beta_std)	baseline_thickness	EUR	MAGMA	yes	0.004895	0.0048963	0.004337	0.004332	0.65398	0.65353	6935	6935
