cell	stratum	label	beta	se	t	p	n	beta_cond	se_cond	t_cond	p_cond	r_global	score	r_cortexmean_globalslope
SCZ25_EUR_SBayesRC_raw	EUR	rh_A1	-0.0313751686053088	0.0153676323209158	-2.0416397236812	0.0412557708392537	4308	-0.0173570635120388	0.0145936578706685	-1.18935661407579	0.234373490795412	0.335593136534239	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_A4	-0.0329592703925112	0.0153711489679475	-2.14422945618699	0.0320780474201716	4308	-0.0135017164083649	0.0138120617191738	-0.977530848245625	0.328369642528807	0.455207311857291	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_A5	-0.0283526414628194	0.0154002932683499	-1.84104555470308	0.0656922796563085	4308	-0.00840837976173547	0.0138205065659329	-0.608398810971361	0.542958713198124	0.470040696810728	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_AAIC	0.0079152478613074	0.0154648523308042	0.511821755034876	0.608804412474416	4308	0.0115371711512888	0.0154247434090698	0.747965191077665	0.454525866501323	0.102166710018007	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_AIP	-0.00655751279776025	0.0152369152486223	-0.430370103840616	0.666950735343616	4308	0.0111384285471541	0.0139843354199546	0.79649323422695	0.425795495114059	0.427154544337598	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_AVI	0.00567321464168799	0.0154310356524535	0.36764963606224	0.713154829802304	4308	0.0174920855026434	0.0149214811264277	1.17227541652436	0.241159449855556	0.276048273092251	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_DVT	-0.0281703673093603	0.0152801954304698	-1.84358684661759	0.0653203710245012	4308	-0.0102089145369149	0.0140279342263866	-0.72775608811395	0.466806829727041	0.42968656088265	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_EC	0.00854523537601263	0.0155347441847968	0.550072487474592	0.582300793232807	4308	0.0125848473763338	0.0154865095648037	0.81263291277303	0.416477580215798	0.105818074654581	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FEF	-0.0202781231179569	0.0155315298288982	-1.30561015826188	0.191761864566339	4308	-0.00827536274920908	0.014955733085619	-0.553323779037379	0.580073659979698	0.261216073000949	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FFC	-0.0144115147790819	0.0150356124071898	-0.958492038022377	0.337874569691211	4308	0.00302600230561974	0.0138120203005303	0.21908469867392	0.826595721947612	0.446115546452264	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FOP1	-0.011672785129024	0.0152165943308424	-0.76710891249591	0.443064784066146	4308	-0.000699309245315622	0.0147127427555604	-0.0475308551868297	0.96209269632757	0.288566536191705	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FOP2	-0.0109909197806972	0.0153368439605097	-0.716635039712038	0.473643230696085	4308	-0.000570303404235326	0.0149345935335118	-0.0381867375871743	0.9695408283757	0.247487556295312	score_SCZ25EUR_sbrc.profile	0.999999948257751
SCZ25_EUR_SBayesRC_raw	EUR	rh_FOP3	-0.00137790366290764	0.0154557846479985	-0.0891513238757553	0.92896627616509	4308	0.00790554902799669	0.0151081352992232	0.523264378523481	0.60082064734582	0.213472423051355	score_SCZ25EUR_sbrc.profile	0.999999948257751
